hp,best,worse,pvalue
critic_lr,0.0001,1.0e-5,0.0003086749625207206
critic_lr,1.0e-5,0.001,0.17997088215788493
critic_lr,0.0001,0.001,0.011151728487583442
actor_ratio,2,1,0.40374755859375006
actor_ratio,4,1,0.43319702148437506
actor_ratio,8,1,0.5618896484375001
actor_ratio,2,4,0.8208923339843751
actor_ratio,8,2,1.0200500488281252
actor_ratio,4,8,0.8999328613281251
replay_size,16384,32768,0.8208923339843751
replay_size,16384,65536,0.8999328613281251
replay_size,131072,16384,0.8602600097656251
replay_size,65536,32768,0.5965881347656251
replay_size,131072,32768,0.7819519042968751
replay_size,131072,65536,0.5281677246093751
