agent_ID,returns
1,"[-68924.73086228949, -68777.82461151651, -68947.74715694955, -68892.32844050808, -68943.81971261658, -68920.52522103046, -68875.05843919188, -68866.94796478986, -68941.30470706684, -68797.95956484185, -68929.46481633029, -68922.23665271702, -68906.57957413125, -68885.14254674688, -68829.74918829699, -69003.5256460637, -69046.03288309312, -68814.70917799573, -68879.55772926028, -68786.41928908919, -69033.49282032209, -68845.88356960636, -68818.84465700018, -68875.96751132641, -68841.05551491033, -68922.7826584916, -68879.18928013413, -68866.04087314542, -68965.29304760476, -68873.85937566381, -68868.28375547391, -68817.99580592015, -68984.26265835806, -68836.20241517843, -68903.91965427308, -68872.98123340035, -68904.95589009958, -68960.27597202567, -69012.21259516622, -68819.06910172798, -68956.30703788319, -68978.30147090164, -68962.33217896783, -69099.46184327871, -68864.07925325588, -68894.19959894227, -68941.13476981447, -68839.14377667943, -68873.30636000237, -68921.5965658506, -68991.09663474932, -68776.88908662919, -68816.58782345291, -68940.20202019154, -68822.33020381325, -68827.5951964039, -68854.85505092886, -68990.70502760708, -68830.19995033302, -68889.32052983443, -69014.62736956826, -68956.95667558484, -68853.26154467411, -68817.35479471342, -68895.55468102577, -68934.76749554706, -68958.1051829011, -68786.00311013509, -68956.71709618233, -69018.5218739665, -68929.46827243273, -68865.70648679437, -68844.57808629259, -68895.82362883142, -68782.75686457746, -68930.21662195778, -68826.11956509191, -68824.25358948062, -68830.86655848467, -68928.74341374719, -68882.2283053809, -68917.34458127005, -68796.74630486612, -68913.42604380492, -68840.45678434146, -68908.84479867504, -68870.61335491082, -68954.67117475014, -68869.63877374376, -68912.43637045819, -69001.42152419615, -68832.72727731876, -68884.83503823771, -68841.308955259, -68906.02665073534, -68872.87018373172, -68963.0886106499, -68777.50780468181, -68939.45739032429, -68805.17102267143]"
2,"[-68989.48885280247, -951.1218922644424, -1201.839892830342, -1305.4848687821986, -1469.3336604501949, -1562.8555395300132, -1736.7414659780807, -1860.3465607245732, -1935.5155442934877, -2163.0780612458825, -2578.8103039292005, -2727.8986581496806, -2575.82143645569, -2835.889748976553, -3036.2128199268877, -3059.608279583365, -3176.017483735143, -3399.389617035069, -3331.750484964435, -2905.122658800422, -2977.820765595234, -2723.79117491387, -2413.2325266371204, -2304.9658124522653, -2310.56002485763, -2288.3075239681366, -2271.6782513196417, -2257.1908050537486, -2240.0097690906737, -2229.140417260563, -2190.8586299158987, -2172.1002206845696, -2165.295054559077, -2149.23794638027, -2147.5575815333304, -2128.9971259877625, -2122.549267459878, -2116.6019700192364, -2098.91834674939, -2090.265388669472, -2087.983878769986, -2086.649480773242, -2074.4974217679514, -2065.6057170095273, -2063.0464398292515, -2074.801338666295, -2048.2223315234596, -2041.993898348722, -2042.2456557387513, -2051.2734884781094, -2033.009491501051, -2027.0188895390122, -2021.5256109950199, -2026.7484165408196, -2016.1749381571656, -2018.4339300824024, -2007.9011664247305, -2014.95617497532, -2011.4173154988848, -2018.0499181206749, -2010.2583576364684, -1999.3300137184972, -2000.9783186765405, -2000.8207118518826, -1994.8962834641386, -1996.8138973662817, -1996.3329368672598, -1997.382980656203, -1994.6742684600551, -1992.3072874624718, -1993.3807665248016, -2006.178983548895, -2011.186641264321, -1989.079406600501, -2003.9815814592766, -1998.9781041060328, -1991.8767088571144, -2012.3931323215277, -2022.9841090648124, -2000.7417344513926, -2023.3596952963917, -1995.895200439984, -2005.5043664654195, -2003.1321382358524, -2014.1557431212732, -2018.561345629426, -2004.0736404788433, -2005.5658347674491, -1988.9832177872365, -2011.042954221346, -2014.470563267294, -2002.1253721115143, -2022.0852728405257, -2048.284306977589, -2006.5691385783246, -2033.8658841816487, -2034.485566996655, -2042.6917780580493, -2019.2566492826584, -2026.493971169105]"
3,"[-1067.6530752749359, -999.9316765584095, -1049.9021937954133, -1144.1083031104713, -1334.6177071010839, -1466.3155480307535, -1765.225162583135, -1805.5776352382834, -1988.962837428261, -2108.2369443942325, -2186.2416602369585, -2467.9494672892565, -2475.63516903196, -2704.6740800019115, -2832.8006509927877, -2945.1053954241406, -3072.152119712226, -3380.73186028309, -3483.3480706821315, -3295.677198111195, -2947.9610370005444, -2635.936262627096, -2419.316813776098, -2363.30676589245, -2365.626654425184, -2326.5231445070376, -2197.1755741343886, -2132.628689663416, -2112.9439485742887, -2087.1907304999586, -2099.4585265817905, -2086.920074720338, -2078.252564649839, -2056.8990770156643, -2049.882248493719, -2041.20883602549, -2041.7635583581437, -2032.5327609859658, -2036.381923000226, -2028.2554190355454, -2025.810531038399, -2021.8563580566365, -2023.5403256189181, -2008.4735775948614, -2015.2199117997097, -2014.5280552977904, -2012.7582620901564, -2015.0265714564628, -2006.1389523076064, -2011.6865387675057, -2001.9542176415673, -2000.4918118944272, -1999.4899005198138, -2004.015265682467, -1997.6873481568978, -1995.9491835377898, -1991.4154556742483, -1993.782113648462, -1993.4309454048062, -1987.241078042147, -1986.9360143029521, -1987.8668039874208, -2018.7997957526552, -1986.8478841981132, -1984.4380531384738, -1998.2455725699276, -1987.4282701743905, -1991.310939979459, -1981.8700160533049, -1988.1539176385618, -1981.6880233962581, -1987.4409901646288, -1988.5080521522195, -1993.4936034686427, -2000.3297882672039, -1985.0789029367145, -1990.573501238021, -1988.8840572321003, -1985.805678546004, -1989.3702025396024, -1985.0876901057406, -1988.226953258105, -1985.462275088298, -1982.0878059893214, -1986.97471598509, -1997.6136639552765, -2000.8615180910472, -1989.577203004672, -1990.2923635589655, -1985.2996620055542, -1984.485880758936, -1984.8995684641843, -1981.920945759137, -1979.7567055602935, -1979.8062617592846, -1976.8003095591507, -1978.7615318899918, -1982.0655415591825, -1989.8200167669115, -1984.078199858122]"
4,"[-2267.7166733026047, -1011.44578256685, -1711.9839708372679, -1617.9082296353113, -2210.7848277694648, -1545.111022857571, -1777.6265815102968, -1930.7548034122055, -1919.8916934042356, -3611.824788950845, -3326.69330110396, -3270.9236032768536, -3482.744694615005, -3536.3207948358545, -3724.0416820903833, -3409.94396499735, -4019.9252492503024, -4020.639480086358, -4356.402017058057, -3775.5532169061735, -3722.302810913243, -5672.4634211177945, -4017.485381402372, -4364.444021398799, -4797.031780629236, -5087.659856892994, -5464.025015233459, -5278.255472416357, -4383.409884111511, -4366.636775088254, -4502.37227088785, -4599.633687034226, -4631.267017778602, -4591.189140464438, -4720.754026851639, -4585.31313878607, -4760.625427042433, -4775.811548725556, -5071.290923012826, -5806.588798982315, -8874.983965486266, -4879.082135537697, -4847.9835258376015, -4947.301599664878, -4894.375495072432, -5027.500496553835, -5118.046861609493, -4995.85192465306, -4997.479322440217, -5159.335832334693, -5278.152180596457, -5056.574974795883, -4931.3498496449365, -4846.224256063344, -5097.26664486862, -4535.414957532048, -4474.137948312162, -4400.084453284315, -4407.686715540894, -4366.547765679897, -4435.0524966481, -4498.734931009417, -4533.869187052018, -4531.839034045043, -4660.4502934167485, -4910.691167923427, -4711.878398086041, -4762.039010396052, -4837.859655778194, -6841.050966942761, -4670.673756234386, -4624.965335415014, -4803.885131331567, -4856.811694643378, -4919.511980811182, -4990.114515642447, -4880.810727583686, -4873.825585405537, -5153.3936120128565, -5732.002557262306, -4927.694730319492, -4769.103961832277, -4711.803724423531, -4810.841025818836, -4819.463055764256, -5033.872183253424, -5075.8012366982775, -4960.947455211173, -4775.804755574848, -4839.321691949, -4666.118580179106, -4461.403275189963, -4520.458704260336, -4571.652250006488, -4663.8186449057985, -4621.4673591945975, -4705.997322506881, -4748.010803970974, -4743.854888919344, -6037.756505976046]"
5,"[-68995.7310957885, -68849.20376404375, -68917.54008194729, -68888.00727981744, -68889.11557643213, -68812.27354035056, -68934.42635118567, -68796.70827239483, -68903.45314551258, -68890.78094679234, -68920.86199280604, -68881.07309227424, -68884.0546187542, -68899.9389169088, -68949.31434951672, -68952.23383975645, -68872.26566861673, -68952.18635237867, -68769.42149068967, -68953.89707908242, -68779.47866468904, -69019.8150767909, -68907.65668618135, -68884.4498250405, -68911.66379985411, -68903.50468669, -68988.43835952612, -68926.64480059697, -69003.0441444419, -68931.59330970971, -68849.54089903666, -68942.21925249492, -68882.36476285798, -68829.09747233748, -68768.58870730815, -68830.72449941862, -68838.16714861017, -68961.43210092657, -68931.52912342298, -68837.15009244937, -68847.29349464788, -68889.60518628669, -68845.91390606703, -68821.6951329192, -69009.10514565006, -68855.03934134766, -68916.3618466935, -68832.52354876391, -68822.07680872231, -68929.15288753618, -68782.16972163731, -68923.28585121808, -68907.37654914046, -68872.4915388574, -68949.58346313293, -68990.96641246602, -68884.27270090373, -68875.98983690905, -68723.61632611405, -68878.5288555384, -68790.86923776791, -68815.69646948976, -68819.08839154651, -69003.39223135519, -68957.16858134212, -68821.65920440073, -68934.73660550384, -69019.60842972042, -68906.9241878234, -68902.5123248779, -68823.56466460005, -68869.4902218308, -68959.11366416558, -68840.61923495478, -68930.13047040264, -68920.99161131697, -68766.08524075354, -68876.76083972193, -68649.02426696531, -68862.23933625643, -68961.44731917423, -68810.53498478825, -68832.62222109063, -69045.68491577778, -68685.7060372577, -68813.3275441671, -68921.0862793746, -68948.30613029035, -68986.95163357923, -68706.49536158574, -68902.146475354, -68950.48207207162, -68840.87575439205, -68831.02305047048, -68870.2866114422, -68877.83117934874, -68865.15827871206, -68915.42185104113, -69043.61269226295, -68842.07189243463]"
6,"[-745.1156891297684, -1308.8133893079532, -1181.6415620189096, -1485.4240733863585, -1593.229325117478, -1741.4603454460362, -1929.7303438020642, -2135.0198876496015, -2359.3026951042925, -2532.859396120397, -2537.864822634493, -2456.6627275584874, -2649.0911057144676, -3004.2267054876784, -3300.7195970707376, -3218.320343154835, -3389.255008065036, -2797.232726212471, -2481.937221582015, -2267.7658795084585, -2150.713920541861, -2212.516026908201, -2223.449833218466, -2267.2953666977473, -2316.1314769874893, -2309.479440865978, -2288.1664988565335, -2266.5575668472948, -2232.7966665237755, -2186.7400622487876, -2156.091713158233, -2128.430992321271, -2105.540605253133, -2094.1534172455354, -2084.6623990010426, -2081.975080805934, -2065.4604582822376, -2064.6321109400965, -2064.175586343402, -2063.081455032289, -2052.835099452083, -2056.1170052278976, -2044.5887451198453, -2046.1972440000127, -2051.2417152724315, -2036.060783691872, -2029.2511200042893, -2027.798822590089, -2027.6837048025866, -2017.5415551821907, -2017.3140520871073, -2025.0906167283338, -2016.2396616524313, -2014.8606362948037, -2010.6820871325303, -2022.3790469812707, -2013.6572121949391, -2005.4266258942273, -2007.1179708437319, -2005.870638990739, -2000.8027870809765, -2006.1736347326282, -1997.6301253017825, -1997.8137896484695, -1992.9336372947234, -1997.7200053035492, -1995.7347666851063, -2008.6961924562133, -2005.8549834059022, -1999.3731337014265, -2018.80318661868, -1991.3051254306563, -2002.1876663026783, -1999.486575208176, -1992.7750618300483, -2028.7119709636113, -2007.9720678026026, -2009.8280291968392, -2013.281070443171, -2014.9342980087372, -2022.4273822883304, -2017.6466450168957, -2043.8578443206868, -1986.8105212381065, -2010.149214478754, -2025.551992523392, -2029.5653277764172, -2010.8738295337555, -2047.5510104261027, -2011.2688308835561, -1991.5397104169822, -1992.4040515063405, -1989.4450954640813, -2005.752681385476, -1986.0177517800842, -1985.748006185765, -1994.7676976875352, -1995.6433194813344, -1977.870145506872, -1994.2899656324428]"
7,"[-68886.94428970093, -3545.8830623456242, -1186.3371822517754, -1118.6672960177677, -1244.3760538294373, -1356.7181413169546, -1716.7554525070932, -1775.3801276796494, -2057.397760172894, -2196.1283448097106, -2402.3798995888974, -2624.627648757158, -2603.193932275839, -2633.0698462458777, -2810.4637602099374, -2921.656985227225, -2554.7416718627574, -2445.7918933736387, -2307.585362418559, -2169.397683473043, -2145.6630737737555, -2140.706501037515, -2157.311887912291, -2214.1377871016825, -2252.272447996674, -2186.0659352318526, -2133.7231974882634, -2120.0330664607077, -2122.4907036692007, -2092.1294393539365, -2078.074594555792, -2079.541805318512, -2069.9884634231576, -2057.7481434628685, -2059.525393934718, -2046.0342217084897, -2048.1145560687482, -2053.0242300815103, -2032.8589229893128, -2032.0273477009528, -2033.2296981271556, -2030.7923002046855, -2028.4362803255724, -2023.915450516483, -2009.7763084472645, -2022.7639519860015, -2010.0633538813238, -2003.5147631061568, -2013.431907841174, -2007.6751593432814, -1996.44768112936, -2001.6424456359848, -2009.057901350273, -2001.4884313055145, -1997.6488851849433, -1990.489445860569, -1995.1411257604411, -1988.1502213199515, -1995.9249521562235, -1992.7490124621415, -1988.1293228709899, -1991.179536493389, -1987.4388839826854, -1991.7115888327432, -1984.12959209528, -1983.9779136013458, -1983.3804727861484, -1988.5278342788263, -1982.0504733581429, -1979.4458722127567, -1981.8217634150633, -1976.5030637325772, -1981.3453385048392, -1977.54068914009, -1978.2954905951044, -1982.5921687504442, -1975.6034332631828, -1988.4135319587106, -1979.4816829234123, -1982.7039768283857, -1976.70719681537, -1979.9346508036197, -1988.9590727399266, -2000.4990428934611, -1994.2315326014232, -2007.7278572821042, -2009.6063076458609, -1999.6908134908488, -1999.1030282506506, -2016.2568553902634, -2012.508503859498, -1991.0574383903256, -1995.025256422813, -2000.1711138682995, -2014.8957681128154, -2007.0480594031724, -1994.3491997011065, -1993.1089992537645, -1985.5031523575217, -1994.490459974422]"
8,"[-68929.65712007873, -68836.08161324865, -1210.7095925578742, -1247.5808196708294, -1360.0873433982074, -1445.3610667759078, -1582.786682720512, -1694.7365088536137, -1875.3929352190003, -2142.6539870198158, -2334.881160325553, -2578.661743363061, -2607.584799103897, -2723.159060964349, -2888.050796143571, -2973.8640960672774, -3068.1093168590623, -3357.530112232783, -3666.077474181596, -3881.3231309800553, -3908.761345029962, -4204.54360280929, -4098.017828114882, -4251.526594686545, -4503.837179725723, -4559.711082347952, -4486.011180010685, -4133.867212696149, -4339.393036698912, -3584.0689153006433, -3176.6347848047153, -2806.7305561024145, -2771.877122911582, -2679.6238145490356, -2506.8586175674004, -2287.6514902789813, -2174.956657005305, -2066.211902871112, -2051.374331828227, -2046.5285523057562, -2040.1918034654786, -2036.384046196054, -2028.8636331937234, -2031.459824185488, -2031.2413220604985, -2026.314317500703, -2020.586730129702, -2015.516025965108, -2009.9511613027676, -2011.1277953898432, -2005.2339127849207, -2007.82037805958, -2003.960695658119, -1997.5072358489115, -1995.8474824942805, -1994.3307029931623, -1993.2756281237234, -1986.39473621259, -1990.2287458432668, -1989.7445086612322, -1990.001646669589, -1988.6515330470395, -1990.7912087249704, -1988.4089884966643, -1983.185763282768, -1982.6721932999308, -1990.9144390152535, -1985.044312029197, -1983.0317549181611, -1985.1880748286849, -1982.3967602938144, -1978.950855046057, -1981.3565977847759, -1978.906983542092, -1982.1022180652728, -1980.1664967573045, -1980.826799062692, -1979.7076632420026, -1978.191704091385, -1981.448941854918, -1979.2779971906693, -1976.0128576072718, -1986.250764155087, -1983.2830243848566, -1980.6504915798553, -1980.1340352436962, -1975.1650149263885, -1973.1209020075835, -1978.060013851836, -1975.4994265767643, -1974.6182105413197, -1977.9844577001707, -1974.8328730130195, -1972.7766270377674, -1975.5432838399881, -1974.0647418943502, -1974.2887673690018, -1972.404766060621, -1975.1814383494973, -1973.8850930270291]"
9,"[-797.2601481058738, -1051.295710999947, -998.5580955553099, -1229.8640470460452, -1381.7329448744695, -1482.1703691080825, -1679.049886948034, -1877.3052880118757, -2079.3672536737618, -2254.565231004016, -2242.1324276466994, -2369.8269903930563, -2499.8419899723044, -2737.938327426894, -2906.078769877448, -3068.0263198166476, -2979.358079437996, -2663.7593019169335, -2449.860111307679, -2321.45447705474, -2224.039831568631, -2213.869486993121, -2239.0192826204197, -2311.144621131823, -2349.6082104820684, -2322.769287784753, -2265.83229540479, -2244.0139748056718, -2198.6359708434165, -2159.348389477105, -2142.9434295046663, -2111.64300558262, -2096.291856983396, -2082.3893412578886, -2069.9302683884343, -2064.1101181702124, -2050.02599901697, -2043.2377149279926, -2042.5610976538414, -2038.5026536410874, -2032.1823445737684, -2031.5559413609503, -2026.4072222226512, -2025.9616313766317, -2027.381772823951, -2023.8557582714427, -2019.4343840918802, -2018.464270771113, -2020.1366308403165, -2008.0024626598135, -2009.1126967594757, -2007.418814189333, -2009.0508768608975, -2015.8233542052292, -2007.69191863369, -2005.417640458701, -2000.9684006196317, -1999.8314412534637, -2003.8795140173575, -1994.9540685754012, -1996.1786746228327, -1993.7234848440594, -1994.3846432726132, -2000.3851050024477, -2005.3126743494079, -1992.472402988533, -2022.774099259595, -1998.9807273565784, -2003.1473930892041, -2009.9325858512282, -1991.7533465768672, -2002.4134803973334, -1993.3932693412933, -1993.2464717287999, -1992.4907217117034, -1988.919740044846, -1987.2313588887023, -1997.6395596057969, -1990.0203759735543, -1986.1696418822867, -1987.1133328705218, -1988.756400392561, -1990.1796069252296, -1985.4983793022488, -1988.7586710591004, -1983.126452827973, -1995.0710968291146, -1987.5393747027651, -1983.1370849990124, -1986.6081643741236, -1984.5182906743482, -1985.9015006770105, -1985.871700458348, -2000.7391695856443, -1980.7713607499156, -1986.8553343658164, -1981.316865148026, -1984.1184587785342, -1981.7423900408335, -1987.622390838058]"
10,"[-740.178622495009, -1018.5659349777484, -1039.970028115049, -1141.6189968160745, -1328.398263881449, -1542.8315188216814, -1628.9371059335408, -1843.4594776803083, -2016.1467698341621, -2036.0537869645434, -2204.627238740524, -2377.704775512088, -2482.925829655608, -2735.979155127372, -2896.4623810517, -3127.743441328313, -3187.006894481413, -3301.252655459868, -3450.8085302799714, -3536.1924509456553, -3649.9657041783207, -2646.1350488502558, -2406.0234794975136, -2361.461591728636, -2348.9942077865962, -2289.3673052948434, -2248.7856140305635, -2217.8775619751214, -2203.1200210222014, -2195.24072954969, -2178.059279889319, -2167.4105801934556, -2156.318649740398, -2131.4830585730697, -2126.2830539976894, -2104.626180309238, -2108.1405456742427, -2092.0476730270766, -2087.866625482937, -2073.577805731276, -2081.583296962075, -2063.11162076634, -2058.9041430275415, -2061.3929759438583, -2063.151990037096, -2053.1614038324783, -2055.675026200598, -2043.9710353577375, -2034.4065044939753, -2052.103935916616, -2040.940834590342, -2044.4978895113513, -2042.162447561915, -2033.521222253672, -2039.2829106544684, -2030.9073364396506, -2027.8577765639332, -2036.9536168130896, -2028.7059980809922, -2025.0908242641804, -2021.3466125708505, -2021.1598082927353, -2026.6837176804445, -2011.3445005865221, -2026.7386477360915, -2044.0279923590438, -2011.7738921400958, -2006.3985958490032, -2013.5636734347377, -2014.8805166307786, -2007.8130080936962, -2009.8756387691378, -1991.313739947731, -2001.1426191797148, -2020.816735468969, -1990.3225734709793, -2006.798715614695, -2001.3099406590027, -2006.4936557189928, -2003.7019724677489, -2000.5817951172205, -2001.521906954922, -2008.596220822331, -2002.6626150417474, -2003.3989776195383, -2012.8096672549516, -1999.3567890138418, -2004.698469576923, -1996.6757881624428, -2002.7116040728874, -1989.463622056904, -1999.6578422580565, -1999.970863379248, -1982.5383006838933, -1991.5760328974666, -1981.9125522179336, -1992.0229152558331, -1992.801376258213, -1978.608267094552, -1980.304673015806]"
