agent_ID,returns
1,"[-4680.331887215983, -4531.6705777607785, -4007.7784384362094, -3544.8929256891583, -3162.6242138639973, -2447.7242028273795, -2223.9168952772748, -2173.2302355889124, -2148.8125159170945, -2132.738969154219, -2121.3779999023973, -2101.772343712504, -2091.635995559216, -2087.4674523290755, -2066.6119576300393, -2058.355027811789, -2047.6443305593662, -2038.516726330296, -2041.0445736698389, -2038.093325847656, -2031.3494943548192, -2030.3973600222903, -2024.8735374923974, -2021.3242522341225, -2009.6416837727465, -2019.6146923891063, -2010.9550513932486, -2006.2556983750349, -2004.2164206192076, -2013.6082735317066, -2003.9272363517491, -1996.8986903477717, -1993.8287864762378, -1995.2682846526645, -1993.7864680710118, -2000.2708105195697, -1996.8359395455457, -1993.285498600588, -1989.2718845567, -1989.332099637962, -1989.657548814459, -1985.292284025, -1990.2462954366777, -1983.820241317811, -1985.768310700222, -1985.1977820788527, -1988.8117760942632, -1984.7392639655177, -1987.6639125713925, -1986.8015743265646, -1987.519074827176, -1992.870381264761, -1997.7271165482555, -1991.1992586217798, -1988.5472687568295, -1983.6607457184796, -1983.0620002646845, -1983.8535650202075, -1986.7983396528305, -1982.1637513956775, -1978.9463218793405, -1978.2052958372321, -1984.0467713485382, -1998.3527998731552, -1986.805202734576, -1983.1905013988414, -1979.958702451262, -1978.3274331536418, -1977.5789160174456, -1978.5138638533065, -1981.3598668660916, -1976.6799034069888, -1978.9637376900635, -1979.4287892169075, -1975.8342063111745, -1974.618774980322, -1976.2339028838278, -1983.3627644097378, -1974.1224833777742, -1975.002741072829, -1976.7146008296313, -1970.2827325962899, -1977.687950756751, -1986.7778211641976, -1989.1128587007086, -1981.9535841930274, -1975.627147575478, -1976.9819678448093, -1975.8000052588775, -1984.369342884562, -2014.7174150260723, -1980.712314359925, -2001.8364824790597, -2006.6952853657513, -2003.4314997487368, -1988.1571879731628, -1985.5019646382418, -1980.6831306389606, -1982.7364814019934, -1986.0480278404566]"
2,"[-4527.584501301178, -4640.545134699268, -4199.53177505446, -3250.9873614882763, -2649.32837640966, -2370.8856935853605, -2254.3088242306735, -2196.022596589095, -2181.666457774385, -2174.8824493801803, -2173.792135307128, -2169.6133533056013, -2140.30696592625, -2113.06989118987, -2105.847705349517, -2094.266125695655, -2064.7198466731566, -2059.5986821437, -2048.0523643206034, -2051.088715208541, -2038.249178144975, -2039.8277786824044, -2038.2403048800809, -2028.8535216711434, -2031.4091967816667, -2033.0432918274234, -2022.4798138298706, -2030.742539148639, -2019.58559421821, -2017.2237973412998, -2013.3364421170386, -2012.0226937348943, -2003.802878789234, -2009.341034146216, -2005.651738992147, -2010.4306329136955, -1999.9914969621013, -1992.1347374881093, -2003.9450915006666, -1993.6714124325883, -1991.0006239330587, -1998.170142827753, -1988.020015480121, -1989.0513930941368, -1985.0525947702063, -1983.5542950959186, -1980.6352180659574, -1978.1810564811321, -1982.009786001588, -1983.0469451330694, -1980.5098724893976, -1977.4256990181325, -1983.8018969618417, -1980.2286700988354, -1976.4448519939917, -1986.8914885551533, -1976.721214798874, -1977.3880650815177, -1977.3884873517666, -1978.9463533246521, -1980.6960034476722, -1977.572084381538, -1977.1111903495978, -1978.1822964524551, -1975.341708228876, -1973.2321747796027, -1982.7446994076379, -1977.0590866424918, -1973.693575213322, -1984.5406833634327, -1976.0945689939408, -1975.2040129050613, -1972.2966651261893, -1977.2831918535885, -1975.9435729132858, -1969.0131038470877, -1972.6029161962656, -1986.4009094553605, -1975.6553239180598, -1980.109596942177, -1975.4991601720112, -1974.6569005422764, -2017.771852758811, -1973.8625895564523, -1976.4873145923543, -1979.5367356318416, -1976.9015641522635, -1975.9810238995503, -1970.2116998964973, -1968.7528073604904, -1977.9557129016132, -1972.547780038294, -1971.9694517714436, -1992.100678024653, -1970.7599143860677, -1973.9570176443074, -1972.3511952611457, -1975.599698910683, -1975.716927630179, -1971.2547773105318]"
3,"[-5459.487544489397, -4539.759553532025, -4372.2368797979, -3557.388356166189, -3205.9073788358346, -2538.1637831562734, -2338.8390642019385, -2254.142326332579, -2222.350056546202, -2181.5831652290053, -2136.8729215121666, -2125.038550932888, -2166.7822607129506, -2135.0963856815774, -2076.6629637000224, -2104.3206523725876, -2061.798916050388, -2048.638517408026, -2057.504622880276, -2041.1774970571516, -2037.0895802936145, -2038.4375284585471, -2031.9381558577509, -2026.991009253287, -2033.7032735172481, -2026.8660399942623, -2021.988502828576, -2021.7361294091022, -2016.6748175257665, -2015.9144039618207, -2012.7584743937105, -2016.979381796039, -2008.6448879315194, -2008.8403249095263, -2012.0851578350712, -2006.437960826844, -2005.7592327481682, -2008.3877707613537, -1998.6432147156097, -1999.4545089401608, -1999.4875025563404, -1993.9073156756, -1995.6725869105792, -1995.1070283327904, -1997.2450295040535, -1992.139043456077, -1992.3436112652414, -1997.3260590134362, -1994.3859088233635, -1989.6829986381083, -1989.967016654254, -1984.8881984209825, -1993.238081102457, -2020.0498643007243, -1993.5864661540973, -1990.7907674088462, -2002.9580126125984, -1995.783073935465, -2029.9143156363623, -1998.5551489299207, -1985.1681226723094, -1990.0176391316413, -1988.7600794955742, -1985.75525803932, -1988.3284578056691, -1980.980560854962, -1998.130153250371, -1985.1861689492198, -1982.3395453435833, -1987.3822393151459, -1979.3729377350699, -1984.7569614765075, -1988.774370923251, -1988.1779047982543, -1982.093774693523, -1984.2910642006457, -1998.3162655207173, -1980.6408689153864, -1988.044300892981, -1979.42344971223, -1983.5964415934027, -1979.9711432879517, -1978.0634129261005, -1983.3911505950073, -1990.129831790959, -1978.911091235851, -1991.8746012304036, -1978.767983372932, -1975.9958076352189, -1978.3561876465906, -1978.2474404282566, -1975.6843392532382, -1989.02034636073, -2002.558606352466, -1981.479716217569, -1987.5553670771856, -1991.1526380660093, -2015.84882678232, -2000.3142104442727, -2036.6865701174022]"
4,"[-5282.00354928146, -4696.678272083838, -4234.535146675596, -3111.1302952867063, -2726.81941025435, -2347.3534182428602, -2236.982115974695, -2172.2387236201735, -2138.21226607733, -2117.462481082844, -2112.8304552464992, -2096.40085198409, -2077.822302172127, -2063.5133846722624, -2048.8690948899552, -2041.3070785711702, -2041.1437051127193, -2037.140339785655, -2028.674979958503, -2035.5055630765708, -2022.0322429128416, -2018.4930515220092, -2015.1182673219605, -2008.8240669305287, -2004.4305068307656, -2006.6778468644732, -2008.5840972246035, -2008.692169670781, -2002.517421347869, -2000.8920258286203, -1998.8478007378492, -1997.3727778447108, -1988.449555929332, -1989.5859439739058, -1988.0138477409241, -1994.1778080319193, -1985.4011734524727, -1986.1451171619772, -1984.7822150964357, -1985.756958863462, -1986.6899289935066, -1990.4128017324683, -1987.9070363762596, -1984.8719438343487, -1985.1384382300648, -1981.3127035903087, -1985.3290745711042, -1977.663328446828, -1982.041638478957, -1978.0871691813604, -1979.0102176327898, -1990.5771478020442, -1980.5402472806986, -1984.7449374178518, -1990.4347760075927, -1995.4565453433447, -1985.5587748699422, -1976.9241398009538, -1991.2276808291924, -1998.3212445223644, -2006.4226367579388, -1997.2944262719413, -2002.104259696401, -2002.7807918483738, -2015.568803790667, -1998.9681213268952, -2011.187619350482, -2001.9009396249223, -2011.1668810801584, -1984.0500522967902, -1986.2807275949974, -1993.0504342639042, -1994.3176202252123, -1997.1076005600157, -1992.8161281906237, -1988.1557503803606, -1996.5561743357764, -1999.4135530704425, -1991.562359764397, -1973.5147557404216, -1985.7210399929425, -1987.5579672170788, -1979.6589816511369, -1972.5815960271518, -1974.248277784111, -1973.0895878372608, -1989.575772112703, -1975.139915713729, -1973.4615559758045, -1972.9257268321064, -1963.5855995729746, -1968.5868858361123, -1968.9638262971653, -1970.9572246960836, -1977.2872069668185, -1973.4011787570448, -1976.712836897195, -1962.7640741512166, -1967.4178178914924, -1977.655720713698]"
5,"[-68989.2903481043, -68915.83558797059, -68872.73426702933, -68951.28451316903, -68965.0296021144, -68899.10321306466, -68810.10482158687, -68779.18622967911, -68886.9452553467, -68831.33954986466, -69034.64982682801, -69050.29457284507, -68997.98854367482, -68860.72054416909, -68947.00979507864, -68872.19274965674, -68997.06374572474, -68940.16541711827, -68869.92894931667, -68846.61490711194, -68810.11984677262, -68860.17733234183, -68883.85746423794, -68890.61891848984, -68847.03205853692, -68966.30581051965, -28043.557652448264, -8482.163392686949, -4960.025866774316, -4872.753119903049, -4812.984529500404, -4690.747109954573, -4892.26948266131, -4871.233709714569, -4967.959025491621, -4994.933177173238, -4961.95089320771, -5130.163928279729, -5039.486294619244, -4853.650153204339, -4534.860463432364, -4464.499982119946, -4724.1663334247505, -4009.3306854316716, -3625.9459258235884, -3332.6666253529675, -3128.5199278374125, -3004.0224648176873, -2734.4643226149724, -2514.5023725254696, -2278.7551438102796, -2177.7578046447024, -2130.1415827985975, -2106.833665696397, -2086.7293281310613, -2070.347338682276, -2085.1828843515846, -2093.6196729003136, -2084.6272382249526, -2096.6427619343203, -2069.504091844755, -2045.6378290090722, -2100.95757003198, -2092.8279598228773, -2048.764699954461, -2053.420492194234, -2058.791182433177, -2031.5071078712458, -2036.8737584946457, -2018.5229624458616, -2033.656664157352, -2031.7982446238873, -2037.7925844230695, -2021.9211843314356, -2031.3410690539217, -2013.6815086470515, -1999.9501045897723, -2020.9863959700658, -2003.444967450173, -2022.1269587527881, -2017.0794833785003, -2023.044967777778, -2004.27494051839, -2013.318963213298, -2011.338683371779, -2007.429743449883, -2005.0110163913491, -2010.7540791559827, -2018.2790567499192, -1998.6532916583778, -2009.29893595418, -2002.3564402948136, -2009.4080432702901, -2023.4024345002524, -2034.1310621585314, -2016.6885011310117, -2004.9767074583144, -2002.3812546923054, -2005.1477776111637, -1996.7885619002686]"
6,"[-68854.97423873046, -4431.315607972786, -4388.186151968574, -3513.3629568728425, -3008.7817406927716, -2451.3055572747407, -2425.963091744556, -2222.4867308571243, -2173.335826713155, -2154.9610164285964, -2139.779458119616, -2132.985119648342, -2120.561103565483, -2106.292502551926, -2107.4898647652462, -2084.895376124939, -2090.3202750727323, -2095.329247144369, -2078.446481022558, -2062.8281562840752, -2074.7462338194196, -2062.9155144636366, -2077.426340432814, -2055.9870066063554, -2044.0266928871274, -2055.781835626058, -2037.931157925581, -2044.2500150120607, -2040.6136462580487, -2041.8500281487172, -2047.1048646143865, -2024.8825950710864, -2020.161394121514, -2020.8748135601438, -2014.1910594851297, -2023.4781929762944, -2019.0516549796357, -2008.0314966882922, -2014.3206988558109, -2011.7967417096188, -2015.7456188830922, -2013.3813826445714, -2012.337105459866, -2011.0112516024874, -2011.8507643742453, -2011.7177694959335, -2012.5376121808288, -2012.531345411464, -1997.2819376895861, -1993.2997939690717, -1998.6481225447944, -1996.2108834921173, -1991.5995290233482, -1989.1326498254766, -1999.2016895706556, -1993.8309637678087, -1991.4078912325765, -1987.3352286641907, -1989.4388918435163, -1988.3661149034747, -1991.0285482825327, -1984.2053617931344, -1985.7648444699573, -1995.9683955765759, -1983.4126342940783, -1991.339207545183, -1983.4461616831031, -1987.4718331097954, -1982.0981321846243, -1986.7322797255886, -1980.4647713568245, -1980.825149250315, -1982.37018107224, -1983.893363283658, -1981.7163246192972, -1982.433664762606, -1981.9000286642301, -1982.2859643849404, -1977.2350477342404, -1981.238200569937, -1981.2123159910657, -1981.8436339912637, -1976.4135537496454, -1977.8277570855314, -1981.6678476409734, -1972.0801729645123, -1973.8571949105642, -1982.1313693856782, -1999.7916649930942, -1982.4420919869917, -1972.7144818164006, -1977.6579416724853, -1978.633537187084, -1978.0182836569454, -1970.358487911538, -1971.8249858272777, -1970.9817204742503, -1976.5388875175695, -1974.226244579058, -1972.5414332278324]"
7,"[-68837.50741958745, -68936.08100629874, -68905.99346412322, -68944.8429040119, -68980.57887460165, -68917.4227725524, -68916.98969666823, -68942.51822536564, -68936.90640920961, -68856.19251766404, -68838.93402228405, -68930.5933080899, -68926.2256156804, -68878.6519423, -68955.47939365359, -68926.54632655402, -68787.21091511144, -68848.1482134393, -68960.50564104634, -68977.27251090086, -68891.96965895545, -68874.90174274382, -68938.46978526648, -68921.60102403433, -68934.8698518927, -68869.26556777528, -68917.53659515933, -68863.5303910081, -68923.6943325118, -68879.89222537415, -68913.05353835366, -68873.28563031116, -69021.01947927373, -68978.09137929491, -68933.34200171492, -68905.72454198649, -68886.50744613247, -68987.20590143054, -69010.7126339133, -68885.03398693308, -68898.2336196764, -68789.90924600589, -68941.46118629133, -68807.45106010245, -68870.32711679378, -68901.905491979, -68913.6297391851, -68778.58071613568, -68883.29623162425, -68908.35169857542, -68825.04159148557, -68980.31780693191, -68868.15584086344, -68981.03107252085, -69033.9826362144, -68884.30476918464, -68838.13612811416, -68934.32305591746, -68868.52684329987, -68885.25088104802, -68744.3991236869, -68800.45336120728, -69007.67777704829, -68895.34372287885, -68908.45795272107, -68911.78129628686, -68969.05841032889, -68820.14156403366, -68871.50084676067, -68968.78684160874, -68912.88217285888, -68975.14787963769, -68987.91817448588, -68800.84656240113, -68850.04565571198, -68989.68912590005, -68885.0372566169, -68888.89337104879, -68904.72054809109, -68861.09947796742, -68863.75785737262, -68887.81846262225, -68957.49763077627, -69036.71602756594, -68825.89752178153, -68862.24428885567, -68855.03621031021, -68814.10639120582, -68895.54824177375, -69015.67037471713, -69015.96954750195, -69009.65148641917, -68922.10167506996, -68861.04641801638, -68845.80913276521, -68838.40761807706, -68903.33475173096, -68969.97550645337, -68956.07340491044, -68950.6239418714]"
8,"[-69020.95615367712, -68865.48673839595, -68898.44378167223, -68842.33772512095, -68950.86291633981, -69041.235421418, -68937.29593341006, -68971.67411769589, -68940.8501356459, -68869.1396216812, -68696.6687456134, -68898.9745264003, -68972.22283661718, -68911.40870967117, -68801.93698284854, -68909.50557002756, -68817.26952529393, -68941.65067387038, -68918.8111343313, -69010.04188117693, -68949.90876698446, -68841.88067751731, -68784.04503831988, -68996.42785033624, -68901.421974922, -69001.11509547656, -68869.32395013665, -69008.49178158701, -68877.46619084092, -68764.628018036, -68921.51135598253, -68855.52719594276, -68874.86132158607, -68912.49727658734, -68817.66065305372, -68931.92602226243, -68881.91637751002, -68992.21003685868, -68944.71704393828, -68935.55228637141, -68845.66247370606, -68875.11288549607, -68859.83212377432, -68905.3385351975, -69004.01554549519, -68909.9785073138, -68812.00855175321, -68728.06953310102, -68805.05197268768, -68814.53398761385, -68912.05658789948, -68985.10489101926, -68916.7577379949, -68854.16034874032, -68843.57113966803, -68842.37228287254, -68817.35451376784, -68924.76793736077, -31816.928438860337, -20086.332102739212, -9229.402419944054, -5846.813695885162, -5039.547927707145, -4639.262832331469, -4362.433056926977, -4382.218397201498, -4520.968473690618, -4947.856784663702, -5399.902901020293, -5423.858538288438, -5437.886794976381, -5271.964460088491, -4599.603495841213, -4833.338214457298, -5179.147228620505, -5198.908511918521, -4537.216285667703, -5267.357172325492, -4377.698849720885, -4503.971238195774, -4506.335504512658, -5992.921916830067, -6179.778081672179, -6664.213379282581, -6790.362205068453, -5301.345672267503, -4998.152382877461, -4805.240185548489, -4360.402621314209, -4519.040453835708, -4524.461638008215, -4343.175821596228, -4322.3221181784, -4326.846263052938, -4336.218086400396, -4323.547249089148, -4331.198912386664, -4344.940039406488, -4333.713731955931, -4380.226196025997]"
9,"[-5815.066420486676, -4777.66577062234, -4174.702114099288, -3005.1222137876744, -2611.994800216148, -2348.2743519588166, -2240.3241984831748, -2203.0760185602476, -2189.2006845102696, -2150.2264673164527, -2154.6107721114895, -2163.3000059071137, -2160.124625000764, -2114.252552801664, -2113.512093598978, -2084.87887918434, -2079.3231650004345, -2069.9030127120827, -2079.769442588744, -2073.052795866017, -2075.8569435262234, -2065.6389791413735, -2072.0491416719665, -2064.913186705124, -2050.4242402301443, -2044.1461809847553, -2044.4108594821932, -2050.2989990437773, -2026.4567104418472, -2023.7915181237713, -2024.620699117183, -2023.9219495202024, -2011.5465924597042, -2005.067848517719, -2006.9718197577351, -2008.0231140417848, -2005.1111622884423, -1996.2908232522154, -1999.2465667846184, -2004.311546617899, -1995.6518104723493, -1994.100393006663, -1994.6761590817491, -1991.094616884158, -2010.269732069038, -2003.1894955910213, -1992.0776669958357, -1995.8906933300025, -1996.4248869116298, -1992.4260857821157, -2011.3214162750712, -2007.6600084966135, -2022.30407856907, -2026.78287562975, -2023.4666291655644, -2028.8325114033364, -2028.6250060983984, -2007.8189105533065, -2031.2660581533537, -2010.3997764108578, -2016.665134057031, -2032.2574951357149, -2017.9359496969987, -2019.2249988235426, -2016.410400897795, -2008.1778964463276, -2020.5844071444822, -2058.9996140757694, -1995.5920159276268, -2013.850945408017, -2008.758088500983, -2002.1148842773034, -2006.7263931666803, -2040.8138214594228, -2026.4158648522034, -2019.5776066996386, -1987.7652593001503, -2008.2180926330777, -2008.883294768429, -2012.9180345472755, -2001.3441327111573, -2000.7019108973896, -2017.6612740048959, -2023.4502773164286, -2014.8253498047663, -2026.7747807726307, -2018.5292046777965, -1990.96810283276, -2050.4522780054144, -2016.1899300161465, -2013.305182846353, -2034.8800207370189, -2045.2399263065174, -2050.2480110247543, -2037.1127225877397, -2025.5128795240569, -2019.4841031507378, -2024.9664113990589, -2034.755914547834, -2033.4766155872408]"
10,"[-69010.91456951466, -68856.40685483544, -4580.19235544312, -4477.189132213934, -3989.589756491711, -3299.5985823377277, -2769.5926132104323, -2537.4603768552415, -2409.328305580283, -2362.1706624193157, -2292.121011920316, -2255.6898027398147, -2147.7953868675645, -2130.577254573917, -2107.467719100155, -2095.8590695284747, -2077.275745762295, -2066.8061530736463, -2055.2500246952573, -2045.0530071090905, -2047.2589367045687, -2039.7418947324788, -2030.7209435212214, -2032.0202011626936, -2027.7682366884708, -2028.5783833930766, -2020.1422784589724, -2012.850305137836, -2010.5340711180183, -2016.5359832971876, -2009.9437251445904, -2008.9731137356723, -2004.3749421125062, -2003.6361011723268, -1999.9119250205947, -1996.9656336963228, -1997.206418879312, -1995.3771606266687, -1991.316952052795, -1986.4115926212864, -1988.1188442839552, -1985.613697484887, -1990.356892609517, -1985.392132258493, -1987.6085238997227, -1985.1709151972232, -1987.993162653773, -1986.1831435865877, -1983.7759355994824, -1984.2650909153153, -1991.5691854083784, -1985.3296907807328, -1982.3198777074501, -1984.7298709974596, -1984.1599210847253, -1976.7305488812103, -1984.1961464434542, -1985.3609855098703, -1989.000422112828, -2010.0075349580009, -1997.4082113609072, -2007.0845885083759, -1985.1581180148698, -2014.4638815950739, -1992.632162116977, -1999.905819408297, -2018.2908491625544, -1998.8110785599663, -2025.9131215823368, -1999.9352099553048, -2002.0299488913515, -1995.3925472849269, -1997.4024520332946, -1976.8679197171425, -1981.207731412469, -1980.551181421247, -1986.2034951556723, -2006.3141247881538, -1996.1154348823559, -2002.6939732618753, -2000.0443254174902, -1994.8969851497225, -2002.6815236069328, -2011.6961194644277, -2004.6926867267032, -2000.0166708899974, -2014.5362751440239, -1992.3554541696474, -2003.405974193781, -1987.9237753737852, -1999.658342581353, -2007.8196166338055, -1996.6151749842022, -2022.3546290167073, -2017.2064684348427, -2001.642095410099, -2008.2987948997463, -2013.720176089651, -2006.785122664836, -2007.2158957561012]"
