agent_ID,parameters_ID,stockout,CV,order_cost,mean_gap,time
1,1,5,0.2,80,0.02201589170311632,15.915128882726034
2,1,5,0.2,80,0.02237608816272163,15.867097767194112
3,1,5,0.2,80,0.06004095918600361,15.871227451165517
4,1,5,0.2,80,0.051877868643589474,15.879131265481313
5,1,5,0.2,80,0.03491784039502912,15.82653755346934
6,1,5,0.2,80,0.02176768931336729,15.826696133613586
7,1,5,0.2,80,0.06998206224875939,15.766758064428965
8,1,5,0.2,80,0.03070085058846038,15.825477266311646
9,1,5,0.2,80,0.02240597440184415,15.813893334070842
10,1,5,0.2,80,0.024009500191140933,15.829977683226268
11,2,5,0.4,80,0.05166045697291159,15.847191933790842
12,2,5,0.4,80,0.07068139309595445,15.857463320096334
13,2,5,0.4,80,0.01577522168474376,15.820532035827636
14,2,5,0.4,80,0.022626118420408275,15.899162050088247
15,2,5,0.4,80,0.026048528710101687,15.908806399504344
16,2,5,0.4,80,0.020873078848975473,15.90017910003662
17,2,5,0.4,80,0.06994481211223899,15.94912503560384
18,2,5,0.4,80,0.020299636851185864,15.84698101679484
19,2,5,0.4,80,0.02342725269372785,15.820881668726603
20,2,5,0.4,80,0.010372898823010615,15.853790497779846
21,3,10,0.2,80,0.03353047908681795,15.929711019992828
22,3,10,0.2,80,0.03595278890801595,15.869764014085133
23,3,10,0.2,80,70.78757220845937,15.595976734161377
24,3,10,0.2,80,0.05525019642016547,15.850458951791127
25,3,10,0.2,80,0.02672145428200665,15.917122983932495
26,3,10,0.2,80,0.02965904884648802,15.862551101048787
27,3,10,0.2,80,0.07282440412259844,15.969768750667573
28,3,10,0.2,80,0.02515560535233494,15.851654819647472
29,3,10,0.2,80,0.041837572522278536,15.84359578291575
30,3,10,0.2,80,0.020879067101516803,15.8810444633166
31,4,10,0.4,80,0.04966011941558495,15.883586382865905
32,4,10,0.4,80,0.03663821422167973,15.859226882457733
33,4,10,0.4,80,0.022425030274685166,15.907992231845856
34,4,10,0.4,80,0.019983284200495693,15.8631671667099
35,4,10,0.4,80,0.012520549207822796,15.843197182814281
36,4,10,0.4,80,0.03165270108093408,15.883208469549816
37,4,10,0.4,80,67.64964283754713,15.649771384398143
38,4,10,0.4,80,0.014998794332730296,15.856745564937592
39,4,10,0.4,80,0.014583192191843616,15.874917697906493
40,4,10,0.4,80,0.037690861262917714,15.974692749977113
41,5,5,0.2,360,0.023235549194512848,16.029130685329438
42,5,5,0.2,360,0.04667652264255533,15.933642435073853
43,5,5,0.2,360,0.025172490350907017,15.89598978360494
44,5,5,0.2,360,0.038933729039166906,15.945507832368214
45,5,5,0.2,360,0.0425460270256626,15.840162452061971
46,5,5,0.2,360,0.024483346050643718,15.938656349976858
47,5,5,0.2,360,0.024994635402387055,15.879597318172454
48,5,5,0.2,360,0.03054182032639046,15.874232335885365
49,5,5,0.2,360,0.020887563535822266,15.927908766269685
50,5,5,0.2,360,0.015750238373790523,15.995295667648316
51,6,5,0.4,360,0.029895724532670725,15.905529065926869
52,6,5,0.4,360,0.017030834938441326,15.937874368826549
53,6,5,0.4,360,0.01633359786639155,15.89005081653595
54,6,5,0.4,360,0.015764431302435794,16.054035834471385
55,6,5,0.4,360,0.019903126619000663,15.857957283655802
56,6,5,0.4,360,0.05823188532395789,15.891699202855428
57,6,5,0.4,360,0.01912914541301646,15.830128586292266
58,6,5,0.4,360,0.014201548663195607,16.035525584220885
59,6,5,0.4,360,0.02235640271913651,15.992346080144246
60,6,5,0.4,360,0.0315741846919843,15.861823113759359
61,7,10,0.2,360,0.02331505129813913,15.932894515991212
62,7,10,0.2,360,0.05125512723018269,15.885872383912405
63,7,10,0.2,360,0.009731495078136438,15.946185497442881
64,7,10,0.2,360,0.03279939548394467,16.045247932275135
65,7,10,0.2,360,0.051947707639305674,15.879656553268433
66,7,10,0.2,360,0.023340105221693275,15.95598645210266
67,7,10,0.2,360,0.0220254867548239,16.03866576353709
68,7,10,0.2,360,0.013677718654916142,15.98735978603363
69,7,10,0.2,360,0.05661425052087711,15.738848932584126
70,7,10,0.2,360,0.022806478537600153,16.06082168420156
71,8,10,0.4,360,0.018616988629927007,16.03777075211207
72,8,10,0.4,360,0.055235277432050055,16.003849399089813
73,8,10,0.4,360,0.010974153240186814,15.970568350950877
74,8,10,0.4,360,0.033402813122255647,16.091105047861735
75,8,10,0.4,360,0.03042463539244393,16.025301416714985
76,8,10,0.4,360,0.031233844044382758,16.091186785697936
77,8,10,0.4,360,0.0430208958427549,16.075710050264995
78,8,10,0.4,360,0.019437934874917503,16.0386323650678
79,8,10,0.4,360,31.50714557077417,15.664158034324647
80,8,10,0.4,360,0.01585134218615001,16.189323218663535
81,9,5,0.2,1280,0.02379934666714182,16.05053794781367
82,9,5,0.2,1280,0.029944776588906038,16.01847678422928
83,9,5,0.2,1280,0.0366290549449734,15.92796045144399
84,9,5,0.2,1280,0.05199839919554789,15.903594116369883
85,9,5,0.2,1280,0.025920770301869213,16.079492000738778
86,9,5,0.2,1280,0.04141341098961969,16.067906785011292
87,9,5,0.2,1280,0.04521778516432751,15.89145075082779
88,9,5,0.2,1280,0.07024509382614483,16.03089056412379
89,9,5,0.2,1280,0.06192223833981757,16.089846368630727
90,9,5,0.2,1280,0.007892697815656234,16.133204782009123
91,10,5,0.4,1280,0.04433762463964496,16.189526001612347
92,10,5,0.4,1280,0.04240265734905411,16.08673681418101
93,10,5,0.4,1280,0.05545606542798673,16.11245429913203
94,10,5,0.4,1280,0.01602769276043536,16.046858167648317
95,10,5,0.4,1280,0.04237418539819637,16.092036966482798
96,10,5,0.4,1280,0.051423748703873305,15.963602232933045
97,10,5,0.4,1280,0.03223963647987787,15.930915800730387
98,10,5,0.4,1280,0.030551420269559183,15.956578401724498
99,10,5,0.4,1280,0.022492004801559894,16.080437950293224
100,10,5,0.4,1280,0.03876999361897382,16.054202564557393
101,11,10,0.2,1280,15.979929559430989,15.89397551616033
102,11,10,0.2,1280,0.006901479202210734,15.937197717030843
103,11,10,0.2,1280,0.042709652561655084,16.002726582686105
104,11,10,0.2,1280,0.03607817993907067,16.000820449988048
105,11,10,0.2,1280,0.06180899531039131,15.928730734189351
106,11,10,0.2,1280,0.08909777662066075,16.010267082850138
107,11,10,0.2,1280,0.08305812425272785,15.950844899813335
108,11,10,0.2,1280,0.03989668963367055,16.05565265019735
109,11,10,0.2,1280,0.04495194762114855,16.10766884883245
110,11,10,0.2,1280,0.0318633054183859,16.052221882343293
111,12,10,0.4,1280,1.4345099591131882,15.769497799873353
112,12,10,0.4,1280,0.049085833642297357,15.95510223309199
113,12,10,0.4,1280,15.930655539144944,15.818179599444072
114,12,10,0.4,1280,0.02892971051827706,16.121735819180806
115,12,10,0.4,1280,0.04986068308446096,15.96304284731547
116,12,10,0.4,1280,0.008820325273818892,16.109150767326355
117,12,10,0.4,1280,0.06940361171347799,15.944752248128255
118,12,10,0.4,1280,0.043796612680734114,15.886652052402496
119,12,10,0.4,1280,0.005342573956792972,15.948961317539215
120,12,10,0.4,1280,0.04710033609484404,16.086400131384533
121,1,5,0.2,80,0.02475176956270666,16.38223388592402
122,1,5,0.2,80,0.0624052799199135,16.18466036717097
123,1,5,0.2,80,0.030679728615649653,16.179432050387064
124,1,5,0.2,80,36.643276590975056,15.89869283437729
125,1,5,0.2,80,0.0323054511490319,16.130295650164285
126,1,5,0.2,80,0.08371840317354548,16.133526468276976
127,1,5,0.2,80,0.02028531930928352,16.198761598269144
128,1,5,0.2,80,0.026891176063612143,16.149727420012155
129,1,5,0.2,80,0.0345695553046305,16.188841001192728
130,1,5,0.2,80,0.0340940969676253,16.143309517701468
131,2,5,0.4,80,0.04749587626020961,16.22812393506368
132,2,5,0.4,80,0.01284398232093948,16.15346870024999
133,2,5,0.4,80,0.034372985759032915,16.198962100346883
134,2,5,0.4,80,0.02460085069547892,16.151098819573722
135,2,5,0.4,80,0.03160124165011071,16.099548149108887
136,2,5,0.4,80,0.02061924237973145,16.24077235062917
137,2,5,0.4,80,0.014479269329032672,16.14518121480942
138,2,5,0.4,80,0.01943012574771234,16.185594050089517
139,2,5,0.4,80,0.014318614175666685,16.19365311861038
140,2,5,0.4,80,0.03264656476065819,16.187855799992878
141,3,10,0.2,80,0.02693238500788021,16.20098831653595
142,3,10,0.2,80,0.0348991031600427,16.17002905209859
143,3,10,0.2,80,0.02289640293259678,16.225549932320913
144,3,10,0.2,80,0.07089566190813326,16.17878694931666
145,3,10,0.2,80,0.027860156460232998,16.16554040114085
146,3,10,0.2,80,0.03241698701731159,16.18494718472163
147,3,10,0.2,80,0.05364788202180745,16.154267382621764
148,3,10,0.2,80,70.7883937661462,15.911122032006581
149,3,10,0.2,80,0.024248556806310707,16.194045368830363
150,3,10,0.2,80,0.02633759217545565,16.184928198655445
151,4,10,0.4,80,0.01886448076150166,16.195122015476226
152,4,10,0.4,80,0.07772384965033316,16.14076646566391
153,4,10,0.4,80,0.031099548566941294,16.180297100543974
154,4,10,0.4,80,1.2553070160485984,16.131279603640237
155,4,10,0.4,80,0.06724821056231406,16.022179635365806
156,4,10,0.4,80,0.03399933737882938,16.001139863332114
157,4,10,0.4,80,0.020761298470267302,15.968276500701904
158,4,10,0.4,80,0.03669389732894037,16.006315716107686
159,4,10,0.4,80,0.04401089249911448,16.028438965479534
160,4,10,0.4,80,0.015736480232326554,16.082214732964832
161,5,5,0.2,360,0.019440057001224437,16.063729882240295
162,5,5,0.2,360,0.023132205733273004,16.031640148162843
163,5,5,0.2,360,0.04290697224598288,16.042263634999593
164,5,5,0.2,360,16.321085079302534,15.775853749116262
165,5,5,0.2,360,0.026746153735258613,16.04202328523
166,5,5,0.2,360,0.03457696711577499,16.01628483136495
167,5,5,0.2,360,0.02108413057219841,16.02781759897868
168,5,5,0.2,360,0.03271535607388545,16.079489064216613
169,5,5,0.2,360,0.01623411179282118,16.019736834367116
170,5,5,0.2,360,0.05263754436798358,15.996104383468628
171,6,5,0.4,360,0.016667520434996135,16.10206595261892
172,6,5,0.4,360,0.017117958244052354,16.06796003182729
173,6,5,0.4,360,0.016908294557070328,16.155846432844797
174,6,5,0.4,360,0.02826356995050104,16.20117276509603
175,6,5,0.4,360,0.019364684826250717,16.085886136690775
176,6,5,0.4,360,0.03380464528685341,16.172443898518882
177,6,5,0.4,360,0.021542302301593985,16.149209332466125
178,6,5,0.4,360,16.185029879679387,15.803041732311248
179,6,5,0.4,360,0.03495224909552734,16.182399050394693
180,6,5,0.4,360,0.0264234500648124,16.160021932919822
181,7,10,0.2,360,0.07106364904821474,16.17015455166499
182,7,10,0.2,360,0.03948260889488165,16.085873997211458
183,7,10,0.2,360,0.04494550487472284,16.178433831532796
184,7,10,0.2,360,0.0321173574619525,16.116182065010072
185,7,10,0.2,360,0.022872514904946007,16.153691216309866
186,7,10,0.2,360,0.07108239022079955,16.209726917743684
187,7,10,0.2,360,0.04492766461479216,16.011381248633068
188,7,10,0.2,360,0.020958403156879832,16.178151547908783
189,7,10,0.2,360,0.03976967029746378,16.086421779791515
190,7,10,0.2,360,0.028941709878765765,16.122908600171407
191,8,10,0.4,360,0.012417797509433634,16.14741183121999
192,8,10,0.4,360,0.020431479492571524,16.11056458155314
193,8,10,0.4,360,0.028422034615162302,16.16489943663279
194,8,10,0.4,360,0.026326764404241202,16.165843816598258
195,8,10,0.4,360,0.021151982420221392,16.113528001308442
196,8,10,0.4,360,0.012188445713176928,16.077374215920766
197,8,10,0.4,360,0.036210170400257265,16.1257848183314
198,8,10,0.4,360,0.06135589602556928,16.127695167064665
199,8,10,0.4,360,0.037349878340324834,16.148894214630126
200,8,10,0.4,360,0.023073032895931034,16.135938799381258
201,9,5,0.2,1280,0.01388933294577652,16.166964983940126
202,9,5,0.2,1280,0.08533533947261734,16.122187169392905
203,9,5,0.2,1280,0.05954047190487639,16.157361634572347
204,9,5,0.2,1280,0.012279485904888022,16.136234215895335
205,9,5,0.2,1280,0.030728664995762992,16.14287848472595
206,9,5,0.2,1280,0.016857513010353237,16.530984564622244
207,9,5,0.2,1280,0.07622051648474891,16.682957283655803
208,9,5,0.2,1280,0.05024834081416657,16.718045167128246
209,9,5,0.2,1280,0.05766060943885636,16.62146449883779
210,9,5,0.2,1280,0.09760553972936205,16.564154386520386
211,10,5,0.4,1280,0.041593767326317775,16.665877517064413
212,10,5,0.4,1280,0.027315364959171407,16.62802309989929
213,10,5,0.4,1280,0.01772413525121016,16.644528698921203
214,10,5,0.4,1280,0.02124580543501618,16.624632132053375
215,10,5,0.4,1280,0.03574109786051165,16.601748768488566
216,10,5,0.4,1280,0.06692913990056482,16.494641101360322
217,10,5,0.4,1280,0.07223845733244726,16.574085768063863
218,10,5,0.4,1280,0.02079469505309876,16.644003899892173
219,10,5,0.4,1280,0.027852099332511353,16.67965583006541
220,10,5,0.4,1280,0.058345151299747135,16.55389831463496
221,11,10,0.2,1280,0.039546046223609216,16.64357514778773
222,11,10,0.2,1280,0.010895812649556288,16.67187861998876
223,11,10,0.2,1280,0.025382395484285458,16.628649000326792
224,11,10,0.2,1280,0.04354057118674362,16.617534852027894
225,11,10,0.2,1280,0.03726144762682795,16.665576267242432
226,11,10,0.2,1280,0.023499981066782086,16.654925966262816
227,11,10,0.2,1280,0.029914583302580705,16.656749518712363
228,11,10,0.2,1280,0.07286855761598804,16.68414810101191
229,11,10,0.2,1280,0.04073856930715286,16.593631466229755
230,11,10,0.2,1280,0.03811420324033567,16.625645784536996
231,12,10,0.4,1280,0.019919059068259595,16.61133238474528
232,12,10,0.4,1280,0.025506940438376556,16.71551700035731
233,12,10,0.4,1280,0.05240555556410371,16.638213300704955
234,12,10,0.4,1280,15.930426133307243,16.42496725320816
235,12,10,0.4,1280,0.030642641611413418,16.627774266401925
236,12,10,0.4,1280,0.048049974492606735,16.625883599122364
237,12,10,0.4,1280,0.05577285996803318,16.57698828379313
238,12,10,0.4,1280,0.03588525496365749,16.603157047430674
239,12,10,0.4,1280,0.03635394454040392,16.59571381409963
240,12,10,0.4,1280,0.05145502685868442,16.635560516516367
