agent_ID,returns
1,"[-791.9997820937643, -895.8274883306427, -1010.3701996412959, -1094.9594013879685, -1228.282782579187, -1373.016434279958, -1491.7345430282155, -1698.167458992329, -1871.5135268458662, -1649.4967307407373, -1608.4363973638717, -2057.266117979019, -2020.421467449185, -1967.4180064409693, -1985.3040684036848, -1960.527574012352, -1836.0124992060385, -1841.4172701022253, -1893.940056926017, -1923.6048370068675, -1999.1043983271406, -2048.283372978143, -2105.585265820746, -2147.337559056442, -2124.1373924099926, -2062.046542566143, -2019.4218732912893, -1986.6881744745424, -1974.377274696731, -1964.134968924592, -1963.814661426656, -1956.7265336951707, -1951.4477697642544, -1951.965628293105, -1954.0664369483288, -1955.3869527164393, -1949.865321691954, -1952.6242183843206, -1948.0342015013155, -1947.9455777708718, -1951.6191287234672, -1951.8503926350536, -1952.4059947699554, -1951.4976792738803, -1953.3170884251301, -1951.6456754569451, -1953.6840091800623, -1949.7453144689503, -1953.8942096881456, -1953.7277239863363, -1963.4115268757669, -1965.005316190024, -1997.0723785193231, -2002.2361444862345, -1996.026881648068, -1980.087915003806, -1993.1838153758706, -1971.6389607698209, -1958.309985279139, -1957.3581168245264, -1960.2160158196434, -1974.2646729424962, -1961.018972788518, -1993.4773443784043, -1961.8892226126272, -1968.7565877353022, -1972.3845337949992, -1972.4319282642593, -1979.620817885324, -1985.297407193166, -1973.9341382371783, -1964.2163423005138, -1973.1464567737705, -1970.9632928968815, -1975.0754367802303, -1975.4808405006004, -1967.4540464877036, -1969.227100353195, -1971.3504445929068, -1974.877831457682, -1971.8080496525208, -1981.8843852758603, -1980.7903399644772, -1982.478789366382, -1983.3561066916827, -1985.4840146027757, -1982.108060317111, -1977.4361285881603, -1985.8586137076827, -1980.5448932173576, -1978.3943487708925, -1997.062930853686, -1984.2200911636558, -1999.4673268216018, -1984.9791556423559, -1963.200255227269, -1964.0876942061163, -1967.7639055837253, -1962.0455412854362, -1955.9622933672792]"
2,"[-589.7450595813525, -753.6453601174488, -911.6677941651121, -1049.283653559666, -1204.120480465424, -1375.8621339191561, -1524.1438374028196, -1686.1066290136143, -1850.3051664881714, -1533.3539096172262, -1717.9627587502032, -2275.628885622281, -2140.929849343104, -2091.3681995520146, -2043.9815292092387, -1944.7624071506505, -1882.0318476234709, -1886.4319225263903, -1883.3230154277528, -1914.2178720389481, -1983.6209641681396, -2082.33001817892, -2129.5390024573203, -2102.603985478144, -2078.6902872110286, -2043.2094078390062, -2039.5871931915665, -2022.577975599649, -2015.6326795350071, -2015.1116249378479, -2006.805857483533, -2003.3616630490885, -1996.866823582477, -1986.2731925842218, -1960.8255454036196, -1950.7090465132385, -1951.0061528150752, -1954.3913283361928, -1948.3279085633508, -1947.2275368488622, -1949.2431994600272, -1947.1565710679201, -1956.8818007692662, -1948.2323964652512, -1948.7730954414985, -1951.2380299592046, -1950.3572450630488, -1950.6433187765404, -1951.7186848531724, -1971.7129795725411, -1959.0752290896519, -1955.0201404520853, -1969.324025955396, -1946.2759373367462, -1957.3661585662537, -1946.3936340037894, -1945.4821842818867, -1949.531017035467, -1946.393030944673, -1946.4145767767484, -1949.6304196654412, -1970.9861305090672, -1963.5798275628974, -1956.416438797146, -1950.7813287449924, -1952.1978949780232, -1949.749668499624, -1951.1212688093372, -1956.7215469141781, -1960.6011702148867, -1966.4442205057076, -1969.270706284011, -1950.3766441979622, -1953.6095467551215, -1981.8569927459723, -1967.9066805571308, -1989.2611820069897, -1989.5538917793858, -1972.557289667349, -1972.8948393935825, -1976.7000260967768, -1979.5798066280547, -1987.384952577005, -1976.29090151024, -1975.9069275307036, -1969.5059319438055, -1966.3056422980985, -1984.6805478984566, -1968.4787715120333, -1989.8878949146833, -1994.7587910586487, -1979.600115612148, -1989.6997637427758, -2008.1853397381035, -1998.9917851096068, -1978.6326943953366, -1988.8724109771313, -1971.9111513493754, -1970.3557074488294, -1954.987839704669]"
3,"[-585.5128353529536, -909.1789517086224, -963.2827709258952, -1108.2094566846902, -1242.091303082037, -1392.9481482222611, -1139.093722352222, -1665.1512610309196, -1825.0597488318876, -1777.861072270075, -2092.108365733383, -2302.0241046328338, -2492.8078610135817, -2376.5868926973967, -2263.3234613869636, -1963.1994476519353, -1881.9877165247449, -1956.9182649054835, -2008.617843857473, -2059.292937287641, -2068.073499086889, -2108.48191187397, -2150.4521156848964, -2141.092252280106, -2169.585847976197, -2137.681339769694, -2110.782719011884, -2079.9885099959392, -2073.7886618529274, -2047.641910799941, -2028.6200684815262, -2029.9855866238372, -2018.4614834827617, -2011.3450790166085, -2002.4697797255649, -1996.1860585922868, -1996.9210644899188, -1989.1858255884054, -1993.6198517259777, -1976.6505313093453, -1971.60962190941, -1963.9683156342198, -1955.1737378865337, -1944.98779804215, -1948.1535752866253, -1950.1310166484307, -1949.552689615589, -1952.6610481065088, -1948.9627025722775, -1943.2367966900263, -1947.6774564429395, -1949.9034576716085, -1946.8073904088874, -1946.919671482304, -1956.4368296276666, -1953.9702929705722, -1957.0115321562444, -1960.8603830024458, -1970.3551082126153, -1978.008656475334, -1965.6177009922471, -1967.1887522464106, -1974.0744462880932, -1974.068920173217, -1981.7095670295157, -2012.6137357306536, -1966.6405960457512, -1989.3841561251093, -1995.645127532564, -2015.6830309163367, -2016.5751709479277, -2032.115471622545, -2029.682027238136, -2024.9527590659177, -2015.1489740266368, -2003.69325981952, -1998.729054800359, -2008.9539880670907, -2044.5909312068277, -2037.7666592496305, -2017.813496273711, -2037.4514506988041, -2008.9165178479707, -2022.1013713407092, -2012.3275043210497, -2028.406103913416, -2001.7540756145247, -2004.408747135763, -2010.5442066834987, -1997.1122255356686, -2006.7701789984092, -2026.4847641176245, -2002.8993308693537, -2004.9560517809837, -2001.3253054634297, -1996.8214144394374, -2041.7984294491469, -2027.1775128446411, -2022.7809347061755, -2062.5752576538225]"
4,"[-779.8424860438233, -925.9110671033013, -975.484746043135, -1070.5556496875972, -1239.336768175679, -1382.0603626224975, -1539.8049189658618, -1684.179735856448, -1765.4852420995528, -1822.3579112025598, -2058.620419702738, -1992.2140874087029, -2000.0884466647458, -2101.5166264491813, -2094.818404020915, -2065.4669946609524, -1929.7102228194528, -1919.586596524143, -1904.6256149368132, -1936.3739123954003, -1977.427576012125, -2001.5189410243079, -2040.1060263809668, -2104.966400686051, -2172.873232283973, -2103.823355757609, -2079.1724865750207, -2061.3483085868174, -2027.1557287833004, -2024.4539803753858, -2013.392961042312, -2004.709176085269, -1983.7515175232957, -1984.1560949693953, -1972.6495425428648, -1964.8788626279957, -1960.27328332309, -1956.7263711615701, -1956.9220762907153, -1953.9932489759303, -1950.2275391590754, -1952.9450374827104, -1948.7356551335045, -1960.8014227209012, -1957.5182293145112, -1962.3407388380106, -1960.7525739425525, -1967.9660777365077, -1963.7358452279077, -1976.9213788293998, -1973.9722230605717, -1965.4875606086423, -1981.6503708026387, -1984.2475213707426, -1971.5490946195264, -1984.9344735109069, -1984.6069886389275, -1999.9144379412282, -1986.0453643190508, -1971.6154018296181, -1971.7998504911898, -1965.6447001852296, -1985.2566416963423, -1967.6059547673249, -1984.3755951829235, -1980.0229954534946, -1983.9133259456748, -1985.7127405076862, -1991.1529959791824, -1985.0748434123714, -1984.6921232802333, -1988.8883242674233, -1990.8209247774114, -1987.4426458559387, -1999.2669667795883, -1990.8362813383205, -1989.47208783075, -2004.2559666800003, -1990.4923091728283, -1986.3148265657362, -1983.4169569718422, -1993.207239618828, -1981.7800473319098, -1973.4373255358007, -1991.8139773290893, -1983.5904974469618, -1981.7173868645361, -1981.6867321024172, -1979.0088232775895, -2000.8028675228231, -1989.6839546043618, -2019.0408241697864, -2015.2939269653257, -1996.7898219866383, -2001.0413291117593, -2033.5653367441416, -2002.6605758905403, -2008.280978426949, -2009.1759764519443, -2009.8587079281779]"
5,"[-777.2919441355688, -835.6436337500047, -929.3782507669167, -1056.1472495027, -1251.7181493119408, -1246.3408037711654, -1489.0987948388042, -1628.4743661907642, -1838.6677978938467, -1801.050520756474, -1627.5437077188874, -1913.5977310962542, -2175.478005460014, -1944.1827775911718, -1839.2001002062204, -1904.6466544281377, -1979.4018862647772, -2048.32407416, -2031.5687446006057, -2050.755166766067, -2066.612428536267, -2151.6840667777574, -2299.5677921753795, -2261.832471141071, -2232.680672863683, -2157.0300379267824, -2126.860068619829, -2153.4287417211526, -2121.7281910961283, -2109.5278600378515, -2066.405081775887, -2065.670598742285, -2035.1625166879928, -2014.1402662030387, -2004.7545741387735, -2007.389329184304, -1989.2540590597216, -1980.072013872039, -1980.4617469885102, -1974.4432300730066, -1968.9662505654246, -1954.5795773702018, -1950.6315326224374, -1949.9895809254174, -1950.8062906703437, -1947.7057579485656, -1955.7791312569752, -1956.1927665481621, -1959.704081306105, -1947.6682928284824, -1963.8393783729593, -1953.7698269512262, -1962.8480017802794, -1955.282655138845, -1955.1693839094823, -1967.562642258108, -1964.4808173406511, -1957.7668985394307, -1967.6575236333379, -1969.618161141739, -1973.2200567817645, -2004.7747330046338, -1995.245264830223, -1989.5011377689248, -2002.862057756055, -1990.3952835203434, -2013.7461455909015, -1996.4636717301053, -2003.4184788688683, -1999.2678219704947, -1983.1280474961793, -2000.8494960016842, -1993.4173303686077, -1989.223652238457, -1987.4738847493902, -2008.6479698462556, -1995.080481848715, -1990.2851461855387, -2010.0723390587107, -2016.547698901103, -2013.3145073463959, -2037.8202341512977, -2020.3337927627067, -2016.8636535343385, -1996.0827934630631, -1989.9114671538853, -1986.4722230249877, -1999.254071036419, -1997.7672509117133, -1984.4884240419458, -1991.4042591545233, -1981.015394622911, -1984.8773228293749, -1987.7243624144025, -1984.4285761787528, -1985.8567407978478, -1992.6744678214275, -1984.6220040238545, -1964.5413919584573, -1971.9609315844875]"
6,"[-669.2807395174054, -816.772145849771, -926.6926739188452, -1058.1275013534366, -1217.169894573246, -1385.0786493868845, -1581.270431041947, -1698.7331812250266, -1775.7968720807075, -1744.8208561731187, -1683.4877304271042, -1814.7399390917155, -1942.9553362410702, -1847.4647028242293, -1778.6937392966445, -1830.6624198715656, -1849.208639166582, -1840.3527438923895, -1896.23583593457, -1930.1302742805728, -1984.7839212820163, -2083.076834938122, -2111.4225518231765, -2087.366811342935, -2066.1921603948326, -2047.9169662337517, -2061.72282804373, -2051.237172293414, -2069.6754485216074, -2061.848393624007, -2067.95490080985, -2051.1025029167113, -2023.4276627113672, -2004.4391120177347, -1986.5691823616312, -1974.6366526310123, -1986.1634758070982, -1966.378669786118, -1968.225464713501, -1953.8368744207773, -1947.3078097558393, -1951.88894860509, -1951.9662036215386, -1951.118111039355, -1954.982614361819, -1956.0178178426918, -1955.6531434057376, -1958.9528589828224, -1960.8222185390105, -1953.9925225317756, -1957.8870281937936, -1958.630639636186, -1960.8547026650538, -1957.8214974808764, -1951.7639993452922, -1951.9598100676121, -1949.6967932623645, -1942.6821456580074, -1948.0807815765695, -1945.4999811412279, -1948.5665315767928, -1946.2576987983084, -1947.2045858710821, -1944.438721985444, -1947.8766805083353, -1945.7143198812953, -1945.4269469993194, -1947.038881462687, -1949.173919096543, -1948.2762954049495, -1947.79181337674, -1945.913482175767, -1946.8551867417914, -1946.5808043173422, -1950.2074167306278, -1944.7995318294095, -1945.2664839467063, -1945.583658282286, -1945.1092260147188, -1940.1587810987776, -1945.866388614809, -1953.777265931917, -1942.1125852890718, -1950.5559380038057, -1949.2491317522233, -1945.4436754125288, -1950.6676028624552, -1951.1821993382296, -1952.4074897341277, -1956.4536646584736, -1952.9912115350785, -1953.0237751416228, -1953.3131449624686, -1952.247410926702, -1951.4497699600436, -1956.7364453971643, -1960.6305929429766, -1950.6620371861773, -1954.6387914273416, -1953.6982793287082]"
7,"[-69003.61935585001, -68829.39959740636, -68890.717791608, -68820.37601901124, -69002.34979139833, -68867.5721238955, -68868.18670013237, -68958.99738084356, -68798.80111595872, -68895.70935228915, -68966.44131727153, -68958.47356370957, -68854.42048465704, -68867.39494171341, -68809.34454796024, -68986.01146058222, -68914.89703189638, -68901.34672314812, -68855.63887346118, -68931.74116815857, -68877.84746954056, -69039.21399539772, -57642.76635634541, -21595.317227495885, -14149.92424565097, -3119.054243823357, -4159.113071126241, -4620.478484988176, -3974.998075137494, -4109.40747759192, -4805.979495205041, -5151.293065915002, -5273.466298264002, -5204.467318894336, -4824.841425190538, -4739.650154739543, -5126.65905646604, -4576.903882410964, -4369.394949967203, -4264.261364469474, -4225.897509676583, -3881.5657519815886, -4674.337350920299, -4336.525604251229, -4452.911512829182, -4588.063284628446, -4788.4300543020945, -4583.222855057982, -3684.2013600003725, -4848.531129196746, -4557.553730264526, -4736.179305720453, -4764.407433154505, -4683.004329981219, -4691.576940672433, -4676.829046662349, -4886.733302706046, -4830.388027585523, -4846.653675574745, -4968.415987439959, -4882.503433721251, -4902.396708569885, -4883.802411581703, -5159.527791191194, -2740.0575828340143, -2745.5968364491437, -2595.2112899581393, -4422.817563443336, -2126.0018782522634, -2110.2984542195522, -2085.4797707226066, -2056.204661950761, -2021.742494531373, -2021.6171092469078, -2051.7504999690404, -2003.1014598343681, -2000.187190142906, -1976.7893759413605, -1990.1251171904494, -1984.6866273230235, -1958.6201938813683, -1976.3941636180002, -1969.249493863702, -1960.607226677426, -1962.9225926318559, -1966.9959254316384, -1967.3381578193, -1962.1580242757227, -1959.2043500951706, -1960.7873774060008, -1982.347050200276, -1961.9618628491567, -1967.2830645971187, -1959.872939228238, -1953.8101543574846, -1990.9216746448058, -1981.7035292823828, -1963.1062960028796, -1958.4737682446219, -1975.998235786008]"
8,"[-763.4745701166735, -820.5521575084354, -998.0805640471185, -1140.729178405684, -1275.8412286674281, -1446.570589730817, -1412.3903668064854, -1569.380975452888, -1490.9564696408402, -1663.7648270863199, -1585.9815933769075, -2092.406412063017, -2480.220910665618, -2161.4603889946084, -1936.3374171588707, -1816.9670750194223, -1835.9770535113717, -1918.5376296792617, -1954.1423502364507, -1953.4467887021594, -1982.0740354923469, -2019.662314267054, -2081.7441071195763, -2134.440218370714, -2073.0715198606217, -2030.4640540333626, -2007.4107521121593, -2008.2344091942623, -2005.154824347157, -1997.3949691689788, -1977.180071452454, -1967.4220499697374, -1955.6372422244767, -1954.595041648151, -1954.8532304888413, -1954.563648309094, -1951.7535458176003, -1946.6638772584736, -1959.6424760675682, -1956.7620429722724, -1957.4647577699134, -1960.8270470030645, -1955.6807986770523, -1959.961941216929, -1956.6138285568445, -1957.5959806118228, -1958.2439121790485, -1956.183739610722, -1956.7076905496597, -1958.3993668235335, -1967.6787868558067, -1956.9646891769853, -1956.9999698656782, -1956.8990981029935, -1955.5075087535981, -1951.9622492231097, -1951.3565357246182, -1956.8028517287862, -1954.3805115708533, -1952.3764330936233, -1958.3115311600193, -1952.6395180307916, -1944.5005484907326, -1941.7753029179653, -1941.2139142668607, -1946.698694762461, -1944.840177131159, -1947.7735020638718, -1946.4603805929082, -1946.1978659870624, -1945.6230271299655, -1945.5222330943434, -1946.2640319233883, -1944.6657982875772, -1947.4764602753394, -1944.4333015415737, -1949.8824770547953, -1944.5118528166413, -1942.3332570040398, -1950.2936078762307, -1946.6030168270727, -1944.8714157714749, -1947.0043661459606, -1953.003008169729, -1958.1178070816036, -1951.8728829633299, -1948.0134359377312, -1951.0888465775627, -1944.6515852217437, -1948.7284636543723, -1942.7882628902337, -1959.884568403774, -1946.7680898690196, -1963.541614832745, -1955.772852176762, -1952.8919062723976, -1962.6719590401399, -1944.8947883183662, -1963.116092172876, -1959.3118337586338]"
9,"[-670.3407660431884, -986.7555857701764, -1039.9406857902936, -1123.6166730384593, -1291.1950625718619, -1429.7045627380517, -1556.4150242303879, -1672.4633190767113, -1257.2166096849744, -2004.3698287127436, -2162.418816324223, -2320.778148307977, -2487.040918691873, -2138.1375497229687, -2293.7771888120956, -1895.2993353466481, -1905.0610129066145, -1878.9385266003214, -1879.2603795078933, -2007.389808581444, -2085.615224267432, -2124.272564263688, -2141.195836461864, -2128.3303586969564, -2117.4633939847763, -2052.259028771055, -2043.096486029036, -2059.267651996526, -2042.738806623429, -2028.9014242886922, -2038.5591730990438, -2019.0220056632895, -1992.8650528191338, -1991.617668888005, -1977.1229557394481, -1977.5329118307743, -1961.9609796518582, -1959.557357490904, -1968.6965102309018, -1956.9453507441028, -1952.9696875031052, -1950.3844740431434, -1948.7075335901634, -1953.9710099369106, -1946.2297593984438, -1948.1073132121676, -1943.9902637055573, -1961.0444263080835, -1952.5340124076308, -1957.4922995873999, -1971.7446269610377, -1967.3747098706297, -1953.7885983570172, -1968.9080102217247, -1968.3874394836316, -1967.4361274627847, -1975.384448576119, -1982.774789551929, -1970.4391506012753, -1981.5897072762243, -1972.3453844419469, -1974.9200376385054, -1964.9971468593608, -1964.509057871823, -1952.2447724633616, -1959.697187508143, -1952.4002667084278, -1945.9277247105617, -1948.039417983812, -1951.1840337334422, -1948.7965587855738, -1943.7080342952745, -1946.2688461531316, -1947.5792638494406, -1943.4169163426327, -1947.4218762488372, -1951.0054238083662, -1947.9849059728083, -1943.2583155210498, -1941.7815768307273, -1957.6085340559207, -1968.0327781120357, -1954.5465006688044, -1955.5743792581654, -1951.5583863229115, -1955.9925024198817, -1954.5348289636017, -1951.4134395657668, -1957.1138182127088, -1951.716568726709, -1957.4377648076775, -1947.0683657891088, -1953.7559977265807, -1944.4050304302154, -1949.9520746116345, -1945.8248866859396, -1951.423364825963, -1957.4278366732858, -1943.7380059595237, -1948.3771068775163]"
10,"[-808.450085448939, -911.1348590879132, -1001.1418964785338, -1095.0174776546555, -1248.3790977562917, -1401.9994367028341, -1503.8923440607612, -1658.5754129630839, -1792.1608837700012, -1744.006516091758, -1386.8436608987042, -1625.848132102958, -2351.231978572087, -2119.8086382337624, -2115.322842309828, -2045.4520197717968, -1964.2907456747844, -1977.2313458143142, -1977.9275228390602, -1923.5129800134716, -2004.7889703202509, -2002.6430344946632, -2068.6168036026056, -2198.3439762432336, -2181.4393600444814, -2097.5463523303993, -2042.0528232591175, -2004.6282920036338, -1978.393280973337, -1966.9410531380502, -1963.894163311959, -1958.8130916490004, -1956.2086415840056, -1950.2100382687354, -1951.8961581295775, -1950.0848191155178, -1948.3578547747509, -1948.24275176448, -1949.1317409224264, -1947.3705258271966, -1947.540463631763, -1948.044829215723, -1946.365093525847, -1953.001759049522, -1948.1708760718657, -1949.0208751363164, -1950.1805636329948, -1948.8505833876468, -1948.7294054374227, -1965.7545745527805, -1959.1287087939402, -1963.1683540995925, -1964.617497235618, -1967.7391984126318, -1977.3109473672207, -1977.3898874374636, -1993.5142181434048, -1985.2062980737787, -1983.7268934716546, -1976.3288452367503, -1978.2058201960076, -1980.9907426856528, -1973.0459842177145, -1980.4898630699395, -1975.646428131346, -1968.0524869197366, -1960.8613524560635, -1956.6454910922307, -1954.3088530605642, -1951.1350555922452, -1949.8580848544857, -1955.368143234254, -1961.6959379818452, -1957.5109743963853, -1962.4435732153136, -1965.4795070692098, -1963.6090031265983, -1964.6365717465872, -1961.4386243262857, -1950.343340898275, -1939.8553913887504, -1955.9996737224442, -1952.0753777462296, -1946.437521528953, -1949.9749533024192, -1948.2295102727494, -1944.668987541516, -1954.8167291187983, -1955.9064716835676, -1962.9983611953246, -1959.2847908344274, -1964.040748632041, -1964.839622379701, -1956.6794333176274, -1949.583109902733, -1955.622461146078, -1951.7195616099254, -1953.5343940290195, -1952.919432857075, -1952.8412955903889]"
