agent_ID,returns
1,"[-1515.4392868263726, -1182.229206207605, -1037.28402822462, -1213.7486823005545, -1344.7062966341541, -1468.6555855776235, -1373.2588555567074, -1450.9953930522208, -1416.5397436786789, -1592.1817846254085, -1507.7096564213543, -1549.7211815195499, -1713.711462357094, -2099.5545501011566, -1791.2376564054975, -1830.813893261588, -1887.644074378874, -1960.2143814874935, -1990.686207264168, -2001.5172021415565, -1973.5377459680574, -2008.4611335083644, -2048.655401788298, -2044.6974542210583, -2066.824886980001, -2030.8568060746686, -2021.9381442878623, -1996.5115110967322, -1989.0377758999236, -1993.690635624149, -1983.3873674867302, -1974.4239768979544, -1965.4396019738356, -1959.8897878908333, -1953.8287608553117, -1951.3576543008464, -1953.2919299044727, -1948.4319987712538, -1951.7765646027124, -1949.1104550024422, -1947.2438386923814, -1945.0919323015564, -1946.001371593866, -1948.5655772190005, -1945.2913391524955, -1946.7022041006946, -1945.4733109029498, -1945.7094993541868, -1948.0990549263527, -1948.4574156623798, -1949.6723511373275, -1948.0762237948888, -1950.4102237545326, -1950.6847693167722, -1945.3221769512459, -1947.8515136004335, -1953.6118531164364, -1951.678679875292, -1954.2529597289067, -1955.0709502400034, -1950.0322065863106, -1955.6516531526247, -1961.665399843982, -1961.221667153128, -1965.1548303264997, -1964.339492171159, -1962.3442188091321, -1959.343168925855, -1964.6290615331895, -1959.7219680110522, -1959.7912967841376, -1960.670290188585, -1958.1498532629591, -1961.4581557915399, -1957.2499462536261, -1959.9409456650787, -1953.4814690938704, -1960.3267107156423, -1969.2858461648136, -1967.2313531953375, -1964.4601685802247, -1977.1705908468314, -1966.0422572099314, -1971.2870069985195, -1980.8189043245857, -1970.5022385141153, -1971.3464782758476, -1969.8252797482837, -1983.8485766588528, -1974.8152823487678, -1966.4408738052691, -1969.319621858077, -1961.185383598139, -1966.507756490762, -1967.9282165408663, -1985.268903953935, -1987.527792317117, -1972.648366818229, -1985.2862271328665, -1985.0968549633226]"
2,"[-817.2341395742441, -906.1220637218084, -958.7741676329885, -1099.9075191947604, -1312.358091068106, -1379.4392350043884, -1504.164675995913, -1711.1589510704252, -1726.72814450664, -1870.3884989679614, -1806.9931661657888, -1929.058659655641, -2502.0271595411414, -2611.613222672465, -2071.079157537657, -2051.1755374751556, -2054.4167252326724, -2115.0128284795082, -2049.397083603423, -2046.9781183101934, -2080.1025441170646, -2057.478032965542, -2187.560684263401, -2206.293420372261, -2212.3977412392856, -2148.886621515518, -2091.3589019722313, -2072.190366379404, -2048.7083988854856, -2017.5694685042363, -2011.9762433419412, -1993.4035704910311, -1977.3464699106771, -1977.8434503382334, -1963.9840912359032, -1959.9106944765579, -1955.3014577156537, -1956.9107687614178, -1951.0593105602088, -1956.6368041825733, -1949.7459497094637, -1948.4588520824416, -1946.852017411101, -1946.762173652092, -1951.4638933245749, -1946.8198196939377, -1949.6435485785894, -1953.0065399255718, -1957.1280394491207, -1964.5685423657535, -1958.5748417281193, -1962.9707157713228, -1950.2018295455916, -1950.5795045497555, -1956.1778530445758, -1948.8335617628504, -1950.7635601049556, -1960.3882574060108, -1954.8055651036204, -1944.6148944717268, -1952.2705985860275, -1952.925451174506, -1952.5319430211366, -1957.725559825132, -1941.6162489000867, -1951.4356626509846, -1950.4305713160452, -1947.3766155783132, -1950.5120650472315, -1950.3721895746294, -1944.7179539221245, -1956.0913793444538, -1963.665239733676, -1949.4898817885487, -1949.530825638239, -1950.6180101248501, -1948.0527151152778, -1954.403146907649, -1945.8411214533942, -1946.6756112180842, -1946.5985195967753, -1949.8392589567225, -1947.5324976662341, -1943.5710575972575, -1948.9098090105385, -1946.1393680874326, -1944.4598690314222, -1950.6785786535106, -1945.4958719307617, -1952.7823287555736, -1947.522313571299, -1946.997465834818, -1944.1926797597314, -1947.8782640980119, -1945.200003891597, -1948.9077111370018, -1948.3927116341724, -1945.6259335619116, -1946.279418281737, -1949.2263104094636]"
3,"[-680.2613210442062, -1131.4804582769725, -1049.3859978595647, -1152.5422212344286, -1339.7485247132236, -1402.0719159402286, -1489.909161821834, -1564.4866328156531, -1782.1853316710121, -1618.0415241942658, -1429.0401282986, -1568.944244043248, -1889.6855482688932, -2559.1403722121067, -2136.2847357672026, -1893.5849706957952, -1876.938261931043, -1899.368060290901, -1882.2727064123185, -1875.3656902628043, -1920.8145313503396, -1971.4368491836808, -2043.6721634113562, -2115.0373335144586, -2135.2707202434117, -2056.4671525584295, -2012.0447722587503, -2004.4306745844976, -1984.4741440525008, -1980.625124320098, -1969.2429894986751, -1962.3388741231402, -1958.5655110005862, -1952.2580594373924, -1947.2673559297689, -1947.823737300945, -1945.9550570932981, -1948.2156415095155, -1946.2809056203887, -1944.258418228181, -1943.9058273715261, -1945.61082187424, -1950.6774870815116, -1955.735486249228, -1957.067017537438, -1952.6599065376906, -1943.8442197117622, -1950.9114731993918, -1947.1063449721407, -1954.7258544222514, -1959.4785749831337, -1953.5352200462696, -1954.225891637459, -1952.5771064696585, -1949.0445344676195, -1952.4127553877809, -1945.3283015375146, -1945.0796180185368, -1946.7362055989984, -1947.2565252836705, -1947.6840693917572, -1947.8619222564591, -1950.9327214480636, -1962.4434039244038, -1959.5066413023792, -1953.6313376539151, -1944.6378245384878, -1952.3788555009287, -1946.2687766273878, -1950.5830293343895, -1949.9863036507259, -1945.967910183231, -1946.596242389177, -1949.1564724068405, -1948.2592722984468, -1945.473518043963, -1950.419570261958, -1946.2779960227006, -1945.6239451150086, -1948.405266686183, -1945.5358425106688, -1946.4058650953318, -1943.7880413465302, -1949.3521234991695, -1949.878719855126, -1952.3628700545244, -1953.2127036366742, -1962.1411201692483, -1961.099684746393, -1962.3950313672303, -1967.5858641219252, -1954.822556351273, -1957.3908084236957, -1965.1025978061864, -1959.5214517271306, -1962.960845315881, -1952.070975471431, -1960.516890796623, -1954.0682964390587, -1950.5049455458955]"
4,"[-882.1991165360666, -1112.0004630848014, -1095.5907244915202, -1113.5417728692091, -1327.2564198146506, -1419.1077605696867, -1634.3425494601902, -1720.3065435493775, -1748.2086105883361, -1601.6041762875343, -1497.7028186758187, -1501.6543374038977, -1931.101617283624, -1847.0913498395762, -1930.0806678761421, -1924.125106942325, -1865.1935094659875, -1874.6956222463036, -1885.538321146882, -1900.1572166653004, -1960.9226017132469, -1982.5961134946463, -2030.947266977207, -2077.5611076272503, -2083.7145486979994, -2060.708019280287, -2030.3701837515282, -1993.4588909508336, -1976.9586889252919, -1971.0023647283995, -1963.4024940895667, -1960.539575954071, -1953.4314958504656, -1952.205079003276, -1957.4934435748416, -1961.2160092133197, -1971.7630214382525, -1975.387184183541, -1971.0146736736388, -1958.6987297201838, -1960.2293607563756, -1955.1350618075078, -1954.8318816594622, -1963.975154889392, -1958.0236464727536, -1955.0878691246205, -1969.1984147871867, -1952.4254745313144, -1952.9514804164203, -1967.2325172377907, -1960.033561597602, -1958.2563975429582, -1970.0227279245248, -1971.440800098448, -1956.179713170579, -1960.5371125807164, -1976.675260415241, -1972.0777231999423, -1971.266788471449, -1969.5201596090205, -1973.6619324050453, -1974.4788692354798, -1967.300445602291, -1973.1142556088448, -1967.613638772085, -1958.7563125166732, -1961.7029265678532, -1979.2893924986263, -1970.50606014533, -1982.3531238858168, -1981.9706963224594, -1984.7216677198394, -1979.5629049581185, -1980.557599893945, -1976.3132948452512, -1974.8671759713168, -1971.07398002689, -1979.1573716137195, -1995.6433007181479, -1973.0752742399623, -1984.0660640957806, -1981.3544450968297, -1990.1896070485589, -1980.984515753111, -1979.410732730873, -1982.6987417016428, -1984.9456059305508, -1983.082606641319, -1969.1192305658158, -1961.4729492575202, -1958.1628960555104, -1966.3231195894057, -1953.0169666497068, -1961.2791845581976, -1963.78132531637, -1968.7166943516977, -1960.7080517292918, -1954.9390771105955, -1961.8205635151262, -1960.3199997253755]"
5,"[-1096.41459420502, -881.6568122424222, -987.4717817144669, -1139.8840846965943, -1239.2261928064183, -1374.8823562438452, -1451.2936833326924, -1504.134601801378, -1517.4697273536171, -1392.0477250447962, -1498.6541132466746, -1815.4365178421237, -2452.16400783701, -2268.150149903279, -1874.9973884175997, -1933.4090847970026, -1974.3829458292755, -1926.4974683389428, -2051.3381595042997, -1969.3825230722764, -2006.7479054248504, -2087.2750315899993, -2188.7821585169286, -2197.3681618632368, -2124.6472639020762, -2076.8492952806396, -2058.5657885197643, -2046.9382865425564, -2048.8008170817816, -2011.894988110366, -1975.4791918069252, -1985.710855358109, -1973.6526807923158, -1961.4008366552664, -1957.7411055020923, -1961.3032207869348, -1958.3493346135572, -1958.7345652712022, -1958.66077896418, -1957.961047758065, -1962.6117271059713, -1975.653354718328, -1969.5111405738473, -1973.8515875142848, -1973.2946998224504, -1973.4002119031402, -1975.1721259419473, -1963.3196097443908, -1974.63744783256, -1964.6567485687788, -1969.1833010933988, -1969.5715570130476, -1971.2541477101709, -1969.6393589215174, -1972.8176243772846, -1972.222583083074, -1970.2063313931021, -1979.3748134378152, -1976.6457303603863, -1985.2500937627885, -1989.6895370325562, -1985.4005030871415, -1991.549363431992, -1976.5360968714974, -1976.2603909705663, -1986.6506196120777, -1983.9556408372844, -1990.9509622341511, -1984.1635139971256, -1992.540831748877, -1989.8597049148327, -1986.0734269763739, -1991.6255862585585, -1995.2220170479964, -1975.7516536964051, -1984.9364719984717, -1999.835664337548, -1988.2975113342309, -1990.1226977182496, -1995.5551050835793, -1983.6774502431063, -1979.2247131430124, -1978.327696064505, -1968.7670400834913, -1962.796130728042, -1950.2297632567622, -1952.395114177534, -1953.1869659931715, -1946.6572875316936, -1945.6330131913924, -1945.2879804693096, -1949.004251715079, -1947.9630892264443, -1948.2401422360815, -1948.418874902378, -1950.6997072664924, -1948.0386458345604, -1945.0509606007545, -1948.8779131718672, -1951.3130177214928]"
6,"[-1058.4474405527958, -920.9219907634957, -990.1034601064039, -1096.2756443164085, -1274.2046377684287, -1343.63647328065, -1445.043722192032, -1399.704430284714, -1399.2569140206149, -1496.202963761587, -1548.2960966594962, -1582.942218377896, -2021.7015253977563, -2190.614914956014, -1910.6166587409027, -1892.8365899837079, -1928.5979072826601, -1991.7813807469006, -1992.9192213735987, -2046.8327056008754, -2055.6995165983367, -2109.773759754905, -2118.233560773794, -2206.7077461967397, -2180.3138405637237, -2107.240048439128, -2067.8397239861893, -2050.580539279647, -2027.07277708883, -2019.9048916325428, -1997.6872156256388, -1980.9950560439977, -1977.4484345157452, -1966.5193018179789, -1960.771771433726, -1962.6654536245574, -1959.9497459279894, -1956.5657505717788, -1951.291486898144, -1951.3956317705795, -1952.902273144528, -1950.9402870514127, -1954.27506462078, -1953.5126819036761, -1949.4530355317845, -1948.1047872254173, -1951.1155125784119, -1946.6993315504608, -1950.9201302890401, -1945.1004518106945, -1949.662179462202, -1947.2929317297035, -1946.7133280231228, -1946.2667799479002, -1948.098508851926, -1950.9759203096717, -1956.8000655501235, -1956.2573549206375, -1956.1768225756737, -1953.7191164817539, -1955.203737432349, -1951.6316635010714, -1956.0613430773267, -1942.504374177306, -1947.2170065399896, -1953.072590592166, -1949.4192257573109, -1953.124517495989, -1947.4941953186722, -1953.3834750376895, -1949.6837444904297, -1946.7841557352388, -1957.1852441902258, -1947.3834426462906, -1944.0226883230189, -1950.3324711121222, -1954.2385555839176, -1956.372577750453, -1946.7043580876573, -1950.9784409378033, -1946.8710162086913, -1948.160049157475, -1948.0964546043988, -1950.4511642079049, -1948.3650245584902, -1946.919533217044, -1946.854735764866, -1947.5240846911051, -1945.5400596770148, -1945.685623907091, -1948.1704878693274, -1947.2933111683406, -1947.9601487690986, -1945.4181518564446, -1944.803669573657, -1945.8207934726368, -1953.6667302738965, -1950.021393552797, -1945.692866632805, -1958.0139878728082]"
7,"[-1224.316595381322, -1026.9811175371856, -1059.5909202458938, -1165.9415193028428, -1466.8760412925324, -1190.3508891950546, -1486.574718723531, -1776.102422585965, -1469.841828420021, -1604.2269081276086, -1687.5267117319456, -1501.8579164398357, -2453.4456275987513, -2484.8581417624455, -2024.3770800647292, -1790.087580012096, -1930.6956993919234, -2086.068232380627, -1998.754021510647, -2023.48672733121, -2100.2568944708164, -2045.9465020517127, -2102.41116752252, -2123.497289944741, -2130.079510066857, -2127.8238384548517, -2094.4738390408115, -2069.6751033972596, -2055.7881142545543, -2024.2508614359162, -2003.0442974847922, -1986.1274776156133, -1966.1051117816512, -1958.1250404377724, -1953.9872959417332, -1955.2544273265012, -1951.6581440393538, -1953.6295744980264, -1949.325760614163, -1951.703735961168, -1947.0685471400307, -1946.638370849144, -1946.7487557311433, -1950.0663899948138, -1949.3112657496927, -1948.856390002663, -1946.6458540959115, -1952.1987950070084, -1950.6448351634388, -1959.1165660868655, -1949.6606424922886, -1948.5852575913952, -1962.604839724927, -1950.2596272124908, -1960.331628349517, -1969.5790229770118, -1972.0425214717193, -1958.6923580001378, -1968.131859098128, -1963.4294213694313, -1984.7326031232787, -1971.4475770576428, -1986.6512156307956, -1965.6691681714105, -1980.4675437213662, -1979.486593062829, -1989.3805960236832, -1987.1542172161658, -1982.0978401279172, -1964.450587490267, -1990.9572735260074, -1992.1585138630048, -1984.5883514480777, -1963.688709959731, -1959.551068707863, -1981.4807525454994, -1963.9195870251694, -1973.924407708535, -1954.9821215546328, -1960.644794086972, -1964.16566321121, -1952.5527529320275, -1981.9187996567568, -1972.0483963489078, -1961.523698125322, -1950.5041481710368, -1958.0873843918876, -1956.7722108878763, -1964.6931791140812, -1956.57762492939, -1963.9329007470594, -1955.9792668030955, -1957.7587631424665, -1972.1827146271767, -1959.5653366323188, -1957.468460867745, -1977.682319449197, -1999.8671232043196, -1967.070189953184, -1964.4040074498596]"
8,"[-69057.60598731568, -68875.39640091526, -68834.01815683041, -68845.31874841992, -68912.13182777916, -68893.20254493057, -68861.69925101426, -68735.97936787657, -68936.80958923114, -68850.42848598784, -68981.417721121, -68902.02188415533, -69041.7265994048, -68944.19780889343, -68975.75675153178, -68862.33035994058, -68866.25810197974, -68932.00965750637, -68848.47149813111, -68887.70299094799, -68848.9027998884, -68883.20463856342, -68910.79865061546, -68996.28344215632, -68938.6372272518, -68876.25840002722, -68868.99167997445, -68811.2769892526, -68908.66634379966, -68887.97846837522, -68787.4158986562, -68783.27080512908, -68888.16949231614, -68850.62912537828, -68911.97553090483, -68992.11264718794, -69029.72362371495, -68852.56593118545, -68939.16867309768, -68814.3148463844, -68963.21373188758, -68841.43423186567, -68800.30244247806, -68846.22907633326, -68895.64979045691, -68723.99687008905, -68953.19463436198, -68890.26881768675, -68873.5944536292, -68831.25623971457, -68936.66618389846, -68884.51954610462, -68936.00759545782, -68980.31645080945, -68902.67275372655, -68961.2055666689, -68999.10088354867, -68884.78049063566, -68932.48863072938, -69065.48454587904, -68898.95766441355, -68814.88168133498, -68914.95016283727, -68825.87557593349, -68796.38106418024, -69034.54774133608, -68924.32296483227, -69014.52849126255, -68845.69261547585, -68860.28005086399, -69001.55658937592, -68947.5209193032, -68906.5685828149, -69046.41126156149, -68958.81598118292, -68824.5095556276, -68897.92545964637, -68871.6938834987, -68926.21956952837, -68827.38074305178, -68808.93335215721, -68888.33562105021, -68933.29451102525, -68960.74773361365, -68899.1462617752, -68843.41390515474, -68997.77406820511, -68907.6529545663, -68978.71980913095, -68966.93696606644, -68820.61170047197, -68906.64174463811, -68985.38367129499, -68858.20342562904, -68841.00220360544, -68934.61851933294, -68832.67972435226, -68965.69763527489, -68828.3799337019, -68798.58687528131]"
9,"[-1004.046504549723, -938.4233173336016, -997.5524258940293, -1100.2673204313314, -1273.5859502099117, -1472.095203276209, -1514.5827211383303, -1786.0399000335733, -1627.1077555211282, -1999.1581723101358, -2157.0783576925282, -2082.2759917571498, -2460.975529668448, -2622.6490468371176, -2762.168889330333, -2874.6886999193252, -2930.0018404783295, -2184.478336348149, -1924.2893001357363, -1935.995691467775, -2016.2193257391598, -2043.1537671517133, -2099.167955610854, -2156.6370050994306, -2146.629402988504, -2126.5381976489493, -2085.540133871328, -2059.21442128397, -2015.8292470229665, -1999.231615332247, -1992.210658090297, -1975.9254190749043, -1978.0920697504562, -1958.5505344372634, -1952.2981919739073, -1950.97305708698, -1951.067357878587, -1948.7130785366621, -1948.0791967405214, -1948.620222536104, -1946.6685829104047, -1952.8479937896386, -1946.9267062410177, -1945.3474264492509, -1945.0463162354372, -1947.1060732754988, -1946.5936495889275, -1952.423087616538, -1946.004824864182, -1943.6516567976348, -1949.1264356163776, -1948.402426689177, -1951.992735233977, -1948.8626371701375, -1949.0212849870452, -1950.6966375224897, -1947.045387866173, -1949.0753943455627, -1948.1072711363142, -1952.4380158530369, -1954.142308533492, -1950.8091656898273, -1955.4014142053459, -1949.6870075440806, -1948.0376695882728, -1951.1179925975864, -1959.5214616195703, -1970.3838706920342, -1956.1875192674443, -1952.6697301605684, -1953.3221313107501, -1956.5583336776674, -1957.4395689471976, -1966.2441552191583, -1962.9769867009202, -1967.168954006788, -1957.551925456354, -1958.6034633798695, -1955.8795788785012, -1963.508926768343, -1967.4012749252483, -1961.964509625819, -1958.91775791208, -1965.1621062653558, -1967.1412890707638, -1962.246095460665, -1963.8207451764022, -1962.8456424154954, -1961.3969797326163, -1963.5481110117344, -1964.9174946066826, -1963.2264642630348, -1966.465577213773, -1971.5799642684783, -1979.157775426074, -1983.0532161864596, -1979.135054661116, -2002.3792509752489, -1977.7357602225056, -1971.6654752097356]"
10,"[-1039.5296329136634, -955.3150987205206, -977.4115095987651, -1101.6199711223312, -1257.7343477109305, -1364.1195781325116, -1521.2438338908248, -1755.695702579838, -1739.0521172991614, -1972.9583110775766, -2078.469186435099, -1706.8828494537481, -2415.5271221500243, -2544.6384165655822, -2338.3222830414134, -2361.1222434557917, -2060.5441410328776, -1816.047525259528, -1842.9480239527234, -1909.4970990799882, -1949.9940530269455, -1988.6235131060598, -2077.7535023173245, -2127.0432699258085, -2161.539368630225, -2146.1212112114636, -2084.6529352543103, -2050.9992039314757, -2014.3097726798062, -1995.7905967052773, -1987.418576301545, -1977.7061018758764, -1972.719095636759, -1965.8490126168138, -1958.08698219824, -1956.8783332556586, -1955.7472160235009, -1955.5570596994066, -1950.607248816198, -1950.0150781166126, -1951.6578083496825, -1952.3404873647146, -1951.0172684562292, -1951.5387501747389, -1948.7250543074538, -1946.9140288521135, -1951.2829183173883, -1945.6417923694405, -1951.030164140183, -1949.069890689059, -1947.5582363823526, -1952.3228683239563, -1951.3190273119985, -1968.8673316263285, -1973.9327156699433, -1976.079738735132, -1975.8657271075538, -1968.8562482941538, -1967.8679496305126, -1963.6966482063506, -1957.2337535241647, -1963.5335581430304, -1943.9466070504152, -1949.3276434440131, -1948.1023760056528, -1949.344728505314, -1946.6709752685556, -1947.8998332536448, -1946.363997282446, -1949.939565479209, -1951.9594540353576, -1951.3694268381312, -1950.3742949932962, -1952.7209210055717, -1952.5476219582383, -1949.771943276176, -1951.3809564596634, -1951.449092929859, -1945.446953518936, -1951.5103814220454, -1942.7321436316709, -1960.2890490410293, -1953.0306910664733, -1957.2390100816938, -1954.8101898489858, -1947.364876254645, -1952.9535104004865, -1950.2588478989494, -1961.1540722960187, -1959.8123674322217, -1959.3431068686314, -1954.279459471667, -1957.7948201720856, -1946.6013988183076, -1952.639728758634, -1956.1557170669785, -1949.8162659278216, -1951.019912532939, -1955.3165593652636, -1947.8256251966416]"
