agent_ID,returns
1,"[-2143.498941876635, -2082.2735683094484, -1957.399227071218, -1971.671065192609, -1971.8876649187282, -1957.7862000741486, -1956.358192351086, -1949.0786649257257, -1951.418780295391, -1947.9420876423064, -1950.1285496374148, -1946.0743982720085, -1945.8243523442154, -1955.989757212085, -1955.3263439313166, -1952.3437822460842, -1950.5430643257675, -1951.8584343433904, -1945.5785064606291, -1949.2237295754073, -1949.5619989862585, -1950.6461005045653, -1947.2230024720702, -1952.5284372269637, -1957.1072048430913, -1948.6637674465221, -1948.0409554197868, -1961.4803394152607, -1953.725943166981, -1948.4221120311513, -1962.3080866853884, -1957.1990209360495, -1942.178390840213, -1946.3598572723854, -1945.3185530392245, -1945.1496838405103, -1950.1509689864388, -1949.4463212880034, -1956.9808209727234, -1954.5298073978522, -1949.1185450966245, -1951.834651544615, -1952.8918637551521, -1949.981623018364, -1948.0862393228037, -1948.2236342283927, -1946.2599869346004, -1951.9138220750112, -1947.1122425555536, -1945.5009926785447, -1948.9986498019298, -1948.4090253721033, -1950.2289059374718, -1956.2709026977138, -1946.9475107482065, -1951.8153140558709, -1948.6163225181735, -1943.4736790210595, -1961.8032631112646, -1945.4280022363628, -1948.3135315674915, -1943.065405445178, -1943.0019243880488, -1947.6032373922026, -1941.9634291323352, -1948.5914501676332, -1947.2455086944885, -1948.9593898330631, -1944.4375173804979, -1954.5467063957642, -1949.4890148904565, -1946.4469281574573, -1946.9118966175104, -1953.1541502300497, -1949.4236387658857, -1947.9794582999089, -1947.999501185013, -1949.3627849580341, -1950.2073224364444, -1951.1529732394913, -1949.229407554546, -1949.3577133835245, -1949.7935761990586, -1943.0583381957715, -1946.6105585810697, -1943.6499692324335, -1952.7844168704937, -1948.0139581970689, -1948.0774062924822, -1944.6592203653472, -1947.6812143983611, -1957.0796878284666, -1948.3946546143982, -1948.5749363177822, -1943.055814870976, -1960.1070649878097, -1941.2859554096644, -1956.221472834418, -1956.3276994193927, -1953.1712376111586]"
2,"[-68995.54574730783, -2608.6822069919594, -1987.464112053939, -2011.7510941214657, -1972.52036195424, -1967.3514627723325, -1971.1760291577534, -1978.3963235063327, -1981.5502850164557, -1982.3350021771078, -1973.3449076447519, -1966.1165193056936, -1965.6947266019947, -1958.4406283622784, -1955.6674823171818, -1957.884307086019, -1954.167296029861, -1957.2390579695955, -1960.5155891463385, -1957.8811432808207, -1956.4030692959007, -1967.056437031141, -1960.1738427573252, -1955.3275125623159, -1960.1738959097984, -1960.8980059657163, -1962.365552346954, -1961.5150629926657, -1970.6360118481095, -1967.7416509907753, -1973.6448915727058, -1973.774250203088, -1978.396756607845, -1984.7381128457423, -1990.1691447108717, -1984.0950797170524, -1992.7986429801692, -1985.1900105754178, -1993.866071821486, -1988.000007601363, -2000.4690177795762, -1988.7610473001803, -1986.8788626996673, -1980.8850882856307, -1991.989132212544, -1994.8911022063378, -1990.6875161332887, -2017.2042199390187, -2002.4498743982635, -1990.2128096262834, -1982.2463728646503, -1986.6008487677632, -1998.3508651646418, -1991.8663893316527, -2002.0023666567984, -1992.3767494377087, -1988.6204054199604, -1993.4017512444175, -2007.4286196380897, -2016.417304272483, -2002.362659517489, -2006.4117569697357, -1989.2579963391408, -1990.2051123108586, -1994.72919248484, -1982.9953566832494, -2004.9457092413684, -2004.5135479302994, -2017.0302475007165, -2015.9169951877243, -1999.1741272620918, -1998.5020745465433, -1999.0608992256207, -2009.519688619795, -2037.4432777775758, -2020.5074582464517, -2041.731907227291, -2022.3270661848576, -2032.4568275479533, -2049.2454994680797, -2050.2320503501683, -2068.002665301703, -2040.8476533200283, -2064.889551114785, -2056.1362753690055, -2047.0438102521937, -2054.857389744171, -2037.7726583297485, -2005.6231813161023, -2038.4223946062211, -1996.7885140030576, -1983.888895964362, -1977.417526140468, -1967.756034106443, -1981.5665687181836, -1966.330453011756, -1963.9855628021635, -1970.0538526818327, -1967.5816046753657, -1987.7123452232056]"
3,"[-68917.74864709878, -54862.10702072825, -2020.6027103923584, -1984.9986102080788, -1977.3949338920324, -1965.0730660699226, -1959.2392107331782, -1970.7785758950172, -2004.8365973736354, -2012.0249919498935, -2022.9810932816752, -1975.5773599088038, -1966.5748662603362, -1959.3767965957425, -1962.055711753348, -1958.3252752326835, -1951.6674649790718, -1954.669356765728, -1956.3337410041065, -1956.4235079880411, -1958.150602667676, -1957.8981801152686, -1965.7309543049737, -1960.114428328536, -1966.121348748576, -1966.2053087595968, -1960.855169299431, -1964.325672428656, -1963.926672551504, -1967.3019938136956, -1961.1426444133676, -1970.6916615561513, -1974.2339051541212, -1962.5795521873702, -1980.5621127471163, -1964.5257648555105, -1963.3914943483148, -1960.8861808028435, -1959.8351264896958, -1948.7727916106298, -1954.6144270004072, -1961.7137663531673, -1975.0156989515306, -1961.8281022503993, -1965.1507033810183, -1965.5221966494298, -1958.7275323215745, -1958.360765615986, -1963.4516738374975, -1958.8285712144248, -1966.1587302991584, -1960.5142117389166, -1959.0419339812179, -1971.6660061076554, -1983.8192273157567, -1984.1977687316132, -1978.5320994417448, -1979.2441608508148, -1970.5355424725112, -1973.3610997495816, -1967.821627536327, -1976.0239986780978, -1983.1130330995275, -1982.3461745115458, -1989.7567960985114, -1975.2854318844925, -1980.67832614995, -1968.8956804276472, -1967.4663661812192, -1980.0479048159907, -1982.4953745089883, -1972.6778181460145, -1978.2184892875193, -1977.2453578209418, -1990.7917593067048, -1982.5810875451323, -1985.34454484489, -1983.5770874581076, -1990.8218403807068, -1990.7873902231283, -1981.3655238443364, -2009.517401110621, -2018.1331273988253, -2004.0579950043384, -2029.9634390780416, -2040.957448875532, -2047.2384466351864, -2026.6277134152108, -1974.4895993623172, -1979.2159711519328, -1976.8130427667365, -1965.8949911037018, -1957.1251672601277, -1951.495478780178, -1958.9918736189984, -1959.1877016269011, -1955.6721571711203, -1963.5074519293921, -1959.6032592236004, -1968.6631931634704]"
4,"[-2244.6485456068076, -2092.024581867576, -1958.4630327378604, -1973.2814309887412, -1954.283140325891, -1952.6879793083006, -1988.4756570172492, -1969.6993994081158, -1977.6107611723257, -1966.2637769758414, -1966.0473876083727, -1957.9968954293902, -1955.305440873773, -1954.349951690657, -1958.636998463109, -1956.6549341596346, -1956.282485374514, -1964.279961671638, -1959.4358552203798, -1961.784600465566, -1958.0614896109962, -1958.5392960089462, -1954.2393867242765, -1955.4197527912916, -1964.354763390351, -1958.615044871257, -1963.7867650493677, -1970.5118069928146, -1961.0216262850738, -1969.1483317176974, -1971.8810900960793, -1965.6715951792185, -1975.8639943996002, -1969.2991281139498, -1972.8647111436255, -1981.3070875798933, -1980.927585011232, -1969.5682704387782, -1988.1739522633393, -1955.6608410700642, -1976.6534000990328, -1973.9100726081522, -1961.7319317921904, -1966.6104121565827, -1973.0457193852071, -1953.847892556932, -1960.8827357214282, -1958.0829034049784, -1950.7337839236427, -1966.4100157171724, -1974.6078630264421, -1961.262483530297, -1978.7869740006308, -1973.7508114348939, -1968.4049919953156, -1981.0685035523247, -1964.3188234983209, -1970.044879412884, -1967.205454984735, -1972.8317999172439, -1969.0108914252878, -1971.1240331297242, -1968.57580975564, -1982.1426566080233, -1986.145529745466, -1973.2780030485696, -1979.1495097704778, -1985.3675527802393, -1992.994112513429, -1981.2307648179508, -1988.8039662687795, -1983.3772183356475, -1990.3584368940922, -1987.0238032875075, -1985.4501180180405, -1991.6505735988196, -1987.8549078214721, -1983.356577930126, -1999.0374362561763, -1978.7043777716003, -1983.275890102853, -1985.7683447538075, -1986.9907854506368, -1983.7052580234563, -1991.1983820697396, -2013.7553889433827, -1985.7296125874595, -2012.0820028810065, -1996.8995400322738, -2006.8057594971901, -2015.9587099827893, -2002.4697186609512, -2002.821495314976, -2021.9928928684003, -1992.839421280482, -2000.1126055356463, -1985.3255841483385, -1978.342887871459, -1990.4237042455024, -1973.9376973333053]"
5,"[-2219.7486903696945, -2072.8534671807033, -1946.4335303972664, -1993.034784205853, -1994.0056926686477, -1989.1291036795876, -1965.7714465932647, -1962.392386799961, -1962.6147015627662, -1967.5083146022928, -1961.3090111210724, -1960.0203054412464, -1959.2609355026977, -1962.2004527031004, -1960.010094053951, -1955.0004965264081, -1959.5824962632205, -1973.1517086657168, -1965.6706559234094, -1959.0850241718908, -1976.6809655162162, -1959.1395596505054, -1958.9414290384536, -1957.6281373133504, -1970.8274090718198, -1960.7946214845865, -1971.736667098795, -1965.4428875621727, -1961.513467914386, -1967.881566763361, -1955.5611373185131, -1980.1722342564908, -1980.1614502433697, -1962.7793618978044, -1973.9704715658902, -1964.2527920079076, -1963.3906057076151, -1953.945733546327, -1959.6177230822504, -1960.2387973084521, -1963.6394889694286, -1956.1283433566805, -1974.8340337059424, -1964.9591424200985, -1965.8992488835606, -1973.292153393508, -1981.563296959645, -1990.2392732429475, -1967.7233809759205, -1973.8956276071535, -1979.1603786958447, -1985.855502482845, -1979.706733204338, -1981.4973418444815, -1990.231597659617, -1984.4952301058415, -1991.5343183196132, -1997.1859755884725, -1995.9274035288613, -2006.0403960673436, -2005.356742932618, -1996.963969240273, -1993.2989490300938, -1994.8907125049268, -1996.6723163578756, -2004.9339140148506, -2001.492324759624, -1990.3933278808072, -1983.4079742209224, -2004.451500260654, -2006.1370329093854, -2015.0369728989695, -2010.2642018597992, -2005.3698304975244, -2016.517268192599, -2026.5139826324328, -2032.7614855612585, -2042.4604231447452, -2045.4105961490823, -2049.816048225874, -2039.7461896184352, -2033.9562192111443, -2058.154413526131, -2058.015151590894, -2051.8274645262045, -2048.6527579448652, -2044.6378146675697, -2052.6353988265378, -2055.157837089527, -2051.171064471166, -2051.2538865117604, -2051.510561555429, -2016.4320086081677, -2041.1345011599656, -2045.8224399328067, -2040.7612265250027, -2035.0489964062438, -2025.4885426957412, -2027.3792881669078, -2011.8575896608563]"
6,"[-68909.89932488654, -68955.78765164474, -68845.19149714314, -68971.95472974409, -68841.9130348504, -68971.89347940215, -68913.40989887685, -68924.12507003125, -68924.45672181412, -68916.99213402884, -68886.7344818408, -68880.54121375018, -68850.96122307068, -68939.26280743221, -68835.11111564688, -68940.5666625989, -68826.77273069813, -69027.11276188801, -68929.7155232702, -68851.88146992629, -68809.32993345583, -68907.93158051129, -68875.78058090612, -68905.51934995997, -69015.01699706678, -68823.08691047734, -68876.9640326791, -68878.00846035345, -68763.96401142089, -68851.98578807327, -68977.0379570301, -68928.89286879594, -68756.51821689722, -68890.34630464278, -68866.89986134873, -68941.76133493472, -68849.09916843931, -68842.81633446088, -69014.94165136506, -68978.97040517282, -68955.11830687412, -68893.9687330176, -68867.72899941489, -68758.37593919625, -69012.60907205944, -68765.19463713313, -68836.07986923904, -68812.3990802572, -68924.46474346575, -68974.75999517625, -68992.40838588391, -68885.94156127585, -68886.27728306578, -68883.10178671469, -68874.77602471932, -68930.78380750227, -68863.81763542395, -68872.88463743273, -68905.04158462302, -68838.55447992813, -68985.012980625, -68942.55855150042, -68855.12239006057, -68854.00096009191, -68731.21883376047, -68957.59000672595, -68846.27241177481, -68768.35650577744, -68883.2216323705, -68896.06511199923, -68847.0658700273, -68987.64734922613, -68830.23609322087, -68986.57175018602, -68921.55226091314, -68894.0420246573, -68899.33613496572, -69010.03610702915, -68860.51115157749, -68925.63060251753, -68948.9424642902, -68878.23960372394, -68895.48587330082, -68889.29456555685, -68740.7820206843, -68935.14383054571, -68927.26017469313, -68890.47942095267, -68829.81188548569, -68841.16092545263, -68865.21789976051, -68889.18118487974, -68845.02503433611, -68883.70344766723, -68791.40042924891, -68823.68210107082, -68922.98282449887, -68984.22922422229, -68950.72813535329, -68858.51533711317]"
7,"[-68764.72239731526, -68960.34893734903, -68938.92127774713, -68916.01909974561, -68971.34862772728, -69180.42601615367, -68889.81286553228, -68804.40196072517, -8906.758133374526, -11190.708617892831, -11008.039307426594, -4152.820290103272, -2620.079207132171, -1993.180339462635, -2143.8953625084105, -2118.0745474009013, -2054.044449318913, -2048.309537706448, -2022.3546501247663, -2010.211875149128, -1977.7479575582074, -1975.870471663749, -1974.8419547708468, -1997.4116456579775, -2018.056426473626, -2002.2448489993105, -2011.3419888302785, -1993.5281126838202, -1995.4344486792513, -1990.1569245980352, -1976.5126287101648, -1978.0934065274676, -1976.0845608607908, -1978.7921069858794, -1971.2638746167747, -1967.4236509769735, -1966.3877790634135, -1976.1591036190362, -1958.316269598577, -1968.2494261860309, -1976.4104030947208, -1975.1980832498066, -1993.4083883320864, -1990.2146187601215, -1980.448898535975, -1984.8912581925704, -1999.7952304967005, -2036.9360355564743, -2033.2195173907558, -2048.572530407521, -2026.0713971292394, -2031.44631315338, -2007.7323611239374, -2004.6766722743985, -1995.7579433295093, -1996.4627553300047, -2002.4503494762841, -1986.9720085769225, -1981.6084443160034, -1985.9240916120366, -1996.4166615248696, -1981.5493141451275, -1988.4755750525096, -1985.9132337432839, -1998.052510837747, -2008.9501167841597, -1987.0822728533828, -2012.3421441349137, -1996.4920358019442, -2013.7695021098366, -2006.6181551603177, -2013.4773177720645, -2020.5618935000364, -2057.237431647552, -2030.9973632978974, -2035.3278054887817, -2067.074277365391, -2063.645158446629, -2074.059349717589, -2059.4569446993323, -2063.461794279202, -2060.549025110363, -2055.3414947350357, -2050.762209384887, -2057.079871102155, -2057.663133391771, -2054.408145822269, -2056.735923840421, -2064.6322627279783, -2057.811515385074, -2068.784035462588, -2062.303071292207, -2048.883839347068, -2057.177284664567, -2078.8494990370477, -2081.236074432941, -2090.823524683948, -2078.292752889533, -2046.8041610192809, -2064.648652704186]"
8,"[-4606.417213125514, -2204.793632922677, -1972.6436641850557, -1965.144389523506, -1959.9249432713445, -1956.820794553076, -1954.9794105531244, -1969.7650023240149, -1968.9176848058485, -1975.5521825011986, -1971.0830881177994, -1977.5576376562233, -1965.9151677549942, -1962.517204337687, -1963.7180632578495, -1971.8023496834446, -1971.4032074080865, -1975.9508283557466, -1973.7277921550753, -1968.1999258074723, -1971.4433273370198, -1971.5443927618778, -1965.1433464235247, -1969.537010455423, -1969.731863954958, -1990.3944372936237, -1964.8694661781979, -1971.2407790717875, -1982.5556631695495, -1973.9900101453022, -1956.8031518502762, -1977.5081791617947, -1976.8331113033553, -1990.287512329699, -1979.6202325639617, -1973.46221415585, -1972.9227049889892, -1965.067202495188, -1975.0702497158818, -1983.24404998189, -1974.1828901609547, -1968.9914300527723, -1970.043769048824, -1981.0484641325859, -1972.3505233683202, -1986.2851722257249, -1981.6001866111608, -1980.699207578833, -1978.452922087226, -1988.9069205426206, -2004.7150940776555, -2004.0505694780463, -1988.1131100829439, -1982.3757438920366, -1980.7618636235836, -1972.9810549217614, -1987.8340712856484, -1979.4272031232304, -1973.3630673598018, -1982.3772730262483, -1975.6799832666345, -1986.9272011723867, -1996.317080840464, -1993.5821120583612, -1964.6814787709486, -1972.7550986451151, -1976.8443164509013, -1972.6754719035696, -1975.0977728739108, -1962.0957008353114, -1989.6948858677388, -1984.6130849404506, -1986.5712828989865, -1996.4878993552359, -1988.2700445012576, -1973.774909595136, -1992.8213464355135, -1999.3385072082876, -2007.9413453063582, -2022.5151699205346, -2000.1721193069604, -1996.1939319433056, -2005.6973836520665, -2003.6059475595741, -2003.72236760127, -1997.5070835323615, -2017.7013055885664, -2014.2936710813008, -2004.4205320825556, -2033.6581940836647, -2033.4266413889206, -2025.0285013680814, -1999.2523038477425, -1999.3377909446403, -1989.4598023816518, -1992.3395455277057, -1985.8881180667984, -2011.3984957207226, -2000.7119773095242, -2027.8831886473367]"
9,"[-2330.22644006821, -2068.604922348926, -1977.8740143980694, -1985.8914638180759, -1965.2154176849135, -1975.2985998307922, -1984.1305600717674, -1979.9744120311598, -1977.6884192938426, -1978.1097936200651, -1977.651304735961, -1977.8959155767843, -1976.6530107428139, -1962.2375662515694, -1968.7146235094924, -1964.399351425887, -1964.4706780208382, -1964.081197313058, -1956.9074717579738, -1956.9238758103525, -1953.6933483411603, -1951.5600429846081, -1951.0168519820927, -1958.1459379015782, -1957.7659387420144, -1956.830042524089, -1955.495757573752, -1950.394936170883, -1951.801081885413, -1951.8408547389492, -1948.7094076220217, -1963.2791548433745, -1955.2698589743552, -1951.8480632323863, -1957.4758522069387, -1954.920655648292, -1963.5588853861918, -1956.186795013987, -1961.789434039457, -1963.7405686551474, -1968.9816111227453, -1959.3328034893134, -1968.6734077102694, -1959.842464635385, -1966.523381311767, -1958.5196603602146, -1970.2603571314817, -1959.5715775779158, -1963.793221214543, -1975.8359342777908, -1971.1437671933106, -1969.6515624142176, -1976.034948224455, -1969.291855317791, -1975.4080152626636, -1975.679474133927, -1977.479053958664, -1977.2519426845142, -1983.6149333951414, -1984.3601439885394, -1983.1419691406156, -1979.5933876202646, -1985.8057583377301, -1988.146219118288, -1981.4257864370572, -1985.0330864305884, -1978.2601473896814, -2013.9038072797684, -1982.4851030273103, -1992.6983247340333, -2012.5977896447728, -1985.1863619390574, -2000.5131753611527, -1974.1281035116888, -1991.3797424062836, -1989.3082555652527, -1992.5787338896184, -1979.9557668998032, -1978.6841870425117, -1995.9531299585876, -1984.8672917512556, -1998.6294946168669, -1987.4492915514998, -2015.7022697507261, -1989.861538054144, -1982.5914050232834, -1974.0008731048035, -1973.9297227901093, -1974.107695603904, -1974.8804489120457, -1974.9701979487897, -1971.4680655823236, -1979.0257982898956, -1966.78460525204, -1963.874665099903, -1963.9153863545941, -1964.3277882413038, -1962.6244366945368, -1958.3317972048224, -1976.9548403601393]"
10,"[-2150.1681001290412, -2006.30004471215, -1985.4129600091103, -1961.7898444807115, -1959.539002998096, -1958.590127287123, -1959.8320317973223, -1957.9860283579437, -1959.1953283241785, -1958.682919177884, -1964.3863191675246, -1959.9967110975533, -1964.9006438089746, -1966.322288086019, -1965.3162824071762, -1968.1788270742134, -1974.44987144634, -1963.0017009339033, -1977.2125940426347, -1972.492634816082, -1971.6303634284761, -1983.1207228940928, -1972.1110241246333, -1977.0014695065186, -1988.5257348424598, -1980.0882276754392, -1965.1396347264656, -1975.116514701553, -1963.3979941785938, -1967.1721473717516, -1986.8922231558763, -1955.3391955122852, -1969.5875404895958, -1967.8457725434314, -1964.574533785166, -1968.3385427042856, -1995.6840073958601, -1974.6762514449965, -1993.8196271737568, -1984.6312178658497, -1994.4534857438937, -1999.9792759577374, -1992.7479496500098, -1995.8275509321093, -1985.495953384619, -1978.6373645545393, -1978.6925730477637, -1971.6124739017894, -1968.187098639262, -1980.04862587595, -1972.4431105006045, -1999.6019263438702, -1999.7486087181753, -1995.4021731887246, -1989.5431001125437, -1986.1025588508187, -1994.5836234411981, -1979.910429289031, -1974.9059663916298, -1975.0607914634404, -1999.1563471220397, -1983.3490576841705, -1991.1930196150972, -1990.4845753101063, -1988.3038547582487, -1998.0013947972498, -2017.670038487421, -1988.0371126940245, -2000.0881144722146, -1986.9276055276825, -1997.1493331861104, -2026.4278882468996, -2043.1222377715897, -2010.8006050059917, -2015.464596634018, -2017.1746225839297, -1992.6678468522266, -1985.5563925676038, -1990.1630945557313, -1994.0192629010953, -1991.8006245006036, -2007.211915545337, -2004.8072959972505, -2008.4445312273713, -2000.2068791184097, -1996.755269301251, -1999.3871656271438, -1990.2038189770512, -2005.7606790231255, -1995.2822696265016, -1993.2182245254824, -1995.4186788785323, -1978.313293414228, -1991.756628264947, -2003.9694108295037, -1994.226511180617, -1995.9975886705065, -1977.173107604917, -1984.3185357322507, -2005.4897403644857]"
