agent_ID,returns
1,"[-3324.633971811597, -4555.858778967851, -2553.912245980369, -1978.001343819379, -1956.3196897862408, -1974.9306350320096, -1986.6300218616882, -1983.0090648643932, -1971.775333903976, -1968.3064017634151, -1969.3995830061983, -1973.1767285589017, -1964.4892522321443, -1964.311830882975, -1959.656188771757, -1959.102627060473, -1959.77631997845, -1960.03504602421, -1956.8195802321738, -1947.7973139788483, -1954.6804103947866, -1948.105058679005, -1948.102901601104, -1948.4652586589061, -1944.920090861611, -1952.3737220613777, -1951.89578543801, -1945.8950814022774, -1944.7638759231168, -1945.8523847376252, -1946.783568012337, -1944.519624501924, -1945.2830667831433, -1950.349396553864, -1951.0830059178154, -1946.5921404764808, -1950.7764488455182, -1950.550062309816, -1947.4964853034335, -1953.826861054549, -1946.5760286439777, -1946.9793847202852, -1945.1091183778567, -1946.3081131290812, -1952.1047046924557, -1951.1602725924508, -1947.7792163640888, -1951.3192781657094, -1949.5664237410742, -1951.5647464716235, -1949.86866574952, -1953.1776755804865, -1959.0164191206586, -1977.3381155963843, -1955.8645037424408, -1965.7853118463365, -1959.3512437202698, -1966.945980091763, -1969.6216993344037, -1969.5957367954747, -1956.9465716102955, -1960.1829065373981, -1966.1763193952181, -1970.4540986295854, -1965.322463674353, -1961.149350347857, -1956.8040607598573, -1962.7961828244602, -1975.3577039337597, -1971.4898828447797, -1959.2679421764194, -1957.3108606923176, -1960.6140943621904, -1952.3668278380424, -1956.4722618787348, -1955.4450183430974, -1954.5169669317952, -1949.631412633868, -1955.0720092855613, -1949.5227616727157, -1956.872942694174, -1952.9850470662852, -1959.518539285269, -1956.1126100401732, -1953.2848972770355, -1953.0703321440399, -1956.498145527437, -1960.4665107200208, -1960.570395967709, -1959.8306917463447, -1953.582196423948, -1951.832370879204, -1956.0796376213414, -1951.1546443885254, -1959.694199502666, -1957.1814233719904, -1956.1683866397927, -1952.8131005627095, -1957.33458903977, -1949.7200951611287]"
2,"[-9730.17983342429, -4376.98102528024, -2061.092390858565, -1958.0801922835526, -1955.55351405962, -1959.3664672779869, -1958.2898015951146, -1954.5667690196253, -1948.8949586822139, -1951.5294141863956, -1951.0029476624738, -1951.546134458088, -1952.3772013391817, -1953.0144037871737, -1953.9654643485808, -1955.30015130565, -1952.0537226099839, -1953.3660526641129, -1955.4377631410125, -1953.5915539223292, -1960.250851786233, -1951.8821018883516, -1955.7309716247455, -1957.8201619164804, -1952.2309317068255, -1953.418517183672, -1953.8695848478474, -1957.2531778548828, -1956.0479241340468, -1952.5752830466797, -1958.2505116689813, -1961.49338974607, -1960.5489462975418, -1963.380835805356, -1971.6034876162557, -1970.3795244614175, -1966.4801111131085, -1968.5791462229286, -1958.276377944522, -1970.515783622669, -1976.8496871617215, -1966.144835051905, -1964.8631592998179, -1980.0666027578736, -1963.1597175772897, -1962.0456421044823, -1966.4802481658585, -1967.9831637621753, -1967.5244305244157, -1980.5370735012934, -1983.6728335615392, -1985.60981005382, -1996.7821200043954, -1996.3521883491521, -1988.2942265313902, -1994.7210984828353, -1991.8859790007018, -1996.529619627892, -1995.0391124013468, -1993.8972502047855, -2013.4300172576004, -1998.5917787444946, -1987.7549465351724, -2008.405674741962, -2002.8644966521997, -2002.4818686854164, -2014.1139433828241, -2012.0829122604496, -2000.841235579783, -2010.7810501331244, -1998.0495157611333, -1992.4949558845485, -1997.7239558332024, -2004.6961351088669, -2008.5625869315193, -2001.0957656830299, -2002.42284846222, -2008.68826698646, -2004.8589297935716, -1993.9686551393186, -1997.6221447822506, -2019.618259857752, -2012.187154247897, -2030.915118854251, -2032.8766031028551, -2034.6985183699037, -2024.4221608968808, -2028.3504043745677, -2036.985763604171, -2022.9278454896298, -2037.535722508218, -2039.481586244183, -2035.6575921391466, -2031.0332618765663, -2030.079686806509, -2052.4797589293175, -2034.6308932608165, -2065.855604203536, -2027.661731107447, -2031.2730681782716]"
3,"[-2592.735901334762, -4553.073935068385, -2082.9410351585984, -1960.9575645473726, -1961.0428845503227, -1982.8445184179784, -1979.1676404519983, -1967.8624184933715, -1958.6716820705753, -1956.1496756881472, -1954.026239138867, -1949.7585634645725, -1951.9306016662897, -1951.9844255106505, -1948.490967230246, -1947.2917484735046, -1949.5900370273466, -1957.372911976966, -1950.7450434665107, -1946.6540934606237, -1946.3757647149494, -1950.6240605207965, -1948.06679701427, -1947.0938496087208, -1951.6831909848595, -1949.8376443100346, -1945.90056279927, -1947.6982912919939, -1943.3446489978392, -1953.0589552506513, -1951.3541492837483, -1944.9689459473589, -1950.6747727172092, -1945.0450602120204, -1949.6124532171104, -1959.6903164014136, -1953.954502216998, -1949.0358014127912, -1954.9964362644334, -1951.268034579302, -1949.1668114556317, -1949.089576742973, -1944.2804206954504, -1944.845509822108, -1957.1579010497248, -1949.8415401463164, -1949.0588343896313, -1955.4885424885113, -1954.6573889565786, -1949.6271192957474, -1956.48204097203, -1951.8076033065652, -1959.6782613604512, -1947.9090681809696, -1951.5030174727235, -1944.758516991541, -1952.3692399026625, -1949.7416173474196, -1955.4930911316292, -1951.280466874489, -1955.356657015905, -1949.0383910956114, -1957.4075910247427, -1949.4162124032728, -1950.7646262316032, -1959.9052110647283, -1954.2883231817234, -1977.3603138213844, -1972.9832376760141, -1963.8341178098972, -1997.7282636354062, -1972.794492707797, -1979.2992440514665, -1964.9976740602995, -1981.6364815547302, -1980.6411952757624, -1965.553821935845, -1973.6513394828082, -1966.5963934612018, -1969.5741561882555, -1975.2222550640224, -1958.9419713980983, -1963.6308317912537, -1966.9458451982503, -1977.7426560648107, -1966.1819199928639, -1970.7970972364064, -1970.6316377223027, -1979.1982782848409, -1963.2930977510143, -1956.6898045295702, -1964.374485183234, -1972.0706916604317, -1964.3710788432302, -1962.2214497405105, -1973.679416128856, -1964.4016192121017, -1964.1399769144066, -1960.4755291421875, -1967.5250700211536]"
4,"[-3182.0513737441497, -4364.792432956917, -1999.744939148898, -1946.8500228877258, -1973.029676443204, -2003.4887761485847, -2017.6155881998318, -1979.1917969987655, -1970.1855552259726, -1975.5933878261542, -1972.645537452989, -1971.8979775672196, -1956.3533540819317, -1959.7672056502447, -1956.851228849699, -1953.5627211273033, -1959.1588245766181, -1957.2541045054097, -1955.7287960470594, -1955.7334282949196, -1953.1126981348632, -1948.693283477197, -1950.6414627041652, -1946.9326320263744, -1946.8972041068273, -1949.184295333091, -1947.4980869643114, -1953.6584338162427, -1957.199606670359, -1950.547308317584, -1960.7624175213648, -1953.760269148607, -1958.745489613309, -1960.8391583848766, -1954.3224276514409, -1957.6748523444273, -1958.9751218121326, -1959.2438028111007, -1961.7894237634334, -1960.0193382062666, -1958.8219024313437, -1955.5266852714756, -1969.7797836903776, -1955.9304148430735, -1958.4031860810921, -1954.8461776381719, -1954.782708329172, -1956.4412270521468, -1953.843658321697, -1956.7009934393361, -1950.1297116652393, -1956.6403043554758, -1956.6385183211053, -1951.7121755143958, -1944.2178472749483, -1964.670553560022, -1953.2155258443534, -1953.445607283532, -1957.944706296402, -1957.6390871549056, -1953.707137750353, -1956.8369705663995, -1958.7512342780835, -1958.8740906825299, -1949.2911837167208, -1953.9672846372252, -1964.1300709651225, -1958.5306485545289, -1954.2515054410121, -1959.506916738201, -1957.5325232759094, -1964.370702339675, -1964.438496151529, -1961.1739450305752, -1966.8962969819042, -1965.2889934797743, -1965.7452583901445, -1971.367938657367, -1968.403966293373, -1972.1250522099415, -1987.6426538741407, -1971.3838323321352, -1968.4860937377782, -1968.8457973404738, -1983.3706189980796, -1976.4031242563442, -1975.7505541106514, -1977.4330792271253, -1984.2382139153515, -1981.345529620577, -1969.925789200285, -1958.3322673044338, -1960.2169420082685, -1955.7176285472053, -1956.5350717567853, -1953.4312551930516, -1956.2258220213535, -1964.6293011023806, -1954.5645730868928, -1954.043904349521]"
5,"[-2738.470025712947, -2443.4479702568287, -2010.6658238642053, -1973.613864117334, -1961.4810150561498, -1963.6894542531102, -1961.1359437360975, -1963.142302369067, -1964.7035441093367, -1971.4152760490776, -1969.1659336523198, -1966.9859952012248, -1959.9961710769828, -1956.6419641550624, -1955.8879094014542, -1960.8087029299556, -1963.900081323424, -1968.8968986344344, -1962.1142809779353, -1965.7219632140614, -1964.2781451122646, -1969.204470853431, -1966.9973620655555, -1962.8902003705998, -1959.3372488254931, -1964.2035286475957, -1971.0829984626807, -1972.103636744887, -1959.434457082745, -1959.1461320035758, -1954.8273287386257, -1965.138265042861, -1959.428569294122, -1967.6942781720143, -1962.4147991627767, -1967.9928579598743, -1971.742766105683, -1963.5759957883106, -1972.126167856253, -1972.695079059218, -1985.4140978168614, -1989.1608925846197, -1962.6631354525653, -1960.0067947308646, -1960.4534670716762, -1971.986127529352, -1957.986428160911, -1958.7581306230668, -1963.3589850958795, -1969.9090610512792, -1973.251843857705, -1977.9445172413054, -1960.891293179581, -1966.625497724522, -1983.8239278790859, -1979.8755553929134, -1969.7062589631794, -1970.2153074501052, -1961.4938274454069, -1968.2532215987912, -1993.9966927409105, -1987.190424955648, -1980.6514841168007, -1962.6906263138378, -1966.2653523944616, -1972.8545147562268, -1980.9056958738252, -2004.5711685795904, -1981.6262502475363, -1996.2876970449745, -2001.8246572688352, -1988.9212938726318, -1997.9741868154167, -1981.8816502266636, -1985.6250190183348, -1983.4251355888662, -1982.666877233806, -1986.0785896166385, -1981.5037679391567, -1991.8974020525336, -1981.2641258428202, -1980.624874860883, -1971.4784258702712, -1974.198867765095, -2002.7035099719233, -1979.0927444129256, -1994.788944242075, -2003.563331627149, -1967.290261487616, -1995.7379641732439, -1971.016964870232, -1983.4775089352615, -1962.3917852346665, -1978.1136153900582, -1974.5557432651979, -1979.2602853380872, -1973.220635117881, -1982.336048395439, -1966.7689590266282, -1979.5319259957505]"
6,"[-68837.13480547821, -2338.941139901906, -2095.6305791899626, -1979.247738801276, -1958.0462794442903, -1962.0973648621905, -1954.0867908572477, -1950.0010046300745, -1950.941836096951, -1954.3537330492393, -1952.4778123619399, -1954.613514624325, -1951.6875262406168, -1950.2048545588923, -1955.0821109746207, -1948.9873413909047, -1953.0277151234, -1947.2186802000076, -1955.2540656420863, -1949.798985371189, -1949.6711969872265, -1947.8236465920616, -1948.2745490433688, -1950.9202643521428, -1948.491149667725, -1947.9216838868485, -1951.4937062182826, -1957.3520769777965, -1946.3005026162102, -1953.5535976339547, -1956.8262567077518, -1948.0051360677132, -1952.3701283160897, -1957.9636872088836, -1960.8241962090847, -1958.2755790995593, -1957.140044938511, -1961.2376112116167, -1961.1091025816572, -1962.1265560006443, -1962.6146619965032, -1959.1776563220124, -1964.2479889966078, -1961.0477009545402, -1970.4526829868475, -1970.0078192516796, -1966.802364285705, -1969.969608330497, -1961.165097810248, -1968.0937339195168, -1973.3448360150753, -1973.9949470617362, -1969.0092593074644, -1955.8499304858506, -1973.1658167929597, -1958.9799263924363, -1975.0151386293555, -1967.797266913666, -1972.643335291196, -1965.8737682025599, -1963.7755891190748, -1960.9193484629382, -1960.7639940930503, -1962.190780559067, -1965.3610245708194, -1970.8772700967988, -1973.3038264641805, -1979.9773720121004, -1972.3709885839808, -1974.0720323871944, -1989.4616318743685, -1981.3884695772679, -1993.69289361306, -1986.8270777952287, -1984.5076409313542, -1996.7131885839838, -1982.328724982037, -1980.7548696249214, -1982.810559020283, -1989.5080637800315, -1996.3214915804365, -2000.6679182023422, -1995.06588071325, -1989.5800768416605, -1990.659130161375, -2000.254613072389, -1999.695900745892, -1990.848094480354, -2023.5948354844338, -2024.7200415490022, -2030.269942774921, -2022.3325075392777, -2024.9369667864466, -2031.080062507768, -2020.0280083827229, -2034.621824521347, -2031.209762969882, -2058.1290644600117, -2033.8893677869985, -2037.7747999555754]"
7,"[-10178.108089684421, -4338.3302893227265, -2112.7629702118725, -1970.728222513278, -1950.899831587297, -1988.1421952060368, -1985.5642204836574, -1962.6432058209593, -1967.174175377407, -1969.675230948837, -1957.6742815310115, -1954.943352762102, -1953.9860396085824, -1956.4240024928954, -1953.11916621146, -1956.3186733269868, -1954.9747018741448, -1955.5522620093604, -1950.1583169798648, -1951.6226959517467, -1954.3736488592224, -1953.2977961429344, -1951.5729972298723, -1951.5499597553808, -1959.7226818561828, -1959.3106966710252, -1957.5480466306406, -1959.2701760194802, -1965.4234741614946, -1958.537455206982, -1960.8796254548527, -1961.186904009054, -1961.0260723856668, -1956.6668375530749, -1963.697779130261, -1958.8975844042782, -1961.1838495334257, -1957.929922924803, -1964.7176265960647, -1970.2685212625242, -1970.6455457249745, -1962.2269253189233, -1971.052400887456, -1975.253310136985, -1970.9994938813238, -1966.0153108504767, -1977.8977123183597, -1967.2808732206242, -1966.7755938382888, -1973.0433728111025, -1970.6861671812253, -1971.4925956248594, -1973.8285638828884, -1969.2032286639642, -1975.5916194714832, -1980.1657765843472, -1981.7977926270955, -1983.8871894463953, -1974.418536131823, -1975.7072282885777, -1975.5716228445322, -1962.7971596598331, -1979.2575054720562, -1967.878047522827, -1985.073903519178, -1972.2106910073376, -1963.699043777823, -1973.335811537157, -1971.3358461135726, -1976.0943957101615, -1992.0126954537814, -1984.535467619195, -1981.0302160411516, -1978.0005948763878, -1991.899323347047, -2015.7937738029102, -1992.8296554018596, -2003.827883718319, -1983.0456659868744, -1982.6623397411754, -1988.9185106643868, -2001.7093062658669, -1989.894806486832, -1988.8408245374949, -2008.4407135204974, -2000.536739971698, -1992.582481697253, -2001.066549272883, -1993.4056413350638, -1993.9415759743463, -1993.9979452547234, -1976.64528195277, -1980.4706525869376, -1975.169858532359, -1971.9136390857022, -1993.1901569710058, -1973.480914631391, -1970.579445901989, -1984.5828379763964, -1983.7997650384152]"
8,"[-2852.3257048909313, -3031.867172934149, -2231.461552171368, -1966.0102673477238, -1973.252406160992, -1978.8349267613878, -1976.79625703376, -1974.3258106360308, -1966.2790102321076, -1964.3446650729013, -1962.1403434761658, -1969.8217978559155, -1963.5599283458027, -1960.9889412819384, -1955.029659480154, -1956.1113338965513, -1964.3073840190225, -1959.8318136636176, -1960.1228783570252, -1960.176245269426, -1960.2526830768957, -1959.1825481836827, -1960.8277757846981, -1955.1658506320232, -1962.0990924030257, -1955.8799390826694, -1960.8830450824364, -1960.4169306312574, -1947.2098665007907, -1952.961990195399, -1952.313911123962, -1956.7729627307172, -1951.8865892978529, -1950.5579665115597, -1955.370872787811, -1949.2510792853884, -1948.9718681375496, -1949.39888569399, -1948.151414884324, -1949.3933781775818, -1952.638138311757, -1951.2922468105935, -1953.13750285881, -1962.1397371532614, -1957.4796572145435, -1957.848011866207, -1960.4951022816917, -1961.5205908317853, -1960.3996120838888, -1959.864319114219, -1954.3905232599711, -1959.8332469863421, -1968.764692864572, -1959.9954880011994, -1962.2871667107388, -1955.821805174723, -1962.7190774379483, -1957.855978060634, -1965.3522914977339, -1961.6404196852425, -1960.3230620800377, -1957.6238266222508, -1963.1807510135034, -1959.1083475885125, -1959.5526500357028, -1955.7258570251245, -1948.2359069394477, -1948.3528388193422, -1950.0300368893952, -1952.7794281813278, -1965.8449086362969, -1955.3125142183885, -1955.7168808048561, -1954.415494891218, -1952.4208703529857, -1958.6574699467565, -1951.332533074808, -1956.83237563424, -1958.0967483770373, -1952.5970194034317, -1953.7479234056404, -1961.4585603043795, -1958.5101619601323, -1959.38054244526, -1960.6687618604008, -1956.5756126703816, -1959.933339768291, -1964.3506566321132, -1975.6072300619662, -1967.003245640156, -1963.5647852155828, -1986.3704902161846, -1969.0306015410422, -1970.1415237220212, -1970.658125793265, -1957.2291096553658, -1958.522556738253, -1969.092442404604, -1976.3662501852702, -1964.670857909518]"
9,"[-69058.28546696875, -68891.4471720495, -68749.1699646672, -68867.01699321532, -68917.68888254747, -68817.92077931434, -68961.53091584293, -68908.95522234582, -69081.48280704592, -68832.98487646789, -68910.6827980087, -68960.40091815137, -69004.13085595127, -68765.20317440259, -68871.11647687177, -69016.14726098457, -68907.51945060486, -68953.53170205084, -68905.34917194476, -68762.18594403888, -10221.730497199445, -8860.631831228282, -9761.233302892382, -3581.762832552429, -3286.815182836698, -4220.827234317313, -3826.384414545951, -2029.4527774911994, -1976.0501131235983, -1988.2079152455362, -1981.2206435593714, -1983.5832922953496, -1992.868339881616, -1982.9095417054864, -1983.1533675088333, -1990.9104206391153, -1992.2825709574329, -1977.0736956999845, -1980.5743699133316, -1971.6266323021032, -1964.7039838705398, -1953.645608878352, -1955.650976718589, -1952.971891639059, -1957.4030157841376, -1957.6365983618587, -1952.4034107913446, -1953.9978847513016, -1954.5070333595984, -1952.7807829648366, -1949.5053086634657, -1949.6192473795684, -1949.4653419390681, -1948.6633466024246, -1950.5528012486636, -1958.2416011020146, -1954.5648527559285, -1951.5381209050327, -1964.8552094781357, -1954.2152368460102, -1959.1915953897978, -1952.4613746582343, -1953.8301421505416, -1995.732528593477, -1968.5355617736977, -1955.0619486686803, -1948.2023647198919, -1949.4505998566435, -1949.8596047005078, -1951.142680117374, -1953.2935534700503, -1954.4819946494117, -1952.2531557750372, -1952.5475428354764, -1957.0845470503848, -1952.4982050954475, -1952.9216404370707, -1985.1556769525127, -1952.8750352871818, -1961.1794067075741, -1951.9139035503986, -1953.3434264711618, -1952.1348295123212, -1967.7913475454093, -1959.4293524235893, -1957.9246400130387, -1960.375875614148, -1954.3969951264767, -1963.3359191445034, -1958.9005646818969, -1965.0778602296482, -1962.5347627106628, -1973.3012769809702, -1960.9235544595372, -1976.389745162223, -1963.165381058546, -1963.845892083012, -1984.6465806155293, -1959.7231282426544, -1966.2225550763067]"
10,"[-4390.9249927076235, -4338.430787687652, -2111.383500701165, -1971.995453164548, -1964.5059949950826, -1974.2653433962669, -1974.6850028950103, -1969.0483514257305, -1961.2875998337818, -1964.2872155035013, -1957.8938840927026, -1971.5792347334607, -1966.4132621986855, -1962.2887985338702, -1961.0064874945776, -1961.4363797888498, -1961.7678370235926, -1962.599646019969, -1960.3657355769592, -1962.0079840996414, -1962.6508590874898, -1959.6750052179507, -1958.3377013585603, -1958.4908472639595, -1957.840559776186, -1959.491628415783, -1953.5603517346688, -1962.9250169368706, -1953.2696613739204, -1952.765668446567, -1950.8592597844474, -1957.2872381584418, -1957.662935227218, -1960.7938629185458, -1954.443997684445, -1957.8678442616597, -1956.176465377373, -1961.5125117971463, -1957.4860023639496, -1954.921492527132, -1965.6079930789076, -1954.5445001815165, -1960.3646318849653, -1961.1537415058663, -1951.7482133451078, -1962.2906739814991, -1954.4628777888104, -1955.47446559457, -1952.1836748445553, -1952.11344239451, -1963.2493903810182, -1959.9864428763296, -1952.9523476632844, -1959.7807428066797, -1959.1954202608802, -1958.6860994322444, -1962.9310218781288, -1963.6548082332956, -1963.1263193954494, -1951.4454256172332, -1962.620626278749, -1950.9559318454865, -1953.0227921778342, -1951.9769355012393, -1962.540698490419, -1952.9765643098606, -1955.4409311649981, -1953.7758359855443, -1960.0103074946583, -1958.8903706638669, -1948.972066069414, -1957.809990027907, -1956.2691337285235, -1957.5253698617073, -1957.8347398673197, -1952.0079652353306, -1967.5375337199991, -1959.2017022338644, -1970.3029635347045, -1966.1556319762894, -1965.8876387928008, -1961.6786622493928, -1950.7406500832515, -1961.7062108980806, -1964.5319181380278, -1973.2350851941771, -1959.9594368259352, -1968.4938202126298, -1967.8883449586122, -1969.2228419100682, -1965.2977976222035, -1969.108029545592, -1977.2875386009462, -1968.8041909088608, -1977.4304977741497, -1969.3483216668542, -1971.1085089787198, -1972.4495229989313, -1966.1093932189513, -1977.3101568632446]"
