agent_ID,returns
1,"[-68919.55813912976, -68976.07241211967, -68841.95851820926, -68922.59864128137, -68943.10754438533, -2565.4621867009905, -2235.880224765846, -2263.7372121877916, -1845.1378761913563, -1998.824935443704, -2200.8898434565162, -2388.8977551253865, -2531.46903129353, -2728.9272774335395, -1921.652809671664, -1941.886664333761, -1846.6830219037713, -1874.248799262116, -1847.2338345716003, -1910.0013201922407, -1854.823757265626, -1906.2407039758903, -1928.6827907988577, -1948.526250363945, -1996.0529514298605, -1983.071154379182, -1960.0672875753835, -1954.7757805759338, -1952.4856233632686, -1951.7096924132584, -1959.0959323659808, -1953.4667344489492, -1956.6804335524644, -1957.4427810447762, -1956.1123175067924, -1950.0545943462191, -1951.1754347257543, -1946.2688639407793, -1951.9269633347142, -1953.8999926182973, -1953.466781262211, -1950.4620498393895, -1956.2763591353594, -1956.020344843411, -1951.5878642671387, -1947.7086470170932, -1947.7425142426205, -1958.6605739350832, -1953.2984017095328, -1951.3600493822473, -1954.9716665363271, -1961.9587831778344, -1961.9629158878774, -1961.811459965318, -1957.471140765018, -1961.071241191897, -1952.7341618066766, -1955.944988827996, -1966.3601837488864, -1950.7315026313406, -1966.8072257852323, -1955.828231249533, -1954.0113942924359, -1960.48171895186, -1950.1252966898617, -1970.704513483857, -1958.5486747344933, -1976.6813059712115, -1965.1414313548883, -1969.9528105656022, -1965.6971319685722, -1967.427261460317, -1958.1273899417847, -1959.8402009844394, -1961.026762349636, -1954.7712634979616, -1961.9127616173519, -1958.0532101774425, -1960.8801043424119, -1963.1854620769116, -1967.8361278221655, -1960.2179918496615, -1965.5782798269843, -1963.2365976400752, -1972.9428984574977, -1979.5857361983415, -1976.2607819845389, -1981.5998650992592, -1981.2922335179546, -1971.5505556562869, -1973.8543616273373, -1982.63789282821, -1978.7241256408922, -1991.962622202431, -1981.3341768632192, -1981.353221950953, -1975.6318469212138, -1973.8841480698582, -1990.1474195431501, -1983.5591677624407]"
2,"[-68887.6528480731, -68902.67872723991, -68846.051436828, -68941.48862263754, -68897.0727150098, -68938.18843560136, -3196.8633802843474, -3006.014051392551, -1240.1078011476097, -1337.631323618651, -2030.2416621578263, -2159.2429334687763, -1538.0400099452775, -1522.6620200114005, -1558.4130408980807, -1609.1774729680012, -1650.2881346858876, -1682.7323820057343, -1729.2095071609483, -1775.1875401793297, -1840.471477815928, -1878.8265041728102, -1915.3766437613112, -1938.5600476381594, -1961.1912941536466, -1957.799368016263, -1955.0626770816796, -1957.9519650070729, -1963.376143088276, -1965.0816039057681, -1960.647815128055, -1954.1294921159983, -1948.7503756322496, -1949.4351031278986, -1950.2429045101428, -1947.0153452426807, -1947.7039143659238, -1945.356448692675, -1943.7213647360518, -1946.754036021726, -1947.2089690584019, -1947.5345549365436, -1949.510827584995, -1949.5958960518005, -1951.6442958296575, -1946.9310224304993, -1944.5165754656057, -1946.0882120852848, -1945.1963286370421, -1948.2813955672937, -1946.4277485874727, -1949.426896674998, -1942.7968288896288, -1945.635256832396, -1945.539759469339, -1945.2820721883172, -1947.1435188558423, -1952.8330547335734, -1949.8393877503213, -1948.0952237690565, -1949.0471600615767, -1951.8601525560887, -1947.564215289891, -1953.4978526379357, -1958.2001026744315, -1945.627058694694, -1948.2547663994442, -1948.283193536202, -1950.5853962075068, -1953.5156816543033, -1956.2546314144483, -1955.2964173601713, -1950.8682140265678, -1962.5974599500573, -1971.0216919662269, -1958.265808380559, -1971.932797499109, -1953.7498545122858, -1953.951873578376, -1958.612472948538, -1965.6632270176249, -1954.757312589867, -1955.213875250691, -1954.9231693452207, -1956.696777015504, -1955.1482237905063, -1967.915059673006, -1957.5527404403015, -1956.2543284157227, -1954.3277245321701, -1963.6365218484111, -1961.4141452552014, -1950.5737022432202, -1958.6517937877575, -1951.8674313745107, -1957.7241477746256, -1958.6727878606318, -1959.872642531504, -1970.1957228702324, -1953.6224950389305]"
3,"[-1154.2422019489518, -1038.4380384243932, -1018.5351000947287, -1156.1139654995147, -1280.3578833299828, -1428.2312543719122, -1668.921372768292, -1406.1524625190837, -1893.5718448189425, -1503.1544836360938, -1773.1848960464008, -1554.1589591315549, -2047.2227126156345, -2648.716580877519, -2531.393954160617, -1780.3548005967914, -1785.0609666180737, -1805.1584909718133, -1856.544187296133, -1894.2816564508794, -1940.1186659635189, -1953.3715277865165, -1976.658295396785, -2069.8030813404175, -2051.48054172195, -2004.9230307483053, -1973.2606416041426, -1967.8772272448864, -1974.259594423161, -1958.563473309235, -1972.3880961540174, -1955.1356521657892, -1952.2270992270385, -1949.369651555095, -1945.8492073763944, -1949.5195786426782, -1947.473217839532, -1947.3091664416995, -1943.4559985992066, -1948.8204916689062, -1943.4276681723527, -1950.0830193382606, -1943.2922116857126, -1949.7355387358057, -1946.2971925793568, -1945.9068718153876, -1964.9824396390404, -1951.0008450412777, -1950.7704029190788, -1956.5292597453908, -1947.666898871865, -1948.1400739602589, -1952.957675068505, -1945.7238633102781, -1954.4258324885445, -1953.700456759163, -1942.7459001164643, -1949.71007598459, -1949.7575620108416, -1952.1954948120094, -1953.0945531621414, -1953.5692845708127, -1949.9024792302203, -1952.7290486399263, -1954.5284950946145, -1949.139618854765, -1944.7763693628228, -1955.8098553752327, -1954.9171671537547, -1949.6350842022257, -1951.4382795607823, -1949.77362715927, -1951.995314633247, -1955.1590614893162, -1966.7435174776667, -1965.5904897130088, -1960.4414967294808, -1962.062303255352, -1962.1498069317047, -1963.999206755711, -1962.4490520211702, -1954.9404882929914, -1961.528301729923, -1969.7613531655154, -1959.6808767457037, -1964.2900953298297, -1963.5080042190348, -1969.4742144269567, -1971.0952050305382, -1968.5134667696784, -1962.3307413280627, -1964.9661773085097, -1972.0639584953158, -1973.8168929042145, -1968.2426966794394, -1982.9076913850713, -1974.0636333635352, -1979.090248307755, -1980.3761297018157, -1981.0751683332971]"
4,"[-971.3487264382068, -1030.6127382789468, -1017.4365477497258, -1160.9320851131797, -1289.997980240293, -1439.1222862391019, -1539.9144130285, -1601.5440514144145, -1737.4043801275348, -1440.8468166643631, -1545.1834352701442, -1538.160349381355, -2264.871301032815, -2378.4673345663628, -2019.7391502236649, -1977.073908322952, -1877.5301783422844, -1917.55788912211, -1949.0148639342356, -1991.7959491294773, -1967.4114333863886, -2011.0431905873427, -2170.698070464725, -2139.370082745008, -2150.636363643412, -2085.2524238214387, -2060.12476333898, -2010.6405874696711, -2003.012397995235, -1984.0467553411604, -1979.6714641286246, -1965.4422184677285, -1964.4799259356546, -1957.2372686791682, -1955.1660628460334, -1948.9868277092135, -1945.841042274745, -1946.9827536099342, -1946.665644736867, -1946.1920363600518, -1951.9111360442562, -1959.614843793031, -1954.864244365297, -1957.443449533117, -1962.8134991949155, -1961.191776671753, -1957.4158143668717, -1964.642091703202, -1963.0663717456255, -1952.5656022847352, -1964.3548620807287, -1951.4813207842612, -1966.5414749703368, -1960.2243342916167, -1961.9637535423287, -1971.4019632593574, -1976.2423030263294, -1971.413154824188, -1966.270163578678, -1966.591992614092, -1964.9576895510909, -1968.184926488166, -1969.1896907403163, -1963.6486681252438, -1967.4453080152914, -1960.8243589790582, -1962.3295089605767, -1971.096579260938, -1958.1593313614765, -1950.7524587208711, -1954.4406024769173, -1964.7203549964104, -1950.0029025446643, -1959.7252790761136, -1953.9876781242915, -1962.2349638792564, -1962.8294938087895, -1965.7109830001273, -1954.482627813847, -1961.195486929725, -1971.427516929776, -1971.4789869203933, -1977.1057490286507, -1972.1929443300182, -1981.881752403494, -1973.628520550275, -1970.21016956045, -1972.8171694300165, -1984.4087094479817, -1974.4419080299792, -1979.934094099072, -1980.5012156639975, -1962.9609686134756, -1983.9629797528132, -1981.5149081705192, -1983.794826711881, -1980.6601001354688, -1982.8870575479848, -1980.7622363483974, -1982.860135415764]"
5,"[-1023.5755424987782, -1019.4563010152419, -1045.6158919863801, -1245.1224450491934, -1386.480570233055, -1501.4995921902373, -1272.3183428635957, -1442.4072505793913, -1462.5138674407824, -1577.1859402489854, -1497.367022986615, -1461.412068401263, -1565.450430047473, -2046.0861666224214, -1857.6045862410808, -1799.291488039705, -1875.98068351127, -1876.3354192585873, -1927.547709211864, -1945.5923788221066, -1909.0526760260993, -1923.6930903968894, -1983.9618714508981, -2024.969303221865, -2070.943435905843, -2049.4681092741707, -2043.9678026145132, -1993.645933618818, -1972.0447948749213, -1964.4439680657583, -1957.9549318411282, -1964.1200051697806, -1959.9709828598996, -1953.4852482214542, -1954.7911317417258, -1947.951900277619, -1949.1914029368836, -1949.273018157698, -1949.555029141068, -1953.271290979959, -1956.4054231088828, -1958.3812656827704, -1952.9081961661316, -1959.3647660971324, -1961.4411013659453, -1950.7731301230854, -1961.5439011184285, -1970.3551117922846, -1964.5076773472322, -1966.9400389423142, -1972.923279770453, -1962.0420042127919, -1960.3704986162659, -1977.6361200842673, -1966.597034363741, -1969.7003413837535, -2003.2518600923186, -1976.808993769525, -1976.0620668399445, -1969.9035769692978, -1959.6500481900846, -1970.670498634135, -1971.7652759511986, -1967.3916057504675, -1964.5100797193043, -1966.6452622061086, -1973.4446388132067, -1982.2087033236528, -1973.1785415655759, -1970.8358798184124, -1965.9358080016452, -1967.510127815269, -1985.2985987919392, -1962.9950072389684, -1962.3791933634645, -1984.4564561544707, -1994.5580254789481, -1980.8379498258741, -1974.1784787840757, -1991.2920856921462, -1974.9814161847858, -1981.370863725522, -1984.2022443102912, -1980.4316141087822, -1984.3909341838257, -1972.5861235625111, -1992.7123859402748, -1972.2785359867241, -1973.7536203863058, -1971.6041309094228, -1973.1503864675128, -1969.6861342146985, -1959.897083671465, -1960.9471790796063, -1972.5972859676763, -1969.3681992062554, -1959.0563429087508, -1970.7226047967674, -1965.9237030959569, -1969.6470114704084]"
6,"[-787.0190571503286, -897.6085674232231, -963.059567032018, -1161.9337269234186, -1232.105241275912, -1281.6113928742145, -1498.797052011123, -1506.3860518716292, -1863.424741236761, -2006.8334449715112, -1433.2788455823936, -1950.155435763386, -2448.8043199170506, -2595.5825390334426, -1798.0424340044456, -2203.800711477663, -2532.4667619726283, -2577.6867041680052, -2094.0795865113764, -2066.7372212960145, -2036.2889404445496, -2061.3513255294306, -2089.3821408605686, -2090.1520996660256, -2087.5611364335473, -2066.8549937203143, -2045.330828287639, -2042.8201205238856, -2003.3931756724771, -1985.0136556712844, -1964.9213116505007, -1962.6762639984972, -1957.1597960044076, -1951.2963721487042, -1948.7571371660104, -1949.819872393833, -1948.604745884234, -1949.870014310898, -1949.0641617418298, -1950.275030412565, -1954.3024794238136, -1953.5706726260755, -1955.8949489706058, -1957.2298490772794, -1957.331420218182, -1957.7668495255955, -1956.9692515428862, -1950.0200591701478, -1952.1750455164768, -1950.1851679661042, -1948.4534629465131, -1947.3123053337972, -1950.1144172790684, -1947.1876788760826, -1948.5623288138856, -1947.7438123140157, -1951.0218675818248, -1951.6691970278712, -1953.42706653383, -1968.993789635267, -1972.930198583426, -1975.9436340124105, -1971.7972640476241, -1969.3878207714788, -1967.303716489026, -1969.2067893312078, -1968.8068354817026, -1969.1175816440268, -1974.7994845629944, -1975.1211040052933, -1983.9235201961299, -1983.2379361780875, -1994.5216374503236, -2014.7595855586394, -2011.6401106689805, -2012.9346796482603, -2004.4238625515234, -2007.3731480636018, -1995.396218008585, -1989.8353826158113, -1985.0556485680602, -1987.9907782608748, -1989.7450686737125, -1977.856239668408, -1966.0563652449682, -1969.275297797041, -1957.945800447119, -1961.6996694459592, -1962.5697110130973, -1969.2674427717373, -1948.463386971992, -1954.3289547745292, -1957.1235774144957, -1948.44459897889, -1956.5949984259369, -1948.463392364859, -1968.3202653743915, -1964.4981257466502, -1963.2869467198686, -1945.278310502602]"
7,"[-68976.07477222192, -68788.85072214653, -69029.44102134224, -68800.52719198655, -68845.57041044609, -68866.3847357316, -68936.65201073389, -68970.72730052257, -68998.29401634583, -68893.32945833096, -68905.83110433929, -68895.74390662243, -68855.5371896766, -68918.99630832905, -68910.27233200273, -68970.71112286596, -68943.93239831306, -68970.45308857616, -68970.77458194821, -68901.16905964231, -68826.56044970843, -69021.17431768955, -68846.73495479618, -68984.04486185194, -68983.54728962161, -68873.35195953435, -68941.6129936845, -68954.77158852282, -68923.95713421017, -68927.95401641415, -68919.84644340919, -68784.51078929268, -68896.21413154036, -68972.47823216314, -68764.60488342612, -68958.54542247608, -68857.88373228269, -68931.55061148273, -69038.77343325382, -68957.7508778686, -68818.56225120109, -68914.7830341602, -69003.22034338172, -68780.26987906126, -68905.43040485175, -68946.35943503823, -68966.45280290449, -68928.27495239969, -68850.61324450567, -68891.2268179405, -68925.19721070876, -68905.38983857323, -68782.95969335113, -69009.82380232315, -68675.71641082324, -68856.02106192852, -68904.28663688435, -68869.20991969662, -68898.52868545777, -68853.59677098649, -69012.15413559147, -68875.20369234527, -68980.06919599911, -68835.75051325209, -68804.12043048667, -68858.7614609331, -68893.60490732381, -68811.01353804968, -68888.95336526983, -68982.42687260333, -68906.1818744952, -68901.9405393296, -68920.56153271181, -68913.58584326887, -68729.83635446121, -68850.67260160287, -68881.01768272505, -68862.49019832986, -68774.09969281578, -68859.68426384672, -68955.7057041312, -68964.391308347, -68938.69772820613, -68968.09727130363, -68872.86756417251, -68911.71409476871, -68858.26881626529, -68896.25824739107, -68835.52110925951, -68855.89751198664, -68849.97892507198, -68902.17237103924, -68884.73541592094, -68972.08020264901, -68992.6598872078, -68838.18275559525, -68828.94251467072, -68998.03874859666, -68733.26719111757, -68973.36797364267]"
8,"[-1287.616655837272, -976.0262593402728, -962.3680602315429, -1178.9752801389948, -1359.499245410416, -1482.0803354288537, -1569.7156606210694, -1631.0963583879509, -1472.2367220044066, -1458.6168344836888, -1479.7684505531388, -1527.3763356040627, -1913.437000429499, -1995.962228490766, -1903.395716971928, -1876.4120396496558, -1918.1287077918378, -1931.659349857803, -1967.8193006794918, -1975.6377059352078, -2002.8819380674233, -2015.539812872287, -2126.72664724134, -2189.1830989902514, -2177.723311864124, -2133.814868172623, -2094.2292802714614, -2054.192650962436, -2039.8066220272, -2040.3009346689232, -2002.3185694969568, -2005.0042576191663, -1988.4435874175933, -1986.335905518409, -1970.9344760840743, -1966.488253712865, -1972.2432471281668, -1980.0054881871076, -1973.277891659131, -1969.243923476448, -1975.3785484503555, -1973.0053700511924, -1971.6317862628805, -1974.6914927186265, -1976.502510989284, -1982.714840978549, -1978.3888070774597, -1982.362739679394, -1985.9791284032817, -1986.8142176016884, -1978.0778069078804, -1975.4875171013534, -1968.9087005465178, -1982.7799611160624, -1982.8828343035948, -1976.8944778998086, -1974.8597213412288, -1972.3308283045035, -1977.4781920813575, -1982.0361273621468, -1973.6104159630254, -1970.562529092228, -1969.6714288738767, -1970.4914695075445, -1973.6268968019026, -1961.7610529034152, -1948.6602278172963, -1958.0719342023608, -1963.4411597218543, -1957.604377615773, -1956.7704404912458, -1960.9482111838493, -1949.0964799506019, -1955.5019097310087, -1957.4490399012277, -1966.8244171765832, -1954.183849087027, -1970.1704570972727, -1966.6388906622635, -1975.4150190626617, -1960.9353711136155, -1960.3421709567315, -1976.7277514752066, -1957.9230827039778, -1969.693767103037, -1972.9535776997743, -1959.753212246765, -1984.5708426396818, -1960.97422111948, -1974.9503960502545, -1963.952359467304, -1965.4264652502911, -1969.4967145169364, -1971.6022564730008, -1992.3686064765475, -1966.2797061612112, -1973.5600700068076, -1965.819701646835, -1966.12303925206, -1987.2653532979393]"
9,"[-807.7452793550069, -1007.9411863902346, -1246.6007892497362, -1335.492783433796, -1517.5346964727044, -1803.5108708368616, -1833.625475702859, -1224.8243781976091, -1456.07559702042, -1667.1826839136017, -1567.4857014684392, -1675.676914367389, -1601.0764048805493, -1666.5289732813471, -1643.740236742515, -1716.675292890085, -1731.0065918241687, -1802.542214720136, -1895.871602346069, -1931.7386167652455, -1955.2598563073293, -1946.40501764005, -1977.2726492318113, -1998.3338234037808, -2023.2110515669594, -2014.4997885229002, -2017.8206652112326, -2037.6686264930568, -2038.3037560502526, -2040.3343127626981, -2009.2236616289113, -1980.8944900243646, -1962.8439199777235, -1958.8934178503164, -1948.1783428147996, -1951.4646717120227, -1949.797651837149, -1949.399982449106, -1947.7123605969539, -1946.8777147339597, -1948.3906310663929, -1946.5726057184563, -1945.4043054927367, -1946.5732634831043, -1949.2665403718358, -1945.332747544169, -1949.274559295819, -1947.8630977025596, -1944.9636703476694, -1942.4936700571757, -1948.026210807124, -1944.4881386090603, -1952.35297165879, -1957.776451933863, -1949.625725113073, -1948.4464050442077, -1949.7800271863462, -1962.5926687055287, -1967.7250046810138, -1956.0324151969276, -1946.4427986435303, -1962.756019609641, -1955.5562607244144, -1961.0288736416496, -1961.4365699009063, -1971.7140973376427, -1953.5581668868429, -1958.2453145566724, -1949.9211996681483, -1956.161152115147, -1953.9028393567717, -1949.1079920675022, -1958.8651547003976, -1950.3763343967723, -1969.628331029716, -1949.0476552660955, -1959.0662223902216, -1952.194947638909, -1961.7011190104522, -1949.515879004132, -1958.8809175538645, -1953.776693901326, -1960.7395354131454, -1959.6976726801577, -1959.475350123503, -1958.2425444809917, -1957.1670546348523, -1960.2297595761197, -1958.245390645156, -1960.827078749011, -1953.729710655119, -1966.2245548840312, -1956.5192486043827, -1968.838212083762, -1968.3043523509934, -1969.351673825758, -1956.5229840466543, -1955.5207838926642, -1956.1385324976854, -1960.0662485895643]"
10,"[-1115.6484929340597, -1077.4633368305824, -1123.7670165167117, -1189.2189010744648, -1309.7431404944323, -1414.3175611823806, -1482.3434105863785, -1334.144307116205, -1759.006968779088, -1783.5098062154077, -1812.4309092270978, -1469.3807084879543, -1877.3664196132004, -2187.2570033539364, -2215.994504642917, -1975.0761288948136, -1880.2262230571846, -1941.8534546243907, -2001.921634429019, -2024.830029918437, -2052.7210574148517, -2058.8869758971528, -2115.2812344237354, -2173.9647650069674, -2184.2940073219197, -2112.8513872947715, -2054.8039245749255, -2024.611833429724, -2020.5019099413657, -2009.7552991138646, -2002.4076700079538, -1980.9219216862487, -1976.3070155733512, -1966.1806043411689, -1960.711025295998, -1951.7522495530802, -1954.5926170754733, -1948.1786818912594, -1951.7903186067115, -1948.0780787330002, -1950.48457462931, -1950.6867612487727, -1949.1081492085905, -1944.7247729914154, -1947.9953758486254, -1949.54454864259, -1951.44769984467, -1953.8038287986212, -1957.233844731482, -1962.370885708341, -1949.1430764398456, -1960.099257907028, -1953.6819894330167, -1964.5902335525602, -1958.2166643668165, -1961.089122386401, -1960.4929889785612, -1966.2618156589456, -1968.1581202319808, -1970.4160247562345, -1969.1896319003506, -1960.8687933754895, -1973.7340206965087, -1968.1396702439517, -1960.8077972747212, -1972.7112375038655, -1963.5134900049375, -1966.8191040379916, -1961.2911498184258, -1972.494831955157, -1979.096665757471, -1976.9356881477459, -1992.6354307536044, -1995.8597172509203, -1985.1228548623903, -2005.2086557896616, -1998.0991510345239, -1988.2610966568905, -1990.421801411742, -1985.7465750101087, -1985.5069651516703, -1988.3602900104602, -1986.533750441485, -2011.8204277884336, -1995.6018364990937, -1986.7759450381457, -1989.0271647608101, -1984.5980791761742, -2009.5743736893655, -2014.2132574819577, -2047.4525090282636, -2040.805389006176, -2022.861039322974, -2043.8522442998615, -2026.5524104835458, -2065.6228440341597, -2050.276336264229, -2045.4016884865775, -2059.9590464042476, -2057.542143671197]"
