agent_ID,parameters_ID,stockout,CV,order_cost,leadtime,mean_gap,time
1,1,5,0.2,80,0.0,1.8044470864780253,16.40926946401596
2,1,5,0.2,80,0.0,36.641983335680635,16.161239902178448
3,1,5,0.2,80,0.0,36.6387030803016,16.32746668656667
4,1,5,0.2,80,0.0,0.8529827973057064,16.331064069271086
5,1,5,0.2,80,0.0,36.64084692350275,16.126532113552095
6,1,5,0.2,80,0.0,36.64334940521265,16.279185183842976
7,1,5,0.2,80,0.0,3.694312747143044,16.370268801848095
8,1,5,0.2,80,0.0,36.641406665859485,16.19832125107447
9,1,5,0.2,80,0.0,36.64051626139572,16.30874936580658
10,1,5,0.2,80,0.0,3.305929374024917,16.416162331899006
11,1,5,0.2,80,0.0,36.642870309052974,16.18157405058543
12,1,5,0.2,80,0.0,36.64345088941471,16.210293034712475
13,1,5,0.2,80,0.0,36.64148376015756,16.429040348529817
14,1,5,0.2,80,0.0,5.416144869757403,16.39084946711858
15,1,5,0.2,80,0.0,0.12726524822103136,16.330455315113067
16,1,5,0.2,80,0.0,5.145300091971454,16.408454934755962
17,1,5,0.2,80,0.0,36.643641377078254,16.270339433352152
18,1,5,0.2,80,0.0,36.64105506694281,16.260254649321237
19,1,5,0.2,80,0.0,36.63828743284911,16.22447371482849
20,1,5,0.2,80,0.0,1.7082258297344444,16.42495959997177
21,2,5,0.4,80,0.0,35.53624676410181,16.254149083296458
22,2,5,0.4,80,0.0,35.53807948916608,16.253947683175404
23,2,5,0.4,80,0.0,3.721282280226511,16.35184065103531
24,2,5,0.4,80,0.0,1.0024256198050283,16.367407313982646
25,2,5,0.4,80,0.0,35.544713444236336,16.21242506901423
26,2,5,0.4,80,0.0,35.53678200628555,16.285903267065684
27,2,5,0.4,80,0.0,35.53541664801161,16.214041101932526
28,2,5,0.4,80,0.0,35.54126477218401,16.19368135134379
29,2,5,0.4,80,0.0,35.54432708769355,16.344367400805154
30,2,5,0.4,80,0.0,35.537445919010565,16.21280403137207
31,2,5,0.4,80,0.0,35.54071864156559,16.23586415052414
