agent_ID,returns
1,"[-4358.838477274756, -4011.389536219252, -3269.9859721611206, -2579.997866337924, -2412.188255589087, -2330.816382307101, -2292.183531852813, -2260.753012329744, -2244.9264265868896, -2231.877946845375, -2213.0363512574486, -2570.6230694176656, -3389.1044853754447, -5099.942373541352, -6475.703027404317, -7845.899800294123, -9467.463395910445, -11662.887817815195, -13506.37675786282, -9552.326296190899, -5186.6196127997655, -6831.340261040178, -8487.936030363337, -10265.150456114663, -12285.424615789527, -14034.425548268819, -5475.783060195373, -4970.441072251461, -7548.011764207715, -9429.798627554772, -11709.438524122448, -13788.664782512215, -12015.621143505288, -4475.948140351702, -6083.082102935301, -7607.909410976196, -7194.533163206526, -8595.402225265852, -10096.153599031726, -11717.086194112559, -13138.899817957465, -6980.926350686516, -5156.013306116101, -6612.34053177581, -8033.4010150602335, -9504.510201186073, -10103.290445094706, -11916.643515563663, -13470.602047413533, -8605.661692587764, -5005.379143667371, -5116.403038524544, -5476.26430870489, -6266.093013004195, -6492.555499149051, -6496.830796705931, -5198.67892741285, -5061.81718404927, -5296.570277008474, -4904.853240313291, -4679.861542534564, -4398.721239690952, -4244.811245870439, -4219.359128270315, -4851.098904405307, -5594.479370617326, -5395.153389667402, -5174.223289616802, -5207.13820016253, -5195.847143983668, -5365.951799920032, -5259.665094711887, -5612.819771486695, -5651.84775321365, -6004.743803527586, -5933.765566698789, -6237.122018880465, -6176.93426658161, -7062.890114465761, -7463.273281084875, -6865.026562422666, -7361.845795358895, -7714.511932750352, -7982.029644926905, -8285.210318175985, -8340.073762740667, -7924.934297908924, -8398.365957215796, -9356.71480561803, -6385.491735918482, -7120.383498131648, -7541.861578404782, -7285.179226839555, -7607.58135329153, -8104.38850762758, -8261.318064894265, -8506.341366237662, -8782.033062388911, -5432.045026294109, -5480.932496762049]"
2,"[-5716.477978029221, -4331.345103542233, -4252.421329697734, -2948.3225626470016, -2499.433469223868, -2345.2401389188703, -2256.6860427963206, -2225.597633966509, -2187.4346765245573, -2176.95028343738, -2176.6201664596406, -2278.2946919878345, -2657.6962515202854, -2703.984575628417, -3011.495334064895, -3274.8022807236057, -3846.3076888000683, -4665.145357709678, -5826.425809415519, -6798.055368452759, -7768.001583441254, -8644.57148069315, -9605.419074448007, -10600.25450894217, -11759.641274449736, -68935.5133433105, -68891.99472945173, -68885.34375187794, -68944.06321463552, -68862.693705017, -68809.59501041975, -68818.70170487803, -68935.31627527982, -68958.32016581552, -68970.3990643498, -68933.9194011993, -68880.28988013338, -68984.9378272765, -68949.87214969397, -69014.13670477866, -68890.70149972221, -68879.93961395379, -68998.61972964605, -68944.26435503014, -69008.11714610095, -68835.83676054749, -68979.8823005861, -69035.58139729743, -68864.9195275976, -68958.10389175465, -68913.53882342813, -68845.7471489672, -68834.05251708053, -68982.56578283712, -68836.57099735926, -68885.78586263528, -68901.15720172171, -68882.14141032968, -68938.10681192452, -68862.88943862036, -68862.34515965452, -68882.15315431496, -68982.0572058714, -69011.9978694272, -68944.18847205174, -68949.70065048791, -68793.04684613193, -68843.88998707214, -68721.75593649824, -68880.55777635984, -68951.79374594493, -68935.58561450035, -68922.25873956698, -68884.78129360425, -68983.02832782405, -68932.25420877765, -68997.55626058573, -69063.57739711787, -68871.35888430777, -68865.52318455275, -68921.60649350291, -68925.84495392421, -69005.24529958292, -68990.22613220022, -68947.11802589778, -68851.08320469712, -68927.79765117071, -68930.20616883831, -69014.73819343602, -68852.73462990677, -68875.53955826462, -68942.69538814493, -68885.45509822131, -69030.2708034624, -68913.87437881193, -68773.25756352021, -68923.07051824147, -68856.46089004044, -68985.32176084457, -68911.6606918457]"
3,"[-68878.0041900752, -68711.63950281285, -68834.3091622593, -68869.06197270697, -68909.38262167056, -68897.31239816987, -68937.37451049847, -68815.59022385182, -69001.54334929533, -68890.05973910674, -68905.49023846196, -68910.75331679477, -68943.21192660181, -68915.84611795485, -68865.79141741202, -18133.612168770665, -18659.723232200533, -23013.815174201798, -23058.81297959543, -25239.103842407458, -6251.4221098690105, -4053.7975832597613, -4060.6689042995913, -3368.5939068247644, -2666.7537281359, -2500.6516105101373, -2445.4819275389086, -2406.624395832881, -2449.1550592906615, -2450.5240237510475, -2479.8706443370725, -2521.0900922756673, -2586.59968649534, -2484.4983137977915, -2418.605055580246, -2369.6839627563504, -2280.3024092683054, -2218.8197135430246, -2201.5355759830154, -2159.731657007603, -2112.406243860697, -2088.0046103508244, -2083.4988997772243, -2084.8996105363117, -2087.7855159915257, -2086.978508073712, -2070.8621606799056, -2063.582156610378, -2077.909502578066, -2095.603356779778, -2070.9460359372456, -2081.10692926662, -2058.500824102997, -2077.212158396148, -2074.968281537468, -2058.9628391410633, -2031.629415528078, -2037.5478730113962, -2019.741834461387, -2005.4133533743538, -2002.4764173014605, -2005.6009632141543, -2003.093712460067, -2004.1917356899366, -2193.8462765875975, -2200.9017715372224, -2214.743735296843, -2238.0182578426934, -2236.9127988229366, -2239.621906169958, -2231.8369653376126, -2362.215238195241, -2518.683734107885, -2556.733474692278, -2558.816343946003, -2562.4652335997935, -2568.904525139211, -2627.811323488342, -2755.936869086126, -2945.64749336795, -3173.2698189510343, -3160.353149424609, -3166.239387654047, -3168.078832726237, -3186.611629447169, -3208.00003510009, -3224.747951709206, -3405.5840886824903, -4414.791497223289, -5833.257135278046, -5506.669964110526, -5574.735048707047, -5907.496221677314, -6356.602609900197, -6948.599268516768, -7497.168818275779, -7633.767113173542, -68786.26886070202, -68892.8054459611, -68941.63841982925]"
4,"[-5507.955476924721, -4353.128476137834, -3582.429592316345, -2514.8177287994063, -2343.790816457734, -2286.9055426285154, -2252.8562893930575, -2227.2855094236174, -2211.8293555570754, -2195.3906280704828, -2470.614366840972, -2906.537510271644, -3380.9677475778967, -4208.401892556814, -5727.018612660646, -7221.947169526821, -8771.905722039075, -7849.59557224962, -4451.461294522831, -4774.911730845186, -4078.8951973013295, -3820.9294101347664, -4586.416187466298, -5726.298314888174, -7914.220011859125, -9989.884954019288, -11814.643003307698, -69000.83704487106, -68721.79615270023, -68858.87680256033, -68968.68224670387, -68936.90646563192, -68897.23890072686, -68914.97633376402, -68898.78148156517, -68896.99855813544, -68814.80904206404, -68973.70955139163, -68866.27816557634, -68893.2800035487, -68890.0273943425, -9594.455555005094, -7006.2198550064795, -4318.652064908459, -5126.449612100111, -6838.061542227363, -7634.350325729236, -4367.184730981397, -4655.55652554583, -4529.772666351302, -4726.699260119844, -5027.353498468761, -5626.6365587925, -3761.938511980251, -3550.1177564433, -2781.6662618817504, -2847.612362599372, -2474.9897656350636, -2371.705217391734, -2276.017618528776, -2316.871897867372, -2537.4560459343397, -2661.486287493694, -2701.3207034592174, -2634.422407467685, -2581.767928064971, -2555.565205219025, -2439.638889550274, -2522.2502080101635, -2446.264738098419, -2428.5456615760363, -2398.7501143136847, -2388.4969303229204, -2390.925105043912, -2399.83881149089, -2399.121440485176, -2389.171293590624, -2390.740911315307, -2380.391115061749, -2377.0810229274225, -2381.944365101016, -2393.378874182584, -2380.8190022853355, -2382.7013547319757, -2376.6589204631473, -2379.117632068579, -2606.6508608399818, -2735.999709082495, -2983.8433764764545, -3098.1684159382844, -3086.927881871151, -3268.659899526413, -3263.253882144094, -3259.338621477466, -3442.935875863206, -3548.7063776568675, -3546.2821042196383, -3575.5929566925724, -3578.5504022185455, -3577.9075343882414]"
5,"[-4757.987816638508, -3972.934583789122, -3376.294798607804, -2556.298843293052, -2396.4057356249914, -2331.619412533067, -2284.9187684011804, -2252.846995509415, -2246.8073251948817, -2231.352729141623, -2220.587445515433, -2219.4812801931084, -2447.088438718571, -2854.1212743241144, -3567.232741417639, -4744.773496117994, -6217.992452263462, -7327.242723843219, -8548.061913774105, -12602.494706149879, -4533.772871049372, -5897.555954771634, -7762.728701124659, -9147.957100020203, -11517.470532624251, -12503.425581351903, -68863.17448121717, -68970.76285401706, -68810.6268063991, -68902.44764381647, -68905.49788802413, -68972.7740551144, -68863.88477819899, -68932.13777881162, -68894.57431178533, -68965.43647534844, -69038.57586979169, -68969.99286307218, -68927.13138167972, -68947.43027873352, -68874.834942377, -68920.81945492039, -68850.6476205369, -68810.4206927619, -68996.71942320194, -68837.77280022646, -68806.96732475706, -68931.36442796548, -68889.62170951626, -68909.53051516262, -68893.31717314327, -68819.41485777385, -68866.9718150768, -68886.30497164154, -68980.74937769127, -68903.98000621423, -68814.13976155159, -68944.67047787938, -68930.58404829577, -69022.45113251479, -68838.7054896793, -69037.5257690252, -68940.94437847188, -68934.89374416605, -69015.8370581085, -68907.91576355186, -68864.7435119397, -68969.8620306742, -68851.92569314035, -68836.38519558549, -68749.34718052992, -68922.55129809823, -69002.40415716797, -68853.96638682482, -68902.71240492396, -68819.44230523409, -68744.50740014698, -68873.69648433848, -68890.71741632128, -68789.98563106777, -68825.988932052, -68856.36443507893, -68760.22212364821, -68951.4582759765, -68876.61464460773, -68906.09005046732, -68843.12997360039, -68908.50338682775, -68931.51157589829, -68870.4044959197, -68908.81837447343, -68844.60502960645, -68965.90446796721, -68926.6376394225, -68883.7260342368, -68924.53995296994, -68925.35098651881, -68789.61438214863, -68897.73700602732, -68956.5991246882]"
6,"[-5251.323656550284, -4334.08280408717, -4054.4706176935965, -2711.160746103639, -2431.0310557683765, -2339.2118066405637, -2270.7977773622424, -2234.4040572309023, -2228.8213462661956, -2222.767276654594, -2214.399889528327, -2212.86835515809, -2495.774145568428, -2683.2865445000393, -3357.7381976686356, -4792.636504543614, -6016.2722418971625, -7207.568852027543, -8556.037833281316, -17511.263221446236, -6025.4894264592385, -3881.9212872998096, -4019.8663023646814, -3965.49018994123, -3780.7541595248363, -3747.3264555744713, -5443.1219541833, -7399.685187430147, -9400.719609420108, -11212.05929202128, -4371.727615580738, -4757.020325174596, -4489.423018662044, -4274.942927409491, -5847.956041837038, -7800.7978100945775, -10069.874066754015, -19537.95420762799, -4889.272796297449, -5737.926646114194, -7044.278420017797, -7234.005409803003, -8553.26727375953, -9434.671893313962, -5724.010601956962, -6246.1908413552, -8331.684721979018, -9976.521093742154, -6070.816941633469, -5836.967032827014, -7904.324153785528, -9826.32432598245, -8952.13820285681, -5079.268810814898, -6104.484196857022, -7368.6148380040095, -8536.76441617708, -10409.225151709554, -8192.21282822499, -5015.8724219804135, -6191.346901455312, -7259.105340559795, -8037.80394997195, -4857.946068830153, -7069.714620990629, -9391.058709762878, -9969.091269032015, -6030.993232636054, -8333.190281492254, -12413.921855500752, -6726.6134363760375, -6764.7158605525865, -6640.251075843057, -5654.043055805389, -6360.643084468433, -7461.50154704994, -10131.925196664075, -68937.51936918712, -68837.32702945912, -68952.07482015585, -68891.59627292785, -68851.5221425869, -68941.0133150407, -68887.09324095733, -68901.01512568582, -68865.17717453097, -68820.94106872291, -68785.76557940806, -68857.88937742237, -68935.36926486109, -68895.64203422985, -68975.68705506729, -68910.8695902226, -68919.57124086852, -68921.92973972575, -68911.20880252277, -68918.62434536102, -68857.61044699933, -68946.58089774914, -68887.79107219608]"
7,"[-4836.266786785763, -4053.848225786243, -3051.295670823431, -2497.371441402196, -2319.093348208484, -2309.0987560027565, -2294.0312445670847, -2275.237764511373, -2467.8806645107848, -2759.634887035962, -3218.0880073841004, -4722.672282303298, -6295.194610446602, -7906.4486263985455, -11073.525727097343, -16652.045738257457, -5737.935751373195, -8002.162331192505, -9842.614620121365, -11517.765806853904, -13111.678670182064, -14715.489860795138, -4654.419970999881, -6653.29378855592, -8726.886834692083, -10695.19467351334, -12166.018194095468, -13643.002094421106, -14252.156870626877, -14390.476014602116, -5065.3704197375755, -5786.695858406584, -4551.874169972116, -6609.428111353308, -5324.0186538283915, -5714.176563466858, -5626.237826587347, -5729.809585985316, -5062.902105780475, -6447.463820138653, -4810.304071855434, -6103.622855196555, -5732.412009920426, -5112.304916847358, -5504.945737978863, -5445.98629969123, -5602.171921554267, -5201.947186754901, -4400.540882857988, -5254.2810324980155, -5292.77556639728, -6242.775078839274, -5141.005382600569, -7354.53033902328, -4535.452180479752, -5942.531230941768, -5504.031683416072, -5533.722740205566, -5530.242897414938, -6560.0985091909115, -5309.0708426687925, -7610.467532138284, -8056.688043285522, -5363.308768610606, -8917.8051142793, -5164.197964372929, -8957.628238196727, -4835.286112731352, -8076.4508477692525, -8250.078772368037, -5876.06662811063, -8522.235465766018, -5090.9086249777165, -7800.550638158846, -9056.543125843924, -4789.999708516843, -7547.3620294840275, -9058.250211768607, -4764.203767503937, -8111.512261080748, -9618.393028170014, -23895.430820623827, -4674.190253407943, -4820.725287513482, -7772.5007515792095, -7415.848881741605, -7140.385353689903, -7195.649863026157, -7447.325205904227, -7035.830840694378, -6976.176919122327, -6754.860414151407, -6924.125899849679, -6949.639286643618, -7440.789661743446, -6615.761645507157, -9369.659537068983, -6618.6332122443855, -8910.154456528771, -9072.698108598852]"
8,"[-4832.7368609945715, -3911.982049861542, -2991.7907161171834, -2504.098934914971, -2357.3490706143307, -2298.08152106781, -2262.498648553794, -2243.736764799443, -2240.193898943845, -2312.8458175497713, -2689.0143395649034, -3246.805096243953, -4388.926428624902, -5416.883987097566, -6562.700364303971, -7884.106398042756, -9141.575597966597, -10515.175352864862, -11567.679793455305, -13575.841496310135, -20719.51185346203, -5195.404106532667, -6625.796054018258, -8055.961658465761, -10295.946633265048, -12081.952573510618, -13796.577002092397, -15291.897365434192, -68811.98195148555, -68867.71250201513, -68951.94979231671, -68809.99626504957, -68946.58186024056, -68962.5989231642, -68977.15670328091, -68917.94235219357, -68890.90140640228, -68859.31260160098, -68850.35227048153, -69007.55173910562, -68845.90865354077, -68809.38981862878, -68963.7416640807, -68856.67117226716, -68904.11807838819, -68938.55350948687, -68992.44076126383, -68892.26348453714, -68905.09687977622, -69029.6013669494, -68980.56722616934, -68939.37123585427, -68988.32052827989, -68877.50352008741, -68792.37150389992, -69020.66307378642, -68960.79930434993, -68916.57153689492, -69050.24931400016, -68933.76442271768, -68937.62756871874, -68817.78160668767, -68870.39861950336, -68924.72498951336, -68835.90458469171, -68841.41210458799, -68919.61714975955, -68988.05300916442, -68858.80005130134, -68882.89657153041, -68936.08674649376, -68966.21677424437, -68994.59905922509, -68918.72971857144, -68979.38269042016, -68858.60937241794, -68959.38884366096, -68890.837452238, -68802.81114963623, -68946.30261334655, -68820.53800307533, -68889.86881465273, -68939.95876842941, -68939.19116301292, -68805.59199310395, -69005.17641067259, -68932.37095443968, -68914.23667815336, -68830.29003898449, -68924.58343415431, -68886.14929172223, -68875.12964134355, -69042.87687676102, -68951.22885457956, -69006.01778394068, -68768.49407969095, -69006.92369096183, -68857.37402883741, -68918.1225784468, -68911.56488715726]"
9,"[-68832.79779821892, -68974.48897995916, -68957.53347813185, -7637.693107299085, -5882.395297560072, -3412.7457617979267, -3023.000539183049, -2945.370019344307, -2603.985219872282, -2401.2103319730704, -2267.1706993257885, -2221.9958247390086, -2177.365665996621, -2165.6660964275693, -2144.022442380523, -2131.2386511480113, -2132.300682522172, -2137.4151468235987, -2147.5077254828066, -2467.9945959847146, -2784.0880882668184, -3156.9210492427924, -3829.102645006553, -4796.56682987881, -5615.643760499984, -6884.993597219483, -7934.440925529756, -9818.965817834054, -10597.289130984072, -11526.130150051578, -9550.167463119415, -5431.855131644612, -6290.183565810875, -7115.893673392003, -8159.0782433061495, -9731.995155977587, -11347.881428135706, -68918.13607262884, -68961.92491487169, -68945.53682536009, -68936.67589565543, -68808.90432586244, -68944.91296915998, -68803.36752892485, -69008.37595709377, -68843.71114095139, -68946.04693591976, -68902.98805895731, -68942.63880113026, -68840.01209415468, -68935.85732119411, -68942.28119413288, -68783.38657427015, -69052.66787015369, -68984.25717991327, -69014.28871900638, -68905.76660828342, -68859.35503550486, -68784.87299145752, -68956.5806651166, -68971.77650853425, -69036.16174160801, -68883.22674180585, -68864.08799767813, -69008.12005623254, -68951.05879100645, -68846.25668054866, -68869.63345132284, -68927.12631181904, -68988.93001250431, -68886.56470547708, -68943.40670707377, -69039.0228549874, -68954.76311924343, -68909.81589268624, -68975.47722307887, -68987.00372640726, -68963.138770504, -68880.02839175961, -68766.07818208441, -68912.67707508433, -68905.70121379221, -68843.64463881619, -68977.25715849844, -68861.54282844998, -68883.2915468571, -68921.32818941015, -69046.7676706116, -68874.25977186968, -68827.30499916206, -69023.07110014242, -68885.8907241964, -68905.02551264422, -68829.66294131444, -68932.91120326184, -68989.25608381395, -68913.0931693019, -68855.19072745577, -68895.74863476843, -68846.52087043601]"
10,"[-4420.406159938934, -4549.767089530551, -3463.288455212112, -2723.683760930781, -2591.551865680102, -2496.6657889872286, -2434.228638421323, -2386.310542147007, -2353.4848135883894, -2337.0126408255896, -2320.181849286964, -2444.7404430446254, -3025.1306606028825, -3346.0999745528466, -3585.926514021446, -4106.482981725819, -5194.064906421655, -6579.054761308494, -7778.7192728032915, -9246.157020092478, -10554.044032196962, -11726.33700123413, -13351.968118785546, -15296.323218328513, -16202.84755932239, -8624.758849700242, -5130.405328616404, -6885.1882957435855, -5821.507631242154, -5085.111536633532, -4463.997771900308, -3852.187841664108, -3530.663319291959, -3293.541706121533, -3160.431299421957, -2925.1175093979173, -3027.5964621212725, -3251.311806201557, -3774.6850909095783, -3839.097548239798, -4379.191674435121, -4563.9593281038005, -4846.182601878971, -5537.827500654515, -6141.899213672328, -6546.088088968647, -43910.5724279638, -5254.049563157874, -5094.341117452084, -4939.784746262908, -5083.535693767956, -5544.243638881791, -7104.349760068046, -8074.686762622452, -8514.697546104791, -9131.367993159662, -10435.296822459348, -10223.961740447508, -10743.795062570049, -11482.036767040758, -12312.146832484084, -5545.013866838596, -6050.942278036891, -6287.611470244019, -8421.051766371957, -9244.701590436638, -9827.94568130457, -10933.437629964681, -12307.623846597144, -8245.18805838295, -5253.643425909588, -4782.004387658989, -5487.093195287952, -7047.828532265607, -7788.26583563322, -8038.282638434891, -6625.537527879983, -6118.8149237135685, -6182.137254933332, -5846.572965777461, -5523.606567883059, -5443.241588377388, -5231.5969576818825, -5742.888768145021, -7153.796979777776, -5479.797029171672, -7384.420395100164, -6722.688188390075, -7187.942202444618, -7120.770978196055, -7071.154793485986, -7350.420725745602, -6734.455239578679, -6508.496683130111, -6376.372955949529, -6530.022393215654, -6841.36129938362, -8754.978276660047, -8560.089428666544, -8863.854643439883]"
