agent_ID,returns
1,"[-1992.5148177923259, -1935.935333115607, -1535.9184432370178, -1540.652901717216, -1712.187532772768, -1964.193998692899, -2056.589828512104, -2159.426079400611, -2295.359284636152, -2371.439746712314, -2667.284853965648, -2729.904152213902, -2842.0479206636114, -2952.9132073281794, -3239.9697160237165, -3219.534848054552, -2893.315707188547, -2717.9887012743015, -2661.54579516482, -2582.0201221132334, -2545.3133524812283, -2562.1602000539897, -2578.6483971147236, -2631.983498345735, -2665.444391825931, -2613.7893920835627, -2587.9117637863487, -2548.2556301952673, -2525.5401789710168, -2478.812140954519, -2440.7576375737904, -2386.316082311415, -2362.527916089247, -2336.9299754701215, -2315.5394363656887, -2302.9271614381114, -2282.7049834545005, -2283.0593091929713, -2270.560055303034, -2255.413193326126, -2260.112742753442, -2245.3090492174806, -2239.930490922662, -2231.3833772865055, -2241.273435839886, -2208.754065536928, -2220.798060252314, -2199.877998254568, -2193.672365460838, -2203.208426402204, -2196.1925146308863, -2181.5151003154056, -2186.0473966218415, -2179.2540075759684, -2188.1463548774072, -2192.8255945549795, -2189.421328988022, -2172.008935026358, -2180.1332737452, -2171.605874176881, -2181.5260376372057, -2177.0533100090374, -2174.2608674838793, -2172.331286071669, -2165.4762963564262, -2168.395073350049, -2160.508593027337, -2162.261670982711, -2171.494299013831, -2160.7491077557715, -2166.3051346885804, -2159.107257761501, -2161.2321588051227, -2162.598013472696, -2154.705193007857, -2160.9889752927847, -2159.1222629304852, -2159.617632694772, -2160.588378452528, -2152.104926017403, -2153.9259211886947, -2153.1606387805673, -2148.0191014415836, -2163.924212885019, -2152.0918866352063, -2155.4983742691634, -2161.9292566459835, -2159.5773787626454, -2149.467821800217, -2147.6447753086563, -2155.781467022813, -2152.8869165356537, -2145.896068148775, -2152.975897246091, -2151.84651246297, -2151.0599625266004, -2158.5701404177776, -2152.991987636469, -2147.465856384454, -2159.2160914829815]"
2,"[-1404.5011562337502, -1575.523754862319, -1605.6041141976561, -1654.798341790208, -1669.050498219049, -1904.497283770252, -2055.8895325813414, -2255.1404124227342, -2641.0385076312673, -2408.403896980838, -2564.59966281864, -3021.0218362602163, -2770.1464835545958, -2976.965142155209, -3210.2964075564473, -3316.3465947151158, -3372.284355381883, -3281.9263138489127, -2950.504854722398, -2697.0602708387623, -2481.4907154704183, -2423.674680759806, -2428.9277705151912, -2554.1691423368725, -2589.3732910786694, -2596.551544031669, -2564.971538951975, -2545.471330547694, -2504.113517659877, -2499.575706426255, -2457.900041345962, -2443.3279404009204, -2420.7592147184628, -2399.589341817711, -2373.788729544443, -2347.673647726764, -2331.1604742821933, -2325.408813250268, -2316.447782077187, -2284.41267457848, -2281.4877647678895, -2266.5758804183592, -2274.269130165426, -2256.2076356247667, -2245.1916766778595, -2235.9811739202196, -2237.5413586269615, -2227.5487956410275, -2227.8400765061947, -2222.6889462446024, -2217.157655710414, -2204.0276410960346, -2207.778146719747, -2198.6015347716093, -2200.2719484669697, -2198.9113104505404, -2189.124929295685, -2193.0206043282537, -2191.5189901676654, -2186.645006647653, -2183.249588455302, -2183.6544555924606, -2175.7908880085047, -2185.058288450472, -2175.1021495571345, -2175.966329128565, -2173.5314458812372, -2170.554757502503, -2170.2368848652545, -2177.2836454694784, -2173.9028070310937, -2172.7574134691845, -2165.910043097037, -2178.5126963318708, -2175.002183235211, -2168.6055250071054, -2172.903162554967, -2168.748304281348, -2187.8939123325845, -2163.9587485683865, -2166.4258155216367, -2162.030802135334, -2159.407794450025, -2160.5932500076788, -2155.986479212162, -2170.420650320512, -2155.3581409437647, -2163.027546386287, -2170.885738023279, -2169.164397156093, -2170.3733358018335, -2175.476259641427, -2164.1051851198845, -2165.839783902279, -2160.918121036542, -2165.7569454386216, -2157.851367968631, -2158.1426158472855, -2158.180335212149, -2176.305705029183]"
3,"[-137122.37351022492, -136921.53809448102, -137456.68853494056, -137149.4693033017, -137392.23185463075, -136881.83431556867, -137341.31935642182, -136576.07556091328, -136845.8281399561, -137006.36268234623, -136644.66429282736, -137276.84404505187, -137542.93359094294, -136991.85942477026, -137214.90068096906, -136803.17145570274, -137016.89264501413, -137202.98963140225, -137326.47687851038, -137073.82528279585, -136843.99890127566, -137090.5632807607, -137633.83974322322, -137122.98471202893, -136718.23155744618, -136631.0121489013, -136907.49217287643, -137115.9692013505, -137294.43373678412, -137465.9254298693, -137010.08659678945, -137270.95815279533, -137340.61681715035, -137485.9416611618, -136985.28350991145, -137323.29369585737, -137163.1535347924, -137579.35408513644, -136755.73066750634, -137027.40932053118, -137402.80453218054, -137067.529128438, -137464.1668218849, -137357.30417486723, -137101.74913899324, -137059.43583465868, -136382.30745282097, -137245.54543732153, -137180.55991868093, -137403.77984161046, -136632.9908825566, -137331.20928288612, -137240.536125681, -137351.8759625381, -137028.80646204136, -136827.4524969944, -136931.28182981562, -136796.32543986305, -137581.4381517689, -137082.7291296489, -137313.7592997361, -137457.50593510634, -137395.26986674152, -136915.88479253437, -137013.26952032885, -137296.4923736153, -137083.73644195864, -137083.96406434025, -137287.25921943842, -136867.95691674162, -137234.4001078653, -136845.16983074028, -137213.63785876575, -136611.78195255806, -137142.7317695421, -136654.78864457557, -137065.1615746313, -137295.9335130789, -137129.97384637015, -137989.99293142674, -137431.02583782168, -136921.33005865855, -137242.26730552118, -137190.3207047348, -136734.26528903013, -136890.81490288733, -136662.2218796703, -137376.9592121541, -137107.86800826562, -137052.2235688636, -137148.21060664332, -137166.65206672775, -137166.31187740114, -136755.6768785669, -137382.99450693023, -137375.8842208128, -137149.3843038108, -137204.74678469784, -137332.3311432111, -137156.38466716796]"
4,"[-1392.3546345410646, -1747.1498672201428, -1454.4793444578834, -1587.5179703728475, -1762.7442083446963, -2013.8702791804296, -2216.1664614119154, -2264.301794285136, -2357.000124043728, -2405.0353520449335, -2583.968460632442, -2914.55564244604, -2768.3034397500724, -3001.4618217805796, -3187.987113259741, -3439.7718045036218, -3463.0594550729643, -3560.7262405602405, -3710.170407395974, -3834.235492293982, -3877.746244723597, -3820.241121429917, -3488.791941235603, -3300.064245444689, -2966.9575272797783, -2784.8528533543495, -2616.0900328594007, -2614.551367766779, -2608.0793274494467, -2572.715643694221, -2574.5983464168653, -2550.6777934023607, -2566.0325779508244, -2511.762619328621, -2506.4735563147274, -2488.9806693902597, -2474.1588640497544, -2442.592592878121, -2434.662215002466, -2399.4591419858602, -2372.6572889264644, -2362.6897431258367, -2331.465664480877, -2293.467934226783, -2294.815321670621, -2280.308090998555, -2267.7542652765405, -2266.7065982454897, -2254.2785177675064, -2232.9108619875565, -2231.2490298194994, -2216.351297703045, -2203.7016657289028, -2203.6104053541612, -2198.8235586147434, -2196.986507946946, -2193.9456294126876, -2187.6831414562403, -2191.052092542841, -2185.2264535503245, -2185.06633016515, -2180.7750777958586, -2185.41292089725, -2179.820578008796, -2178.891402663777, -2177.7351348956463, -2181.4455161684173, -2171.7712192302492, -2180.4563789197837, -2176.900111128579, -2179.2525842976365, -2177.991147934332, -2167.6328074824114, -2159.524416011653, -2163.756771580784, -2172.7885551474737, -2171.980830426896, -2160.5115371796546, -2157.930063948092, -2157.4839044871314, -2158.6061743559503, -2162.7290515250243, -2159.442084487677, -2162.6824923293466, -2164.609891745365, -2158.2095258838604, -2171.8878650232427, -2157.0540935274616, -2154.226401893267, -2148.672464554617, -2147.6375214256464, -2145.0027764121105, -2147.8007226681107, -2141.5256482148134, -2145.726296488893, -2138.4280177976425, -2145.226238631992, -2143.341585014726, -2153.6334249611355, -2158.1440603646915]"
5,"[-1584.9823257081066, -1530.729170997891, -1468.6995537267774, -1616.4097356386985, -1894.3113031890127, -2192.926878737543, -2246.722137298644, -2288.4197587801104, -2393.2351816255778, -2464.793263533736, -2662.0684300938915, -2981.8721872245883, -2868.178721192536, -3146.8279197373636, -3316.4522566353603, -3415.959028648375, -3470.142331452096, -3601.591421544421, -3862.2230145325852, -4040.6792179261633, -4046.079105643875, -4286.7826234772, -4308.523865473966, -4665.198773251761, -4728.145973083348, -4721.533526550873, -4545.671242173097, -4583.9153434318005, -4798.326845776821, -4661.573648008633, -4871.676430708905, -4903.577032718962, -4702.95714075988, -4774.83345349992, -4788.47018422991, -4915.501512381792, -4942.150856784637, -4693.108451685519, -5578.215860028366, -5560.008311011856, -5611.173184850547, -4133.715255417032, -3460.556619903445, -2736.3146490628906, -2522.5572469793824, -2337.772300049697, -2321.9023801949024, -2293.3028518741894, -2281.4726144453102, -2270.3525733535007, -2255.7467133212144, -2246.011427944782, -2247.836119124356, -2220.1312616369596, -2222.8707038917096, -2212.8279184822113, -2217.4915637539434, -2221.7548279269554, -2212.6260612460883, -2189.9260700965897, -2185.5426302716546, -2192.4524385108243, -2189.5133465481986, -2184.6245552948862, -2182.976593110476, -2185.672204981271, -2179.7981499182024, -2183.504360535533, -2177.3903499861253, -2178.338310404103, -2170.7189041178844, -2173.997567580282, -2171.8640372328014, -2157.232392327169, -2162.334256017228, -2159.9282699313376, -2160.752446989303, -2154.2274953193964, -2153.3795449306226, -2155.238339952042, -2153.5537698237445, -2160.2452576780165, -2158.2159092384904, -2153.886397155363, -2146.7208561439547, -2144.946053357101, -2142.3314896665506, -2142.6976527127404, -2145.6946382392803, -2143.6721096002057, -2145.282490652662, -2141.1757138834596, -2144.585673399313, -2141.7288699625465, -2142.716246895747, -2144.9827354602317, -2142.054872307607, -2137.937995733453, -2135.926065949947, -2142.4409302824765]"
6,"[-1475.123552354308, -1687.1694735186588, -1609.4510529671506, -1638.5058671999175, -1762.69431715967, -1832.924833542765, -2081.1982300865866, -2193.6046858850605, -2339.8408847888277, -2546.895161667554, -2703.9916862185173, -2879.5375746892682, -2681.437677278916, -3070.012076415079, -3155.9739343977767, -3368.082603117809, -3112.1974845874756, -2989.465247069281, -2801.148325402209, -2697.9925197942325, -2602.8667200179975, -2543.269475037976, -2582.3683914414887, -2630.861473352109, -2656.7575237348146, -2611.3356190424597, -2614.4577272935558, -2584.760046321887, -2587.496089332172, -2554.3499807488242, -2554.8343051403967, -2537.8336834320107, -2514.727033259295, -2520.3846784293773, -2510.534634613504, -2504.9013089608025, -2486.1490801431733, -2475.327955713996, -2420.7398638907816, -2451.1246663843, -2455.852632022623, -2419.04272338878, -2408.0801465224768, -2376.2973587799015, -2365.23744259235, -2376.196897537662, -2346.0725250265064, -2341.008192747525, -2329.49214707332, -2313.878951102182, -2308.7259114834465, -2304.436551074493, -2300.0139378469476, -2299.207057208405, -2279.6516755407642, -2264.0538498532414, -2254.439504897164, -2246.5966829795766, -2249.4129105347756, -2234.2743273201836, -2242.3322760618753, -2241.429568125513, -2226.2774517971284, -2228.4403230889384, -2224.7860108901864, -2218.6977409069623, -2221.1933126077906, -2245.8052332306966, -2238.247440900235, -2219.4987373890826, -2207.7432031690155, -2208.4771427803717, -2204.903674795962, -2198.066087357759, -2209.3853334609826, -2197.6448316547, -2193.4690481230587, -2180.807840410381, -2187.7076140308363, -2190.150318627123, -2186.187140000918, -2208.665728023071, -2202.123509980305, -2218.3044004624794, -2196.792790590154, -2183.51920400768, -2199.8423355167065, -2184.817125794382, -2204.1908473342337, -2193.9879852639087, -2181.1010352258704, -2180.6500667661376, -2188.44766330891, -2180.5285393906147, -2180.9934349800988, -2177.9280842723374, -2186.096524643194, -2196.0958982080892, -2181.6635721629336, -2183.95862033817]"
7,"[-1375.4555575876404, -1709.2367504539895, -1511.8365272783049, -1556.4694041241335, -1646.2417039504705, -1868.1637971152404, -2004.7644952679082, -2115.8459303352743, -2328.1759182726587, -2498.7301836775096, -2494.9875744957426, -2531.5425892432913, -2551.369433074965, -2784.8315695705296, -2949.756975232586, -2811.8377683757712, -2556.179928855197, -2448.4612435868125, -2401.537429864436, -2437.123033160591, -2453.2227592625286, -2524.759394722228, -2534.452283050883, -2607.0468768598453, -2643.8567249669504, -2610.3172758145106, -2576.587708523533, -2560.9738362735266, -2517.168854618832, -2503.952330948188, -2452.9173601622756, -2420.0430976036105, -2395.4159613220722, -2376.749056450034, -2340.2986573169474, -2325.1050053799363, -2310.7282409305435, -2310.3953306023955, -2282.3672698405603, -2274.8593560935283, -2269.068274275909, -2267.51288992212, -2262.3823366932834, -2247.8937887766965, -2235.1968233586344, -2238.009512563835, -2217.4206589129335, -2218.550408511228, -2214.0008219649844, -2217.8522373510887, -2219.6551963897496, -2207.5114070995655, -2201.3473403278376, -2197.022127540225, -2185.089785001016, -2192.756864358217, -2194.11382503564, -2183.2624186487824, -2184.49673155009, -2181.6537197534235, -2192.06266944769, -2184.4015345429675, -2183.0057707087476, -2175.089732349935, -2170.925090977547, -2180.5358206835595, -2174.358739094584, -2174.014241742004, -2186.237770063827, -2178.4236895420822, -2173.7835208864412, -2170.1233867345913, -2176.6155493673423, -2173.1117643957964, -2170.1045560083444, -2167.8692319295105, -2174.918649472278, -2177.8439459184374, -2166.3268099362876, -2177.066298963158, -2189.44851602663, -2165.5949358236294, -2163.0709507990773, -2159.963320359411, -2167.424692056875, -2170.5751732594044, -2166.2583790286308, -2161.421312957628, -2157.741618037376, -2158.17617977003, -2158.9345048024884, -2162.036829185677, -2159.893645963665, -2154.593974416999, -2158.7218636148436, -2160.150018670368, -2161.0223609238305, -2163.288726464739, -2164.0266945611697, -2154.535262615913]"
8,"[-1280.1758082476854, -1554.4898271208735, -1653.2666613085562, -1649.040917664366, -1799.7669845514129, -1905.3952989380768, -2022.897164918174, -2261.812227433847, -2380.4298184549148, -2486.445311351111, -2755.02782747961, -2826.4005203647334, -2780.047870438052, -2975.7231529094315, -3116.104969454582, -3232.0081604430543, -3140.262722829605, -2813.479853007504, -2659.516243910145, -2540.5649379552665, -2432.5874823219824, -2412.988995263562, -2383.107504786169, -2418.212709612602, -2437.5336768443353, -2425.8318715151067, -2408.46053113104, -2388.0567870572104, -2378.45930958479, -2346.09363531757, -2328.5426385420897, -2304.5100179338406, -2303.2877885474436, -2288.9795841663986, -2271.538946429271, -2261.871629995373, -2253.0627869118534, -2240.4129687103823, -2233.8534671206153, -2227.5577449032835, -2230.1273379694694, -2228.535433629858, -2209.630284198209, -2206.3260238793105, -2211.741729644617, -2213.9749200557585, -2204.821473342965, -2199.594857293395, -2195.6827874723226, -2197.642922397158, -2199.766979394124, -2196.1430326382892, -2182.285284806958, -2189.816513861836, -2180.833881598536, -2186.612109260738, -2189.630007892607, -2177.281555819954, -2187.261267956218, -2179.795949730323, -2167.434627896168, -2173.247495491537, -2174.3899023530134, -2168.7867261618935, -2169.5737695341095, -2171.404218707885, -2170.7279544649623, -2170.821845769565, -2162.9002086025826, -2167.061719543882, -2172.9816940821343, -2161.0279791330404, -2162.0911740207434, -2168.149804603199, -2161.645395548314, -2157.1258994531686, -2163.9769860745005, -2159.372574970248, -2164.735978362472, -2158.705997650645, -2160.990405156082, -2152.2903148693395, -2151.8882105285243, -2154.8231390485385, -2148.3897241526174, -2153.227542735935, -2143.1004934642037, -2151.355832209458, -2153.1987576119172, -2150.641382643061, -2145.638688102266, -2145.9250232219624, -2165.550676040348, -2148.609880780888, -2150.1233528374837, -2151.6100402005327, -2147.6594125925035, -2146.8285830171785, -2150.628027663941, -2149.113937468032]"
9,"[-136233.4255833065, -1658.6733274025808, -1468.1612002570541, -1555.744400111549, -1615.9411463999702, -1822.8019831794695, -2024.2064632864017, -2151.1016602746517, -2269.0433203588595, -2740.6702368298384, -2496.373248862124, -2652.621004660081, -2907.4702025533957, -2666.2473069056937, -3006.347953300964, -3276.6299596404792, -3514.7325007945587, -3046.4222819924553, -2857.3475398857395, -2671.936154751147, -2638.0859154099885, -2599.548130884885, -2541.818324576532, -2555.063944012279, -2564.2695727612204, -2513.45358371455, -2519.1443477836824, -2472.306095875831, -2442.2270571326476, -2436.7412508113935, -2379.593606502905, -2345.049110754943, -2319.367980316253, -2302.3622930876586, -2272.6887551949167, -2285.8364674811796, -2265.627879877974, -2247.8091079365363, -2244.2452779324412, -2239.763376678668, -2247.267057976018, -2231.435150842242, -2229.2771159786116, -2218.1453439455527, -2212.274934216125, -2210.0817983276775, -2208.605063972908, -2203.6929709820524, -2200.4962158875505, -2206.114576252456, -2198.7410020903994, -2203.9736657345234, -2199.5297710663926, -2194.6187988335932, -2207.825797101679, -2193.2045624389575, -2221.244841928792, -2176.889734642384, -2205.8128665829663, -2181.527656365041, -2196.2467119975136, -2191.889319103398, -2185.6000186072743, -2186.6091899897883, -2178.881784388623, -2182.0201913864407, -2176.4320493452365, -2168.728212557453, -2173.4924472734224, -2166.238759641824, -2167.6942381027234, -2159.5669220501004, -2162.4779843860097, -2174.1202678308928, -2162.5200601689203, -2168.898360731992, -2166.814000921219, -2169.027648487103, -2164.2065949655416, -2160.0318404513914, -2160.787303526919, -2150.2332387943998, -2160.972781131813, -2152.224858650541, -2152.4885087662287, -2153.337924505039, -2162.0738677719883, -2145.1277846887756, -2146.938989897138, -2155.238541187625, -2142.154853307932, -2143.7272582190344, -2139.5718024039916, -2154.3116466857055, -2147.5987873310055, -2151.2657270028362, -2153.8151114211996, -2146.3595387238643, -2147.2117750762486, -2152.0824961132844]"
10,"[-1501.1522112524283, -1553.6476716335994, -1490.4937365927353, -1611.5042386866191, -1886.3265679440133, -1966.5118595109484, -2066.690947734033, -2136.343212023627, -2416.1620307604685, -2407.5635082706535, -2415.2728115821938, -2426.4747139423034, -2652.572342655268, -2846.0416855818335, -2819.3422447727958, -2644.24510773952, -2578.715714616622, -2505.812604329608, -2511.3740229916693, -2492.5074591290763, -2517.9989329817877, -2566.505987522425, -2565.0221271478545, -2620.3350544344394, -2631.269557259193, -2602.7167348484872, -2569.770869890984, -2510.456019944137, -2472.071462031913, -2436.1028185394407, -2411.748974436908, -2400.7891210140674, -2370.144420437516, -2339.0124171784046, -2329.682824809428, -2302.194258580393, -2276.665762229469, -2266.64763388511, -2264.7452380130385, -2251.6964433953003, -2251.4375880540833, -2234.619238836458, -2232.6798432056075, -2222.155574555308, -2214.6776090468034, -2209.0994596091464, -2215.6806083179154, -2203.2618755844574, -2196.479287288273, -2197.703347471478, -2201.212638101852, -2199.2386270796073, -2197.3274818299715, -2195.3724003386506, -2194.4787413515496, -2220.0611140875617, -2183.919283205737, -2207.536255949285, -2187.4168762367713, -2187.4081573489084, -2180.1012962478294, -2184.7074814826465, -2191.1204107142485, -2174.7998032634973, -2183.3603126210287, -2171.4823407339954, -2183.5097221822157, -2176.669890451941, -2173.260013170534, -2166.247993405884, -2166.6118907555397, -2172.742676193139, -2169.6900506789416, -2178.0754448261987, -2169.680004910057, -2175.765874946083, -2163.0528788269294, -2163.6760580806113, -2166.8665852822937, -2172.765601535895, -2164.355924811975, -2169.4421483040906, -2161.6583214647003, -2191.485113794904, -2166.7377506570765, -2158.8147744737644, -2169.541916569281, -2161.1140901847775, -2154.531542688119, -2163.1579144239627, -2160.71820738523, -2153.1259436021455, -2154.222995244667, -2156.2534033825827, -2154.0163690189943, -2149.18566595666, -2158.3077861119973, -2153.4413379461903, -2153.7835174463607, -2156.8676504649134]"
