agent_ID,parameters_ID,stockout,CV,order_cost,leadtime,mean_gap,time
1,1,10,0.4,80,0.0,0.02928166028820688,16.180103751023612
2,1,10,0.4,80,0.0,0.0204317566795157,16.142229302724203
3,1,10,0.4,80,0.0,0.028048607227619253,16.117770417531332
4,1,10,0.4,80,0.0,0.02502834414064139,16.12852418422699
5,1,10,0.4,80,0.0,0.025560631979136588,16.16975425084432
6,1,10,0.4,80,0.0,0.02792609826843083,16.13891746600469
7,1,10,0.4,80,0.0,0.03640725433226357,16.13033523162206
8,1,10,0.4,80,0.0,67.65074839668465,16.055603631337483
9,1,10,0.4,80,0.0,0.026519731034469026,16.172522330284117
10,1,10,0.4,80,0.0,0.03210054748935916,16.18326975107193
11,1,10,0.4,80,0.0,0.0240103979894552,16.125777451197305
12,1,10,0.4,80,0.0,67.62200536445218,15.991291681925455
13,1,10,0.4,80,0.0,67.63313355063082,16.000972048441568
14,1,10,0.4,80,0.0,0.031958774837706844,16.151276886463165
15,1,10,0.4,80,0.0,0.0262306356566741,16.203180599212647
16,1,10,0.4,80,0.0,0.027229931952033114,16.147061983744305
17,1,10,0.4,80,0.0,0.02757333868698404,16.15117973089218
18,1,10,0.4,80,0.0,0.026038090590818637,16.148023680845895
19,1,10,0.4,80,0.0,0.02973027141187566,16.14556625286738
20,1,10,0.4,80,0.0,67.63644343559876,15.959315252304076
21,2,10,0.4,80,1.0,0.041587375802392176,16.136866883436838
22,2,10,0.4,80,1.0,0.0398511759406319,16.140277417500815
23,2,10,0.4,80,1.0,0.040097264378756874,16.151488530635834
24,2,10,0.4,80,1.0,0.04078213195595671,16.154596249262493
25,2,10,0.4,80,1.0,0.05221125972198812,16.217539783318838
26,2,10,0.4,80,1.0,62.814019060796014,16.027285583813985
27,2,10,0.4,80,1.0,0.037413364555738744,16.189175947507223
28,2,10,0.4,80,1.0,0.0444972783795913,16.23222806851069
29,2,10,0.4,80,1.0,62.807831709441636,16.030291251341502
30,2,10,0.4,80,1.0,0.040880905635658056,16.190048416455586
31,2,10,0.4,80,1.0,0.030479864355536852,16.32938764890035
32,2,10,0.4,80,1.0,0.034813980431005705,16.23723081747691
33,2,10,0.4,80,1.0,0.03730344904056237,16.40170336961746
34,2,10,0.4,80,1.0,0.037131485922008226,17.327468498547873
35,2,10,0.4,80,1.0,0.02530499457046612,18.1717747648557
36,2,10,0.4,80,1.0,0.024169995307415284,16.846091481049857
37,2,10,0.4,80,1.0,0.04414634456882188,16.932258252302805
38,2,10,0.4,80,1.0,0.0347146106065884,16.447959200541177
39,2,10,0.4,80,1.0,0.029883446384358314,16.219410153230033
40,2,10,0.4,80,1.0,0.03809808050693818,16.641794097423553
41,3,10,0.4,80,2.0,0.041999028822751035,17.484118433793387
