agent_ID,returns
1,"[-4705.5156413589875, -4825.872073774253, -4539.014195976882, -4103.200024136097, -3455.7675581152544, -2906.829904945283, -2628.6996071317335, -2462.380212226464, -2403.6372863197494, -2333.967721280075, -2319.5602503774267, -2276.270754821731, -2275.5735896231463, -2246.7852125277095, -2260.1984505217265, -2240.2194378123445, -2242.29354271937, -2252.682631484385, -2243.255531932392, -2232.5359178538934, -2223.382757999926, -2218.8554575981043, -2206.740550555016, -2219.7298192815115, -2212.212785666891, -2215.762738757351, -2197.189029684854, -2198.682698703993, -2203.584836729947, -2201.3032942192326, -2181.163701588283, -2196.9823931145374, -2183.2738374028186, -2187.813310271776, -2183.3465768793217, -2170.261998657211, -2170.454214436519, -2171.680980841983, -2182.171782477626, -2178.1354823770116, -2173.3384384669016, -2176.6424531685216, -2173.051966611171, -2169.8310725064316, -2160.422453416653, -2158.857492465171, -2156.863965626354, -2150.9114580849914, -2156.154001242214, -2160.8228903840577, -2148.044141113023, -2158.430909692544, -2146.963320291856, -2153.3944772465866, -2147.3325437758963, -2154.052408044569, -2157.9674072701428, -2150.331708507973, -2179.6022949494773, -2149.876722852229, -2145.5859752977667, -2156.7614214348882, -2157.1572268730583, -2159.605118298335, -2151.489364905315, -2150.5497881250367, -2147.262977910797, -2147.0896704069505, -2157.652817965478, -2151.7936726855446, -2164.341748731576, -2142.0456076354885, -2144.9012901855285, -2144.2943236378815, -2150.270826170702, -2145.787847012547, -2138.685744984422, -2142.3758201412998, -2138.4319170294807, -2136.1263415357244, -2142.5496017510727, -2140.659128948841, -2137.708862153157, -2141.833783561957, -2143.2481780522417, -2144.989119077507, -2140.8642724978135, -2141.3810959566085, -2137.8897104914454, -2144.855840034551, -2134.516178136112, -2143.8165922782323, -2136.9700802720627, -2135.1669987170217, -2144.4600797492844, -2136.576243262045, -2140.0614776513194, -2154.636629944973, -2144.2626157638524, -2150.929924508126]"
2,"[-4558.941776178109, -5073.8906839704205, -4588.90392010999, -3998.2073268724885, -3520.3682072066385, -2883.6894432713057, -2570.665785033991, -2447.959172025887, -2397.712942827901, -2339.7268983564136, -2336.707713016717, -2350.8607678834, -2294.4197223699675, -2313.7193054299787, -2269.058823313174, -2242.1668931331956, -2228.7329756758104, -2203.8765240206585, -2199.2965201627158, -2204.062083866522, -2193.0570881283375, -2182.459089133582, -2187.7352134342286, -2187.0404741056086, -2183.295874412618, -2176.510970431967, -2183.5182440757485, -2176.02008924508, -2171.8176725534713, -2175.7501561556546, -2170.971244202875, -2170.0004684378755, -2169.3558552752284, -2168.555119522925, -2170.556176881258, -2164.6813269338245, -2166.183649171316, -2168.70486632122, -2152.6372696732747, -2163.6813512001263, -2167.823986518778, -2155.4431971701033, -2153.3755981526792, -2154.5724583947863, -2166.612316873263, -2156.6754484108496, -2155.3516217841793, -2156.5367875979855, -2172.710783906691, -2158.25839004331, -2158.2025299501097, -2154.53202655833, -2158.969844152967, -2156.3002673323795, -2164.0638027376285, -2154.5536866522025, -2148.8442991722077, -2155.9326099707228, -2155.9993731349327, -2147.83250393883, -2154.4886205551534, -2167.789907198904, -2157.983041396597, -2156.5646359849743, -2151.9402511696367, -2154.5009011184943, -2161.8350547058026, -2153.839224116793, -2154.687870967406, -2151.1453893761554, -2154.403666210991, -2153.714293030681, -2161.372646582122, -2147.0516326101765, -2163.123107889723, -2156.5400980840072, -2154.098162466493, -2144.2025049713993, -2148.918417527724, -2143.1941787849714, -2148.582838072719, -2152.1258656944215, -2142.103549364826, -2144.577509746733, -2142.5815173980272, -2141.288787794526, -2143.11183372132, -2136.991909378253, -2134.7955303406825, -2134.1881650244527, -2132.6974998721325, -2134.788125813719, -2136.9666483444375, -2135.2970775932404, -2139.589022046328, -2136.4280148182484, -2138.7787767058076, -2136.6904436483283, -2136.9287271380363, -2135.5647033281452]"
3,"[-136781.98775000265, -4067.285019172679, -4901.62992819284, -4426.909988672418, -3959.9137560915724, -3493.638317654181, -3162.98494776776, -2804.425119313856, -2603.8405110843714, -2481.2219711465073, -2432.429757151213, -2381.2110972367254, -2374.1764323319667, -2356.0741137676832, -2330.613946345074, -2321.305719913333, -2292.925941171557, -2287.775623398563, -2269.057057219848, -2263.2534005220095, -2246.238491097381, -2236.9966529518742, -2248.7476082833045, -2240.2065485763364, -2230.322332310093, -2227.8015028919303, -2228.119787245521, -2221.956731094315, -2215.024311715716, -2217.042732785345, -2210.9888083108153, -2202.569888090583, -2197.829494369389, -2198.535822518839, -2200.270005932202, -2199.827876568165, -2186.170523188725, -2190.3096612578233, -2187.14853044228, -2187.5990751975787, -2181.4356647167265, -2177.099288686198, -2181.4641707102974, -2164.785298025317, -2168.2251324283766, -2169.5230688543843, -2160.667031525894, -2162.8412576028077, -2167.564623838146, -2165.1127642344204, -2162.255750925268, -2163.2467144501247, -2161.468989726484, -2153.4610838212275, -2161.131800467082, -2171.251563330166, -2156.678120481458, -2150.721469153314, -2153.3687285552346, -2152.2470383757804, -2150.755267621456, -2164.38174057945, -2154.668822776009, -2164.0012351516016, -2151.363907106529, -2157.0860389127606, -2149.3963339081274, -2146.0632113063502, -2147.108655345367, -2149.602394414463, -2148.7674538148626, -2152.3137235642434, -2150.5181755215817, -2149.2419314423328, -2146.214735680089, -2150.0285514439615, -2149.5219331696308, -2138.8059136565234, -2144.2400856570753, -2140.9244609656766, -2147.6246286053197, -2143.9660575208145, -2143.7564268297942, -2145.521958195645, -2141.5107284200826, -2145.98476659689, -2149.963570501809, -2164.4529095310786, -2142.6082234193864, -2140.650811625167, -2147.2011056667425, -2138.88584001799, -2141.3419052238355, -2141.4867309353276, -2179.895186226997, -2141.829818556258, -2139.8440491623196, -2148.8155028296014, -2133.0286690847806, -2147.2513302698353]"
4,"[-4731.721061530458, -4897.488593624185, -4564.8147917468805, -4309.939417571304, -3673.9623477789833, -3139.59473735954, -2843.251694089711, -2688.752454487789, -2587.838554998697, -2443.7234270668155, -2413.350026948702, -2358.9613812621556, -2303.2579264000215, -2282.9880815107504, -2262.080903984155, -2254.3142789367407, -2242.6212843314256, -2214.1166065083216, -2216.5083948518163, -2233.8633328177652, -2206.5551609744953, -2200.0424608262542, -2192.5856970322993, -2198.7633200708665, -2196.173338598236, -2190.220586048217, -2189.2974884403707, -2186.3498024944174, -2184.137248722944, -2176.060230929493, -2174.012975381698, -2169.589890527728, -2170.398761066644, -2170.788372621756, -2169.3927336228858, -2162.3018453716563, -2163.233019043412, -2163.5764340018454, -2159.767190173594, -2157.605064490189, -2163.4511941415394, -2157.1231976130807, -2161.612799447426, -2155.4171356807547, -2154.393582105677, -2150.8207810731888, -2157.744273707522, -2158.554603125296, -2152.1475800935914, -2149.670677671857, -2147.3682531072245, -2155.4594502823734, -2151.105532917043, -2147.434380862473, -2146.610712878723, -2148.7409955766366, -2150.147499375714, -2161.7670570804544, -2149.54543959904, -2149.065936791518, -2143.7883814250044, -2153.1936785672456, -2147.596119333492, -2167.226647375792, -2137.700127626247, -2149.989445123578, -2145.100996866367, -2141.197570759395, -2154.929030155536, -2143.753453260618, -2144.6570920169465, -2141.18096983441, -2141.8319836971827, -2149.418802661259, -2150.8337318746762, -2140.6817420894968, -2142.953876936387, -2150.7003079292463, -2135.1225939123333, -2146.7636905136746, -2145.847530352848, -2144.694711134947, -2139.329942577364, -2140.2717294201047, -2149.139798388995, -2138.174654845421, -2147.798546682585, -2155.6919591140304, -2154.4577592639607, -2148.474777743728, -2142.16141421016, -2141.2633241309018, -2158.1622510066595, -2144.6304793286386, -2144.70682262326, -2140.9810181538, -2146.0112630412186, -2143.875183412629, -2135.1214574700957, -2139.0877633263094]"
5,"[-4750.153098618803, -4942.035453435735, -4657.213997899234, -4074.3481304157226, -3229.4151600922933, -2785.18561874636, -2546.396772632465, -2442.707372405995, -2382.29568471106, -2351.8526136394657, -2339.782195533145, -2295.187080312587, -2287.319623385899, -2303.355176261302, -2296.4371141825345, -2265.880022879998, -2264.9885565852155, -2253.1183210242557, -2238.4504851173283, -2232.274129164769, -2221.6454801610926, -2211.361394234974, -2211.743326162271, -2197.4692754180624, -2209.9249166463032, -2196.8984295365776, -2194.86091829408, -2193.909990694449, -2186.089136360959, -2189.4154663028166, -2189.135551493875, -2179.6137487932388, -2178.8405411332233, -2178.506256681973, -2175.223880549415, -2178.453411898309, -2172.8188134244974, -2169.013291678181, -2159.2968014430794, -2167.2694050719806, -2163.3653775581265, -2157.143041480299, -2150.703999093704, -2157.968925865454, -2153.347824542807, -2153.2371366611937, -2155.1275799595437, -2177.8163170028683, -2157.4151316560824, -2153.3226205947008, -2148.0017973673353, -2152.9431073273663, -2143.865448240538, -2151.8883484976795, -2156.967802498535, -2144.974096742102, -2145.672700320187, -2150.720743302287, -2145.2922299225293, -2142.0338096030223, -2143.0151901123486, -2142.403654802453, -2144.715173965678, -2150.2415607949647, -2146.798392855017, -2145.0674921369123, -2148.066450873605, -2153.472098075751, -2146.6971733341734, -2147.1430141206706, -2150.0614707380887, -2146.238020848938, -2153.75290799342, -2148.914164684735, -2143.7406970854695, -2144.057720293808, -2149.9189195765703, -2144.2962277081965, -2144.524631059912, -2151.0547928525293, -2139.323030376485, -2146.199370134817, -2141.9461247191684, -2145.4472028664395, -2149.314466042344, -2137.819372496799, -2163.5610595736484, -2141.01441063939, -2146.8671964372675, -2142.653056805182, -2155.582895798108, -2157.9486281914346, -2156.9663372770747, -2151.5610022811184, -2133.845339029354, -2146.7350847474368, -2146.856655610014, -2143.1798939874943, -2136.121921791203, -2142.433446171312]"
6,"[-3992.1775671386804, -4716.293607716394, -3876.0346360314948, -3164.347137440332, -2832.368396577888, -2585.7657867681064, -2474.3446248839955, -2424.0093053657533, -2362.6478700218536, -2351.280821876866, -2304.3704576800574, -2292.2791320310466, -2290.6213123804955, -2264.152895078638, -2247.8079567346927, -2241.8025188718266, -2225.0521647971755, -2238.292149571594, -2221.2004195510754, -2216.4314888065373, -2226.1210294318275, -2205.104925899669, -2212.251341668787, -2201.7250368665727, -2199.8338485159406, -2192.100658808872, -2190.5346585949037, -2181.1956618477834, -2187.32109555926, -2183.8992173778097, -2187.765281015692, -2173.401102110155, -2188.8479286176776, -2169.8947397960637, -2184.6604684018575, -2178.7458491746265, -2166.377440022062, -2163.0725352647314, -2173.1257079143065, -2169.488053533044, -2195.890441100087, -2167.670607055965, -2158.9381127554493, -2164.2458548541517, -2166.351820365015, -2160.936974866161, -2157.233413998422, -2178.8910327564226, -2157.6226370382574, -2180.1253800557624, -2169.3320749777176, -2160.763765955538, -2156.0813571517037, -2154.3869704016092, -2152.8673282232867, -2153.2124785674428, -2152.400918332408, -2150.8134016103454, -2145.3999150275713, -2155.5790128608755, -2148.3421305313213, -2148.2262028235255, -2166.729173375697, -2153.695649331592, -2147.8629305451373, -2177.950836823142, -2147.229227569233, -2143.146833642185, -2143.3364309692843, -2139.9468897364263, -2142.4334078670295, -2154.1371511508555, -2143.858692850538, -2150.053186373453, -2140.060817901836, -2148.1623406878257, -2140.751159012611, -2143.055065110503, -2153.526375150871, -2143.8937798461097, -2161.598190356325, -2152.2224613373755, -2145.3610997558935, -2145.6847901215906, -2146.7348385084465, -2147.751505128174, -2142.9511919152073, -2140.2565268709113, -2141.7039896586575, -2148.5351323106543, -2139.205111801857, -2136.899103249716, -2163.3576579758455, -2134.054378925163, -2149.744354344044, -2140.017030631398, -2133.7128424071598, -2136.870583371329, -2146.6892560880287, -2141.965611285515]"
7,"[-4865.897182532741, -4535.327781197863, -4094.222554236808, -3610.840639048859, -3061.8603240527746, -2758.877278758694, -2584.6667021669987, -2479.621583311342, -2434.1823429170936, -2400.893307562774, -2377.0470457053025, -2349.214174350163, -2341.387595522052, -2323.1659841734418, -2326.0203093023847, -2316.1492583104964, -2263.7950806740305, -2291.1041131585216, -2242.4944026444205, -2245.161772079831, -2204.32738450522, -2205.9344985953276, -2199.0791858743164, -2204.685082224942, -2198.7683373081104, -2192.4696694588306, -2202.6756581188893, -2193.471320332995, -2195.14798585114, -2189.0032551228173, -2209.1990424387245, -2194.7513039519276, -2184.6468203815543, -2184.581445254514, -2178.663602940549, -2184.221652980432, -2172.065839245713, -2191.261195973191, -2172.9108696663197, -2176.7435964005813, -2177.1481585135784, -2166.603128411194, -2170.547459156364, -2170.8424966012817, -2165.4920459820923, -2169.6120147281054, -2162.6632177420543, -2161.8666498193666, -2168.3834823177394, -2164.777095207216, -2168.9126765829933, -2157.3903506725283, -2155.292895835829, -2153.533838659911, -2160.2979268386653, -2152.0794513235483, -2157.360537737296, -2154.5871196986877, -2151.110643861236, -2154.3121073244874, -2160.0022866190266, -2151.9941079227556, -2154.055791974254, -2156.506641524113, -2164.6402794747905, -2149.1990465323315, -2173.7616010075276, -2151.4691516926596, -2164.4763998154945, -2146.1872629808327, -2151.4235646313073, -2158.052539953636, -2189.654818922807, -2170.531417377103, -2156.434872970112, -2153.0536040787374, -2151.4034006206243, -2157.1351373910693, -2155.404923347753, -2161.179587512356, -2157.450225373197, -2143.5067689403413, -2158.6987913430994, -2161.05672253663, -2173.4270901385303, -2151.440718190441, -2148.4108022871737, -2159.0712418596695, -2152.0578564742596, -2146.490474700736, -2184.095302513801, -2147.9945560361252, -2151.214686057722, -2144.919968883562, -2171.9044574405357, -2157.685290468643, -2163.387977976083, -2152.636254496663, -2144.8317941548644, -2161.9514474804528]"
8,"[-137232.85684345558, -137032.192499187, -136969.88912502394, -137255.32808790548, -136355.14138517567, -137168.25353766055, -137095.3759212841, -136725.33704783025, -137134.56462768815, -136575.50851727012, -136742.9144919298, -137190.8706852406, -136749.51488247095, -136842.17825010346, -136878.7285516095, -136698.56878158567, -137171.28613780029, -136763.84058489683, -136899.97579731065, -136625.89688550573, -137047.37817907444, -137390.4138279249, -137119.37231239013, -137209.07926352715, -136882.31852559716, -136916.80327411884, -137255.54133981434, -136947.05443446225, -137260.59360988595, -137024.92577402137, -137398.18265890353, -137089.08339048843, -136851.54977584683, -137179.63897036368, -136770.37485351384, -136944.17542791186, -136871.3575647535, -137059.50960439956, -137412.82709828013, -136606.0010081445, -137045.95422970946, -137187.8457260568, -136865.2872384722, -136764.1252421303, -136935.84369508133, -136991.7770279389, -137792.12391280165, -137326.84558545647, -136931.74877899748, -137085.85281209063, -136839.71847166866, -137339.7910140467, -137166.28354808726, -137061.38970031147, -137257.6997894461, -137266.07668045996, -137083.2777805238, -136107.85363587993, -137042.09960378427, -136953.52432802657, -136852.5614280121, -136926.56581357075, -137553.98993245134, -137012.7664039669, -137145.1822732898, -137287.15729758525, -136976.07182061273, -137328.41800550235, -137365.53413978798, -137397.01276725263, -136768.3828263163, -136676.7260008907, -137061.81102492157, -137602.7815299828, -137165.3209288453, -136791.21048118747, -136847.05238983635, -137369.479769793, -136802.2350730885, -137417.8058489267, -136849.2740659877, -136579.60876620238, -137570.7248416129, -137349.5425426711, -136514.63401750498, -137376.940047373, -136664.86178337084, -136911.47375585133, -136761.22855685878, -137409.10542607764, -136965.56349686754, -137035.829007362, -137394.0925197391, -136518.65481783394, -137096.76427309765, -137164.47504706302, -136822.55880646617, -137383.83286726868, -137167.6718757756, -136950.66018250748]"
9,"[-4387.330050922786, -4826.62542065255, -4263.1353960435645, -3608.4349357571095, -3056.599231405204, -2764.9430377145777, -2581.381008795561, -2500.546490509525, -2399.7416170304364, -2336.2980939791332, -2332.4520024144895, -2308.467959456876, -2308.422687709709, -2284.296284556025, -2249.3970860204236, -2243.7375996574947, -2247.7265832916282, -2234.6569814811887, -2232.570296378774, -2221.6675642333985, -2215.207400131368, -2236.836683456431, -2212.037880363179, -2200.016029205554, -2201.9447950638473, -2180.366375669227, -2191.6264590390356, -2201.4678148520698, -2183.204900194557, -2174.8579677794564, -2179.4493633671605, -2179.4069664370263, -2181.728536154286, -2173.928436771657, -2178.8314130992107, -2172.297832234379, -2166.2412684359097, -2164.3059649931497, -2167.114727384652, -2164.033243855759, -2160.5674199295545, -2160.4573138152937, -2161.898217216735, -2167.521576299768, -2158.0970304793723, -2163.864114103702, -2155.803792331609, -2161.0668627809564, -2162.089402333767, -2164.031110503499, -2194.205735097731, -2163.326545421069, -2155.02867476732, -2161.395781591257, -2155.728786244573, -2178.928520529052, -2152.0501098097707, -2154.6854595226537, -2153.387072007864, -2155.1032370605435, -2154.4510997190364, -2153.4296046148274, -2152.069115453078, -2151.442267819611, -2148.387734579217, -2151.3209961533144, -2148.9318963383225, -2148.2044954012717, -2147.4781914405194, -2154.258008595451, -2149.0122383466633, -2144.3688104780013, -2146.897646409118, -2151.1586033361136, -2153.3865518840284, -2146.6389572917456, -2141.905358654262, -2148.992602813113, -2146.8436355565896, -2148.4686598748435, -2145.5745069559252, -2141.60237129152, -2140.1110904380694, -2145.944784585766, -2140.3996981116143, -2146.8644327272395, -2140.830750546749, -2141.0574930120342, -2145.092005787297, -2136.5710325266314, -2140.1046082961493, -2143.8202847249013, -2136.570558172195, -2137.647426642228, -2148.7088723025354, -2139.7460082513926, -2140.904570716636, -2136.201775061669, -2133.036792238887, -2141.1298485885345]"
10,"[-4135.397223453779, -5178.852718783847, -4302.674633126167, -3474.6344463065248, -3134.775958424646, -2770.8437552121727, -2592.0036679865575, -2498.1105689903166, -2416.0694764880454, -2375.1167248207967, -2349.263439221177, -2320.5398805298455, -2317.7741191756068, -2308.1300252937726, -2277.1298861883497, -2261.3237655036437, -2258.7479685683566, -2250.976593476732, -2240.953675146088, -2235.193549748513, -2226.2827686391256, -2220.23755187924, -2216.893076508839, -2211.19043007927, -2207.301414508535, -2191.110981189057, -2178.4789467176797, -2187.950607941441, -2176.8924778033274, -2177.2035546624566, -2177.7974997205124, -2178.509077528702, -2176.2404693582125, -2173.801198355589, -2179.397190666006, -2177.1024611636935, -2170.329896402098, -2165.9320887093454, -2161.3756167438787, -2165.1401606003715, -2170.9838246096365, -2158.1225914102897, -2160.3725312935157, -2155.110176135729, -2164.568152151159, -2156.793395449359, -2160.9322398891068, -2162.9318781376573, -2170.7657268885155, -2162.648949017088, -2148.1675370149082, -2153.5171980199298, -2155.193405214917, -2151.107521779526, -2168.3608983904437, -2153.162462435642, -2161.137298055123, -2149.2239526448116, -2151.1158552612, -2156.8531513279822, -2157.6944234222265, -2154.3829459873364, -2156.802676076133, -2154.886802094994, -2153.0771998223468, -2170.0465356448, -2161.0074589420246, -2154.3155453883946, -2159.486544827558, -2153.6144912297586, -2148.9966328211526, -2161.954181213416, -2154.6566060792607, -2154.3494495485897, -2155.6913905926694, -2161.997074155606, -2161.604376870884, -2147.8941367392354, -2154.420575934759, -2156.452348787533, -2153.064786317402, -2161.6432158571447, -2165.079200940951, -2165.2459087891702, -2156.675644013887, -2156.558021651564, -2155.731271877015, -2154.03931513364, -2156.5304061586567, -2158.6096944254214, -2163.9780607551256, -2165.506921029652, -2162.0331017425983, -2190.7568287760805, -2165.7095258352556, -2156.1088585235866, -2160.8980429993276, -2159.388765915449, -2161.318385194053, -2155.000052775039]"
