agent_ID,parameters_ID,order_cost,leadtime,mean_gap
1,1,80,0,0.028687560605959887
2,1,80,0,67.64304328488898
3,1,80,0,0.028085300634147038
4,1,80,0,0.026471129361706636
5,1,80,0,0.05127108471947691
6,1,80,0,0.10209758758402236
7,1,80,0,0.027195224591640667
8,1,80,0,0.027777170762269255
9,1,80,0,0.022869634539584207
10,1,80,0,0.0663196395372796
11,1,80,0,0.06523336363787517
12,1,80,0,0.10763011046046952
13,1,80,0,0.04606105607069725
14,1,80,0,0.02592381875527296
15,1,80,0,0.021381605279448913
16,1,80,0,0.030961392937580032
17,1,80,0,0.02572285493558586
18,1,80,0,0.08599191914244797
19,1,80,0,67.64521743977804
20,1,80,0,0.09790042082459917
21,2,80,1,0.01785445255659414
22,2,80,1,0.041903849151715473
23,2,80,1,0.022762523625557356
24,2,80,1,0.036617432019462826
25,2,80,1,0.029180771787476377
26,2,80,1,0.02785574583425483
27,2,80,1,0.023903469400086245
28,2,80,1,0.01920688934031385
29,2,80,1,0.023387052978979448
30,2,80,1,0.0304004561510095
31,2,80,1,0.02340539146724288
32,2,80,1,0.01390927410717159
33,2,80,1,0.014828088689652174
34,2,80,1,0.026435696306744395
35,2,80,1,0.015376172879874632
36,2,80,1,0.05756036401735689
37,2,80,1,0.04523525596240682
38,2,80,1,0.01637058645086464
39,2,80,1,0.016078466088351458
40,2,80,1,0.01490419066995451
41,3,80,2,0.01094038616904142
42,3,80,2,0.012591458800456421
43,3,80,2,0.01941885344643246
44,3,80,2,0.018596359760512386
45,3,80,2,0.034525104922048376
46,3,80,2,0.0371776695327595
47,3,80,2,0.022076197900648475
48,3,80,2,0.03687673530357224
49,3,80,2,56.34069064112995
50,3,80,2,0.045397992261699445
51,3,80,2,0.011371413845247449
52,3,80,2,56.33894086091204
53,3,80,2,0.029829308594334657
54,3,80,2,0.0184549530386991
55,3,80,2,0.026662456802941235
56,3,80,2,0.027122709364402635
57,3,80,2,0.01963870513921331
58,3,80,2,0.03355029429589459
59,3,80,2,0.012119409779493872
60,3,80,2,0.0274098877087839
61,4,80,4,0.03485434853526839
62,4,80,4,0.009394206602091724
63,4,80,4,0.013104149878146861
64,4,80,4,0.009769933724591435
65,4,80,4,0.5901052423756106
66,4,80,4,0.02371738792784001
67,4,80,4,0.02154319743721209
68,4,80,4,0.015578787860063233
69,4,80,4,0.007827330574476708
70,4,80,4,0.014466034675611429
71,4,80,4,42.228436602119494
72,4,80,4,0.017514501875629057
73,4,80,4,0.017075332927982696
74,4,80,4,0.019536786704717556
75,4,80,4,0.010066091697267979
76,4,80,4,0.02871996870895119
77,4,80,4,0.015186391588408558
78,4,80,4,0.03811792306806726
79,4,80,4,0.05527206004862837
80,4,80,4,0.012582897921084257
81,5,80,8,0.014825958299222834
82,5,80,8,0.04004307582546904
83,5,80,8,0.04863981969758274
84,5,80,8,0.01304366032165321
85,5,80,8,0.06469696170907616
86,5,80,8,0.026136031816831128
87,5,80,8,0.07922141841273396
88,5,80,8,0.04610301435013078
89,5,80,8,0.021737640489334232
90,5,80,8,0.7297892825684659
91,5,80,8,0.12039094483429444
92,5,80,8,0.033193228883571735
93,5,80,8,0.042339901641898665
94,5,80,8,0.09395965122725429
95,5,80,8,0.03795905396563698
96,5,80,8,0.05947292733391382
97,5,80,8,0.195397396702483
98,5,80,8,0.05122822406772224
99,5,80,8,0.03738972460864973
100,5,80,8,0.18053923238136138
101,6,360,0,0.06788739339623859
102,6,360,0,0.05094904344659732
103,6,360,0,0.031079108486446808
104,6,360,0,0.013426529868227588
105,6,360,0,0.026570751706912546
106,6,360,0,0.018349989422358045
107,6,360,0,0.05212990345002273
108,6,360,0,0.03329959378801303
109,6,360,0,0.07559997802631548
110,6,360,0,0.014254652649694492
111,6,360,0,0.026461335435267363
112,6,360,0,0.02129187839384421
113,6,360,0,0.03223439787890062
114,6,360,0,0.04289000665218237
115,6,360,0,0.033185811754809
116,6,360,0,0.020222545169099625
117,6,360,0,0.025434678543841262
118,6,360,0,0.005559857744114394
119,6,360,0,0.04207365912690909
120,6,360,0,0.0786827595626786
121,7,360,1,0.01856802857012517
122,7,360,1,0.03484186038227928
123,7,360,1,0.027092263547356523
124,7,360,1,0.013571160135525371
125,7,360,1,0.024897436044092475
