agent_ID,returns
1,"[-1147.356343817477, -1432.8807077763854, -1201.338616552852, -1274.0947844535597, -1397.0325569235863, -1429.9650126514657, -1436.7608137627906, -1455.224832862897, -1579.577050946977, -1637.8507761136505, -1673.7797842180921, -1754.0245342601781, -1866.5604379624415, -1951.4451638705486, -2077.8863759639153, -1980.2582397614142, -2010.1957340223541, -1995.3217739350318, -2054.531174894862, -2077.744034672462, -2132.4584169126297, -2199.761763606041, -2216.675754180767, -2294.590051412365, -2256.251268561421, -2225.1038061391273, -2202.8939254341135, -2184.494839846936, -2179.82494424088, -2183.306301273119, -2156.2886527583746, -2140.9574946599196, -2136.215676792467, -2130.8479004644764, -2111.495698616436, -2116.8348133766153, -2119.0684471795635, -2116.8016112918986, -2115.56474504331, -2111.042901397463, -2107.7995398923936, -2117.051861503915, -2119.6701149817495, -2115.111201103384, -2114.744149990633, -2121.5445558144174, -2113.8233257665906, -2117.618587542367, -2118.3016212941193, -2116.435551989848, -2118.4623492183805, -2115.9343192068804, -2115.2548452235906, -2113.0809944010675, -2115.6090003008057, -2115.1314983707252, -2107.9982772853155, -2114.0357395165497, -2109.081181529299, -2109.7190136141953, -2113.981369398136, -2110.851133947247, -2112.3712923103994, -2119.2411905139397, -2121.650435271895, -2122.768341727359, -2107.864474066949, -2134.681478537832, -2120.0528000344225, -2121.355039699312, -2111.9307583639807, -2117.9929612707283, -2129.3843549997564, -2129.423952133115, -2125.4696978345887, -2151.44837686489, -2124.679351075361, -2122.5052038200542, -2139.348092770921, -2155.5692057505803, -2122.409427156868, -2144.891846995229, -2135.6282118088297, -2148.95715157319, -2151.1501914152395, -2134.986211876375, -2140.6463886659412, -2134.6542189688435, -2147.93034079416, -2136.5412547402216, -2137.298156001418, -2154.523361882666, -2148.220182832441, -2142.054651611827, -2159.4402511192757, -2168.3823402092776, -2165.1446201752133, -2140.867745887978, -2146.1010833151304, -2142.407130783784]"
2,"[-136843.33869603532, -136937.24776170834, -136964.03988167498, -136922.84297968412, -137216.98004947792, -137554.93249778115, -137080.97507774128, -137276.7894160129, -136919.7306493212, -137425.66415598095, -136805.60936666525, -137258.52104063358, -136931.45970505316, -136770.18398170776, -137215.38830761, -137354.62230177523, -137093.72698774384, -137427.97958118495, -136587.67737118923, -136702.21210966833, -137264.4139488579, -136685.9132517097, -136817.60489602402, -136382.99197851573, -137097.81819742627, -137158.90096177332, -137217.7362782187, -136741.42559975374, -136801.87435032154, -136674.84517482153, -136322.6803540523, -137225.9895718088, -136900.80723635797, -136943.9505813617, -136891.75327355505, -137297.88974887235, -136746.73551386598, -137217.25730802718, -137306.13985600873, -137080.0934547444, -136852.78811545012, -136928.40615664012, -137084.05551063133, -136472.67765082826, -137171.69804956645, -136991.2520472998, -136709.03493786935, -137304.91299648283, -137067.76142380392, -137109.34007465368, -136866.83815885754, -137192.60094026785, -137492.61380126845, -137180.29874575828, -137174.72300090973, -137233.10588749129, -137202.43213920307, -137128.311017134, -137124.98094619994, -137076.79312308534, -137263.8401692171, -137415.02021739463, -137609.42685154564, -137295.1482414282, -136931.2263330837, -136913.92533677907, -137464.90222708439, -137126.78648215515, -137128.17273375497, -137208.639978002, -137425.96091130958, -137077.5144198092, -137068.026702497, -137011.08236768813, -137508.89877367555, -136991.36728435606, -137353.10393629505, -136960.37525509144, -137097.39776318026, -136927.69425774165, -137277.41875384416, -137206.35189480442, -136698.33068482668, -137136.01309746725, -136687.0742742007, -137039.59122629315, -137544.7212912917, -136514.20534314378, -137157.12408482737, -137269.33302676983, -137289.84046770594, -137027.5093747149, -137065.73633750662, -137154.1124772785, -137010.7163417522, -136994.56960937005, -137007.74012038822, -137049.0364255132, -136930.2689708103, -137198.99011830002]"
3,"[-1480.1102836270848, -1277.831669910267, -1302.437190586538, -1436.784884382444, -1614.2037332629789, -1925.9877025770486, -1766.7009646827378, -1925.157446773415, -1822.3229904305347, -2089.929466917397, -1950.6686497635378, -2173.266614875546, -2468.9941129109097, -2507.404442554617, -2202.8097231459947, -2010.0975959978541, -2060.351645942487, -2105.68768946108, -2130.7274099918804, -2232.766085130311, -2192.0439768841998, -2275.4563493540636, -2340.3143395087723, -2343.550566564186, -2334.889867661788, -2285.8105481183975, -2222.4726824286304, -2203.4794648669135, -2184.012714914233, -2175.4078017104466, -2150.6763762617575, -2141.045790111429, -2123.0991491284194, -2122.5783913438454, -2117.682040632299, -2116.184386713304, -2110.109644106181, -2112.409168801864, -2105.536328226211, -2109.952849699289, -2103.7032609791695, -2106.4455373332776, -2107.027164999682, -2108.231419098396, -2108.231522428447, -2105.325479403779, -2107.973117411381, -2108.079609412922, -2110.085710397487, -2106.6545734048013, -2102.434114908786, -2107.2653974262566, -2116.790128302927, -2103.984761101939, -2107.0341654230497, -2114.535233374575, -2111.707832725305, -2115.8660090187923, -2114.1560897131767, -2113.533091932843, -2112.3452982356857, -2118.9513508596146, -2108.9196897068637, -2112.8813400929375, -2118.093297422323, -2113.760380537564, -2112.429853042454, -2123.0318608236257, -2126.003380125727, -2135.713073096003, -2128.265277910526, -2137.1621414982365, -2136.956652112611, -2138.5675308124837, -2138.331283738147, -2140.673988681862, -2142.2826978334156, -2139.766116947599, -2136.716193779088, -2140.39884309596, -2153.26569839682, -2152.1791208807367, -2155.462556997842, -2154.949103515955, -2168.3807454237453, -2168.889392481864, -2165.376144605851, -2167.776577656272, -2175.1173609768553, -2167.1625068658063, -2168.2287007854698, -2173.9998947533945, -2170.9959738656307, -2162.4550259519096, -2162.2518273447254, -2166.1013412745842, -2155.761333788452, -2156.1558745663733, -2157.191259939679, -2141.867471332801]"
4,"[-1431.4755603017752, -1279.3415111542595, -1331.0205355952205, -1372.091561933223, -1599.4554677791332, -1669.766331332772, -1803.5754840887007, -1973.779269683169, -2029.2056979997799, -1849.9373445610154, -1923.1605229103573, -2578.0643818306985, -2615.352533435404, -2737.7633683009835, -2341.9356230692692, -2228.3595591837843, -2062.7969441740847, -2125.087143775929, -2136.110616123059, -2165.600022718465, -2199.739865457192, -2259.1531701353597, -2338.2348320050114, -2308.2100700362957, -2296.9988257933796, -2251.853612646085, -2231.090449533547, -2190.686310806868, -2186.944221124948, -2179.137411695999, -2167.5783534828383, -2166.4447968241507, -2162.2827271238957, -2154.37317878127, -2145.088656841316, -2130.086217508875, -2131.632157344043, -2132.2234026949354, -2122.4681105269487, -2125.477040746555, -2126.94797603493, -2130.6072520197004, -2130.1357023600535, -2137.603438654901, -2128.103561001442, -2139.4872056217837, -2129.404162900406, -2140.7526233710705, -2139.830212967085, -2126.0322228590267, -2135.141591949409, -2132.3988814897666, -2121.4953550695063, -2118.5813538193406, -2123.4778256673744, -2120.5367580741677, -2104.7783865846354, -2110.6379071354877, -2109.019377387794, -2104.687813367135, -2107.5198331769157, -2107.3191821027926, -2109.6478493051986, -2108.8492068520386, -2108.0515626070237, -2110.961890974534, -2105.4176494162843, -2112.2914943208207, -2111.957749336785, -2112.42822589356, -2106.6003988240404, -2113.0992551671575, -2117.052609922553, -2116.4038276433876, -2115.616958406581, -2126.870281433808, -2128.433116224588, -2142.955711677363, -2142.277146548563, -2138.379142245867, -2138.004696764876, -2133.2210715741385, -2145.5996176139643, -2167.8895843164996, -2138.0988365784337, -2125.835946306878, -2130.6994157328586, -2129.4657883429863, -2131.808764508884, -2125.9626838943987, -2140.619216355196, -2136.9371622649774, -2131.652437282, -2142.514446246102, -2149.7035100698417, -2150.2688462616807, -2148.203300971924, -2132.85733345313, -2141.595190875686, -2133.9724152550275]"
5,"[-1750.4148864003528, -1352.4099810507644, -1414.048748826548, -1410.8004046477784, -1515.1343259791006, -1456.4566648485247, -1838.4964594605094, -1890.7222672286855, -1717.7420697937985, -1880.9735994635844, -2211.6273967972274, -2273.7392349053093, -2622.7258444109275, -2482.145874818011, -2192.1106333401185, -1992.0928787037647, -2004.7643798457289, -2097.0209505361395, -2053.1411769285896, -2085.897069951197, -2123.96442470175, -2214.774776455597, -2210.89004780456, -2241.5968158515784, -2271.2711143679835, -2256.6465973732174, -2218.135810430758, -2208.2293585080915, -2182.955099441926, -2169.1485586345875, -2161.5522635955217, -2158.9594360414862, -2148.8097378648235, -2136.7429412182387, -2135.0188587553216, -2129.006004492887, -2122.740206092475, -2122.4649879083086, -2111.8323839503546, -2106.2437498086233, -2106.0823256077642, -2108.909920135377, -2107.730400268705, -2104.5642999163365, -2103.902080398025, -2108.9090033454095, -2101.0304147083225, -2110.136134773976, -2104.4256884028637, -2107.8863067365837, -2113.9376510696807, -2114.8431235573985, -2111.530018562357, -2108.3336607707183, -2102.699640824831, -2114.68337384997, -2117.1135498190047, -2120.508111667353, -2112.267078162912, -2111.8586125020274, -2129.1420564456694, -2121.7172090154254, -2123.275097277756, -2118.23250104628, -2119.620371306248, -2114.820668832942, -2116.308870750607, -2118.75396973428, -2125.661491685358, -2123.4714378207987, -2119.4186574569712, -2121.7057406958984, -2130.165308082516, -2113.2514109918166, -2135.3509598102473, -2126.460913682853, -2138.274760524373, -2139.269281397821, -2139.899496868563, -2137.0989035869084, -2121.3672560391633, -2126.0493417719836, -2149.8743438567694, -2152.380535777636, -2150.8978036429935, -2141.16176733527, -2153.9638556347386, -2162.1427046200743, -2171.2781297652227, -2167.9508176112604, -2151.012299115075, -2167.5603350927, -2143.2797554091044, -2203.180441864179, -2176.7003873652266, -2193.571803660836, -2204.8545030108035, -2205.3625297378326, -2195.3161653355605, -2193.409460829523]"
6,"[-137601.34210322166, -137174.94682059198, -136675.83373497755, -136909.27935932163, -136882.28740033714, -137270.46817881707, -136954.00192310673, -136944.41887156598, -137178.41917268082, -137048.2763368812, -136726.6434923349, -136853.60848665415, -137065.65181243425, -137072.7928549924, -137004.20830542422, -137531.75686206433, -137120.05831660464, -136945.8934297454, -137294.32525658185, -136967.18906378304, -18288.586441522144, -17126.771958090918, -18389.513195241805, -2394.2129747230197, -3497.733802131712, -6534.394506029659, -5845.718319929783, -3533.974171745646, -3623.2122681972587, -2789.372440480542, -3065.072361648514, -3322.847523094289, -5080.69306514065, -4936.832234754315, -4865.860942783198, -4693.455987623528, -4799.305818130628, -4719.09690121217, -4961.201137177753, -5012.591894113128, -5080.236333225263, -5203.4782224696655, -5376.650803274834, -4506.13014420839, -5632.8028868865895, -3956.7187780944278, -2589.8842518627375, -2578.815564578081, -2230.013638373719, -2158.573333945655, -2193.9291869801427, -2164.091921052175, -2140.333970135651, -2141.207524433382, -2231.381822491277, -2249.491450494745, -2243.5003838293615, -2214.6164890325845, -2151.9141782763304, -2239.4945196930225, -2194.998151497081, -2214.162026812834, -2156.626016699294, -2154.6838498876396, -2142.332904591382, -2147.636512680891, -2165.0985905165785, -2163.168137123771, -2178.697121438949, -2157.2690608225375, -2160.782638021866, -2159.0137483028, -2157.193581539809, -2185.2797960413413, -2200.5627382635794, -2186.0461533426005, -2189.7975327798913, -2165.244956032106, -2174.216058042758, -2168.424087605817, -2197.7420964147855, -2171.1312746297976, -2185.8795330714775, -2196.8409470601064, -2176.43134034941, -2188.8017884644487, -2203.5947449656833, -2198.3191247629184, -2191.7918332370846, -2179.7473282987285, -2190.234075121567, -2183.665199170458, -2194.049918054938, -2198.5434979711235, -2184.6202530835185, -2192.1550346507315, -2232.8169163350576, -2236.737151595031, -2245.8425659653626, -2280.883982754781]"
7,"[-1593.152956589644, -1255.8800231749253, -1289.4227288093546, -1420.3920925553994, -1606.6317794831716, -1797.5647571100683, -1645.0568386375703, -1826.394149305155, -1712.634975313702, -1954.7070807128155, -1930.8138780349777, -2027.5905832066796, -2382.553633176815, -2258.8031267650463, -2179.083007122164, -2094.722066340427, -2036.3703946701091, -2097.8188675980964, -2100.645961742254, -2130.9313784311043, -2176.4519202308184, -2205.765705512346, -2214.289279525191, -2285.3174359274503, -2279.613211574122, -2225.700818398716, -2202.6381273056018, -2172.969532931766, -2161.190557197407, -2150.0536709585344, -2141.409133117122, -2135.6859230192395, -2127.788519722744, -2119.909025844326, -2124.3935035746804, -2114.245345588405, -2115.810066085527, -2107.276367614453, -2109.4814819202074, -2111.3983876713373, -2110.2691641935903, -2106.273559474005, -2104.683976253056, -2106.4497379976806, -2102.609846997534, -2104.346785103169, -2110.8969585654822, -2105.1060193423345, -2106.471001708856, -2107.2997562892915, -2100.6072946427626, -2103.1589321327733, -2100.654270829504, -2107.3550535071304, -2103.852364692221, -2108.0070143239127, -2106.9097073555477, -2103.898321971978, -2105.7696223519797, -2111.2737030354333, -2109.821208661043, -2108.9973183110233, -2109.5983470098877, -2109.4520449966353, -2113.8519207090303, -2110.3314732696813, -2119.8718094165647, -2111.112555468907, -2114.8931082418812, -2109.4159165721726, -2116.6564062632, -2116.0717781668973, -2111.328772115345, -2111.922096141289, -2114.296042689881, -2110.925814242749, -2126.8753313984344, -2124.401455326281, -2128.7981089592035, -2133.7411869414395, -2119.1481961134205, -2130.5492608355135, -2128.2172036258357, -2124.3502690011815, -2128.960660480704, -2121.7242913959185, -2115.8510468255063, -2121.3894809287963, -2121.318131435098, -2122.0056913391277, -2126.5582319813707, -2136.220770798719, -2129.368851062741, -2143.1661205651526, -2128.2052843047068, -2144.578708031371, -2148.4224580476375, -2141.678293608899, -2158.3853446114026, -2151.797361354628]"
8,"[-1257.4015773831288, -1211.7521920319057, -1216.537626142238, -1444.664842229733, -1543.4010753818554, -1647.8410685202425, -1724.3906684084684, -1840.601580755894, -1939.4002823075455, -1906.7173445548585, -1779.8551911529646, -1698.176033079346, -1922.5186378722112, -2087.604565043307, -2097.3447917174763, -2077.304625404775, -2048.1397575599267, -2022.5175179102491, -2062.1807133289417, -2062.705115025513, -2132.253319819779, -2138.0531653613502, -2166.2813459907456, -2222.5316077052735, -2278.929428737758, -2243.190535640967, -2205.0788075652486, -2186.001088651458, -2144.6654984036336, -2149.151968882603, -2141.004956506441, -2138.5960805016794, -2128.320910173027, -2132.9923552500254, -2120.788604712218, -2121.923411342559, -2120.836180942434, -2109.117124501176, -2114.3481265845503, -2114.702675266257, -2114.130800487069, -2111.592696912107, -2115.443497339928, -2110.2770849556073, -2104.917157806242, -2099.969267392448, -2104.745241166379, -2099.422955671425, -2108.3954565289155, -2108.264531934575, -2111.592239664638, -2110.814553479232, -2115.928020912286, -2114.9807103494377, -2110.1131483577255, -2110.7132462828426, -2116.7931685752733, -2120.864155554294, -2120.765943189799, -2131.9051628820603, -2139.059169322462, -2139.818315743561, -2146.7498775188683, -2143.2086414108303, -2140.6961109055305, -2144.065598064345, -2132.4234552707085, -2150.257260738317, -2151.7559300051635, -2159.736953839628, -2182.755592119638, -2154.3786373134053, -2147.0406463272116, -2123.214496578659, -2141.3376679122484, -2146.274163065961, -2133.181185796807, -2144.6443801373252, -2143.8349248139652, -2139.5484853594166, -2129.6927948807984, -2133.095631721663, -2145.646982728001, -2134.3299306875765, -2131.5735671732646, -2141.7037231488803, -2142.409154951855, -2131.4278680711395, -2118.575760622017, -2138.640754298241, -2135.4722156456332, -2125.524683336457, -2134.249881332724, -2113.673395343985, -2112.443019701584, -2116.2607313422573, -2138.7549420563346, -2112.717940266993, -2120.840647320051, -2146.796866180158]"
9,"[-1112.410459003326, -1306.6664325342376, -1381.3974942896712, -1438.4964220662378, -1564.4279769248596, -1487.128694393068, -1788.7707505168478, -1870.1836429809678, -2065.9335293721406, -2137.1938422532958, -2050.10563934048, -2224.3916489029066, -2629.9936538965617, -2427.244745552121, -2339.9930727145465, -2219.060616071776, -2200.4273340565715, -2603.7141659118356, -2356.7895433424287, -2392.5994795834695, -2496.822421655083, -2491.3753016540954, -2537.6368604096238, -2576.247031347156, -2569.3289961778632, -2520.2591345139554, -2456.3927324213673, -2428.409499346102, -2376.0454618058347, -2341.682805898801, -2327.544909929109, -2320.766325465727, -2255.225405372102, -2254.4181993578704, -2247.0331957521935, -2204.5720945335643, -2210.560152821739, -2169.75461699732, -2169.1256283640946, -2171.3798314473174, -2187.213268070313, -2154.2976871457836, -2145.7461861860493, -2131.133111251815, -2144.1444701268324, -2135.2581391394947, -2138.8134493483612, -2129.54085182935, -2122.672153845503, -2113.8219655692233, -2112.7145257196917, -2117.1448478504713, -2117.614637025734, -2126.0782719088807, -2130.4953929821895, -2128.4139393227174, -2140.595852078348, -2144.489593106644, -2139.4329203571424, -2137.390070086167, -2128.8275878088134, -2137.9210222377264, -2124.3593006845117, -2131.7677287110637, -2128.483358194374, -2139.899681641574, -2140.2499064260505, -2131.701720161181, -2134.4533674880618, -2124.754536902198, -2124.2250337768205, -2117.505481529436, -2122.5103169498925, -2121.2984902978865, -2114.7867590263086, -2109.282093641975, -2111.122034169862, -2106.5879091516863, -2103.7988573288685, -2101.9136094359205, -2104.3367364070987, -2102.8984231053264, -2105.8653628916863, -2111.625857141878, -2108.520389172606, -2109.027871868248, -2113.9025328781877, -2113.701590586165, -2123.9849030061396, -2109.562511436124, -2121.3977610151364, -2123.8304352863784, -2127.197120357607, -2116.575712979865, -2135.8660464454106, -2139.6719788359437, -2127.3770539058573, -2116.9952623256863, -2118.61221164033, -2122.8805076291824]"
10,"[-1274.115383155592, -1377.992356130605, -1390.5790069880009, -1378.950570952475, -1516.5957778069921, -1800.4126912136846, -1472.8442139090625, -1872.3698476830386, -2072.773333679082, -1685.4392214964917, -1940.702078682415, -2094.216356888807, -2281.483596660152, -2051.200888623942, -2080.1919270323688, -2029.1037833532207, -2012.1561294972598, -2010.5942070011613, -2077.913997478909, -2124.8682168102473, -2109.186716164664, -2181.5568929142228, -2213.358614465889, -2240.2000488307067, -2267.187746446883, -2212.82761707196, -2161.5119413666966, -2153.1779047233526, -2159.807695291288, -2150.181567114756, -2151.1312599876146, -2140.388550764939, -2128.631104822086, -2122.32848760273, -2119.422882116049, -2106.8694577360648, -2109.0766207136585, -2107.6602935289493, -2112.6678820221764, -2112.2628990599164, -2114.694878637707, -2112.93001531769, -2109.83372675699, -2116.047877702558, -2106.7364514120845, -2110.1793915616367, -2110.150459318525, -2113.9917320140366, -2104.1325600341065, -2116.736407691568, -2121.951658729647, -2117.111807030201, -2116.095603733325, -2109.934021142327, -2121.9031248611204, -2118.985627680938, -2124.5876372662087, -2128.621250581443, -2127.0434843449425, -2121.4736180349737, -2119.810399897252, -2119.0536086755883, -2120.316268479687, -2127.9526008964344, -2131.0179543293016, -2128.722406801348, -2138.5669254041286, -2133.6835736061794, -2125.7732255347805, -2133.960798822135, -2128.902450678948, -2137.02075015494, -2136.1198037111744, -2147.7093499327507, -2151.064949106335, -2167.381050500346, -2150.805199215506, -2176.8557200688124, -2155.813814438544, -2163.2490395067175, -2162.588530207815, -2176.7024628872036, -2179.5248981797126, -2180.750347438755, -2187.5474457159407, -2185.9139414274237, -2183.20056190756, -2179.6096359987187, -2199.7979695231893, -2198.9153205022994, -2189.56718789248, -2177.369693205864, -2184.4800581364434, -2185.6378008906113, -2173.4778500527464, -2218.5179291217137, -2210.717730784888, -2205.825672426913, -2198.9965419516134, -2217.584689459433]"
