agent_ID,parameters_ID,order_cost,leadtime,mean_gap
1,1,80,0,0.00897379759287825
2,1,80,0,0.008664390015579296
3,1,80,0,0.013588751096240102
4,1,80,0,0.013288547806292534
5,1,80,0,0.017839331659584613
6,1,80,0,0.041980138336424645
7,1,80,0,0.022092651640109703
8,1,80,0,0.019870878306042734
9,1,80,0,0.042279380500163055
10,1,80,0,0.01104166302717544
11,1,80,0,0.02904918700032499
12,1,80,0,0.03058194558480092
13,1,80,0,67.6540859637987
14,1,80,0,0.007460702524980763
15,1,80,0,0.01414929015811661
16,1,80,0,0.03523671922047543
17,1,80,0,0.03821230839548757
18,1,80,0,0.021176002096483553
19,1,80,0,0.023170261092469085
20,1,80,0,67.64095066575425
21,2,80,1,0.01624074759778908
22,2,80,1,0.01647751538292938
23,2,80,1,0.016816882941949503
24,2,80,1,0.03177827540219498
25,2,80,1,0.015399669667145883
26,2,80,1,0.012616174408542223
27,2,80,1,62.80329333077232
28,2,80,1,0.03275998557091319
29,2,80,1,0.02156214241673907
30,2,80,1,0.019084062829797882
31,2,80,1,0.015697051253456436
32,2,80,1,0.011944022997171861
33,2,80,1,0.019052001852859414
34,2,80,1,0.012282719671508329
35,2,80,1,0.01907843152180129
36,2,80,1,0.012147944025836821
37,2,80,1,0.0163719615507382
38,2,80,1,0.025262691258608746
39,2,80,1,0.041142744375100244
40,2,80,1,0.013684503319977547
41,3,80,2,0.013221525464900031
42,3,80,2,0.01151941180499298
43,3,80,2,0.010149930782578366
44,3,80,2,0.0174008310311547
45,3,80,2,0.01920100898780586
46,3,80,2,56.33280552127956
47,3,80,2,0.012652252326982404
48,3,80,2,0.012675628105653057
49,3,80,2,0.015904448574166
50,3,80,2,0.01703019258513575
51,3,80,2,0.01487387650462828
52,3,80,2,0.03527967690568236
53,3,80,2,0.03138515545862512
54,3,80,2,0.019536869668661118
55,3,80,2,0.009298822153825213
56,3,80,2,0.008901358963720823
57,3,80,2,0.013138893970279498
58,3,80,2,0.010223776698093951
59,3,80,2,0.0387158897469446
60,3,80,2,0.013251481697051684
61,4,80,4,0.016005611699038663
62,4,80,4,0.015250240977275887
63,4,80,4,0.010546490323715161
64,4,80,4,0.06769658325342606
65,4,80,4,0.015214238400027622
66,4,80,4,0.018324949828612838
67,4,80,4,0.02337458489765644
68,4,80,4,0.017443968406485807
69,4,80,4,42.22667207773889
70,4,80,4,0.02804158637484942
71,4,80,4,0.009754694475768454
72,4,80,4,0.011527814371240728
73,4,80,4,0.012996366361385465
74,4,80,4,0.0422028422260865
75,4,80,4,0.01888746855122584
76,4,80,4,42.23211525573582
77,4,80,4,0.011314770728648548
78,4,80,4,0.01463804290793964
79,4,80,4,0.007623526337718115
80,4,80,4,0.01355180891565266
81,5,80,8,0.016820653867757343
82,5,80,8,1.0809464386239094
83,5,80,8,0.05060205218450119
84,5,80,8,0.05790186644867069
85,5,80,8,0.04918111199170878
86,5,80,8,0.022205584544531604
87,5,80,8,0.02970745490338105
88,5,80,8,0.11020862537601768
89,5,80,8,0.02917962496416662
90,5,80,8,0.05398616379262784
91,5,80,8,0.03063681039006802
92,5,80,8,0.034769266169612685
93,5,80,8,5.129844772946865
94,5,80,8,0.05403140731034781
95,5,80,8,0.015364753086622721
