stockout,CV,order_cost,leadtime,gap,size
10,0.4,80,0,0.02099202709271063,20
10,0.4,80,0,0.02248960455807986,10
10,0.4,80,0,0.020548337154568858,10
10,0.4,80,0,0.013444829987679877,5
10,0.4,80,0,0.035134365879824,5
10,0.4,80,0,0.010498453888218288,5
10,0.4,80,0,0.024959558576213684,5
10,0.4,80,1,0.00827817562215345,20
10,0.4,80,1,0.018901497112697892,10
10,0.4,80,1,0.011034614698164311,10
10,0.4,80,1,0.012200588658735386,5
10,0.4,80,1,0.01744009953025285,5
10,0.4,80,1,0.011922711231750609,5
10,0.4,80,1,0.01570551069017354,5
10,0.4,80,2,0.012636924678442395,20
10,0.4,80,2,0.013135236699129166,10
10,0.4,80,2,0.012821743057674575,10
10,0.4,80,2,0.01240951172763048,5
10,0.4,80,2,0.016013259271406524,5
10,0.4,80,2,0.018701305355917696,5
10,0.4,80,2,0.009380873072497992,5
10,0.4,80,4,0.010160323069298639,20
10,0.4,80,4,0.015055208386240852,10
10,0.4,80,4,0.008960319739865828,10
10,0.4,80,4,0.012738057123015668,5
10,0.4,80,4,0.017476453322230207,5
10,0.4,80,4,0.013333554731260256,5
10,0.4,80,4,0.00951920074488793,5
10,0.4,80,8,0.016778948503700385,20
10,0.4,80,8,0.027446920992366786,10
10,0.4,80,8,0.014183303272228866,10
10,0.4,80,8,0.032795544617502476,5
10,0.4,80,8,0.02927883934764134,5
10,0.4,80,8,0.017352869010269917,5
10,0.4,80,8,0.017392662165535616,5
10,0.4,360,0,0.017556470396044594,20
10,0.4,360,0,0.01876407529634795,10
10,0.4,360,0,0.017357900907058008,10
10,0.4,360,0,0.017103469284700912,5
10,0.4,360,0,0.02453465664555579,5
10,0.4,360,0,0.00909604848985311,5
10,0.4,360,0,0.015049351789286384,5
10,0.4,360,1,0.01044928332503677,20
10,0.4,360,1,0.012271423318216531,10
10,0.4,360,1,0.009814772912066547,10
10,0.4,360,1,0.01617108534850609,5
10,0.4,360,1,0.01677340384228217,5
10,0.4,360,1,0.011537505376646598,5
10,0.4,360,1,0.011199301043635056,5
10,0.4,360,2,0.009915564613625865,20
10,0.4,360,2,0.01058293950455622,10
10,0.4,360,2,0.010468125434272522,10
10,0.4,360,2,0.013774308822635079,5
10,0.4,360,2,0.010717577841265197,5
10,0.4,360,2,0.011759729560665429,5
10,0.4,360,2,0.015882469823499164,5
10,0.4,360,4,0.014415117457107447,20
10,0.4,360,4,0.01373927878921376,10
10,0.4,360,4,0.014572092136510579,10
10,0.4,360,4,0.014533096505349258,5
10,0.4,360,4,0.015713691468759818,5
10,0.4,360,4,0.011282891933140292,5
10,0.4,360,4,0.015709255992653548,5
10,0.4,360,8,0.0226044467690146,20
10,0.4,360,8,0.023533879031394696,10
10,0.4,360,8,0.03646197208380383,10
10,0.4,360,8,0.03304904433290163,5
10,0.4,360,8,0.027249573394681436,5
10,0.4,360,8,0.025049484303038147,5
10,0.4,360,8,0.040514922656380445,5
10,0.4,1280,0,0.019172750855224963,20
10,0.4,1280,0,0.022380325714660258,10
10,0.4,1280,0,0.015293389325840146,10
10,0.4,1280,0,0.022857031645836145,5
10,0.4,1280,0,0.026710677953946684,5
10,0.4,1280,0,0.015758066327682074,5
10,0.4,1280,0,0.02664981991845183,5
10,0.4,1280,1,0.01265981041421646,20
10,0.4,1280,1,0.018908219142816887,10
10,0.4,1280,1,0.015198870823543674,10
10,0.4,1280,1,0.02931382299254182,5
10,0.4,1280,1,0.008638866444050618,5
10,0.4,1280,1,0.020049556827828677,5
10,0.4,1280,1,0.01818457606728994,5
10,0.4,1280,2,0.014738386797968354,20
10,0.4,1280,2,0.010058150338727341,10
10,0.4,1280,2,0.017568620898426392,10
10,0.4,1280,2,0.015235047506564738,5
10,0.4,1280,2,0.012722805227419583,5
10,0.4,1280,2,0.020202379182407568,5
10,0.4,1280,2,0.021490225908684563,5
10,0.4,1280,4,0.019837881742155252,20
10,0.4,1280,4,0.020761880115911905,10
10,0.4,1280,4,0.019715497991895616,10
10,0.4,1280,4,0.01856158010819442,5
10,0.4,1280,4,0.015595638213448077,5
10,0.4,1280,4,0.0200318079139583,5
10,0.4,1280,4,0.02243321803550351,5
10,0.4,1280,8,0.04896237969671025,20
10,0.4,1280,8,0.07662016080307134,10
10,0.4,1280,8,0.044084967631557746,10
10,0.4,1280,8,0.0589718570721552,5
10,0.4,1280,8,0.058758664318694996,5
10,0.4,1280,8,0.028033859024704136,5
10,0.4,1280,8,0.034964192092184314,5
