agent_ID,returns
1,"[-2016.980543196397, -1693.9592816839886, -1378.7028919704662, -1522.9980789569154, -1698.0814048440873, -1890.2418030001902, -1460.498397077329, -1904.128141115928, -1986.957643117277, -1716.821778387149, -1674.3072903801192, -1718.1515160841116, -1863.7991758537612, -1928.566008835893, -1892.5033547554701, -1927.0103488657505, -1958.7911086286379, -2014.3655601172081, -2049.0611860798376, -2097.7476365960347, -2085.4441147702173, -2131.770172788454, -2186.7104722425884, -2205.8886859468403, -2201.246488753392, -2199.353808561307, -2186.809855726896, -2189.840942687552, -2140.6738101424553, -2157.6187487112843, -2146.0880789020725, -2130.4221760750784, -2122.7003076842816, -2129.4751185940872, -2119.5778953286153, -2110.532299508377, -2117.3912898909207, -2115.1127727282433, -2110.999530521312, -2114.627265458407, -2111.6216084563243, -2113.6316803275367, -2107.4430996414503, -2112.6152578260585, -2116.3321074155033, -2118.63742820448, -2112.3875772093766, -2115.56986641385, -2114.8778731690136, -2124.6998787754897, -2122.310943532508, -2127.475541641524, -2128.560062327679, -2129.6351487681595, -2134.4351938068994, -2129.0862608829557, -2128.9018922795663, -2130.020979958796, -2131.430256604697, -2129.209585097507, -2122.578645013318, -2120.9265576359485, -2118.374751911997, -2119.5213251288556, -2123.6985695368517, -2118.3996306045206, -2118.4093518532486, -2134.418556682674, -2123.270656715077, -2125.7820771841366, -2116.4836129039536, -2124.38070567876, -2122.552051847719, -2122.76289565799, -2113.916417448378, -2124.0936470953734, -2119.942901463262, -2122.672855602834, -2121.9633256013017, -2126.946579221309, -2123.4256244430817, -2131.955795434098, -2124.0852271360377, -2130.1028083173455, -2116.694941985987, -2112.401029351592, -2111.580754674587, -2106.7563901509393, -2110.2191519795624, -2110.8907390357936, -2108.2375638241074, -2115.28078386102, -2107.316760583905, -2105.4644950712636, -2109.3719596165315, -2111.4075635073254, -2108.6066415043547, -2109.044900823113, -2109.5542792217416, -2110.9265484403923]"
2,"[-1444.185247703608, -1331.835645684291, -1292.1655763685542, -1568.9042678424196, -1369.4491842659108, -1549.535493732306, -1695.9085842288387, -1837.931691646225, -1867.454821843542, -1948.3396790561221, -1807.304847827026, -1765.9988286374014, -2246.133071817234, -2105.158667984451, -2046.7089467171693, -2237.7044627848272, -2457.8124841452445, -2479.652887211316, -2380.7896756526957, -2320.7737116750277, -2290.409383981656, -2347.8264462118304, -2452.523052906448, -2427.2060349055523, -2477.48856621633, -2405.4036563510367, -2415.737497168538, -2308.755511264336, -2290.3989101204033, -2253.382722100785, -2238.560379730369, -2222.6929698283984, -2213.3003394897046, -2206.4626304927096, -2182.6188702328145, -2154.5983975652425, -2161.8895606054252, -2150.0642571203043, -2133.747872860372, -2151.1719442402614, -2138.6754516057613, -2126.9952211196223, -2133.920524578581, -2129.326160503808, -2136.468049312146, -2132.539534912248, -2121.40162623929, -2133.806139257713, -2137.4074103728462, -2125.2078884774246, -2121.9383955557305, -2125.775201971577, -2142.266345718836, -2120.718846810869, -2133.9772958394997, -2121.260288588671, -2114.603089735039, -2114.2866837846564, -2113.2594728029694, -2120.3079435750055, -2117.838196504922, -2115.439406027444, -2113.624360560425, -2115.2747454063774, -2117.4517683654244, -2117.453523142971, -2110.0577002251935, -2115.615430179056, -2117.6850094157853, -2117.819455579658, -2108.503645012053, -2110.538824342114, -2104.01575855586, -2101.4439119487456, -2103.223597363145, -2104.7381820812725, -2106.087865278459, -2105.3905793325794, -2105.667282680953, -2112.5473295033867, -2108.0509866400507, -2106.9271942960554, -2104.2958048956507, -2103.1733393081436, -2106.2347174138627, -2104.2915720794363, -2107.359706903111, -2114.16922944509, -2108.0362135342843, -2103.4542254150856, -2105.424186339946, -2105.1973490679047, -2115.5043336985377, -2105.7623522466265, -2118.5684630058013, -2107.113622033177, -2106.357993657985, -2106.286841167104, -2107.673512377986, -2102.6572896324087]"
3,"[-1968.5859046483981, -1379.535049168051, -1440.624468902804, -1400.5204179212815, -1665.1906847354169, -1670.0032868723379, -1772.2919659943434, -1687.509197718484, -2202.7527183749544, -2354.27096300523, -2149.6027008666, -1789.308153010763, -2481.1062735432624, -2526.334374715818, -2640.3162521034683, -2530.8098015823803, -2532.3320067493496, -2285.705266005464, -2383.504346147787, -2363.534354797253, -2424.3971331554403, -2394.416754279589, -2450.353406354444, -2510.068028906381, -2541.7060831319927, -2491.748881229141, -2459.607662533272, -2406.691984815635, -2345.119725802682, -2307.0355322997993, -2270.5602631221955, -2268.571283122716, -2216.3761564431293, -2205.470002834058, -2184.294107708638, -2165.8119512987864, -2161.0182990611524, -2149.8311507752987, -2147.9472061686206, -2138.9562425384775, -2130.005890007467, -2138.6369700490177, -2129.0253271878855, -2122.221917402961, -2120.734364343837, -2128.409177214766, -2120.0465689080443, -2115.1869396515267, -2112.8233965499944, -2111.624374223429, -2112.946834386738, -2107.694330110549, -2103.7725244387952, -2109.4125689419034, -2110.3597387386612, -2104.6058631502615, -2106.076596477079, -2102.4079554155182, -2108.0709956868404, -2109.5161421038224, -2106.167575421231, -2103.9879035126005, -2101.154910350203, -2107.143680965673, -2108.1453212131046, -2104.3724502339614, -2111.585662362921, -2112.177043409201, -2101.3284886249307, -2106.5201589332964, -2107.539973039396, -2105.2235686434715, -2116.751340358627, -2110.2025435764235, -2107.1806511028203, -2104.5339174158084, -2111.9188165829883, -2110.449806584261, -2114.8243605707034, -2120.910167800363, -2115.5567808011433, -2121.818742752866, -2130.6476920600353, -2116.4470958920065, -2113.94304806528, -2118.0761158032005, -2124.50705662753, -2118.1649714483656, -2117.200550180025, -2108.5191389227534, -2111.924574059126, -2116.4114972543853, -2118.032098199717, -2112.9097647477493, -2114.9181329847556, -2121.8896194570675, -2123.1110843461443, -2121.7589003306143, -2118.3850260695453, -2114.1763676753285]"
4,"[-1464.2821306330713, -1439.9213912811122, -1415.6685444504162, -1391.5730747989899, -1566.4031217671159, -1731.309490307927, -1997.5518030489338, -1857.8576327991968, -1851.2137915157393, -1846.1578733907493, -2050.393524386057, -2037.4453070855077, -2559.741238756011, -2746.513540692244, -2685.14306309884, -2293.4829325266564, -2188.1779373466234, -2082.5047671381562, -2099.7306663585637, -2119.4328864379095, -2144.6488121856955, -2171.7479864946963, -2194.475953728151, -2227.8015016919426, -2285.7903259592813, -2236.344481717266, -2175.8407829947005, -2156.250784792502, -2174.7860740999895, -2147.745433044128, -2141.02658735004, -2129.6869423569283, -2130.818243881395, -2117.2808619228294, -2113.8533913376145, -2112.4295616451855, -2106.325932389405, -2109.5817136251067, -2110.8571545104996, -2110.002232336243, -2106.952522150936, -2111.374895258735, -2105.650140442151, -2104.183708720865, -2105.6694226655345, -2107.7157482698026, -2103.7333565466924, -2101.0520569266505, -2106.666229640312, -2108.3854620990587, -2102.676153145392, -2105.224394967565, -2106.757412428183, -2108.907073689009, -2107.2050019501125, -2104.423821217847, -2104.205710031077, -2104.0025852394588, -2107.294715994244, -2107.0010115407654, -2106.2575113420307, -2105.035758471368, -2107.6063665157394, -2106.993115190366, -2113.412232264581, -2104.8510450162694, -2107.1259407994917, -2109.0172358462532, -2109.434836488928, -2114.596164043487, -2117.6516604368862, -2109.567925938718, -2111.1971157943176, -2110.960786231424, -2108.622988969967, -2115.900851453418, -2114.9596128466383, -2107.7241047344405, -2120.6927230775905, -2109.2842005373814, -2113.251399495041, -2114.148997247204, -2110.232606495702, -2109.629368867313, -2112.2639513609693, -2113.8476777764845, -2112.799349455937, -2111.8097011258674, -2107.9856927791784, -2112.851976105146, -2119.685943020308, -2108.6174182617588, -2111.8407394511714, -2120.9361487030665, -2111.3516340989195, -2116.1584356500593, -2114.408948491768, -2112.224023498482, -2112.0268292325145, -2114.4341546403466]"
5,"[-1972.826336442118, -1331.818646390358, -1381.097477156724, -1399.3575636536773, -1404.9593051559762, -1665.2434514878341, -1549.9060940843137, -1604.0348672600624, -1705.5969255579587, -1832.4321225102847, -1788.645496856071, -1715.8795368823385, -2084.0932799632137, -2068.4361791377496, -2172.914936294851, -2161.6986988119534, -2187.152863521191, -2166.176448174476, -2203.93138384751, -2296.3332355799453, -2261.7227510390344, -2288.7980141105154, -2297.803193937407, -2340.5014122813013, -2384.7969732073366, -2347.082775714215, -2316.6773130800198, -2266.292487541459, -2227.8106685100865, -2224.0325861898946, -2206.0229461722365, -2206.2205893494147, -2182.281208005992, -2175.490156959741, -2151.1881012904864, -2150.6369235497627, -2137.8206362230453, -2131.3500228160547, -2124.3900015486547, -2125.7471514511485, -2119.204572646563, -2122.6808843983013, -2117.1457023079397, -2113.214667503854, -2117.4724935510285, -2112.6507182598825, -2111.5058336660973, -2113.6841466836813, -2114.3522840907895, -2114.56533351617, -2114.325198293172, -2110.0095704652135, -2109.4900363522975, -2117.9455273350072, -2110.8808578488597, -2114.646113762499, -2117.689330914935, -2117.306938814866, -2114.1453252028273, -2108.1184679956796, -2108.932787473391, -2109.8463070993157, -2109.080308892736, -2118.771929296555, -2110.784284493292, -2110.7628925652375, -2109.0822627013245, -2105.3591157221385, -2110.3007637067335, -2115.1664444180724, -2109.958360202896, -2113.0841198623607, -2113.5191267055416, -2115.4883994077295, -2100.381878471164, -2109.687067675236, -2107.104676441953, -2121.2121688751913, -2114.4250303160616, -2109.872420208743, -2103.7789070944027, -2106.9298908225674, -2106.8491375036065, -2108.9198259817504, -2114.4610909715884, -2111.7249251661588, -2114.5053047414417, -2119.3397505192233, -2112.2178661691396, -2120.0018457197857, -2127.716877038032, -2111.0986552919135, -2112.406820235234, -2122.255506232196, -2112.882882874029, -2117.7435633466707, -2128.191631632611, -2118.636035279578, -2121.8037413177617, -2123.0717194387157]"
6,"[-1416.2746319668795, -1526.7415570936828, -1493.595720969579, -1529.6832720313191, -1748.304798622911, -1624.6749638237684, -1570.2344959271754, -1446.1872929519702, -1517.8638790310392, -1627.1817969190263, -1654.6345532567598, -1688.34294543229, -1799.9484114156878, -1955.7827439457599, -1946.3542105288059, -1905.3441054195828, -1954.5792156257671, -1965.2483729114367, -2018.3010194541696, -2093.3433169147575, -2124.3905820152586, -2117.5215879876305, -2137.48174916881, -2229.3593664925597, -2262.762848303899, -2207.6441662130333, -2192.5618973822875, -2184.7085857498287, -2177.5069987750094, -2168.7164287110954, -2177.5064428971577, -2155.9216741132705, -2155.6025692831467, -2137.5680934285597, -2130.8336857369077, -2134.7135110784047, -2139.5566564221413, -2145.076316398407, -2138.1378120028357, -2144.848330182866, -2142.969006801177, -2134.8307104520995, -2129.6992589904557, -2122.967309228152, -2134.082847807364, -2129.7785735587936, -2133.1200003072645, -2118.27492893536, -2116.2977156621987, -2122.7351388520315, -2122.4455108961824, -2117.2550100362, -2122.278584770124, -2113.409749386101, -2126.5833781885626, -2128.9310871046314, -2122.5703835747836, -2128.579350445163, -2123.9894600948446, -2118.8251533830207, -2127.7099906810095, -2110.2140718292967, -2110.0709172800343, -2108.808413295403, -2109.5751384375185, -2107.131205212343, -2107.8873492119337, -2117.085639786108, -2110.282641092782, -2117.081074455053, -2112.6386477216806, -2112.4445630632317, -2113.202521613995, -2116.8940448726585, -2111.0297210793883, -2117.310885879663, -2120.0963941907894, -2128.2412492831018, -2136.6396744049343, -2129.4323290152297, -2123.5537363771505, -2126.083441390899, -2133.0996319986257, -2136.7293812989465, -2136.6508406794674, -2144.699769670485, -2147.3203653950936, -2145.6921687799513, -2158.376173759093, -2151.8081267969956, -2148.1644747887185, -2155.592922124901, -2165.4825037520222, -2154.1785535769586, -2150.543098384435, -2161.4569304317292, -2160.947573014496, -2170.905688526806, -2168.78670651853, -2176.44221355253]"
7,"[-1653.9857212929344, -1484.5180307653739, -1409.3570335381498, -1367.1363901091686, -1564.9005470506143, -1560.8267995357824, -1775.8507320852034, -1467.535826556265, -1507.2127440030647, -1637.5835234802482, -2047.0017854125022, -1766.0969540220606, -1957.1446876192713, -2065.0619192350478, -2083.724330232082, -2019.4908298521457, -1971.1954415223872, -1965.6745834892922, -2018.959915123381, -2068.5454382438284, -2125.0119297444653, -2212.631551859997, -2230.3783908120263, -2226.504429873052, -2264.270539353364, -2190.6068108371655, -2172.634589912542, -2150.913505336027, -2149.0086022268315, -2159.3906665646286, -2157.328056409843, -2135.6833033643697, -2128.8396237278457, -2119.4188304614227, -2119.2950261184637, -2121.6883351524966, -2112.4095354882547, -2117.6863304804847, -2121.5394024054954, -2119.1187187036307, -2118.817923176765, -2113.127929518289, -2113.802063894035, -2120.681657611405, -2113.2942949578132, -2113.008268290467, -2122.4719989922146, -2119.414459788064, -2117.913545974581, -2118.8304140095784, -2111.9043454473453, -2116.621935790863, -2126.4574871323985, -2123.7932749270194, -2118.23208975068, -2109.4144061849274, -2111.752513995244, -2111.887657035128, -2109.0632880562525, -2113.3445460152034, -2114.117530818358, -2108.638549278036, -2111.143097011943, -2115.3722488855515, -2116.4576709354224, -2116.194831437078, -2113.163456307421, -2107.7618622936334, -2106.9597266133947, -2108.5694367404108, -2107.2124948497794, -2109.335123083857, -2119.6147816362154, -2105.591014834834, -2111.6204304315816, -2113.9172154275475, -2117.5686633252626, -2112.8493644336886, -2110.614159122154, -2114.1441155595076, -2117.531652304785, -2117.892743174544, -2115.503675279124, -2126.8349073876616, -2120.702635580393, -2119.5204252204812, -2118.561387852515, -2119.940256687771, -2117.520092444259, -2122.5606973354147, -2122.2836455121096, -2130.8940634467863, -2132.134507577218, -2126.3237915065133, -2123.7967382517695, -2128.050553241933, -2115.718703625203, -2117.023049124052, -2125.6977046023444, -2124.1213901608044]"
8,"[-1580.8558182076913, -1398.1358489933104, -1501.5939139190525, -1644.4261419668142, -1823.4591258794192, -1537.2553550103094, -2029.7026470336605, -1656.5904079643396, -2425.746486680791, -1937.5292824443584, -2496.5589326661006, -1736.5417389686475, -2601.2568796036953, -2900.450993592608, -2487.788403924289, -2488.8538636264375, -2970.891058699512, -3208.489422090334, -2026.8096933736426, -1966.3643598957653, -2105.512149117806, -2095.3789481072217, -2145.0961147950566, -2183.3832369617417, -2210.5939842949624, -2194.552253050219, -2195.083811591982, -2185.9603202927574, -2167.611209353971, -2157.1583503852353, -2150.4395694002824, -2142.38139187041, -2129.930955938107, -2126.369944771074, -2125.8722787059164, -2117.6419685118367, -2112.7495189084957, -2111.2982069183495, -2112.9906510953847, -2109.622445161994, -2108.8154355113375, -2108.1643118238426, -2105.9132059954577, -2108.3386560193608, -2105.918803331722, -2107.7101835366443, -2111.430602022321, -2109.907903862921, -2115.2922570509463, -2105.561628499012, -2106.2493944603125, -2110.136116248847, -2109.2760106992177, -2107.6811895379583, -2115.9068102302444, -2110.043600962264, -2109.1974763895973, -2108.6343605251413, -2106.487079748131, -2108.226447916642, -2103.7085026736017, -2109.5671072094005, -2109.1628478702214, -2108.797327298218, -2106.6229576381365, -2109.7584040235383, -2114.658425918944, -2114.3741121662088, -2108.5769900704513, -2105.9868891072388, -2111.3874804103234, -2122.499273376789, -2122.936098430008, -2113.439132517277, -2126.1613002311115, -2129.0055908609907, -2120.4789209847686, -2126.0951312128313, -2126.3619734061426, -2123.4483102935787, -2146.9904172281153, -2128.055284546089, -2128.2414081938887, -2142.2654283106226, -2137.4515424395245, -2134.493257811898, -2125.807003478827, -2138.7191877421765, -2153.7227730184463, -2138.065876518884, -2130.680654291898, -2134.3214017449977, -2133.4861023228455, -2138.537455527941, -2158.3098551236412, -2146.822729828102, -2138.353267623228, -2141.2248042754613, -2126.779159358531, -2132.1292091083237]"
9,"[-1321.948318361405, -1233.831064232722, -1310.3559244344372, -1438.8835807772957, -1517.6489682623435, -1564.7110745428988, -1800.8079194483462, -1724.4801787395008, -1651.623130770592, -1903.4572901138474, -1814.9184862686611, -1924.3587462618852, -2553.8802211925636, -2438.4687856367227, -2208.0598080372088, -2119.663894741308, -2184.7880068272334, -2176.7254495802317, -2161.9337089176743, -2175.8800674271843, -2220.7926411040557, -2260.0101039688707, -2276.1380111105345, -2334.3809245749944, -2345.0461854632604, -2317.254593319869, -2272.949250756273, -2240.9732894342947, -2204.212412090499, -2179.404144985185, -2171.0480325627896, -2154.909016480916, -2148.376749759368, -2136.311884658676, -2124.637420884905, -2126.724532120902, -2130.8188231926524, -2122.325908097529, -2117.487636460299, -2119.273929455848, -2121.6592757415706, -2119.787800829897, -2124.970931709311, -2120.9344315234403, -2116.055216922599, -2119.727618765979, -2119.4767396105676, -2112.185601389758, -2122.6275442164792, -2119.5750643895067, -2118.2209727271043, -2122.649365580127, -2116.987628072789, -2115.0843967331252, -2114.6493630642917, -2120.8341328562133, -2109.1628442788888, -2108.8927726651086, -2109.7355161965634, -2107.662409232845, -2116.1790547477476, -2107.0728792510586, -2106.6103835913536, -2112.012150883466, -2105.1471115529735, -2110.0336680603964, -2106.3192634906563, -2111.232680236599, -2111.64550626622, -2111.3689090584667, -2113.689662445988, -2108.346940681797, -2108.9262086871563, -2109.498530819157, -2116.5250627084893, -2119.18878668585, -2121.4236065697173, -2126.673569518349, -2125.815444179262, -2134.524355169364, -2122.6429110275108, -2130.8057209793556, -2127.674138997725, -2140.1468306608576, -2144.7652848555713, -2147.0418479409595, -2152.472476537564, -2153.1905495549804, -2146.5629762529557, -2167.3916017213555, -2181.9612882306174, -2175.6375742241567, -2199.748507441187, -2172.962969193542, -2179.0274531063756, -2177.3256666350253, -2180.3386560179833, -2175.4431390213012, -2179.286844729559, -2181.747810480001]"
10,"[-1748.4764541692216, -1552.3502193848935, -1445.1429892823003, -1543.0042506804125, -1773.191480726694, -1764.6283535022378, -1868.3672824630398, -1978.121276802077, -1900.801268166737, -1885.325238303138, -1970.599429715703, -1856.6055726196348, -2602.087279917923, -2645.6505243822444, -2585.051891803493, -2306.8698010866933, -2384.4582345265585, -2383.7407028440166, -2186.9040472886622, -2222.278618908952, -2246.582195395085, -2343.799332742531, -2367.4250761724215, -2406.1618383449704, -2459.8457673062203, -2397.7716636819077, -2346.313490062943, -2314.2136662349135, -2248.5645213339253, -2213.982422578408, -2180.8315203560883, -2202.886944102479, -2191.825713641412, -2163.86954109222, -2158.9437044338674, -2149.5051361214387, -2141.1364852108445, -2148.057462196157, -2133.0009159080173, -2134.6746842556986, -2128.8888137630593, -2122.1433648981956, -2143.8570525741807, -2128.33815475388, -2121.7417677679973, -2127.313136254355, -2126.2908881529265, -2128.5728501561016, -2128.9413788500433, -2122.000336859006, -2116.070243698606, -2114.8222250653516, -2115.702966340977, -2111.4566325185015, -2112.0242303162336, -2113.357391242321, -2117.3280448549035, -2107.5953524585098, -2111.30646278835, -2110.05856699774, -2116.608173045965, -2113.432584950695, -2114.222193839186, -2111.361328531924, -2110.42338704317, -2111.2362891249586, -2111.622380920381, -2112.8328272418544, -2105.85205852075, -2110.3503503242005, -2114.4986151665566, -2115.172005941988, -2106.9166175361283, -2109.325108756248, -2108.671800464648, -2107.006506413505, -2109.5692799650506, -2111.8382378804636, -2105.110164365649, -2104.5550804945556, -2111.9645839550503, -2106.5113548679656, -2106.5995879927655, -2109.182880453934, -2110.148185152006, -2108.054871763474, -2112.410398257284, -2106.1459167521307, -2114.0588302236947, -2099.958777559591, -2118.2776301755684, -2110.164409459397, -2109.7156659603106, -2104.869321703966, -2122.717519391656, -2110.6293595526586, -2111.691288999382, -2106.7209920060695, -2110.116700170623, -2110.653715572793]"
