agent_ID,parameters_ID,order_cost,leadtime,mean_gap
1,1,80,0,67.64349537163852
2,1,80,0,0.04521269988150823
3,1,80,0,0.051199282449254035
4,1,80,0,0.035261694996343
5,1,80,0,0.04723311899555182
6,1,80,0,0.046406863027250944
7,1,80,0,0.04298545396394152
8,1,80,0,0.07348094041273225
9,1,80,0,3.5835475490701265
10,1,80,0,0.06409505605019054
11,1,80,0,0.017895441784088632
12,1,80,0,0.08884055360255697
13,1,80,0,0.07402732388484337
14,1,80,0,0.10729079596859893
15,1,80,0,67.64451093375217
16,1,80,0,0.12511895162934042
17,1,80,0,0.09309372009215751
18,1,80,0,0.15158947535926992
19,1,80,0,0.016690096536602892
20,1,80,0,0.01837783149427054
21,2,80,1,0.027654722949237084
22,2,80,1,0.010094847543537183
23,2,80,1,0.010440113693458982
24,2,80,1,0.023446206595035584
25,2,80,1,0.02632914074433513
26,2,80,1,0.04199055268629612
27,2,80,1,0.023063576591865365
28,2,80,1,62.80346140849643
29,2,80,1,0.04819512433132837
30,2,80,1,0.014609590596316478
31,2,80,1,0.02042466102357176
32,2,80,1,0.04162294939440597
33,2,80,1,0.03370245637605892
34,2,80,1,0.02028488366040472
35,2,80,1,0.03034678849299018
36,2,80,1,0.013283747739344019
37,2,80,1,0.024455690199624788
38,2,80,1,0.01239685202172754
39,2,80,1,62.80739426895401
40,2,80,1,0.032264012654240545
41,3,80,2,0.01951370820477584
42,3,80,2,0.03933578455513321
43,3,80,2,0.0235136459572495
44,3,80,2,0.02348896751490448
45,3,80,2,0.04266995213046367
46,3,80,2,0.024968007652425513
47,3,80,2,0.014417545002714567
48,3,80,2,0.020522994051904882
49,3,80,2,0.015339894924084087
50,3,80,2,0.019247291429961212
51,3,80,2,0.04565116027088217
52,3,80,2,0.051793620241124584
53,3,80,2,56.332624586676694
54,3,80,2,0.02877787677042246
55,3,80,2,0.027517272381453614
56,3,80,2,0.030719592610435272
57,3,80,2,0.02316981181949545
58,3,80,2,0.024830121620593004
59,3,80,2,0.02774073189149511
60,3,80,2,0.03283474818862126
61,4,80,4,0.05881926961445255
62,4,80,4,0.040231776121701916
63,4,80,4,42.23308528883784
