agent_ID,returns
1,"[-137207.48083654122, -136904.76544710525, -137566.47463283647, -136932.05341241276, -137008.5312520505, -137003.41360652167, -137460.4845324976, -136413.18055129616, -137187.8726255994, -137485.069747912, -136988.18483619945, -136850.42574974502, -136928.5984136473, -137483.53099484456, -137258.5564094771, -137036.24270767084, -136999.11527262302, -136906.99212637567, -137526.79729943135, -136737.7545818085, -137372.9158812284, -137267.64245061247, -136750.57889144743, -137185.00942189066, -136961.68232935327, -136928.36923330807, -137449.86839931092, -137379.70192971604, -137420.97247985454, -137069.58756827627, -137128.4403639887, -136738.00577382598, -137504.5921381768, -137100.74084210498, -137480.2576934715, -137406.6975626975, -136698.85975564885, -137154.9743614584, -136770.63630579333, -136614.9224369211, -136922.40797167658, -137087.84075835696, -137142.7384100081, -137204.708448408, -137393.62443870716, -136946.99881022822, -137183.687634439, -136917.12635712247, -137844.97536599665, -137091.7850640055, -136954.29978534087, -136884.88925229647, -136940.02109995543, -136873.11757299287, -137209.70861273143, -136740.91179907805, -136906.423752682, -137212.89950338917, -136953.43508765282, -137066.41585991788, -136820.55737168077, -137414.88702865457, -137481.8728928301, -137093.764528515, -137186.39141043375, -136941.01794692065, -136886.40514714248, -137312.35380135328, -137337.14325694594, -137096.85769422955, -137061.87960534656, -137186.41200273865, -137510.89834330155, -136663.3761349343, -137022.26710077902, -137489.30478799433, -137040.64090853138, -137183.6287381485, -137329.16308010436, -136977.4137206063, -137250.1293026593, -137143.2964741906, -136788.58518360957, -137567.51575559255, -137264.33184241556, -136750.90894000235, -137260.91019761655, -137181.7046778241, -137348.08799400288, -137197.29486097288, -137156.67106956238, -137087.01750051844, -137235.14780540744, -136828.45278455838, -136369.7970475436, -136473.02241900077, -136929.82444858196, -136757.23561718265, -136831.7743542516, -137518.27920928568]"
2,"[-2106.527962808445, -2372.7504453067227, -2119.927952534126, -2136.937040268799, -2125.512456462948, -2127.9651908882743, -2142.6213151514676, -2115.3621650304913, -2112.1917151961934, -2114.9331440066685, -2106.8063572430433, -2111.2783262845032, -2112.598407331016, -2110.7637141403893, -2108.686140060976, -2105.5019366512774, -2108.9964025928307, -2106.698110185205, -2105.484604441396, -2104.0196636800997, -2104.977343652389, -2105.554605450109, -2105.509777550483, -2101.9194831671653, -2104.2540145113107, -2100.6045385525013, -2104.167662744295, -2107.537775305347, -2112.3954435394808, -2110.7835379330477, -2117.83303013915, -2111.4918510666002, -2129.7758378829312, -2127.982951281786, -2122.7073757601543, -2130.632059544123, -2120.673383904355, -2123.743712786228, -2122.2047843495143, -2130.4533017696526, -2130.7852317838297, -2134.381924805453, -2131.2888674956466, -2140.1926832590416, -2136.1309951427916, -2131.6388743595735, -2138.4260167748807, -2137.1308186408382, -2134.863688759573, -2136.781445665734, -2143.283151781696, -2138.098872514091, -2128.332241620081, -2125.1861562319564, -2131.6622200153533, -2134.5724881509873, -2138.299819967349, -2139.5191813922806, -2144.1334004471814, -2137.9186367928664, -2144.0205106906815, -2134.014223738222, -2162.8049603899267, -2157.0396612213785, -2163.603500010463, -2157.5964893936693, -2168.78793255619, -2165.1692684761674, -2164.182436416101, -2167.217631433384, -2171.6122773689617, -2185.606251074784, -2184.973008155781, -2199.391869383228, -2185.1160147080072, -2171.0299878369256, -2185.216464169813, -2175.705955852919, -2168.7047925445895, -2187.245178704319, -2188.8101694197535, -2178.2285763775244, -2186.1149438784064, -2191.7432114004646, -2187.0537792225978, -2181.5690306846573, -2184.821462190655, -2183.6166919032, -2181.68902871666, -2186.0919143202727, -2176.7688976297777, -2169.245973262096, -2173.594057757291, -2173.607145114056, -2176.242849265292, -2174.9059517362307, -2173.3052713822512, -2184.330737112277, -2173.3828083741373, -2177.9588039300274]"
3,"[-2251.7194568960053, -2217.740037706689, -2154.9560293149348, -2131.7603978165234, -2121.509495345126, -2119.5269596039975, -2124.140497891074, -2119.2503725434403, -2119.778514364073, -2118.0383996118535, -2125.2334307163424, -2126.969319692273, -2120.8647901757336, -2113.8333237909874, -2112.5741272674413, -2116.3369082631584, -2110.0114921274767, -2117.410695732941, -2115.844257799873, -2116.5933671416433, -2111.41801926085, -2108.9853195261994, -2107.702185965781, -2102.683920548008, -2104.8680107610444, -2105.0510291988116, -2107.185781915486, -2104.584080061125, -2098.874048200619, -2104.859396078142, -2106.00908997793, -2108.1344770360265, -2103.372113324744, -2106.4587488591183, -2106.2644329106, -2103.5325260466598, -2107.6772204654862, -2108.598864240152, -2110.6199489326546, -2110.0337424021714, -2112.4675611224884, -2110.5765032536383, -2112.2729265993316, -2108.0400940066834, -2108.8815498901095, -2113.0615837657033, -2116.3898475225915, -2118.2429654452394, -2118.171804599365, -2113.473543659045, -2117.7369814605004, -2113.1471443100845, -2123.5754855054115, -2126.100572923465, -2133.6608948971966, -2133.7573030614108, -2138.3958823245575, -2124.8380797031064, -2125.705339359938, -2113.0475700552242, -2127.598460621665, -2122.4800525023797, -2113.4785697347083, -2117.1382655262996, -2123.5822867624356, -2124.9448788256527, -2131.8316485956, -2128.3512806097483, -2135.136343714158, -2138.960543920467, -2139.1896849605037, -2142.778624520064, -2137.6307832539287, -2142.172039262626, -2148.1643627081135, -2145.65393701261, -2156.5108625380585, -2138.241315382474, -2155.08488692449, -2151.040050712572, -2139.129150794073, -2142.3185745459205, -2138.844490226978, -2133.7637078829016, -2148.561223497722, -2137.2028727031297, -2144.306460904616, -2166.816421552213, -2170.2868146410174, -2165.1903546781887, -2176.09000056622, -2180.5082776292425, -2176.463067389911, -2177.733242808695, -2186.606240240674, -2195.3362136092787, -2178.5104463727544, -2178.0597342731257, -2182.694677452896, -2199.0457437800023]"
4,"[-2167.4259045999765, -2217.169876662622, -2118.827738687318, -2127.5905492946954, -2132.804757748231, -2126.8105306084494, -2136.6552767519697, -2137.3940992947396, -2136.596823813637, -2132.8381755166884, -2123.2689016105664, -2136.6444161957274, -2134.9430119239696, -2122.7677949885474, -2123.3393004350687, -2119.2782077215406, -2115.291084478056, -2121.810610457876, -2117.9581888572407, -2121.137647786047, -2120.6822102851243, -2124.944268593365, -2127.9126502199993, -2116.0674862721876, -2121.5232431705026, -2131.3285810414413, -2121.277014390399, -2123.217729542902, -2118.562468703092, -2125.0460782990904, -2116.642597088554, -2130.9255926506985, -2135.0073833916963, -2130.877121009108, -2121.890576971577, -2132.8450989764683, -2124.5701532906664, -2141.025236515551, -2138.205180792972, -2139.254390088167, -2135.0573846628095, -2152.1671253389222, -2130.755714636973, -2134.353496180932, -2148.3534047030644, -2164.9478784628495, -2165.8832963387595, -2172.2098800888707, -2159.8442552591646, -2169.9466038289365, -2168.60182200867, -2178.4420837064317, -2151.215686736226, -2160.7661675753197, -2156.3711141784547, -2157.3850331358713, -2159.222650558512, -2161.001036060897, -2151.4158380881163, -2172.8245539945683, -2179.260066378161, -2167.904701937323, -2173.3479824731967, -2179.8466553452135, -2178.2520013081257, -2195.1149814099153, -2186.3896518146926, -2194.8384602695214, -2203.9188772563125, -2200.4170005022106, -2200.3868201460114, -2216.345536575471, -2201.1908455502944, -2204.7202456037326, -2223.587571189521, -2231.5227243395952, -2219.0704379039944, -2256.2002296526016, -2250.2455124111593, -2250.3746885792125, -2249.40978389817, -2243.582239101023, -2240.0554469350386, -2249.8497371566586, -2277.8654552195894, -2320.1117692297753, -2269.259739346365, -2316.9632215032475, -2268.9421854483444, -2269.784462248417, -2240.616633953484, -2258.445475548086, -2260.3251649999843, -2281.7378105861003, -2229.5812027312927, -2234.145629367517, -2199.0841112004896, -2177.140878126283, -2175.557317702208, -2169.538048208551]"
5,"[-2122.5180331859624, -2192.7813834461826, -2105.8010524410106, -2129.702398227439, -2130.280744942621, -2132.4288829853576, -2128.9735068334767, -2130.775533847799, -2129.6610565925375, -2127.691116034912, -2134.329825010279, -2132.583046175554, -2128.607272000596, -2125.3776398356495, -2121.0207222263134, -2123.778064570215, -2107.9202972881403, -2114.114281845365, -2114.509662814935, -2111.952232740995, -2115.085157172181, -2109.112138619244, -2111.0457344569354, -2115.756335778941, -2127.3922055728126, -2116.7927397407784, -2126.843758203844, -2126.059706493741, -2125.590262447608, -2133.9988855441934, -2126.9437539696387, -2126.5655846855616, -2129.1286189764282, -2131.530224760633, -2132.3035619251086, -2130.4672607423936, -2141.0999280193023, -2119.6733657058553, -2130.9790661826632, -2140.3688713574893, -2146.5503550562553, -2154.442898423322, -2148.00630220124, -2155.2512848767215, -2147.535373327051, -2179.8432017592936, -2175.1922367390703, -2168.2494700757584, -2178.105150106829, -2161.966497072947, -2175.9808204113865, -2161.3669669576425, -2165.2108680105202, -2148.276578276023, -2155.8344614624066, -2162.8037888491576, -2158.2027514253973, -2153.3649799341047, -2158.704645748404, -2149.2390622642183, -2173.7886960367973, -2174.906509468634, -2168.359101067333, -2195.677385427609, -2173.3777405485525, -2174.3468357391716, -2181.386912418777, -2185.4186448289847, -2194.508902498002, -2199.7968173307377, -2206.862162331201, -2218.5092583162127, -2187.4020818021354, -2192.905637278237, -2202.119819033879, -2220.450168015916, -2228.5302429837393, -2221.5001430687835, -2206.806267096115, -2223.0521469730807, -2193.064538964494, -2202.6700894096275, -2208.482165020895, -2213.261016382714, -2183.067386481414, -2198.8836545846934, -2190.1715590453055, -2183.677829552535, -2192.887472735622, -2188.2353504793914, -2203.1257625954254, -2210.3315871513087, -2217.937932779414, -2206.3163079730734, -2213.2166659190907, -2189.036518049109, -2186.7804340137905, -2207.4309987650445, -2188.4854621558734, -2196.5759487678306]"
6,"[-2621.279806105521, -2277.613537412444, -2112.8523895336007, -2120.3266352173073, -2122.393129178316, -2119.3689291127876, -2108.6837432032253, -2115.598760988674, -2113.7373206015686, -2115.4833082759833, -2113.507285991452, -2110.4014050703317, -2111.107695198651, -2114.7960782171554, -2111.2240875781044, -2113.98024138921, -2115.190244639047, -2114.547443461423, -2118.9682216684823, -2115.967984283249, -2116.566886854595, -2112.256417497464, -2112.329649737851, -2117.1474465089987, -2110.279519744264, -2120.2228997455736, -2121.330059289879, -2129.246952174067, -2140.0673140258127, -2134.12493765033, -2149.283696144886, -2149.322210816015, -2157.7136682477126, -2140.9515297632292, -2148.5843394199533, -2153.469490270368, -2136.248425018733, -2150.9390694584577, -2143.42959751152, -2154.9272269898643, -2141.9385094780905, -2141.2311114305667, -2133.011874628428, -2145.3180259614605, -2133.9082776592927, -2146.5459690947846, -2156.2474812632063, -2179.8474693829526, -2166.931894236728, -2174.4129808940934, -2184.4994429489657, -2178.0831473694193, -2199.095585113621, -2179.1769164968296, -2203.450196091543, -2192.8471187429564, -2197.710794394368, -2195.7163321112, -2202.35186056819, -2207.48411772949, -2220.424413340357, -2208.9732482016952, -2196.2977812587205, -2241.1860507136885, -2198.468524942064, -2223.837962741656, -2216.6719110261247, -2242.176951036257, -2207.030200293681, -2237.2915078336114, -2259.426133627706, -2215.868708625109, -2202.964407569853, -2212.89990236563, -2198.249398806553, -2188.033121028083, -2195.5984224151152, -2201.1837706204433, -2194.0746976821165, -2217.7956132206805, -2242.483867623379, -2213.8144489353153, -2250.370721412152, -2213.0780784252215, -2203.233585137686, -2243.0007504249993, -2230.6030022961077, -2277.3327505575608, -2272.678841975593, -2292.686729785519, -2241.6246555581456, -2206.0531401816684, -2257.0574949366296, -2201.9062480999264, -2273.254500430753, -2253.1366183891328, -2232.8242123654527, -2183.5506945336147, -2175.8870470885195, -2188.1857363623903]"
7,"[-2112.8082656520305, -2310.128859987448, -2141.839243955458, -2155.1980684819764, -2135.7953760062146, -2128.704123944045, -2115.3137724595545, -2113.763975754117, -2108.402552350807, -2109.0812138310107, -2107.725604164523, -2104.4843091760063, -2112.46477784239, -2115.699030295355, -2115.06798159358, -2116.2468692641755, -2103.8978924300195, -2113.090888426735, -2114.408426514781, -2114.3515292929483, -2116.333960160127, -2112.2416286300504, -2114.548165475769, -2111.396306280935, -2106.080099948848, -2110.222192478293, -2102.426272656931, -2107.1718378781056, -2113.5939070119657, -2108.791909629662, -2112.054257868239, -2111.3282877741426, -2122.6762108173675, -2113.7743619308535, -2124.0126249661866, -2118.6440637645487, -2126.2961880003113, -2118.7870307612025, -2112.1138358012545, -2112.152051511266, -2115.6340736235175, -2125.4645774353467, -2120.6197293203804, -2121.769211121114, -2133.3662356874706, -2144.912459088634, -2158.6438452593497, -2130.8882499886745, -2145.7768020102344, -2155.4429772339663, -2130.3296682013565, -2152.0022251610003, -2130.283815005151, -2137.8662735898088, -2143.4218582884764, -2139.069970417364, -2151.6514408058642, -2139.385519085385, -2133.292562873487, -2145.685509499364, -2140.581848525745, -2160.440284519174, -2150.102209236606, -2136.8140090276834, -2141.3707928630733, -2130.272815507741, -2133.4351588285926, -2128.8157379217178, -2134.3808399848695, -2147.1414680747253, -2150.906668213307, -2141.996688307795, -2150.0903487713567, -2139.8112062602145, -2131.373462622309, -2142.6557081280453, -2128.3174089168406, -2156.0298736624745, -2151.8802107184492, -2147.5694155947617, -2149.2556579431166, -2163.5849296493006, -2152.9152595196088, -2154.985466039357, -2167.76399348506, -2164.1579060880504, -2179.679031361788, -2207.895833026162, -2206.4243858861405, -2188.9265883597386, -2204.6040943544494, -2203.210805062109, -2174.938806440828, -2165.5698439136427, -2187.70698039047, -2191.869422828827, -2186.5141416364645, -2183.4685279282303, -2210.0092297476313, -2179.9820656579695]"
8,"[-2216.3091234819035, -2754.714738887495, -2129.836224893805, -2155.9886414183097, -2149.8239051737105, -2144.979445850211, -2132.4200180345297, -2130.7381836095346, -2127.671087792781, -2120.1021684734537, -2116.8082896966525, -2122.8631215500586, -2123.0415246867033, -2117.4917998670226, -2126.1052669573546, -2115.057077641896, -2118.736178099934, -2111.305983267087, -2108.2269852975887, -2109.429717578356, -2107.5262629866334, -2103.5076435132196, -2109.8573206921733, -2109.109688763063, -2108.1532796188044, -2108.1132047967035, -2104.086639884215, -2108.652666470568, -2103.4982858626, -2106.33845876399, -2106.71805195115, -2102.399700411787, -2105.217668626757, -2108.950732025845, -2110.472220420123, -2110.1349430863825, -2105.7350870937967, -2104.7070279421505, -2107.98828737892, -2109.7892807723515, -2110.0208121172577, -2109.533797146877, -2104.829983927471, -2108.0454142453077, -2105.758174326157, -2118.3993078150756, -2110.802793479768, -2109.3841026204723, -2114.979584106291, -2121.2967112613155, -2122.26261262591, -2125.7177678807257, -2126.272781674086, -2132.4935920300513, -2122.799929608322, -2140.0499509584392, -2140.4624087273605, -2129.95422181622, -2135.7739778137557, -2131.8082104259884, -2145.193880049933, -2146.253980947704, -2150.0047297048077, -2146.737772411927, -2152.385228150724, -2149.618835878642, -2150.202541678795, -2154.395940988841, -2146.569604436037, -2157.6722515250513, -2166.7180956119128, -2153.130937287246, -2158.8356949807503, -2160.2356386820916, -2176.2416885262364, -2172.363741167503, -2167.9027237259847, -2177.838992499002, -2179.7981010313497, -2209.236292432619, -2201.9802784533517, -2194.5297491696547, -2207.0230445800134, -2209.7907921152464, -2214.075268055104, -2197.6652733563687, -2219.952195174053, -2202.8402897711035, -2227.6623660753617, -2224.512339565103, -2236.318477388825, -2247.675400772068, -2242.6883035085825, -2237.15074552082, -2234.6601261265832, -2244.2715708527285, -2256.522531274846, -2242.3835262090183, -2226.999758096507, -2240.3861722993283]"
9,"[-137265.98983277852, -137923.75841901786, -137083.08608956047, -137344.6395741328, -137023.67270663576, -137237.8468627191, -137380.72600314056, -136786.3079254896, -137272.1260958499, -137175.09814206618, -136507.4616693192, -136611.52795828896, -137697.16627078436, -137124.1240727845, -137051.15663580754, -136992.73458240318, -137035.0646293202, -136777.66075425275, -137207.86327417538, -136700.50944235717, -137518.98865379638, -136660.13229464673, -136977.6695429833, -137591.46059899605, -137340.30870213624, -137343.6818438878, -137654.26962650786, -137317.31502101003, -137069.68372174405, -137156.22357584906, -137320.37529510655, -137398.4242273456, -136755.2615127654, -137111.99785856003, -137214.18175428972, -136795.82313255855, -137411.12055137183, -137302.14074030743, -137106.73090696195, -136723.18892403357, -136905.66304553725, -136826.71261907113, -137430.50748669764, -136881.39161932442, -137546.23527428583, -137010.90368990361, -136726.62914463086, -137249.3479604096, -137441.53135957342, -137357.36972892893, -137303.61769726683, -137108.5878569031, -137131.36526645967, -137117.96889001856, -136593.80232163542, -137211.97158206662, -137299.18425909316, -136721.18367767753, -136846.44832792022, -137105.89051727302, -137206.89816869263, -136724.13858885283, -136948.0318227453, -137510.0726781034, -137640.5968374719, -136726.6308827917, -137082.95894697166, -136819.6938158391, -136935.66257892014, -137550.85011631012, -137218.04900625953, -137046.77149858428, -136819.84663202072, -136926.55951737554, -137129.40781290704, -137036.9902606782, -137049.20165088828, -137609.55057379985, -137065.1212141498, -137018.0472088587, -136199.1570443659, -136689.80342657177, -136797.6619327052, -137255.3608177517, -136923.86033870772, -136977.88723913548, -137067.35824631617, -136763.35586208003, -136910.81372688786, -137197.38244397962, -137707.29952470795, -137444.32594469358, -136618.52321966772, -137215.2537280056, -137138.0918948439, -137057.6941289515, -137088.39350448945, -136995.22897265, -137447.72945465657, -8656.22934824406]"
10,"[-2745.276428982299, -2392.9293121514147, -2134.3011063519016, -2123.9744443812087, -2125.866612132181, -2113.7241340835812, -2115.5118602030702, -2112.3066328465197, -2108.2681040305642, -2108.642318925174, -2111.8578670128904, -2118.944344721334, -2114.0887707514908, -2111.8774797979054, -2108.053034090783, -2113.789858781086, -2110.496066715531, -2104.7339394814926, -2106.410170472509, -2112.33646737641, -2107.091178349459, -2104.4542531881216, -2107.4621929144005, -2105.66324254322, -2107.559211497223, -2106.31865667245, -2107.328638468249, -2118.550452617698, -2117.4602006670566, -2115.8445024854095, -2121.363348903018, -2110.027587535519, -2120.179573956814, -2122.4853097726696, -2120.1234707685057, -2129.9303080753643, -2124.939594425896, -2134.92223531285, -2123.836258408482, -2128.277636782013, -2128.2589464489956, -2138.3833546305846, -2126.9192695671345, -2146.4638621016265, -2143.4061442417074, -2135.5549993024065, -2151.678269424716, -2169.030308519487, -2155.989499875535, -2163.181603308586, -2167.3867715358474, -2161.233767637464, -2161.444079794024, -2155.241959685834, -2162.2340066682723, -2171.7934663775177, -2168.2629440185106, -2166.71471788817, -2154.7691935537905, -2150.0981349101867, -2171.6283392597093, -2165.9691835032695, -2147.310432115046, -2152.1059272267935, -2151.8927789625163, -2141.9010110005593, -2152.957833616813, -2147.4307748224755, -2152.8025944599194, -2168.895331488947, -2160.727603449924, -2159.760729561628, -2153.915821944357, -2160.1336952909132, -2167.9005284958666, -2150.9085081067888, -2168.443574725303, -2165.060177996048, -2166.3551351565816, -2165.9292551915805, -2182.6633832259095, -2198.6102424967135, -2190.5816160122486, -2191.0067168923397, -2191.459870758296, -2199.0521852208462, -2206.0783618309333, -2204.201456047615, -2224.8690768661463, -2183.9453047540637, -2187.6326917439037, -2197.686907620999, -2191.9673584458865, -2205.9879280149735, -2219.5880048990034, -2216.752939000262, -2244.1899361489995, -2201.2085317229694, -2216.344493924315, -2234.6483806108477]"
