agent_ID,returns
1,"[-2406.464272528157, -4661.432340693081, -2366.70701214443, -2169.9178200524734, -2125.4096103404136, -2127.1884759699747, -2125.69896642216, -2128.2908789631756, -2121.99110942659, -2119.880462103018, -2125.4650910124496, -2126.7666726018783, -2117.5410019759993, -2125.17853872091, -2117.923879029683, -2116.7144964682016, -2113.745037038997, -2112.475299491554, -2111.424843595669, -2107.147467339247, -2110.0090285830465, -2109.6388487826616, -2111.5739726959837, -2108.876873503186, -2110.8752709638197, -2107.971929681993, -2106.922405119829, -2109.95452156251, -2106.723644401631, -2104.8462850223727, -2110.2943243026184, -2110.6508391769753, -2106.178699096496, -2105.1507853479457, -2108.379739777813, -2106.0130954789415, -2107.673353425423, -2112.2528903895995, -2106.6845867354614, -2111.0435447333507, -2109.20978485445, -2118.2917150487037, -2121.4166480563945, -2113.9969856923726, -2113.512902693117, -2119.8971743369384, -2116.2832453753726, -2119.9434187379443, -2114.640698567911, -2112.9769377285534, -2116.5016952777546, -2112.991163557722, -2117.8256689701825, -2119.1891199449196, -2110.6739995029243, -2118.4556215312073, -2117.1428914709463, -2117.662352973752, -2118.5170499493893, -2117.349587995054, -2119.1920954315374, -2110.84311190118, -2113.655011504441, -2111.315948583455, -2116.2285115523546, -2115.305010772053, -2111.368991423219, -2116.0835027372086, -2118.5573362244154, -2120.8327559273807, -2124.07566069147, -2112.4084242852796, -2131.1793340055583, -2125.4072718808006, -2128.9420943485, -2126.5293563331115, -2117.7284709489136, -2131.863302300526, -2127.4532259240386, -2127.224525729335, -2134.1130486096095, -2128.2934281042044, -2123.467557578401, -2134.52201439557, -2131.258035510733, -2136.845495095654, -2132.6695772222265, -2153.2109360748755, -2137.2673602933933, -2158.88133600326, -2153.586974350714, -2167.2253717523886, -2173.5340939358643, -2169.9352266764404, -2169.1611023266905, -2165.315040672265, -2167.511452867912, -2175.2145312184725, -2191.8441021483563, -2210.636956000261]"
2,"[-2176.0473304545903, -4702.402481252742, -2370.014642866606, -2156.0832874143757, -2127.434208104303, -2133.282485892395, -2132.5474958237087, -2134.266558393824, -2127.052150481157, -2118.7604924515404, -2118.290148630986, -2116.9826537004187, -2112.061681920122, -2109.7030811899376, -2109.916672229978, -2106.0640068856114, -2109.1434443447233, -2105.5399112177383, -2106.389640746965, -2106.4731586908156, -2109.0616262485705, -2101.7846220257356, -2108.0080203110465, -2104.085482224394, -2110.1473131919165, -2111.6986134927943, -2109.169279494368, -2110.77158800478, -2112.542730424737, -2110.7591131102363, -2112.242872071114, -2116.831731805245, -2114.7931050430607, -2117.188494303632, -2127.032443595769, -2121.067883134988, -2122.471488939689, -2133.2219136765375, -2127.5276284037677, -2132.6378182890585, -2127.349037400879, -2141.1673515747434, -2144.057428543023, -2144.604635395217, -2144.187867473442, -2147.1163809987497, -2150.0987577756487, -2148.455605011327, -2146.3069173214835, -2154.0040021420887, -2148.00350827705, -2150.3890996686023, -2145.170645266054, -2147.94787470606, -2149.7782693663034, -2151.1284531182077, -2148.300622919963, -2155.791419219822, -2158.674874518409, -2159.926862224247, -2154.8933704624437, -2166.6170441501113, -2161.063097317254, -2182.528263971357, -2176.0211987051316, -2180.049372794449, -2182.495749537822, -2173.377217609304, -2187.3399736221154, -2171.9167240486313, -2185.9007135746792, -2167.033491594897, -2175.495387013697, -2182.6027742637566, -2177.9773227578235, -2175.4071356751047, -2179.840884935428, -2175.8223472885684, -2199.493868401801, -2209.2557146265553, -2214.173236809667, -2197.1109971116207, -2205.8110879664378, -2200.2113826134278, -2210.9980551473823, -2204.2041064074947, -2206.1068389136854, -2217.698987322757, -2204.5978655288604, -2213.51979253946, -2201.2119154442985, -2222.012609702494, -2216.839405496992, -2247.7989107647354, -2219.9170536310403, -2242.13087101506, -2230.70576380442, -2244.610030387679, -2259.4455672031168, -2251.326790989777]"
3,"[-14984.607308674558, -4578.99599159434, -3257.1903020897817, -2205.5022536270735, -2136.011274636734, -2128.9649250089815, -2130.296555504287, -2129.423439651209, -2124.208937258425, -2118.8229115328495, -2113.7652603308634, -2118.4323623883943, -2115.2681188178503, -2111.8011923372096, -2110.4349329777874, -2107.62607969196, -2105.3286310419867, -2106.4989190044525, -2110.161255399864, -2108.3741674214493, -2104.1453518760477, -2104.1163787088376, -2113.297938716881, -2106.1123588298324, -2107.140484229139, -2106.6167638665784, -2106.8972803011006, -2103.64769558086, -2106.1946309278696, -2103.7484894908707, -2106.155792745095, -2107.413510735402, -2108.818719046319, -2108.2716838857073, -2105.8898309553624, -2110.082183233772, -2110.1829595569175, -2110.012077592003, -2107.8361478102725, -2109.4479260645962, -2108.353505058326, -2110.2466386070473, -2111.137374542592, -2115.307194021166, -2113.886235229994, -2109.9551602095344, -2115.128857538332, -2109.854298866016, -2117.893801053681, -2119.636550639101, -2116.3236936678936, -2122.8017931720233, -2116.000190422848, -2121.6379540796556, -2127.014466013041, -2129.4279115649606, -2128.05835415893, -2129.879577865634, -2121.7298188615623, -2128.9087875352866, -2146.2062717708936, -2131.496153885886, -2148.8668864123315, -2135.541523975903, -2137.0964066806528, -2140.0568943362296, -2138.136735877528, -2144.73613722243, -2150.7656590339307, -2145.9790484428318, -2148.1368717053942, -2140.6863927484574, -2154.643309148667, -2139.752525888504, -2147.653558077043, -2139.9254007207987, -2140.276613648178, -2155.8214566503148, -2143.9982891584204, -2149.254875380112, -2142.9405699847002, -2172.7293647169267, -2154.667613715589, -2155.9749401813606, -2161.394694080169, -2151.75902716536, -2155.341652067731, -2154.1090332551407, -2150.329398391845, -2164.5054962571553, -2175.8911166793246, -2161.177311258762, -2169.7901850563717, -2179.347892253586, -2192.646441162194, -2182.101133724394, -2194.5739350864505, -2174.266199763388, -2165.94278271071, -2209.726584222434]"
4,"[-2493.698070726812, -4699.997345078912, -4575.920164775939, -2246.518311226758, -2155.8209176005375, -2157.7813766910167, -2168.595792545945, -2162.4147526053184, -2166.0402766605266, -2149.313905646838, -2141.85589320161, -2140.498403047034, -2132.820122562785, -2117.870618304356, -2114.3286462284595, -2111.10051187054, -2112.529691938112, -2108.5925277196134, -2110.232257281765, -2110.2073921934048, -2111.219886856447, -2112.21594404969, -2106.3845426770245, -2107.304143478266, -2109.4329797371915, -2103.6872098508356, -2103.8301202030066, -2106.9333734051684, -2103.415177472602, -2105.314593497874, -2103.997117321315, -2110.6954025114687, -2109.3862095464738, -2109.0754886623076, -2111.6581283466035, -2114.9062873922194, -2111.8916365470036, -2114.1640408681133, -2106.7207960437086, -2111.619170313591, -2115.7116355391163, -2115.031976490904, -2108.813341350527, -2107.8119968721303, -2109.491081181078, -2108.9957881919177, -2111.142512049896, -2114.256748523549, -2117.425738004626, -2124.1501660282543, -2129.763711671779, -2114.1922807798087, -2116.503801350407, -2131.1430964396977, -2121.9582911190314, -2118.2042742633853, -2112.711686194129, -2127.534749275348, -2127.1762694658273, -2118.7456228573064, -2129.717421284297, -2125.201303110577, -2120.4088759818933, -2121.6044799139268, -2121.800573385008, -2117.413734132132, -2114.137340854751, -2119.246120939444, -2123.887724657078, -2119.6464472671955, -2126.5375359711875, -2134.991067852455, -2120.617239497026, -2127.3904740508615, -2137.400217967009, -2132.6043083019104, -2131.744938375273, -2150.076553018053, -2153.964724248582, -2145.6994942624165, -2151.23279546248, -2165.057799779151, -2153.6138532192604, -2152.974119158669, -2157.4342166854167, -2153.808136721845, -2155.0838001684683, -2154.1370000579213, -2150.7217851970177, -2133.625154062951, -2141.2725983893647, -2152.7083474288775, -2144.282195578849, -2135.8615271613517, -2145.5895694512715, -2157.9106641585217, -2144.3462257321075, -2134.606764922485, -2149.978686963564, -2147.718276238659]"
5,"[-2497.2253297244806, -4681.06469823064, -2810.554859459107, -2316.466000128072, -2137.6578160427243, -2136.550184092267, -2137.141858757982, -2143.688280496246, -2142.0507294920612, -2134.4852169529504, -2134.6212770447387, -2130.714818080068, -2123.8746851149367, -2122.177785779862, -2123.3749131609443, -2119.956295387173, -2115.0870697131304, -2121.6915185678304, -2120.4122211731496, -2124.9691038528836, -2122.0561577199605, -2121.044466551111, -2119.1147616232092, -2121.1113917355183, -2121.5951889623448, -2118.9246864447723, -2110.9286753816687, -2114.5822351753473, -2113.7706038252823, -2109.871905062234, -2109.4641851276265, -2107.654099509814, -2109.9887858842344, -2110.482413359647, -2108.1173952120084, -2112.4901315519137, -2103.8477902765844, -2112.081059137589, -2116.3464840897927, -2118.924154050984, -2117.6660454102193, -2112.1381709929988, -2113.764492389254, -2118.3948371321867, -2126.8104602294015, -2113.4802242328865, -2119.3637473314866, -2120.168384134773, -2117.2841195776687, -2115.057408576812, -2122.0090271398935, -2121.3376248067784, -2134.4290393354827, -2117.029848568279, -2122.381712109333, -2112.043466766802, -2111.043453382403, -2118.183098371659, -2117.977847453018, -2129.9263491687793, -2133.8001109389465, -2127.1765585481367, -2124.515029850427, -2119.5487147695244, -2114.0070633877135, -2121.2607616107493, -2126.6727145802256, -2133.1251043293228, -2134.693133207768, -2137.0238310535065, -2129.833591936314, -2126.2795680154836, -2124.1450628023317, -2129.7207535717594, -2146.3364538028427, -2135.312522874058, -2156.460724572742, -2137.545906830491, -2156.5876065653856, -2146.7808169712516, -2154.3696725986597, -2140.608899513747, -2143.006615850959, -2128.6289744176715, -2126.8411790087084, -2132.9311664719044, -2132.809369720506, -2131.787680523526, -2146.741327785114, -2130.7582944376904, -2130.6440312090895, -2121.7606730275247, -2134.54410011492, -2125.125670556786, -2138.1170189515647, -2134.403920320358, -2111.1070022647455, -2111.548790058122, -2120.221089992533, -2122.717281041402]"
6,"[-137618.5385963387, -137404.46026731524, -137124.70506033045, -136953.0531750761, -137009.67324344825, -137361.35685970855, -137308.3561778521, -137089.74868329882, -137075.63536619526, -136522.8713573674, -137122.2049490637, -137344.5560468237, -137113.329612633, -137492.34268537973, -136770.66275034822, -136872.1147414741, -137116.5179299553, -137120.37505345087, -136904.51983264193, -136962.15240519165, -136818.29477360976, -137358.04777603835, -137092.69241672478, -136811.77736554295, -137509.93274204637, -137376.3612507213, -137145.9395538262, -136737.37526356132, -136813.93246681456, -137123.76665145834, -136977.8902992357, -137377.22418316675, -137017.03621509508, -136780.8001854743, -137325.71047336893, -137480.27945299997, -136752.71504467019, -137263.4678513724, -137297.1304553576, -136673.33596796656, -137577.36021003078, -137204.41992088387, -136917.7059132718, -136975.34309023622, -137315.35699890394, -137535.31273570724, -137557.6591427551, -136829.0166832121, -137262.3553735076, -137110.763576804, -137413.5777376642, -137216.92988869123, -137066.14073360982, -137099.25862393997, -136526.63984849022, -136859.39182633755, -136978.97976426617, -137527.28367400213, -137316.39949415947, -137196.640881133, -137526.43759658246, -137157.98525772968, -136708.27007994405, -137090.71030837393, -136953.72660783518, -137509.3762056231, -136860.3029894277, -136982.75493366254, -136842.26968411548, -137198.9918993612, -137254.76371590528, -137194.65823497227, -137000.22443734185, -137268.56430795562, -137332.36761615786, -137345.16127107872, -137549.83138340147, -136907.01091169205, -136823.4281940536, -137047.06551368732, -136993.24648745963, -137325.41388780976, -136918.15548565288, -136883.21564173244, -137214.72429964255, -137424.2874362741, -137094.9202016627, -137111.14364868304, -136967.93923463926, -137302.0497101279, -136831.33558778223, -136983.10750044748, -137318.02272456556, -137126.58086756116, -136635.82742076434, -136903.7048413018, -137296.5579648971, -137418.44779738117, -136804.1601839551, -137305.98957329892]"
7,"[-4074.698198968347, -4639.768234313474, -2935.9406547785015, -2233.359945456752, -2162.964975192536, -2149.4378040426122, -2166.5719164356315, -2144.635464503109, -2159.400487053072, -2142.4832567409244, -2138.500298174709, -2120.795394031044, -2115.6680840541035, -2115.282887497053, -2112.8555195174163, -2110.38936665206, -2108.749766708852, -2109.561761966927, -2112.3003721163204, -2108.2003265402213, -2109.377800439673, -2108.9326731389656, -2107.005519555868, -2107.139318199213, -2105.51722189387, -2103.654792030465, -2108.9400749642, -2110.699314030326, -2106.185954743031, -2109.405486206095, -2107.4187187392054, -2103.4873342906612, -2106.0216677173776, -2107.5368457504405, -2104.1599485173797, -2109.8001146744027, -2110.326699739752, -2107.335559021703, -2108.6980481588403, -2106.912138512057, -2107.5417926779073, -2105.379872221082, -2109.0926539904, -2108.8055254353876, -2105.560079631186, -2108.561779334545, -2112.0297781177264, -2109.7449769368004, -2108.4026802041344, -2110.1701467626385, -2102.867805505775, -2101.7568112497365, -2109.2108018631993, -2108.182860568872, -2103.6604287539753, -2106.6461486369967, -2114.7477907631, -2114.9423292995416, -2112.8632582458013, -2108.7041229642437, -2111.48269622602, -2105.7243084660413, -2108.546844476993, -2109.193878221613, -2116.3487284695348, -2104.8050840531005, -2103.4307534870154, -2106.8217162908645, -2108.129199871662, -2116.734629364016, -2123.049312903414, -2109.6293367688777, -2116.5914050092565, -2113.592357327311, -2114.55590986506, -2110.8607330332925, -2110.013307593969, -2108.959480956545, -2114.182884509772, -2116.6665019483817, -2106.0733712276065, -2113.510438330493, -2106.25085486386, -2106.674580675349, -2113.720884932695, -2113.7054432615623, -2112.483307488697, -2113.4308374924385, -2114.8492744759687, -2116.6089232788504, -2114.4775071008503, -2112.762494771922, -2127.5015342637585, -2125.6772740535166, -2113.1308889409443, -2112.5167996247296, -2121.0595302767138, -2110.220651987318, -2118.5458220967953, -2122.979832910764]"
8,"[-3855.1367403484855, -4747.343892932148, -3552.4000975618096, -2345.645779150287, -2196.637255565561, -2157.8999722591375, -2149.6807839734633, -2133.2003032356615, -2117.5842475608574, -2112.35726250028, -2111.8010033691407, -2110.3737383128496, -2104.9040079440274, -2109.27127365421, -2103.6983394457916, -2107.00634849935, -2107.8066712511295, -2108.0632227559995, -2103.3441505428186, -2106.150016636043, -2103.105519125564, -2105.2874320727524, -2107.5500495165916, -2099.9416369941837, -2106.596372777817, -2106.076489521767, -2105.319133143783, -2106.934020225336, -2108.1273203128276, -2106.1768954952167, -2105.8128919047676, -2107.109402680434, -2108.120897528221, -2108.7095430789495, -2109.477524969087, -2113.6647053768315, -2113.482317137172, -2117.58724859501, -2113.440093077744, -2114.538773175156, -2112.786798318628, -2108.290463842002, -2111.0085534084374, -2108.488488494602, -2113.5512523228717, -2119.328929453009, -2112.383755275037, -2122.473088264222, -2117.779540834387, -2116.302861506338, -2118.9677984431214, -2119.4120327773494, -2124.1497062968456, -2126.750414967598, -2124.8639233532613, -2124.4056841050283, -2128.257456255985, -2126.30978373158, -2123.4486543400562, -2125.2922178947083, -2125.79332424123, -2137.339818440521, -2131.991652616192, -2135.7767334184505, -2136.5630846782933, -2143.8069533960893, -2142.9092601034645, -2141.1634819597057, -2152.098579230742, -2142.4760822306666, -2147.359076493875, -2143.0808427160728, -2151.8576407500946, -2150.3800998509623, -2143.531674420851, -2149.548122819528, -2145.2241173280217, -2159.285520183783, -2144.522041111105, -2154.913021147359, -2150.778267473014, -2164.366829226134, -2159.0864068225214, -2166.635110934649, -2181.0001264189427, -2177.478105045943, -2166.0791226241804, -2177.608715446194, -2159.8121720025915, -2160.9029240489817, -2160.8916348181715, -2163.3326029738864, -2150.447112905124, -2168.11797480036, -2172.6784894707653, -2170.8237060392476, -2172.238542213697, -2159.588689672509, -2167.9368689878866, -2161.5151585642816]"
9,"[-2244.8811692919116, -4623.487599618167, -2540.334556469816, -2150.486843752358, -2126.5133880890903, -2140.061386630957, -2153.7621636760823, -2162.045099364719, -2147.6865762520083, -2128.771917357592, -2126.725635175683, -2116.714907952033, -2115.4338742627074, -2109.194504583965, -2112.9504468618297, -2109.1287662105256, -2108.708227751777, -2114.7931091534774, -2111.173680837298, -2113.631032895401, -2110.5753423131323, -2107.333979740582, -2108.478984372859, -2109.8827202442612, -2112.24233775879, -2107.9099704979435, -2107.5292445130253, -2111.0973241543047, -2108.9054498950636, -2110.049094859371, -2109.14303755467, -2110.7089133542845, -2109.3926009333104, -2108.6841573973225, -2112.7944813069435, -2109.905920623305, -2124.8967459652768, -2113.4486824565793, -2123.943344383373, -2132.4134272596752, -2128.8643813341014, -2133.913139726217, -2133.020938743023, -2131.461778714059, -2141.43747060629, -2137.259277346223, -2143.7599625557796, -2150.406620136974, -2144.230583545284, -2140.450995610297, -2145.7151333753404, -2152.515493436902, -2154.163474908032, -2146.1563325273805, -2148.292524540325, -2148.888654032947, -2139.0517894399286, -2146.681675080504, -2141.4847970716783, -2132.0013092389813, -2127.0722540184624, -2137.857647449791, -2130.8889106873153, -2134.670963722165, -2124.006002098629, -2128.7500583398555, -2122.4345443449306, -2123.642439414095, -2139.212759365883, -2132.5779836775464, -2129.472301335172, -2124.8622625957787, -2129.504384756036, -2127.6543099744817, -2129.5273944823334, -2144.3636484537255, -2138.7111938385656, -2151.8026481869288, -2157.880821888126, -2126.70000613019, -2147.949226256211, -2140.7693159021846, -2147.9949780100246, -2145.6781376401204, -2156.9962123117457, -2136.533677217537, -2147.6037656647877, -2142.2240798620546, -2150.239103333744, -2150.8931113844665, -2137.2194673309796, -2143.3552842983527, -2164.8686980099083, -2158.2624465132644, -2144.516432466067, -2149.2661119875447, -2151.683654595812, -2153.719658542297, -2157.549163414061, -2151.832148929053]"
10,"[-2825.710395671373, -4711.010328241553, -3107.4066288822182, -2216.642852832835, -2135.438812711354, -2147.845815916378, -2160.540331279519, -2151.168105810504, -2143.687948029957, -2140.7018295357734, -2135.604645482391, -2129.839326856845, -2120.0998863978884, -2120.2325393958145, -2109.6329700472743, -2111.32239514133, -2107.9801372691823, -2111.252680624485, -2107.13869137515, -2108.4805129116617, -2107.449515476135, -2103.8876303356424, -2104.3786525559117, -2107.2133535606226, -2106.477894908911, -2103.9098091038104, -2109.723442458105, -2103.4154029006436, -2108.7549922806675, -2107.0260874939727, -2101.779675008902, -2108.602613496222, -2103.80516374218, -2105.0259835165994, -2111.0642284370706, -2112.041635507107, -2112.0281931950913, -2105.7524426079267, -2110.224864244713, -2111.9194494699145, -2106.3342449698307, -2106.464431318108, -2112.9410383470213, -2105.87695727862, -2110.540716953765, -2110.9838224988525, -2107.715809716684, -2104.310394788214, -2105.3146322124107, -2101.951349589662, -2103.683175463234, -2103.2606548033536, -2108.7702173376497, -2104.919633996416, -2101.527221407052, -2111.189227236535, -2108.480861850762, -2111.3247816727912, -2105.7474747830443, -2113.7252201174647, -2105.8251615490517, -2104.728996080436, -2105.923226726616, -2109.7796153952436, -2116.3109800340244, -2115.7126695731345, -2107.83103307594, -2107.9681727634133, -2112.1527903258807, -2110.626829709961, -2110.517560459301, -2107.8433012590995, -2103.2676267396364, -2117.520578785932, -2120.3584095907663, -2107.5773270110667, -2107.342393282851, -2114.263529002766, -2116.0740836257273, -2117.836721956556, -2117.197730421632, -2110.840907112452, -2112.297949078437, -2117.4672842710843, -2120.2635928043774, -2117.95679463912, -2114.080030330702, -2118.2989987529395, -2125.9076259954654, -2128.498231178933, -2128.6434835946247, -2129.4274481460534, -2122.8609065653395, -2136.622111976836, -2117.844979864662, -2127.7775117249626, -2142.4746145144127, -2144.9940888580877, -2146.3214853488557, -2139.2457933975757]"
