agent_ID,returns
1,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -6079.571461734662]"
2,"[-5204.16860533259, -2000.1004784349382, -1848.4537968211528, -2024.251518210444, -1976.6377348802203, -2042.6727471468816, -2042.7537760176974, -2043.9990133321537, -2260.0620700405557, -2438.256939451894, -2679.6921423624613, -2882.2583722371755, -3049.6213227801604, -3086.0269475360165, -3191.7221839148706, -3366.957398900951, -3332.2277451519003, -3248.037829773268, -3328.9912211849633, -3231.3004271842838, -3095.025837792731, -2988.652733094955, -2896.060336503434, -2897.729009803596, -2886.699673705491, -2823.8436798497405, -2757.9089140617234, -2728.156406006409, -2682.769463402288, -2644.5462751785726, -2621.679288853945, -2585.1533829360746, -2561.513172263117, -2524.5782620066616, -2512.9908305562894, -2540.799252997374, -2473.139647711504, -2480.6839160477048, -2447.6809604798527, -2439.006075444398, -2421.76115671426, -2415.315879176299, -2402.4358208781578, -2383.3097167571823, -2356.8732813055863, -2360.3321054563667, -2334.8177101851666, -2325.3583938570855, -2310.8608518941746, -2310.823120768448, -2288.48877016164, -2278.2571828474106, -2275.267031066066, -2265.285620268781, -2262.088228962569, -2234.515907935536, -2236.0206523113384, -2224.4880845204966, -2222.6311705905837, -2212.0530320873513, -2213.401503076389, -2211.773340807201, -2202.359161729173, -2204.6535915174486, -2197.506920590576, -2209.69297525386, -2191.053437126805, -2187.935858642691, -2205.522561252646, -2191.0663589341416, -2199.0891196466987, -2180.586327438933, -2178.952159147791, -2189.3219604329156, -2190.3898569291237, -2190.2548070378343, -2174.893450810262, -2170.752499426721, -2170.1614145312014, -2177.936976184411, -2169.117726990397, -2181.663361795592, -2171.150189660695, -2179.8267380858347, -2188.6182221301756, -2179.4363986571584, -2178.4639274106366, -2175.7076844712474, -2174.4933804688476, -2177.8838532426275, -2180.9423654889547, -2179.4532573018346, -2158.0072438234015, -2163.3597670647023, -2159.923685072101, -2156.7288355763317, -2161.85405104157, -2157.8866586482577, -2159.428918001827, -2164.236929289536]"
3,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
4,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
5,"[-2468.699368732978, -1738.004416041192, -1538.4235137510916, -1541.6904668254638, -1649.7377066895442, -1758.074143176531, -1919.38495422463, -2228.7070350031295, -2241.745072986672, -2265.9094771689747, -2385.78709995976, -2315.354295645891, -2474.3713896442778, -2786.5340456875183, -2784.2571670365464, -2825.0219884380044, -2912.78149373542, -2910.6463979378605, -2874.1035940022502, -2886.0598520019084, -3013.981168417615, -3041.8797679751365, -2988.566993659054, -2999.3966136180907, -3025.8510833424693, -2957.9252645032147, -2866.383523295134, -2802.641579447465, -2717.0089461261646, -2652.5643765622476, -2610.5840215247545, -2586.74414694086, -2516.3189884532862, -2474.3113134560226, -2421.8330208901507, -2404.7599918632304, -2361.022427414176, -2349.2431102190176, -2321.162738078849, -2296.416047729483, -2294.677662654459, -2268.238435123481, -2277.928831567003, -2244.680410256507, -2242.038119518137, -2239.1192158995973, -2236.8659784977813, -2239.435908038954, -2246.9539519934815, -2210.3226977238687, -2228.571402742719, -2220.6595947437263, -2204.7010879124223, -2210.232418329258, -2213.238945907928, -2224.12493519844, -2212.681752797854, -2210.64354572326, -2210.204543876527, -2188.688349568234, -2196.6202399761073, -2195.0084722118745, -2190.4652421191804, -2183.356028148626, -2188.4511681627264, -2185.771358579399, -2184.1021278818544, -2182.5557895955058, -2182.403425725533, -2181.9300819418613, -2166.9652335638684, -2168.653781727319, -2168.0841675760207, -2157.809587885098, -2159.852951075486, -2165.4188170223383, -2160.808525879556, -2166.1215986926686, -2165.783605653619, -2166.911018768378, -2161.0403181539164, -2161.400778265993, -2167.5383786817956, -2154.1242892195737, -2164.1291456506638, -2160.3430053232773, -2161.024988403158, -2160.8152721430465, -2157.367288906283, -2149.279917766693, -2161.641305107142, -2165.3138936635796, -2157.547899939403, -2157.7235988651037, -2166.5137517658827, -2156.054085028697, -2157.320655909463, -2159.475518329408, -2151.0371997518164, -2153.761448909761]"
6,"[-2023.4140720858215, -1643.4591083318387, -1478.2158350871093, -1499.3813385631006, -1616.7175632780666, -1778.9778369214653, -2014.2720412926712, -2024.1610757218957, -2200.4758875076113, -2333.2843073037343, -2460.796631820199, -2628.2067526744804, -2633.9470741145687, -2850.5800938393722, -3025.0204981730135, -3060.8310495580854, -3079.133892025033, -2938.2443426625196, -2825.059624769831, -2839.009418077557, -2835.2637087297067, -2833.436955865138, -2834.69313684235, -2842.2146856032527, -2887.5330313681256, -2799.4695745281606, -2735.8177073761585, -2692.115100203115, -2611.2075517438984, -2573.8609950689333, -2525.955942542993, -2494.874308931912, -2441.8309452057897, -2416.6703051724526, -2387.406253645388, -2342.4875857446123, -2339.699228646148, -2319.946694513258, -2315.5542138634232, -2298.0558611077863, -2286.6438067792137, -2280.6030866219776, -2278.541408161782, -2260.6955649480283, -2260.1038970876334, -2249.2639949522536, -2271.805989393066, -2258.5635359233333, -2230.07847455181, -2239.293209627534, -2240.1510902125738, -2235.752004491784, -2234.7165266564757, -2232.4117432424628, -2213.6136336837617, -2208.150772679813, -2216.7539140795193, -2195.35551689274, -2204.9898125340624, -2193.7992602563795, -2191.820289369657, -2188.3750306179177, -2201.6116756946635, -2193.5378194578448, -2211.165150036969, -2186.346882582161, -2184.1649497782846, -2191.413176367635, -2185.1368228881984, -2182.5050991067883, -2178.2460310028355, -2179.608235703184, -2166.511065053278, -2171.9669966349493, -2171.3704586255126, -2175.691545893608, -2172.728686198925, -2184.7714516299748, -2179.232395394411, -2188.4370858828606, -2179.0343017858845, -2181.381918737693, -2183.672426545235, -2178.8315976664767, -2172.422941398092, -2177.3005116429604, -2171.7409229091713, -2169.539211723431, -2165.908942711755, -2169.4957249908744, -2167.1350862826685, -2166.5270634810663, -2165.5915203408085, -2160.508874216761, -2171.9701277039935, -2159.6437178590427, -2158.923416601527, -2166.132956978188, -2162.93697431465, -2152.637683735826]"
7,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -3282.4918631399337, -2412.889275031121, -2239.0994728356036, -2473.4439804216986, -2364.6509384532683, -2482.8052913444526, -2634.9519160349437, -2716.050633584897, -2608.917702571938, -2544.9892677287953, -2561.2209939043987, -2634.727786576737, -2707.288055449814, -2769.848511150783, -2703.901709006269, -2737.1699796421453, -2763.115360040286, -2777.323774338696, -2784.8568404682837, -2804.407556895501, -2737.625400406305, -2692.68864474216, -2633.989783167003, -2608.6452666850487, -2553.3736349976675, -2514.097076369308, -2500.5848696745347, -2472.722878233762, -2440.4047344247524, -2425.2622941177287, -2393.377123069231, -2380.9547816246777, -2370.8441685577136, -2348.0896395083955, -2338.176277751554, -2331.0078350323706, -2321.606938487279, -2315.07998668628, -2301.6395924632066, -2282.0644413795108, -2277.0518079648427, -2274.966963303107, -2270.833434494314, -2255.776858724949, -2259.903622011883, -2237.260266752782, -2242.85066420517, -2232.7442231581476, -2228.438349801853, -2227.548923480623, -2218.38149790372, -2216.969886395416, -2218.0890049958984, -2213.8088400595507, -2210.13717221343, -2207.148972457501, -2195.6935992109998, -2194.251924080619, -2198.990842411921, -2192.467546889917, -2192.8444548794846, -2182.349247923153, -2184.7448310300183, -2186.8286808471235, -2191.382638374012, -2180.7393133461637, -2184.36005058055, -2180.7725725015457, -2182.2111102542335, -2180.9942238564654, -2174.236920860117, -2174.8540572773863, -2182.0041444964595, -2179.2063838199842, -2180.4270119203584, -2163.0449020872907, -2176.0276562368153, -2167.2243568222634, -2182.4271048039486, -2163.7729118377874, -2162.4727777835437, -2167.937671708649, -2163.5320222196588, -2160.730231801141, -2163.3859509918784, -2157.184451244452, -2150.39333345467, -2190.2191719986363, -2169.704121310868, -2161.894652966473, -2158.6012854986707, -2166.230727233648, -2169.464285161724, -2176.436293030706, -2161.4818095525834]"
8,"[-5204.16860533259, -2425.701836189054, -1976.0611420010812, -1789.041044337657, -1760.6309184221686, -1821.3711973101308, -1932.1164854224364, -2004.0754772860405, -2158.918368799519, -2319.755596250423, -2381.2647782804934, -2473.4978877354993, -2271.9468077702527, -2354.257016657504, -2637.390153439935, -2727.0250566060977, -2729.64480842916, -2647.2473040617874, -2556.151757283921, -2495.5867508018605, -2548.778728868383, -2542.5172869032594, -2525.3926074858186, -2573.6374535868786, -2607.798646037339, -2561.8998632575167, -2501.926765795461, -2440.262288799173, -2387.1533453790557, -2321.9873808192187, -2294.765921581913, -2280.01652924613, -2260.7935188947085, -2254.0576714731637, -2231.8219921119276, -2221.7711528278496, -2220.4332523577727, -2217.380990579629, -2206.4402037902632, -2209.9136070355753, -2199.414811901004, -2195.966584416193, -2192.583160773862, -2197.9455093552688, -2189.2679656994233, -2182.766655390084, -2198.992747687462, -2187.539791216104, -2182.467307147461, -2176.1320649470476, -2181.517152276384, -2176.295129892776, -2172.7727749844207, -2173.5627561999713, -2170.5349462046174, -2166.5204769674087, -2166.842878517986, -2173.3586905797465, -2164.44644065147, -2168.88659129779, -2167.2894144250045, -2158.055439285102, -2166.5940727651487, -2156.065663673611, -2163.4017857809386, -2160.231411700802, -2150.4796288432144, -2155.1989062261746, -2156.716448402463, -2155.867366155705, -2158.6357492143366, -2155.469167897497, -2153.531987673405, -2150.34565033685, -2148.315404373784, -2165.2579907775103, -2148.8667945607726, -2146.382495117415, -2155.003102695818, -2147.981450641027, -2148.9603594582645, -2156.5645222924018, -2148.3474661383807, -2147.094407537072, -2149.3433275003144, -2145.9575109536468, -2150.8800522853007, -2148.407840102262, -2147.890528616233, -2150.5997433641346, -2145.839630674082, -2144.694138919976, -2141.037264609599, -2146.4125069593074, -2140.579542288032, -2148.9621922724323, -2145.5485890595696, -2148.2715583037107, -2147.237029053386, -2143.600679479535]"
9,"[-2289.0980238721586, -1508.0101135829268, -1388.8853456263125, -1467.6335640454852, -1611.8465238963659, -1883.058177755694, -1917.4922688599884, -1903.3422760391302, -2024.320861658627, -1992.1724318254057, -2034.4143309238082, -2184.5154861158944, -2540.900879109198, -2732.095768469426, -2744.7152270941488, -2604.191043178698, -2472.3888419302, -2457.043457497403, -2524.8332113278734, -2497.3985078807736, -2520.267435921668, -2531.8429783499014, -2596.993932366778, -2643.0137718462547, -2646.247239593992, -2533.2316771695023, -2402.5664673469323, -2358.8522774966223, -2346.819501235164, -2316.340919640386, -2286.466238850778, -2272.07705552134, -2258.1720279095443, -2270.0426854527423, -2241.833319020588, -2226.039355775687, -2229.049723444283, -2217.3267560029294, -2212.8537875909233, -2214.838550127301, -2204.9707166935214, -2193.3533778955616, -2203.126602637893, -2198.994478827665, -2189.5147223037634, -2189.6264477774444, -2186.7713193278705, -2183.081239400759, -2178.471502083325, -2182.1650308647736, -2174.857272846896, -2178.535371712458, -2187.703878948876, -2180.453491578395, -2182.243016609033, -2178.6108951775395, -2176.164834375282, -2181.152853205186, -2190.8818347696274, -2167.9743713542252, -2162.6879805239037, -2168.1721113950834, -2169.9379694775575, -2155.2355475440436, -2158.9294599505997, -2166.1732594461996, -2157.6184277046054, -2160.4014656230115, -2163.1290934218973, -2160.463075817824, -2163.317086506349, -2161.5000213291682, -2156.5317881540664, -2163.615196267153, -2169.672573178672, -2153.3819216569823, -2173.5331764839475, -2159.0448651719776, -2161.1391280989096, -2164.2589518689915, -2170.72666525589, -2152.0828599359857, -2165.0428292673437, -2162.3899744521495, -2172.567070410888, -2171.0827061595523, -2166.8106896357003, -2167.80149479628, -2181.30214032789, -2166.7767951627898, -2159.682134688603, -2170.751392443875, -2157.976975842671, -2168.340992865573, -2153.8522905036593, -2148.6010818052314, -2144.300928325205, -2152.263451031131, -2160.8761980821323, -2143.376839060758]"
10,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -2.4963273547294186e6, -6501.6092130789975, -4854.914962782198, -4826.978061032703, -4186.541184127706, -4214.230971931827, -4251.528439423589, -4616.14799541138, -4112.028710633525, -3563.422595881429, -3261.2217078816507, -3031.418949976014, -3107.527684895639, -3112.6124077628797, -3113.1783737549094, -3053.1935577328177, -2778.480850952243, -2540.8012953376174, -2290.790539074997, -2356.1270445041728, -3462.715266084587, -2461.9007919679925, -2279.7655222711332, -2230.539002369238, -2236.263208955864, -2264.2989303649356, -2235.80542242069, -2238.783709902185, -2262.5657724857283, -2253.4210756604666, -2214.6503145227475, -2227.0620867191737, -2199.8935983559527, -2222.583840274679, -2182.409124869562, -2186.8194270806744, -2167.650709729792, -2177.056795600005, -2169.4120780320486, -2160.3975753829254, -2161.261666651502, -2162.1225899472483, -2171.104551322766, -2154.152515500623, -2150.087649917439, -2162.659765202417, -2171.3744697782868, -2168.0301990098383, -2150.9568459823736, -2168.734034699384, -2159.725965090599, -2167.4214952672055, -2142.9763033434815, -2135.5226376683504, -2146.24689653048, -2145.8770626600453, -2137.4700702557584, -2139.7481975856435, -2136.0539471066554, -2133.5562127663206, -2130.700643418248, -2136.002894008856, -2142.52224220862, -2145.9062969250076, -2149.1481554492966, -2137.3045198515083, -2142.6268829856476, -2137.1314367432487, -2145.518233524209, -2152.0986995111775, -2128.5262989312027, -2162.583108280373, -2138.7024338779197, -2144.635580199004, -2135.074254255634, -2137.8395431012495, -2155.5986707703546, -2148.3467909912906, -2149.2189033554378, -2160.697680883787]"
