agent_ID,parameters_ID,stockout,CV,order_cost,leadtime,mean_gap,time
1,1,10,0.4,80,0.0,1.483341916787756,16.223100316524505
2,1,10,0.4,80,0.0,0.03409702109004203,16.28462340037028
3,1,10,0.4,80,0.0,1.4832404629632203,16.175224447250365
4,1,10,0.4,80,0.0,0.02606153611251172,16.272331213951112
5,1,10,0.4,80,0.0,0.0286979989164645,16.25750464995702
6,1,10,0.4,80,0.0,0.05168882027664036,16.299755652745564
7,1,10,0.4,80,0.0,0.049104954791387836,16.270182168483736
8,1,10,0.4,80,0.0,1.483583795046353,16.22543193499247
9,1,10,0.4,80,0.0,0.037418477961805925,16.431972551345826
10,1,10,0.4,80,0.0,0.024344056135447087,16.368378682931265
11,1,10,0.4,80,0.0,1.4829236823823062,16.24894700050354
12,1,10,0.4,80,0.0,1.4834582976803712,16.214472730954487
13,1,10,0.4,80,0.0,0.03916190531483358,16.360078052679697
14,1,10,0.4,80,0.0,1.4834776988563279,16.197434616088866
15,1,10,0.4,80,0.0,1.4833414287124802,16.22980059782664
16,1,10,0.4,80,0.0,0.03429925212324128,16.370768201351165
17,1,10,0.4,80,0.0,0.029353796536187436,16.410244568188986
18,1,10,0.4,80,0.0,0.3003499586306569,16.270755565166475
19,1,10,0.4,80,0.0,0.028608029916355804,16.312301115194956
20,1,10,0.4,80,0.0,0.02164707618769157,16.353009084860485
21,2,25,0.4,80,0.0,0.020644022026368232,16.40895273288091
22,2,25,0.4,80,0.0,0.03856821501383116,16.37664435307185
23,2,25,0.4,80,0.0,4.848064652826944,16.284477802117667
24,2,25,0.4,80,0.0,0.022748489794298367,16.383053600788116
25,2,25,0.4,80,0.0,0.02419455554046563,16.36466245253881
26,2,25,0.4,80,0.0,4.84897536474938,16.261531901359557
27,2,25,0.4,80,0.0,4.848617157319574,16.23223745028178
28,2,25,0.4,80,0.0,0.021569722428509342,16.376763133207955
29,2,25,0.4,80,0.0,0.02486630114627522,16.406541315714517
30,2,25,0.4,80,0.0,0.035651261296209574,16.38089193503062
31,2,25,0.4,80,0.0,0.059523832280594186,16.393530984719593
32,2,25,0.4,80,0.0,0.05154292575400962,16.379139002164205
33,2,25,0.4,80,0.0,4.848083537591748,16.20792076587677
34,2,25,0.4,80,0.0,0.029144906213505208,16.405797231197358
35,2,25,0.4,80,0.0,0.035427931819369436,16.36153085231781
36,2,25,0.4,80,0.0,0.04179294008530204,16.38486320177714
37,2,25,0.4,80,0.0,0.03481638917467883,16.329195551077525
38,2,25,0.4,80,0.0,0.49446980451349776,16.29748153289159
39,2,25,0.4,80,0.0,0.037945938998408126,16.402502767244975
40,2,25,0.4,80,0.0,0.023914081885387007,16.408701833089193
41,3,50,0.4,80,0.0,0.02373282577430001,16.35926408370336
42,3,50,0.4,80,0.0,0.03570862100329925,16.353566181659698
43,3,50,0.4,80,0.0,0.029465789761385856,16.39806693394979
44,3,50,0.4,80,0.0,10.292162942821271,16.2134783188502
45,3,50,0.4,80,0.0,0.02993472268117327,16.32965213060379
46,3,50,0.4,80,0.0,0.02498435792270894,16.42370878060659
47,3,50,0.4,80,0.0,0.033895439899150746,16.370838566621146
48,3,50,0.4,80,0.0,0.048043035303086006,16.34242603381475
49,3,50,0.4,80,0.0,0.030501651542650818,16.386413232485452
50,3,50,0.4,80,0.0,0.03137150801376104,16.295415914058687
51,3,50,0.4,80,0.0,0.03395656662847665,16.235943702856698
52,3,50,0.4,80,0.0,0.02782036324659944,16.253976849714913
53,3,50,0.4,80,0.0,0.028165634621325975,16.254934867223103
54,3,50,0.4,80,0.0,0.04355897823752113,16.282854398091633
55,3,50,0.4,80,0.0,1.5398051650161828,16.278848584493
56,3,50,0.4,80,0.0,0.04109743199661449,16.221768216292062
57,3,50,0.4,80,0.0,0.044292969526378026,16.23417216539383
58,3,50,0.4,80,0.0,0.03321301024723459,16.320449630419414
59,3,50,0.4,80,0.0,0.029025273863972717,16.28532065153122
60,3,50,0.4,80,0.0,0.021515591861124016,16.257147284348807
61,4,100,0.4,80,0.0,0.052894463189062,16.262350483735403
62,4,100,0.4,80,0.0,0.027953392141036527,16.235118552049002
63,4,100,0.4,80,0.0,0.04529672913661173,16.248723832766213
64,4,100,0.4,80,0.0,0.05206430907656045,16.284749599297843
65,4,100,0.4,80,0.0,0.03614968929463303,16.242671950658163
66,4,100,0.4,80,0.0,0.03134711247230755,16.305801633993784
67,4,100,0.4,80,0.0,0.02926103562932688,16.24108351866404
68,4,100,0.4,80,0.0,0.031555511149592846,16.239204919338228
69,4,100,0.4,80,0.0,0.02703494100819889,16.32806958357493
70,4,100,0.4,80,0.0,0.037573807725307516,16.309436400731403
71,4,100,0.4,80,0.0,0.03807271008625503,16.295606831709545
72,4,100,0.4,80,0.0,0.03693841956762675,16.25255848566691
73,4,100,0.4,80,0.0,0.03550987771715975,16.282200368245444
74,4,100,0.4,80,0.0,0.03481138405839925,16.24272663195928
75,4,100,0.4,80,0.0,0.05053919603784464,16.313044647375744
76,4,100,0.4,80,0.0,0.07190930923746174,16.24778023560842
77,4,100,0.4,80,0.0,20.93269287444112,16.069528019428255
78,4,100,0.4,80,0.0,0.04246928166896769,16.308510732650756
79,4,100,0.4,80,0.0,0.02591496937177866,16.227485966682433
80,4,100,0.4,80,0.0,20.929714526628896,16.129202850659688
81,5,10,0.4,360,0.0,0.1907735516575069,16.1362829486529
82,5,10,0.4,360,0.0,0.19085157313888615,16.124588402112327
83,5,10,0.4,360,0.0,0.19077238991882056,16.13709896405538
84,5,10,0.4,360,0.0,0.19068996358621806,16.1506952325503
85,5,10,0.4,360,0.0,0.1908680937584069,16.170046885808308
86,5,10,0.4,360,0.0,0.19075590049811592,16.069984618822733
87,5,10,0.4,360,0.0,0.19064730561770563,16.17171878417333
88,5,10,0.4,360,0.0,0.19076486061974848,16.109853982925415
89,5,10,0.4,360,0.0,0.19089676503440461,16.08118326663971
90,5,10,0.4,360,0.0,0.19099575044838316,16.13267421722412
91,5,10,0.4,360,0.0,0.1908738982488937,16.08797053496043
92,5,10,0.4,360,0.0,0.19070574653389546,16.138469099998474
93,5,10,0.4,360,0.0,0.19067620538940855,16.10281813542048
94,5,10,0.4,360,0.0,0.1909396741270792,16.103671300411225
95,5,10,0.4,360,0.0,0.19088389080150156,16.465485163529713
96,5,10,0.4,360,0.0,0.190789801887487,16.161158215999603
97,5,10,0.4,360,0.0,0.1909273371015072,16.133050537109376
98,5,10,0.4,360,0.0,0.1906779598188498,16.38879359960556
99,5,10,0.4,360,0.0,0.1908570968186194,17.852655533949534
100,5,10,0.4,360,0.0,0.19085260732627585,16.667038480440777
101,6,25,0.4,360,0.0,1.8220084429818664,16.799845465024312
102,6,25,0.4,360,0.0,1.8226100596472963,17.326761651039124
103,6,25,0.4,360,0.0,1.8219525088875683,17.13160101970037
104,6,25,0.4,360,0.0,1.8220875915111758,16.946383953094482
105,6,25,0.4,360,0.0,1.8225407082546146,16.571190547943115
106,6,25,0.4,360,0.0,1.8220208071481223,16.34107538461685
107,6,25,0.4,360,0.0,1.8222827516119584,16.32192791700363
108,6,25,0.4,360,0.0,1.8222719313770708,16.189266431331635
109,6,25,0.4,360,0.0,1.821971916635618,16.253903563817342
110,6,25,0.4,360,0.0,1.8218051643321853,16.26521336634954
111,6,25,0.4,360,0.0,1.8220843131440678,16.272052629788718
112,6,25,0.4,360,0.0,1.8222912085363847,17.444016698996226
113,6,25,0.4,360,0.0,1.8218795727999495,16.27856696844101
114,6,25,0.4,360,0.0,1.8222657434157892,16.2056205312411
115,6,25,0.4,360,0.0,1.8220384062686017,16.24603773355484
116,6,25,0.4,360,0.0,1.8221831848946806,16.275117901961007
117,6,25,0.4,360,0.0,1.8224067937443755,16.245906647046407
118,6,25,0.4,360,0.0,1.8221177576805416,16.297586917877197
119,6,25,0.4,360,0.0,1.8219771699330523,16.287145066261292
120,6,25,0.4,360,0.0,1.822337696341626,16.18650639851888
121,7,50,0.4,360,0.0,0.04410394083315671,16.37065561612447
122,7,50,0.4,360,0.0,0.057284164255114164,16.373571566740672
123,7,50,0.4,360,0.0,0.06738732236025127,16.34984576702118
124,7,50,0.4,360,0.0,0.03915657735496746,16.365791447957356
125,7,50,0.4,360,0.0,1.2631282140502353,16.252803349494933
126,7,50,0.4,360,0.0,0.08189786755375228,16.413579432169595
127,7,50,0.4,360,0.0,0.04543639351761957,16.34713833332062
128,7,50,0.4,360,0.0,0.043097722720340924,16.41187906662623
129,7,50,0.4,360,0.0,0.057063622970093375,16.382765901088714
130,7,50,0.4,360,0.0,0.05848991237100845,16.381834264596304
131,7,50,0.4,360,0.0,0.05039083820516522,16.370283365249634
132,7,50,0.4,360,0.0,0.04693321811029951,16.363688600063323
133,7,50,0.4,360,0.0,0.05341549748993993,16.394875717163085
134,7,50,0.4,360,0.0,0.03995969749365246,16.44187818368276
135,7,50,0.4,360,0.0,4.523765540451089,16.213060331344604
136,7,50,0.4,360,0.0,0.04064512668540394,16.351109266281128
137,7,50,0.4,360,0.0,0.04465912626069829,16.417435268561047
138,7,50,0.4,360,0.0,0.04127146245373671,16.354565465450285
139,7,50,0.4,360,0.0,0.04396676957386674,16.36808798313141
140,7,50,0.4,360,0.0,0.048629738619345136,16.347473935286203
141,8,100,0.4,360,0.0,0.046866185568319015,16.39138753414154
142,8,100,0.4,360,0.0,0.04806767506597999,16.423634298642476
143,8,100,0.4,360,0.0,0.04137682970091619,16.383997015158336
144,8,100,0.4,360,0.0,0.046383266076113955,16.42704483270645
145,8,100,0.4,360,0.0,0.051339496215121676,16.437209669748942
146,8,100,0.4,360,0.0,0.10105989233451639,16.29665728410085
147,8,100,0.4,360,0.0,0.06634799700986652,16.382124634583793
148,8,100,0.4,360,0.0,0.06365409816621834,16.413614416122435
149,8,100,0.4,360,0.0,0.051492622058507,16.413175769646962
150,8,100,0.4,360,0.0,0.3061245950889158,16.25312928358714
151,8,100,0.4,360,0.0,0.05132153394813575,16.387302768230438
152,8,100,0.4,360,0.0,0.055951865676141015,16.36991806825002
153,8,100,0.4,360,0.0,0.05010648810439905,16.35826083421707
154,8,100,0.4,360,0.0,0.050413406394752384,16.430834766228994
155,8,100,0.4,360,0.0,0.04444753019203287,16.35926868120829
156,8,100,0.4,360,0.0,0.042939947590288484,16.37529509862264
157,8,100,0.4,360,0.0,9.854701942070378,16.22326483329137
158,8,100,0.4,360,0.0,0.0421237136811065,16.45545406738917
159,8,100,0.4,360,0.0,0.06705951775786942,16.359706981976828
160,8,100,0.4,360,0.0,0.04914911350435576,16.34853394826253
161,9,10,0.4,1280,0.0,-6.670476878208675e-5,16.280631466706595
162,9,10,0.4,1280,0.0,-0.00013816116584739046,16.226853585243227
163,9,10,0.4,1280,0.0,-5.480717743609675e-5,16.209478163719176
164,9,10,0.4,1280,0.0,-6.7930662396964435e-6,16.18414978583654
165,9,10,0.4,1280,0.0,0.00011125648758521955,16.21679643392563
166,9,10,0.4,1280,0.0,0.00011337349389140683,16.323291329542794
167,9,10,0.4,1280,0.0,-2.0727871972069155e-5,16.214411334196726
168,9,10,0.4,1280,0.0,-6.739164509613205e-5,16.211687151590983
169,9,10,0.4,1280,0.0,-2.8268125949368672e-5,16.23282963037491
170,9,10,0.4,1280,0.0,8.208884774768555e-6,16.230106166998546
171,9,10,0.4,1280,0.0,1.654265331456295e-5,16.246905116240182
172,9,10,0.4,1280,0.0,0.00012798739512798817,16.22631378173828
173,9,10,0.4,1280,0.0,-1.497107133141329e-6,16.225383865833283
174,9,10,0.4,1280,0.0,7.819806288113918e-5,16.21754501660665
175,9,10,0.4,1280,0.0,4.390442966665753e-5,16.203052536646524
176,9,10,0.4,1280,0.0,5.874617607096067e-6,16.28621910015742
177,9,10,0.4,1280,0.0,-0.00011438312634063874,16.2724552154541
178,9,10,0.4,1280,0.0,-2.359787617202991e-5,16.200329180558523
179,9,10,0.4,1280,0.0,7.264962550886956e-5,16.222939399878182
180,9,10,0.4,1280,0.0,-8.509488675119581e-5,16.308289833863576
181,10,25,0.4,1280,0.0,0.459936166104799,16.187404664357505
182,10,25,0.4,1280,0.0,0.4597929340673636,16.196478418509166
183,10,25,0.4,1280,0.0,0.45946240468281296,16.282280099391937
184,10,25,0.4,1280,0.0,0.459658923851637,16.281150766213734
185,10,25,0.4,1280,0.0,0.4597117357274048,16.277129284540813
186,10,25,0.4,1280,0.0,0.459741574471807,16.225067448616027
187,10,25,0.4,1280,0.0,0.4598347915367883,16.24844423135122
188,10,25,0.4,1280,0.0,0.45968651660153415,16.18933385213216
189,10,25,0.4,1280,0.0,0.45972143985911895,16.20168595314026
190,10,25,0.4,1280,0.0,0.45949876168971476,16.25187288125356
191,10,25,0.4,1280,0.0,0.45980530620809273,16.452324430147808
192,10,25,0.4,1280,0.0,0.45973303020315714,16.422940301895142
193,10,25,0.4,1280,0.0,0.45961131876850364,16.41852731704712
194,10,25,0.4,1280,0.0,0.45972474800420077,16.538383066654205
195,10,25,0.4,1280,0.0,0.4597544416522661,16.455378564198814
196,10,25,0.4,1280,0.0,0.45991719320481095,16.26002231836319
197,10,25,0.4,1280,0.0,0.4597549484899695,16.20714096625646
198,10,25,0.4,1280,0.0,0.4598132330693061,16.245499682426452
199,10,25,0.4,1280,0.0,0.45978830574329893,16.122418200969697
200,10,25,0.4,1280,0.0,0.45960513055128843,16.142305898666383
201,11,50,0.4,1280,0.0,1.8690047200630013,16.256137033303578
202,11,50,0.4,1280,0.0,1.868836832918796,16.132090465227762
203,11,50,0.4,1280,0.0,1.8689786080762136,16.146535448233287
204,11,50,0.4,1280,0.0,1.8694206205228503,16.19431988398234
205,11,50,0.4,1280,0.0,1.869184040481521,16.194712567329407
206,11,50,0.4,1280,0.0,1.8687906931787963,16.14412571589152
207,11,50,0.4,1280,0.0,1.869032788442674,16.167538452148438
208,11,50,0.4,1280,0.0,1.869536064312633,16.159689883391064
209,11,50,0.4,1280,0.0,1.8690580071752727,16.15906654993693
210,11,50,0.4,1280,0.0,1.8689703814463094,16.1533983985583
211,11,50,0.4,1280,0.0,1.8690612555906627,16.24291920264562
212,11,50,0.4,1280,0.0,1.869125689825025,16.173384384314218
213,11,50,0.4,1280,0.0,1.8693196139230857,16.23941671848297
214,11,50,0.4,1280,0.0,1.8689399772282074,16.152545885245004
215,11,50,0.4,1280,0.0,1.869478747591741,16.1525598804156
216,11,50,0.4,1280,0.0,1.8689419419968796,16.14805775086085
217,11,50,0.4,1280,0.0,1.8693062097564417,16.159916281700134
218,11,50,0.4,1280,0.0,1.8694416662258493,16.216093317667642
219,11,50,0.4,1280,0.0,1.868703256047955,16.127700448036194
220,11,50,0.4,1280,0.0,1.8689468152689115,16.13347543478012
221,12,100,0.4,1280,0.0,4.6693768007442875,16.217592215538026
222,12,100,0.4,1280,0.0,0.10955870170918527,16.272563151518504
223,12,100,0.4,1280,0.0,0.0543799108996417,16.35019290049871
224,12,100,0.4,1280,0.0,0.3353697040989437,16.237706100940706
225,12,100,0.4,1280,0.0,4.669327863859088,16.24852888584137
226,12,100,0.4,1280,0.0,0.05689341703832263,16.285590036710104
227,12,100,0.4,1280,0.0,4.669254435590854,16.129968996842702
228,12,100,0.4,1280,0.0,0.3256748000225324,16.26862831910451
229,12,100,0.4,1280,0.0,5.093772320625892,16.284075065453848
230,12,100,0.4,1280,0.0,4.669678022897087,16.225930416584013
231,12,100,0.4,1280,0.0,4.668702184473462,16.235242966810862
232,12,100,0.4,1280,0.0,4.668787791274251,16.18163676659266
233,12,100,0.4,1280,0.0,0.09317217465339515,16.35611521800359
234,12,100,0.4,1280,0.0,4.669563469729131,16.130666001637778
235,12,100,0.4,1280,0.0,0.10646984757127789,16.239534600575766
236,12,100,0.4,1280,0.0,0.05879135233705104,16.292852516969045
237,12,100,0.4,1280,0.0,0.08083269299580373,16.324092264970144
238,12,100,0.4,1280,0.0,0.18800101807466457,16.292589632670083
239,12,100,0.4,1280,0.0,4.66967316303573,16.22234171628952
240,12,100,0.4,1280,0.0,4.670064307077043,16.22983908255895
