agent_ID,returns
1,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
2,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -4959.515078168668, -3256.7187706413674, -2678.2600796614547, -2468.9584490735765, -2393.157225394403, -2340.668124359626, -2302.742912569017, -2283.2307875150077, -2276.994247860069, -2260.454331323524, -2262.768184612189, -2253.9633660557665, -2227.7780740213702, -2234.8686996885704, -2210.655148444161, -2207.0628144932307, -2207.671799719386, -2201.647372309182, -2188.1306212898407, -2186.7267481322842, -2183.3998473524307, -2190.9968545922234, -2174.617838502239, -2183.368738142867, -2178.580799150878, -2173.1143664874558, -2166.652597187139, -2172.709168018287, -2165.4144036454327, -2162.693201150763, -2161.5700431839578, -2159.507341622786, -2155.3846938402608, -2152.7169953813873, -2154.3193797364015, -2150.3702749387103, -2151.0385772529285, -2148.659817287825, -2145.044789216591, -2153.7521294559483, -2145.362079421931, -2150.6492786573667, -2147.8235419328716, -2145.5135085742845, -2148.571509267428, -2145.1932589202793, -2145.6706643033363, -2149.427487361582, -2142.3716561413635, -2147.2434772833867, -2137.215052508982, -2143.873567474934, -2145.4676222865264, -2148.094728791899, -2142.5825066725292, -2146.769422957674, -2145.225559233405, -2141.539263812334, -2144.5833897366683, -2152.328515369932, -2141.8310333081595, -2146.2507204646136, -2151.1367496598323, -2147.28412077659, -2149.527997507733, -2137.9494395196994, -2142.4413832593414, -2147.664119926289, -2149.7150655188902, -2139.3773589099833, -2141.249708319434, -2137.8142485490253, -2151.468585110077, -2154.2675794237553, -2139.980681189103, -2144.913321459312, -2147.003142157285, -2145.899009305271, -2143.1009801140112, -2155.362619332337, -2147.86269468281, -2150.9772349396308, -2154.8110189592053, -2143.5816461166337, -2141.786221539691, -2157.002555333982, -2146.46764459361, -2155.140656683201, -2148.037878115381, -2149.058348741641, -2149.613257635102, -2154.140672982248, -2163.1413474668548, -2148.66282505067, -2166.7366139591495, -2152.446059263632, -2155.9027562099527]"
3,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
4,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -4219.766312832916, -3029.1147994533108, -2693.7015418085334, -2493.3198997369664, -2444.3500273880636, -2360.9715129662827, -2312.2257235440566, -2288.6984421482184, -2269.3169293179744, -2279.2663886077703, -2276.0908366986255, -2267.7959131232815, -2255.352025106512, -2244.2861554061856, -2239.3590610184556, -2238.0189780669743, -2230.9775750798885, -2185.234377046444, -2186.3594592851664, -2196.9922255469123, -2172.789614199537, -2169.77115495429, -2170.435561077127, -2174.749918057971, -2168.938309790243, -2167.09355494061, -2165.8593102613268, -2169.516808183554, -2163.94567028675, -2161.0088461442824, -2158.817491379206, -2163.1150172295625, -2159.5806742643094, -2156.2326753280995, -2157.426384044727, -2153.0406251101454, -2157.1792411860242, -2158.563780541216, -2151.557483465194, -2152.4579115786078, -2153.656842623194, -2168.6396125649617, -2155.5195270665517, -2157.0682272114395, -2158.2940361108, -2163.539417435015, -2148.309063628178, -2149.774387365198, -2149.721712751963, -2155.0624111578873, -2143.5971107730775, -2143.4420048804163, -2140.018053254256, -2143.3471152661136, -2146.404878334957, -2151.6225774385643, -2142.7267959799638, -2143.7205003978816, -2142.4587113322323, -2143.369797297326, -2136.720790922238, -2147.29245561667, -2143.404957041508, -2139.5838099018115, -2140.1763333767926, -2138.8125397754684, -2135.871288961638, -2135.287858941658, -2136.504015758459, -2149.992143919003, -2139.1981869351785, -2153.039594407135, -2138.5955070407217, -2149.391097292465, -2146.5245739376905, -2137.506469018726, -2132.5645985317087, -2136.7376362476716, -2135.435463997079, -2133.081838764539, -2138.4556839828792, -2135.8011749388033, -2135.2128729426154, -2137.1593731104617, -2139.455571420352, -2137.0780662111256, -2130.7637653527336, -2132.103566906736, -2135.202978677205, -2132.8883823921165, -2132.5329804230287, -2139.1888336655084, -2131.198039189459, -2137.408096327622, -2138.5036974696995, -2149.4049584924187, -2136.7397758418433]"
5,"[-5204.16860533259, -4824.070612301738, -3865.2201325385795, -2936.0065160226072, -2567.0643189675866, -2375.7644672808397, -2314.983035552587, -2274.9012838755434, -2266.3957530438815, -2256.395046459246, -2247.5910386705896, -2262.2333980264607, -2260.040526210054, -2255.5200538013955, -2234.146608865791, -2226.987766342569, -2222.7660556341084, -2211.555564403991, -2190.754230171981, -2186.4945196546632, -2182.106139964233, -2174.6908016934403, -2177.111196110318, -2169.8049385587933, -2163.816954573579, -2169.4333806162394, -2164.456327963073, -2157.6057253489234, -2160.448761377162, -2158.470266217299, -2155.3657964326258, -2152.642334931843, -2151.2560254036275, -2159.330114170606, -2148.8896555512624, -2157.0285904252846, -2153.6223553666855, -2153.5478061194644, -2156.5272805211926, -2144.9186098726827, -2152.480144228312, -2157.4918060841387, -2157.1829986600665, -2152.945350592611, -2167.129116558041, -2152.5306125866573, -2162.419736226974, -2160.7381245560355, -2159.3298825533557, -2162.8126093642145, -2170.2722211417163, -2175.1783190955475, -2155.072224809728, -2162.850761588705, -2159.623515952383, -2165.3998482991983, -2165.9607948416888, -2158.836488757142, -2154.20820578438, -2170.901791789435, -2156.69662933812, -2164.1992611964833, -2147.0281731762425, -2160.5576057569124, -2142.811105259512, -2143.2739763753957, -2157.255638106062, -2145.5800205736814, -2145.3554557512043, -2151.489231825793, -2142.984637709582, -2146.30627568457, -2176.300025873152, -2141.4839420860158, -2151.6911096280633, -2137.443374165066, -2133.560512614106, -2162.5053746114095, -2158.7716902020848, -2148.7672039851677, -2148.048989488883, -2142.6447387765943, -2146.265021051737, -2147.176555427714, -2156.6151133549874, -2158.4185959950646, -2146.9606415198855, -2165.8214460489053, -2152.0170952327708, -2150.672490300663, -2144.770391495823, -2146.3776483834463, -2146.9238971134555, -2153.3822454536335, -2138.656872839905, -2152.566422052936, -2145.4300472918203, -2164.217353375158, -2154.1355814973576, -2145.4423141654356]"
6,"[-5204.16860533259, -5204.16860533259, -5934.691776435196, -3850.9090565129136, -2957.7574564844067, -2550.9434602406877, -2401.104075782469, -2355.681290923969, -2319.716667496469, -2300.2725040012106, -2289.629074540559, -2291.983346925909, -2258.3926911770063, -2272.643587166348, -2267.3769165993194, -2266.0256800513384, -2261.3833564215006, -2256.38281981936, -2240.0442633597763, -2231.832209862751, -2220.608104344678, -2222.7412995664235, -2221.7023946783265, -2211.174290723034, -2215.6777715112985, -2209.1750478342337, -2205.904013899657, -2203.73471008102, -2205.4421420099748, -2192.4831975525876, -2188.4849774076265, -2184.7098113691886, -2178.900704836881, -2162.423066270751, -2173.212538666796, -2166.983493594438, -2165.1179071019574, -2167.2055019605937, -2162.1795393976336, -2162.241452005154, -2159.237495288153, -2163.4712659040406, -2160.6619366656178, -2158.746005606122, -2157.665864465944, -2160.4154196834675, -2157.425460307382, -2157.6918315264684, -2162.5122039957873, -2161.5240997452493, -2171.4501074154045, -2177.5270424087903, -2155.3776790061165, -2179.526791436471, -2170.5757466169102, -2174.7763593978143, -2187.1744811575754, -2176.525763888227, -2193.711408589897, -2201.0281139782155, -2193.991233015576, -2215.1770400052415, -2183.4849566493667, -2202.988213871823, -2184.029752950309, -2195.232995915982, -2195.555045464702, -2197.878623127298, -2190.984298589082, -2194.2571686865717, -2224.931871087937, -2192.322765359956, -2201.358510711615, -2181.3541583216856, -2187.39925320326, -2196.5699830962853, -2202.914649345152, -2222.6114263941554, -2195.356463471328, -2172.894523061641, -2193.292103983141, -2179.7627044377255, -2179.5508849786333, -2181.703614348607, -2193.347663376402, -2178.735677299198, -2186.108206387338, -2175.4739345815215, -2198.174361333024, -2186.3570195561447, -2199.903811924349, -2197.5098276887575, -2195.5711993951472, -2207.580726008028, -2205.3198365985927, -2195.1832303660794, -2206.745778833241, -2210.0692560201674, -2210.261067484252, -2205.31226786969]"
7,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -25751.0679515605, -6467.4062770649425, -5118.495025447908, -3756.605037450219, -3027.3579729620196, -2804.7014166543318, -2631.6001161541767, -2498.982902624691, -2442.137877775627, -2388.0327421953234, -2356.605874219552, -2337.904660162202, -2315.0113451471284, -2312.662118641328, -2277.5864045181033, -2267.546264256998, -2265.30616243732, -2260.9125239269556, -2236.3358681018876, -2248.6721037412294, -2233.3442723752914, -2204.242254973543, -2201.910359479495, -2185.41580475433, -2175.9170591880024, -2182.5092762272157, -2175.892597315334, -2176.5193895090897, -2177.5836630809567, -2174.2363603324575, -2169.9231919417343, -2172.282863298376, -2154.365143201289, -2155.5549357684968, -2157.0481729500325, -2160.9105368492883, -2156.194185569705, -2160.6173820491217, -2154.8483870005143, -2165.67374715272, -2167.0491100114828, -2160.1115656736583, -2164.4100588261695, -2163.4973347500763, -2160.060570053774, -2156.6163472826265, -2156.220531944869, -2147.208905147985, -2153.2225429950663, -2147.4793528999485, -2154.6511988867073, -2144.3219436405734, -2152.7950774908254, -2148.80001000494, -2154.991283524914, -2141.3404905977736, -2146.6195559751404, -2141.12932673139, -2134.02092620171, -2142.026525540924]"
8,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
9,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5492.427427114469, -3574.9977363514004, -2821.0011191561985, -2482.4042038650186, -2398.8703400501827, -2354.7622343321086, -2336.786525306733, -2315.1825481101964, -2305.7009111825864, -2295.7317611767667, -2283.401824178611, -2265.4923883266283, -2259.7703068615265, -2251.933017950094, -2245.3906731712104, -2232.654535848414, -2216.112341869982, -2220.1187866754904, -2223.4414053942983, -2215.711441931011, -2211.32904302656, -2194.4100699674955, -2213.647029995781, -2199.567110762654, -2184.1469332571305, -2180.5125917655087, -2179.903816141703, -2184.491137906876, -2181.3122567002656, -2180.076415576714, -2180.7167799425024, -2172.4496836495414, -2166.7280384857777, -2170.405561350002, -2165.3367642404774, -2176.7337515931026, -2170.560802009978, -2157.8906125751487, -2177.9711452026468, -2165.3009327426444, -2161.124714584865, -2166.9389369510745, -2167.0457355692247, -2167.9907843590927, -2163.518545755603, -2173.158210341235, -2178.1830949145083, -2167.986281980482, -2167.6643101384, -2166.6516931781202, -2162.0113593749647, -2171.9968392843007, -2178.356375570464, -2155.21550317677, -2170.117727102769, -2158.830234219904, -2157.045056941714, -2175.395612700586, -2171.7125548091526, -2178.040273933745, -2169.3832701268298, -2189.630267057153, -2180.2428747255135, -2180.185066652092, -2177.837314872619, -2180.0545437326496, -2187.7556540902665, -2199.386439866774, -2179.0636453008206, -2181.4262163819385, -2184.4421351600427, -2231.6708624869157, -2199.9323255825043, -2192.872504975277, -2212.3585832007166, -2208.1805036628357, -2205.9687431396437, -2207.9274599116206, -2182.308830513155, -2206.822512720068, -2200.404651410112, -2189.090256699349, -2194.258770239209, -2200.3774179951943, -2199.8459761142817, -2184.9990967188305, -2183.5076062659446, -2185.5675353779206, -2187.4288490772506, -2189.8181010224375, -2185.5450449234136, -2184.7524410529936, -2188.1971702290257, -2173.2398618842817, -2184.5075414514495, -2169.246217360361, -2171.238433361511]"
10,"[-5204.16860533259, -5204.16860533259, -5144.59902597892, -3815.2653864670297, -2955.4186150181044, -2584.2693562800255, -2424.8358138600515, -2361.0500481124936, -2338.766546028233, -2295.442550999706, -2292.892860130409, -2275.4820238828215, -2265.137224274598, -2249.9037159306804, -2230.1399888434657, -2220.892242952987, -2216.4320173141464, -2212.037550960847, -2203.886352850156, -2199.219006509241, -2200.333438578488, -2192.460528722838, -2197.226924400825, -2192.692906340882, -2189.2701358811028, -2184.982281158306, -2177.2989038316837, -2176.7920369628437, -2184.9594377918224, -2173.6581525048164, -2180.7881820365756, -2178.7540552318483, -2176.155609058504, -2170.744580128764, -2168.3042391144045, -2166.0151459616286, -2163.1741910574924, -2164.356977040064, -2164.760588958544, -2158.541864218907, -2159.5232010695427, -2153.000195156692, -2157.936175671006, -2166.859802991945, -2153.1697531320438, -2158.3627100846347, -2160.5877408612214, -2163.12355923557, -2147.722926586135, -2146.8491870182365, -2156.3019130413227, -2147.5129780876428, -2150.6924680798525, -2170.314952787263, -2151.4045445596607, -2150.432468704738, -2151.5185030690304, -2149.421178232182, -2141.0191982174715, -2143.3531766671636, -2149.1104038493627, -2162.33084084805, -2151.6251526229835, -2146.7201051052475, -2135.4252381332135, -2146.021461947357, -2142.5154936055887, -2142.093346621195, -2142.147956941264, -2143.8043512052977, -2139.9469081358175, -2138.831899853857, -2135.0915211493334, -2137.3873533140422, -2149.4017865149217, -2144.74932775269, -2146.0334284278774, -2156.3231978108997, -2138.745226669281, -2147.024998830413, -2155.8127491370296, -2142.003404805045, -2136.58293665447, -2137.7744209210023, -2145.922610749015, -2139.3674828540634, -2137.1919685351804, -2141.2862788709967, -2142.0394170219124, -2149.5189362720857, -2140.4793945327788, -2145.086186176712, -2138.170445770799, -2128.3819523001835, -2143.1272759040867, -2158.505025421724, -2138.877749310498, -2136.1678015424445, -2134.6964216466918, -2136.311208095869]"
