agent_ID,returns
1,"[-5204.16860533259, -1298.8640023712078, -1110.9086177309684, -1172.633667363401, -1360.6773975359183, -1534.3053750904799, -1582.4755290263008, -1620.042512546849, -1553.1449659961402, -1622.9048903544328, -1821.654156445497, -2070.4967796369997, -2269.4595958541663, -2332.7771295352836, -2731.391256084826, -2166.9335885586147, -2070.228287830661, -2095.598983670861, -2133.7452153588724, -2172.4886145353166, -2253.949089898405, -2294.7089608965393, -2360.1639633624013, -2438.0202973160212, -2393.572480310079, -2340.026265856654, -2251.2346476028447, -2193.99807260171, -2208.5371199985243, -2198.220491228842, -2194.6081309204033, -2180.400773275869, -2165.762707983782, -2149.017997069591, -2140.8812621986417, -2139.7559455731234, -2131.2937927878675, -2134.187157968771, -2137.587158999262, -2126.571259912675, -2125.0174189764684, -2123.1168704009992, -2121.072387763182, -2125.5638517628477, -2116.332724002153, -2120.1354985536477, -2114.022609510237, -2109.8976072507894, -2113.91023760157, -2113.17116580164, -2108.889486196117, -2109.902188631462, -2103.3569298387415, -2108.2792044636994, -2110.397445559001, -2116.523170915041, -2119.197739244096, -2125.345580272827, -2118.767832786551, -2123.083125108972, -2109.3435440435487, -2107.8901128056955, -2116.796202943762, -2111.3982061704346, -2115.3561337232086, -2114.149125235679, -2108.994276869303, -2113.958073927409, -2107.860444172416, -2108.7581893606725, -2111.094240494211, -2106.3304409086504, -2104.8758986067237, -2113.9575857589202, -2125.313611910713, -2112.933358824228, -2116.406050545671, -2104.5086499600784, -2108.4398935912914, -2110.2102448711144, -2110.285948750823, -2106.497198722302, -2106.61278580105, -2106.9311206036637, -2119.306594404474, -2104.2620955761877, -2115.1167114383, -2105.339276021583, -2103.9306290360414, -2108.2607345365013, -2108.912131720618, -2113.962006532695, -2112.3093864927428, -2110.6247568395916, -2105.2409911520704, -2110.594487148271, -2107.427770535088, -2105.841110425753, -2108.3846933182003, -2107.5274878899663]"
2,"[-1304.2685328166074, -1180.596032946631, -1176.505286428622, -1464.5210672503106, -1508.6215219094927, -1698.9735337352886, -1456.9855881030603, -1843.0007749088782, -1740.039887627679, -1923.8821840832352, -2103.7113679257995, -2174.0802640292136, -2440.160367375306, -2230.0201197000206, -2044.3319730078376, -2000.8238626014333, -2010.2665977325294, -2085.710642617295, -2124.786944022135, -2172.798868802129, -2216.3595725276673, -2242.5921838094214, -2318.3300373148504, -2327.1108971186677, -2299.850104230594, -2242.6167108596387, -2209.4228314591664, -2201.039079385613, -2209.749632400614, -2184.8128763425275, -2201.2293204082057, -2202.2358550549407, -2186.8978141847338, -2166.067485726513, -2152.8346584996248, -2160.6013479005824, -2150.1825028069948, -2154.2218782238, -2156.7302695743792, -2158.2146492218817, -2154.6173426832843, -2141.329214228787, -2132.202865786729, -2138.2212904402745, -2135.304353314315, -2126.42986751085, -2122.0726848509494, -2124.4803597247796, -2126.2094076553635, -2113.1239845230893, -2122.7071392733305, -2113.379339016312, -2128.2997678355105, -2138.33118680071, -2130.4804933303135, -2143.153948961412, -2121.450038851012, -2121.6768271356304, -2121.078329289778, -2114.5673377964454, -2107.414584293997, -2101.115401208125, -2104.994507698405, -2107.8257487682845, -2112.6215090728265, -2109.6266335877735, -2115.224768216247, -2106.3753475054227, -2111.251014289867, -2115.283524474778, -2121.0365486462756, -2101.870285808888, -2116.2905740538217, -2109.269614076369, -2100.1746184348203, -2109.0499252329455, -2112.5174036124617, -2104.9500713800844, -2109.0409049110917, -2113.2498193704996, -2104.5342936560787, -2106.5391081777548, -2106.7405122122145, -2113.8164141064517, -2115.709227950104, -2108.3771201121917, -2111.3686794559235, -2109.4417745760743, -2109.874977070137, -2109.1060531009357, -2115.6922860884833, -2114.913405110731, -2104.909306245619, -2110.4962979318716, -2107.786428493584, -2103.296478582343, -2105.3770877693987, -2103.069124068077, -2102.277454316602, -2114.0389641130064]"
3,"[-1251.5023741299121, -1501.69927541925, -1378.6159233463684, -1488.8582063245292, -1489.2179977520925, -1622.2314266095377, -1382.3642315517657, -1580.6957974083327, -1909.7502769395112, -1997.948582853671, -2095.1083117843054, -2227.879735494508, -2094.127569078059, -2149.469382664221, -2084.124044991871, -2021.3252549448507, -2035.6975317898518, -2032.0702994643834, -2070.7880977361024, -2144.2099214266473, -2203.9832505941545, -2265.05811290773, -2302.2237411503065, -2310.8912101123406, -2305.6858793441393, -2220.4138785423233, -2199.123659892628, -2214.0359225216116, -2208.836966781151, -2201.22787372132, -2183.915913957921, -2185.067089772717, -2161.298807528957, -2142.9386545748553, -2132.9450384855177, -2126.748181318185, -2113.4443360986047, -2120.7993273544266, -2117.7393257145104, -2111.5521258975405, -2109.887552930369, -2117.4810410838436, -2112.626538520185, -2119.6863763937295, -2109.4479592905964, -2108.134381267777, -2123.502623212402, -2105.512017845362, -2110.336232131043, -2109.0713880005756, -2124.793302978595, -2110.696422795617, -2104.05075181951, -2104.0181385354294, -2115.8090559860834, -2106.25606191987, -2125.586724902758, -2111.1011823352064, -2109.892798639731, -2106.778156308913, -2114.473677976369, -2107.4368202131213, -2110.5427952730606, -2110.9446705938635, -2108.7273510792957, -2121.173145279344, -2114.074322191937, -2110.873871269904, -2106.0923832948065, -2110.6332703615435, -2116.862324393908, -2110.063857873479, -2108.6976093812077, -2104.942172030585, -2112.3006134143197, -2109.196239342154, -2116.6046403304335, -2116.825784278646, -2113.395868802752, -2118.445317517582, -2118.3864842300923, -2113.7496554739246, -2121.432990675542, -2124.6958012412433, -2127.254725912648, -2119.39865333712, -2116.7840962953546, -2120.87029320735, -2108.4193701987438, -2108.2533450254, -2111.5651938197107, -2106.7872082018885, -2109.8826536214206, -2107.569104508065, -2106.24199668436, -2106.4667031057816, -2105.3484763414026, -2104.6799069532476, -2103.597891530596, -2104.623672656523]"
4,"[-1579.3236602676848, -1082.9998515540142, -1300.0207466415802, -1447.538557858298, -1614.163921618231, -1385.0192807741726, -1541.2683959356245, -1535.8790131818544, -1634.8478041551884, -1726.960341545299, -1902.4429085621778, -1856.9888843836593, -2179.0554413927084, -2086.6488390731865, -2019.790506778629, -1960.7645100531658, -2022.8553375054419, -2016.3325443970834, -2074.099583108664, -2124.6359331990648, -2170.933161145556, -2248.45049560069, -2239.0885869248123, -2261.118960291327, -2271.0423670367773, -2208.2605243436756, -2190.7557301121897, -2183.239460164642, -2173.1243047806224, -2167.5133361435596, -2149.3886294380295, -2147.8763955648055, -2136.1214198870166, -2135.228683598755, -2130.3071330185376, -2113.198865389307, -2114.330468429333, -2110.441253283031, -2115.857877395678, -2112.7763990234857, -2112.2553664552015, -2110.395106877893, -2106.43403228766, -2105.6999442811234, -2106.457564649364, -2105.3107838015057, -2107.747384435661, -2106.2426420739084, -2108.3091393652962, -2106.423527410685, -2103.536674232677, -2104.9342642326746, -2100.0865607240116, -2105.7981336943863, -2102.7426090249564, -2101.929280175247, -2105.267453685538, -2102.0498637660003, -2102.5907678041676, -2102.5844514356936, -2103.5753923172115, -2100.4227599703777, -2111.7046214127404, -2107.8296264692203, -2117.2146596213834, -2110.9464404699147, -2112.792347112668, -2114.2612691215413, -2111.0719045140445, -2120.75278887409, -2125.9317972974663, -2122.902714968818, -2124.999282066323, -2134.8238389865455, -2149.216717317428, -2152.7881326410193, -2150.2678082504017, -2149.834621502408, -2134.297761370473, -2137.3259769473048, -2125.9386543443006, -2132.3376180161276, -2125.669353237788, -2123.256795492205, -2121.857292575411, -2120.4246211142276, -2113.023519290381, -2123.137091876354, -2126.894975968685, -2129.242238605512, -2150.0329448440452, -2136.98140407241, -2130.694371384435, -2132.696376662962, -2134.650729683285, -2139.18999132074, -2131.6587774901614, -2133.609865107621, -2122.5853325679673, -2135.572202181993]"
5,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
6,"[-1208.9862770153388, -1118.1437795477918, -1343.616437935806, -1281.6637853878683, -1621.727590652439, -1350.2481925066093, -1624.6303717416486, -1734.7997469614063, -1889.5519275414208, -2107.3417334029773, -2083.9414991359376, -1985.5663476533823, -2039.466804133548, -2076.737320345067, -2101.3803778680226, -2009.12103983282, -2019.3908674596614, -2077.63288055162, -2122.4809827135614, -2200.0915460485535, -2196.9714428010093, -2234.4807776930343, -2251.2325537488437, -2288.7522051370847, -2301.093834591308, -2214.7560294749037, -2216.42305362154, -2200.1629947379847, -2204.122331723454, -2185.8403829845743, -2170.830705633274, -2159.399206685367, -2140.9035955831814, -2141.5525522433113, -2122.8704863900125, -2124.2689535467152, -2120.4965493712975, -2115.4856505254043, -2113.7513715080086, -2112.7151768102085, -2103.279225366159, -2111.9332886512866, -2113.520164334327, -2112.4093811395946, -2105.374529922178, -2105.185291921452, -2112.2454925023203, -2104.327276754224, -2108.206521441916, -2109.572488576287, -2104.5322257375647, -2110.0048846319028, -2109.5892518652868, -2107.730346089728, -2106.863588863668, -2108.330070240166, -2110.3531470429475, -2116.4035330526967, -2112.4187860346647, -2121.7418160377388, -2121.5258029734123, -2120.15277606141, -2112.898730811887, -2118.6022266912255, -2117.243542959906, -2107.6166893010154, -2118.315562183371, -2119.6410197681835, -2117.9903181717154, -2122.388585543112, -2121.012281778939, -2115.9959614908735, -2117.2125430685655, -2124.0832217960774, -2132.6503065959287, -2128.7142104656964, -2130.917757559967, -2126.0919656405813, -2134.8443383123827, -2137.6284134324724, -2130.4118260975256, -2140.804402543098, -2139.0713834752255, -2147.4000767053435, -2176.0583235361228, -2183.604209942965, -2173.854423352848, -2191.8359038876897, -2172.6514832136036, -2174.2143426765188, -2167.004765250131, -2156.0963531148873, -2158.58954142395, -2144.1009801531463, -2152.3589555944864, -2158.183124758529, -2152.9976497064013, -2150.3271204434254, -2137.6122199865504, -2139.490795457971]"
7,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -2231.562263038227, -1725.7482750803986, -1730.672242099556, -1766.0482167518303, -1796.988617742849, -1830.0953136866071, -1857.7917124764167, -1901.0340640745785, -1950.73823380875, -1982.2950094344483, -2023.5138090250678, -2108.0863831768143, -2153.2298362663114, -2162.1509449067134, -2136.1378956999574, -2125.654668414336, -2119.0156800939526, -2113.121882050055, -2109.936189036997, -2108.240736416938, -2105.767926059842, -2104.0225136332633, -2105.4403844539515, -2106.443882915932, -2108.2719852802575, -2108.916077995891, -2102.4347391777205, -2104.4930546591613, -2102.1463365930317, -2105.6344302263783, -2105.111072292056, -2110.3350291680135, -2106.9208555282307, -2104.4644847168993, -2108.613142888191, -2109.8637252339113, -2111.404962475906, -2104.479020290743, -2106.055364770327, -2105.3581389646633, -2105.9668384018732, -2106.7869369182226, -2110.2478303826365, -2107.2955770999192, -2105.771007175327, -2113.706559085808, -2108.7390043803894, -2107.6906704304956, -2103.982431539943, -2109.844718020229, -2108.4388763115717, -2109.679438504722, -2103.7532611628226, -2104.6434518870165, -2110.2667681262874, -2109.514575151959, -2106.730955931533, -2105.2360113337236, -2110.89558266161, -2105.3709186682004, -2116.345928865142, -2103.3611527370285, -2105.4716997262694, -2103.676977469881, -2117.4704310128996, -2106.1262015623192, -2110.0295331611896, -2108.861937072218, -2112.4247397618997, -2114.848008869904, -2118.8466540477825, -2114.8157429336447, -2113.072227309605, -2115.129720115515, -2108.627237870457, -2112.196613797789, -2117.903471205287, -2118.7440625809104, -2114.991121281464, -2108.7153854458015, -2113.4264879511084, -2110.3301782068443, -2107.6886069625884, -2117.6774903372434, -2110.7140740200393, -2116.0911583019247, -2153.3019459560933, -2136.2906467407834, -2117.6698323333067]"
8,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -3205.5190596509165, -2299.236882973642, -2261.6001404612907, -2179.6387205223177, -2165.583493330563, -2136.404869877172, -2132.599108488624, -2126.25415552733, -2127.6860067872044, -2129.5165356747357, -2128.0985573363587, -2151.6011333607566, -2147.383308194078, -2146.825295059274, -2145.388578665345, -2129.5635970529124, -2120.768882488889, -2145.497043441999, -2120.934312758183, -2108.5558007987256, -2114.6644180443805, -2110.1310689205193, -2114.8876155437897, -2109.0400662557076, -2108.7867577529737, -2108.633102815935]"
9,"[-1201.579926075717, -1316.8617556002055, -1143.363183283944, -1306.4202672661484, -1485.540431278483, -1723.9995788687795, -1723.5187269120122, -1858.532450394487, -2106.877202024236, -2200.1776040847517, -2151.4197475511514, -2041.7052868690816, -2376.1176397246486, -2611.7647088738745, -2135.5224345977767, -2108.3583025520334, -2115.8766887419274, -2117.380606166913, -2157.5319591000193, -2166.0526876169, -2188.5244079915738, -2234.4118167685374, -2311.1973098736767, -2378.7381447592907, -2407.0461308345734, -2270.4346271411077, -2254.338211947413, -2250.9152777861846, -2235.634894171323, -2208.9740610245385, -2167.917632249453, -2172.6167217898, -2174.7786763008485, -2156.1415747549454, -2158.2218220208842, -2144.3439950517413, -2133.788465331253, -2132.1324692474627, -2129.063389080892, -2122.193126018768, -2123.0528656497963, -2119.601944455205, -2117.0034012126134, -2112.209697095094, -2106.8644944437856, -2117.8978996105443, -2116.3072958629623, -2110.781513947793, -2111.6476743246812, -2115.5576936495754, -2117.347358592607, -2124.393912313831, -2132.949325893794, -2140.8362746208204, -2146.402150564809, -2145.6366769248466, -2161.844447481966, -2153.7693481998704, -2159.9902176227233, -2156.4407527481567, -2156.7410869309333, -2136.5333258864443, -2144.1610915567408, -2127.7729577243713, -2136.557400176338, -2130.23283457884, -2147.960982165649, -2155.4738812271635, -2126.972620588102, -2140.861326051472, -2129.7415782575613, -2125.9691588033998, -2122.1558138711866, -2124.4082836870166, -2117.8240844515462, -2130.8914575163026, -2122.265871499852, -2113.6702410211124, -2114.754672832564, -2112.981601996691, -2111.9961225821994, -2106.180903152744, -2108.665315623871, -2104.764850241668, -2108.3928848810456, -2108.44171394006, -2109.419576832197, -2109.069050561027, -2107.777753464793, -2114.4496140189003, -2103.819729734951, -2105.315327158442, -2106.435647228724, -2104.262876495616, -2108.0539216139828, -2106.0733975050935, -2103.528412303608, -2106.434625239064, -2113.061021784939, -2109.28466965274]"
10,"[-1613.0445317472136, -1265.009901680476, -1199.0582824878757, -1280.5607974561747, -1500.4824866204146, -1632.377171323703, -1548.9179894393233, -1604.9268128458425, -1694.58370801566, -1720.8667717467733, -1727.8329346605196, -1873.8573453021327, -2528.833157629047, -2730.1182911340497, -2190.5452248758716, -2153.7549160101457, -2130.8433548198363, -2182.4301495952122, -2249.041958541704, -2244.0754073009675, -2258.021195220756, -2342.524272058761, -2399.4132721307924, -2453.973665147855, -2406.1003164770696, -2319.1423024235182, -2270.7109248699776, -2243.9446164150886, -2244.4988448285326, -2206.678639572481, -2185.3365951220803, -2151.0930435094288, -2139.178350623187, -2125.5837015117063, -2124.3296963748417, -2123.4719471712824, -2127.6129703812894, -2113.5172499720143, -2116.3377324384546, -2117.9554617268436, -2112.060406622205, -2110.374783245172, -2112.8572437718403, -2110.0091439454914, -2107.0990156022744, -2109.4848268620317, -2113.6024394131828, -2109.734346596558, -2110.1136167897685, -2111.2274604700565, -2108.3327666661557, -2107.17812742632, -2109.0096953057064, -2107.705741735511, -2104.182985766603, -2109.1943528221996, -2107.6313213890166, -2111.6495653404218, -2110.519577694365, -2105.5902406988657, -2106.727304818907, -2111.1296465281057, -2115.5572838371486, -2105.987586036329, -2106.926559247559, -2108.318542019114, -2108.4504217927047, -2105.9859275859526, -2119.9728413410426, -2116.400531610588, -2115.551287823265, -2116.644487202859, -2116.6657421256964, -2116.9205382356877, -2116.0584834249235, -2113.1347230186207, -2114.1760805932945, -2113.5008128240725, -2116.5092741101016, -2113.0416744685913, -2106.1228648173237, -2110.8017971858335, -2109.6322048398824, -2112.854872691087, -2112.6495329991394, -2112.5561508678893, -2110.629438226265, -2104.0182681761976, -2121.8191181854586, -2106.4058498864347, -2109.3335597233554, -2105.54699081689, -2107.466214469709, -2106.304954940115, -2109.7003375424983, -2104.1168939144895, -2107.3856038546846, -2114.043097965867, -2108.3166173776704, -2114.7295944623734]"
