agent_ID,returns
1,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -3586.878135948748, -2272.343218091123, -2226.9485866003793, -2487.547644102522, -2412.755459812985, -2173.0057378059114, -2165.735051622024, -2182.2057006842892, -2144.161326298263, -2185.669456949453, -2140.206410179136, -2139.924569166006, -2128.098392895528, -2134.6254654785653, -2117.9727340905333, -2133.742584497202, -2129.451583848398, -2118.152423435172, -2124.93527126758, -2115.1842625737186, -2113.4322723222626, -2116.147006996586, -2109.8878808913214, -2111.9997233278705, -2110.058231008473, -2101.7966592055973, -2110.9017159682235, -2112.066348815578, -2110.8828934251146, -2111.45428761342, -2110.9574951625377, -2105.9726633843607, -2106.9128068351124, -2107.5037693056106, -2104.1297088749493, -2106.7186369721303, -2106.636377371798, -2114.4867488386176, -2108.7479167731, -2107.4460393269524, -2108.4934726026545, -2115.3109224893637, -2117.028614973884, -2113.2488034671715, -2111.624099011824, -2114.3855977841645, -2113.6592787251566, -2117.3857036870572, -2127.731759377537, -2128.747039850063, -2123.5305482894464, -2122.9684293034384, -2118.79289613598, -2127.603610245531, -2128.375336016761, -2125.799765304279, -2136.714576971974, -2125.94965330835, -2133.936419313177, -2123.4172296021534, -2120.5383703093175, -2126.1754714708723, -2123.989611440169, -2119.776043364081, -2136.797197605961]"
2,"[-5204.16860533259, -1207.9302752756344, -1092.0717119293888, -1196.8552610987645, -1475.9492899561362, -1456.558788084614, -1744.348555188475, -1457.570543102686, -1441.8221724764478, -1976.0395658432722, -2077.1449017001273, -1779.9354419562055, -1860.4474648259788, -1920.0075902809656, -1965.3285519259823, -1999.246864463253, -1965.5368637686265, -1988.0613982928305, -2029.0654015495284, -2089.6394630739096, -2190.952486176383, -2213.061876828392, -2186.87280168852, -2219.0065860821733, -2224.517721615966, -2172.6154651529646, -2141.9304092769953, -2133.21051471214, -2120.4973493956218, -2123.3946865027915, -2121.182474304432, -2112.7299921533668, -2110.4924086810615, -2110.143431482798, -2109.781596562489, -2115.5029702780303, -2110.6005732185686, -2105.182584121182, -2102.9495701314836, -2108.097016001114, -2109.7676887524603, -2105.5816856937686, -2111.3025326646307, -2107.021658597734, -2108.747256502587, -2110.5386399992385, -2103.996730006394, -2108.742684884502, -2108.830490215948, -2106.453035082357, -2109.8933511698074, -2110.124077086105, -2107.7329794439984, -2107.067210708015, -2104.732118909254, -2101.7156262944236, -2106.6862261209703, -2106.021246357206, -2110.827873402713, -2108.4242163741906, -2105.962758126833, -2107.1276884086155, -2111.7165545343805, -2110.277595073022, -2114.2160000343056, -2117.7350116933026, -2108.737491734587, -2107.206050826154, -2108.606226332772, -2113.685296038666, -2104.58413908231, -2106.13875166594, -2106.898058434082, -2106.5024742051323, -2111.327893199605, -2106.7147429227293, -2106.534615415517, -2110.2243643930765, -2112.846592746924, -2106.864130146549, -2115.2684916063913, -2110.4326879627256, -2105.36474492167, -2110.023242501903, -2109.242847622277, -2113.738893238245, -2110.3362169876095, -2108.175545907329, -2112.1167288117445, -2113.961286381314, -2122.967234664124, -2114.5371957244342, -2121.5421039467788, -2112.16987315194, -2118.696500321672, -2119.178654993124, -2119.1375282252147, -2121.858179226857, -2113.4963537743915, -2118.6713019640615]"
3,"[-5204.16860533259, -1546.7180398067705, -1564.5772206948236, -1578.9652985612893, -1455.8656562375622, -1599.4765719156426, -1751.2261877030153, -1552.3867614508881, -1672.1807544306414, -1734.9280104207573, -1846.9249605882535, -1881.8426000361687, -2215.009827110721, -2134.9191314368577, -2181.3678649968438, -2133.1730961359453, -2128.1746477345173, -2000.520529531707, -2027.8012100627077, -2102.1392931377068, -2142.1529484381667, -2226.3545628163797, -2240.7687701940176, -2297.4239005029176, -2305.348884220928, -2225.1874331909066, -2178.339729711445, -2155.063713708885, -2130.8015720153116, -2136.9577470001777, -2139.1569421467966, -2129.615247573121, -2125.1093640551453, -2115.39645583858, -2122.2329922862364, -2117.8123436658284, -2112.0789432649008, -2111.098859768906, -2113.775231125415, -2111.9625425024465, -2109.0722335532114, -2111.6459261826, -2109.309157319385, -2108.1334297273897, -2110.939003089898, -2112.0400292014024, -2109.8361166746768, -2109.533618977654, -2112.2502762050717, -2106.076097441577, -2112.767816338354, -2112.7764456999957, -2112.5613382891975, -2110.324664840337, -2117.0827324053816, -2110.44256024761, -2114.045260837222, -2103.5528922633084, -2110.6016644211218, -2105.4466928623688, -2108.520715590918, -2113.781013573713, -2113.489334816374, -2117.728355286268, -2110.980494690568, -2108.881566942977, -2123.336651675306, -2124.946432603607, -2119.502992261975, -2115.8743114618496, -2113.0996147508454, -2116.986809856295, -2114.37705968028, -2110.501056321747, -2111.3690834734807, -2108.206325323496, -2118.7756887970904, -2117.985535789343, -2122.99115129455, -2106.9608520148868, -2114.72668991489, -2123.6509570345324, -2112.2673439712507, -2112.7053839229475, -2117.3610802273697, -2111.741737166852, -2110.771891104604, -2109.438974968255, -2105.366688650425, -2113.3612603401793, -2116.7627026247947, -2104.979677356349, -2112.593234347701, -2107.9066428735227, -2106.822986703963, -2111.806799542638, -2110.390839955118, -2107.217189494252, -2109.4154239327913, -2105.649251446453]"
4,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -2590.8676466416246, -1462.684620594456, -1770.3895864039646, -2012.5913618812563, -1810.475629753024, -1681.2361967398706, -1610.1917304376193, -1734.0762678390226, -1804.2071585123522, -2092.638553941807, -1873.1507239364405, -1925.0680662145946, -2052.5237545569257, -2086.780956448297, -2162.213887024945, -2074.575779234265, -2105.4617983003805, -2111.4121990920826, -2133.1377260975837, -2214.5436128454785, -2251.6305497391368, -2245.442914442947, -2240.3965714019764, -2225.288192745789, -2200.7049214202784, -2163.0488863613195, -2150.844537522522, -2137.5874355280257, -2127.2043517423404, -2122.1678503712874, -2114.4506137946323, -2113.718132287193, -2109.778533284436, -2112.2326160673824, -2112.6731658729004, -2111.4816461400846, -2114.5570422379155, -2111.415102312371, -2107.5413312225837, -2105.591492294068, -2105.852529892404, -2109.272073986448, -2107.1544937082676, -2104.754127708131, -2106.2343028834975, -2105.157390100123, -2105.1313664871627, -2100.41233827834, -2101.531717462045, -2103.924035217531, -2104.884367869944, -2101.9172611505282, -2106.646932598807, -2103.775270464322, -2105.2919793926258, -2107.7995652272566, -2112.6892910755364, -2112.3579821173194, -2120.717139820554, -2112.499857214329, -2118.3470368553326, -2103.625732948513, -2109.2766208982234, -2108.6323639163197, -2105.6100989375486, -2104.2942821250913, -2109.4066107324807, -2108.522243533447, -2101.973861561526, -2105.7437192763628, -2109.882974747969, -2105.5089057805594, -2105.6938860385308, -2104.0140227713305, -2107.483600723615, -2104.5784437200173, -2107.4133074036813, -2104.8621765076473, -2102.0156245649105, -2107.1112896389936, -2104.6247172350913, -2114.9477561200656, -2107.4526660002975, -2108.5613750857124, -2107.2269254246576, -2102.166446974201, -2117.814483274649, -2106.9043043495617, -2110.4073690596574, -2105.0941138036956, -2107.142371848661, -2110.120487145723, -2108.125498959939, -2108.278169091137, -2110.1971670109215, -2105.3272125361523]"
5,"[-1845.6155450858548, -1575.1137280092057, -1481.738619778615, -1247.6070170156606, -1380.3050135151555, -1541.499617591026, -1532.4180358035453, -1629.1500174855412, -1685.725466457518, -1694.3499134694898, -1770.0076231010341, -1774.3139313219542, -1931.483827767169, -2130.1453597866916, -2238.1833311734295, -2218.836380725927, -2172.1583651700985, -2113.558876647773, -2116.6077837758044, -2153.0190852694855, -2177.165367509579, -2226.2043674047272, -2256.0611635722244, -2340.1571007692532, -2381.0913209840487, -2292.5832925970176, -2242.0266433272873, -2181.933146819783, -2162.912462600508, -2145.553802624362, -2141.9689412218854, -2134.756596829603, -2126.675712792392, -2109.4009145830955, -2118.3407325691205, -2114.948528872261, -2112.241070357592, -2108.9609642498317, -2108.9337528294973, -2108.3475725077456, -2106.499929090569, -2111.7839190127766, -2104.8048722484573, -2102.661126238103, -2106.5841584082677, -2109.0686538742684, -2101.3701680004974, -2103.9220181946816, -2107.3885925466416, -2103.3206759071895, -2104.7316563186096, -2105.872717049494, -2107.0649134004625, -2109.086008497262, -2114.9560236633947, -2103.0774023815297, -2107.9791860071646, -2103.9592777617886, -2108.388978863132, -2107.991822532362, -2106.4598679707715, -2105.5095780249867, -2108.760966026659, -2117.8496153012466, -2115.8267874814806, -2110.6809639432454, -2131.014373173845, -2122.0471734707303, -2131.140832313498, -2139.1170850228646, -2122.920367687216, -2126.920016688438, -2125.468208113495, -2120.174497509553, -2120.257289196587, -2123.7916618995905, -2122.4589309032076, -2133.798643862771, -2134.8496496332073, -2125.4207938098652, -2138.724863630288, -2141.1254683697434, -2145.487463862534, -2140.3168587398673, -2135.8073211069263, -2136.007478495392, -2132.9873230418166, -2144.727170825482, -2144.781060398913, -2132.270661191441, -2143.120734200593, -2136.3367415069597, -2139.6714849113832, -2149.184328292432, -2159.1360903414593, -2151.8589845210026, -2142.547395663217, -2142.259500204308, -2132.956722943688, -2142.2336924943247]"
6,"[-5204.16860533259, -1830.184565678453, -1650.232762047781, -1370.8101151581734, -1650.1277498660704, -1636.9527987658644, -1800.809992404579, -1976.4019785272435, -1846.0703814429007, -1961.704964711591, -2181.0717511353732, -1795.7399470262262, -1833.2492762851252, -1994.1508240336564, -2238.8451666292585, -2389.9952525614467, -2179.221866245797, -2095.9869299989796, -2019.9357054414277, -2067.554178795363, -2114.9405820294473, -2163.361196704324, -2222.474221515739, -2338.0291167090368, -2334.541716665108, -2322.3448780855133, -2258.696318476634, -2212.174934045874, -2159.013502828619, -2160.6972380321677, -2146.9309463541017, -2134.601154859389, -2134.8704728389393, -2124.466794861696, -2119.0695165874795, -2117.3495897395105, -2114.7215947806603, -2113.474175140572, -2113.946825613335, -2111.168216746478, -2105.0334806100714, -2106.794784914297, -2105.5020825945185, -2103.380415720341, -2104.2567456699367, -2105.2569778699676, -2106.811840796666, -2104.6875124143053, -2103.4309115352476, -2105.2187054166257, -2107.0768136913466, -2107.003176364936, -2101.315608257979, -2104.0822672695963, -2108.6866344592568, -2106.7278633205005, -2109.8443761749786, -2105.497639654937, -2107.948986304708, -2115.3178474218175, -2107.057622690039, -2109.7189047053307, -2110.304273920321, -2104.4319163177875, -2104.252815407322, -2107.4929572544256, -2113.551441152631, -2112.157320468786, -2114.945570560076, -2108.0210174937506, -2121.526463417842, -2107.6340329092554, -2107.6312984783644, -2111.214359877355, -2107.3656436297374, -2107.509396692381, -2118.0204169642307, -2120.7096381350484, -2107.85605007045, -2112.6227745636124, -2117.561982643826, -2119.3109127401704, -2119.6219969191384, -2120.7474299219894, -2125.478994363068, -2123.524946957632, -2119.650090296663, -2117.685705036299, -2125.204765620288, -2126.6388212287557, -2129.3393274431305, -2145.4836976536553, -2128.6766094839086, -2139.444873474272, -2122.603266694536, -2130.626990982393, -2137.386061631443, -2143.491816250181, -2153.985254121239, -2146.8940950075707]"
7,"[-5204.16860533259, -1105.7565114074773, -1190.1612051270083, -1288.8974610318203, -1456.4415038320037, -1586.6142037720056, -1439.321227010916, -1648.225563636957, -1815.248300629348, -2031.4216609331202, -2025.0512465876543, -1882.921224291265, -2318.9406192135243, -2602.6902133957824, -2378.575272859206, -2359.4357809076146, -2264.2046005592656, -2156.9813251504797, -2191.487258461087, -2185.6156603801865, -2237.212840248113, -2278.6400728673175, -2327.397876933017, -2400.6488668431343, -2488.453915542628, -2427.7939116726748, -2331.7611523082364, -2262.929738128662, -2234.4050290694368, -2202.6812950650933, -2188.4733865978233, -2179.4040520931676, -2154.8133320028846, -2152.002578138542, -2140.952731961722, -2135.9991119594315, -2121.0542247685107, -2131.2329563813673, -2125.9432724993217, -2123.355596296054, -2119.103510887967, -2116.452924929496, -2114.4543679796716, -2117.1365120777273, -2111.6090266001784, -2120.6959688932093, -2115.1774494091455, -2115.3401648303966, -2113.4018799885903, -2114.548673113155, -2118.0721914175215, -2114.862691163129, -2109.3306532337833, -2112.2450455285802, -2104.144361851226, -2113.8672860280726, -2110.6954101701763, -2115.31153555199, -2112.1627612293887, -2111.758370836372, -2111.84990762727, -2106.7051451805382, -2113.8115749020662, -2109.690559777735, -2114.330790545878, -2110.7635173373105, -2115.055101695857, -2113.3391126586466, -2121.309355933883, -2112.833833456214, -2117.9910274490994, -2121.613458194049, -2119.9693503020903, -2111.8049824701766, -2124.2129761631872, -2111.161011306604, -2121.323756645547, -2109.1597408010516, -2114.4605643161913, -2122.704005072279, -2114.8148006659767, -2116.3756004381185, -2116.135324386488, -2124.0772311142464, -2124.2035081681597, -2123.311378991098, -2122.9783708026803, -2125.6839658093168, -2122.786999821792, -2121.020273364723, -2139.1847891723787, -2114.470982196767, -2114.5878401128093, -2125.1438454351323, -2112.8460046270397, -2120.2764215186917, -2113.4261220283865, -2111.760011130226, -2117.13065442296, -2118.1644203108076]"
8,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -4549.347306474482, -2261.5082121946725, -3179.930773815776, -2844.095899447799, -2161.2993909914726, -1987.414869440251, -1963.9471218983986, -1988.104404182753, -2021.7525031921068, -2040.5777457950621, -2079.702121780742, -2122.0706066657303, -2116.801344717301, -2117.1723474765854, -2111.160639109955, -2115.7062125535385, -2114.0017972164783, -2112.7948322812545, -2115.704417647489, -2105.9291417477853, -2116.5035220730833, -2108.469642782923, -2105.0767478915445, -2111.8964900393803, -2106.284383184532, -2109.890791442721, -2109.6894985068516, -2103.8833892459684, -2107.3603192819223, -2110.1495064735004, -2104.072946470093, -2103.2981511308635, -2100.1284425443655, -2109.304348557908, -2110.1763571058095, -2104.405890436842, -2109.2391130142655, -2108.8764012376096, -2112.5001614155813, -2110.0095142184377, -2108.872932313376, -2106.3829233380106, -2111.4337788422094, -2109.9426225561174, -2108.9995946361864, -2104.6003586291095, -2109.4053716843505, -2105.9213706629685, -2112.2998755869053, -2113.4511378789202, -2114.1578992650784, -2116.15790495805, -2113.2726628989135, -2119.6654647204314, -2116.5638163818176, -2110.035141824653, -2121.379390670328, -2113.126274008288, -2117.9205528659018, -2118.7673279286178, -2121.4129732967563, -2121.735991756388, -2117.7405603861266, -2118.8138276515833, -2115.1344242927016, -2119.1865762872994, -2118.0469567355467, -2117.621089353928, -2116.2564262489796, -2113.99773171512, -2111.717591817191, -2113.6088590992317, -2111.923469531518, -2119.0904694986575, -2109.1411775883694, -2108.8761805437634, -2116.519846568504, -2110.8861139334163, -2108.198145079585, -2107.7534831940848, -2110.7222841571534, -2109.5265552094374, -2104.339507997171, -2110.0763358988056, -2104.351598841126, -2102.6969294209493, -2109.8283271630876]"
9,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -2510.200247870135, -1466.478170115986, -1514.7243703984723, -2051.698832524763, -1598.3315441134093, -1581.515330916156, -1625.2357953682913, -1850.7551916860766, -1874.855999407727, -1945.2838558073774, -2032.2904156651168, -1936.1021864754512, -2045.8514783180408, -2140.204031305972, -2086.047065029583, -2084.263892591519, -2077.2851068963923, -2103.956797808561, -2114.7341131607463, -2136.6131031628834, -2165.211965591332, -2183.6139855284864, -2189.0513210205913, -2194.0713128566135, -2160.8215944013355, -2136.854220687645, -2127.55930260656, -2121.9061421697575, -2114.564202310871, -2112.4283677261124, -2110.636374314588, -2106.1310457298587, -2109.338572255659, -2106.0616292810178, -2101.833736698853, -2106.3209064961457, -2105.4936580034105, -2104.891722606095, -2101.4076989691657, -2106.328945443135, -2101.3084875219674, -2106.0284041910263, -2106.8411169570827, -2111.608313560562, -2105.485029339075, -2110.8527268661633, -2110.3135533891864, -2109.433734533131, -2108.834244309072, -2112.1973884750546, -2111.760306157255, -2122.2849317097553, -2115.179491055951, -2120.8298506271108, -2112.556869600717, -2112.766283726954, -2114.611199767501, -2123.714123995725, -2125.674160486132, -2128.3643729770124, -2127.649973623443, -2136.235614629921, -2137.864977804716, -2131.64019357661, -2135.2386851180404, -2143.864715329307, -2146.273209445067, -2138.5027589341116, -2144.185237350558, -2148.776662798414, -2155.8775025298237, -2147.874758468416, -2150.195025665747, -2150.856629212893, -2161.463045183504, -2159.6364892344313, -2157.043505338575, -2164.356263427895, -2156.7465550705665, -2166.4583960721247, -2155.391113765553, -2151.86680106008, -2158.009494071267, -2153.6928343996087, -2163.7473153576702, -2151.54255182463, -2159.922889280698, -2153.646873396845, -2158.537851727671, -2157.6356111673217, -2171.449970734309, -2163.1465633297075, -2160.252637282219, -2149.1533402563837, -2157.6198724780957, -2151.6221265438076]"
10,"[-1344.1765434639606, -1577.9920996037374, -1305.7871095254611, -1306.6415723663577, -1674.4929212979762, -1284.1656320444029, -1843.6330197287277, -1915.6204861345386, -1993.4924658266789, -1646.9456392464735, -1730.6023315226687, -1839.4517078758672, -1888.2849614453069, -2187.2186819091708, -2177.6459469687543, -2208.4897483514005, -2091.352577289251, -2144.50603598598, -2180.738134502856, -2136.0471847899807, -2203.0821969548397, -2279.3087692294216, -2287.7686827068233, -2380.930989101994, -2375.494280604413, -2371.5581227354755, -2312.898082959196, -2267.199239138349, -2255.8194029032106, -2228.0056070394085, -2183.779066739477, -2166.934281577775, -2145.5366470110066, -2143.4847881381047, -2121.882722316066, -2136.836052168291, -2124.2954385172548, -2123.201109651167, -2119.9559526139433, -2117.6528978350616, -2116.2316356497554, -2115.6807519112535, -2114.4704702569925, -2108.8330116336288, -2120.0716800313958, -2108.894726234145, -2109.361423280969, -2110.8052017491536, -2110.8649649324802, -2109.511285982475, -2110.2266970549726, -2106.8018313438165, -2107.2268229476613, -2116.2964457965204, -2112.1066314810623, -2110.364697244165, -2111.7391053574884, -2107.3122697412173, -2109.0176181647503, -2107.16032445227, -2106.7004711027307, -2107.587143450284, -2109.927644939324, -2110.7523355343696, -2108.072117228717, -2108.8806469993146, -2113.0550031878142, -2117.9247585241105, -2112.8018587141505, -2113.8739622499434, -2111.0053846075666, -2107.4094392318198, -2109.6118139182418, -2115.558682579303, -2111.466257662482, -2111.969153775631, -2116.6454234569997, -2114.2563751263106, -2116.0877639934447, -2123.2851243245264, -2120.5800722035438, -2122.9521727384213, -2118.9004609841927, -2107.9356775443166, -2117.726868720786, -2113.8462659087268, -2121.69276462688, -2120.7316271781306, -2109.8930833568597, -2108.4955918138644, -2123.0915093129197, -2113.3102366427192, -2114.823976939761, -2111.1105391600054, -2110.2961297091433, -2111.637754309018, -2103.3562237544747, -2109.6681051030623, -2105.257280414922, -2105.0415144802328]"
