agent_ID,returns
1,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
2,"[-5204.16860533259, -3902.7868545586407, -2182.374192615456, -2119.6393873196894, -2126.9869011179644, -2123.4926657032624, -2118.8955597401414, -2129.0346518432452, -2123.6299034429917, -2124.152440888008, -2128.263746822985, -2129.1755504065313, -2126.7286394586345, -2120.8922288554586, -2114.973695497461, -2113.3945362668787, -2114.1795918915354, -2113.7975929671034, -2114.9726444524626, -2114.263104965732, -2123.3655155091574, -2123.392521435011, -2117.0699934994336, -2114.219260102748, -2116.6346847323603, -2115.9077366156494, -2126.0939178191948, -2132.9160801372755, -2132.1888093333805, -2135.7463759639236, -2132.351759459319, -2136.0623500905726, -2140.0736932413124, -2140.173451606433, -2136.3182743534517, -2148.9729058221587, -2156.2751809020406, -2148.5573397586472, -2155.145829206741, -2170.7595553185392, -2178.8793641429206, -2184.6788980031724, -2185.0312288866494, -2180.384179804135, -2173.5588185136207, -2162.570234410368, -2158.8384417122948, -2168.902627666159, -2160.7724994605314, -2153.8640313407204, -2158.587831842191, -2159.7941133204704, -2157.736042612767, -2165.14966979629, -2147.307347926189, -2157.0651454718122, -2150.3557271008362, -2175.1568632778226, -2183.803262301153, -2192.9097280239866, -2190.334163656083, -2175.4080411213167, -2178.3610378654303, -2157.2569008160413, -2157.5052393703077, -2148.9404046131317, -2136.8280964542582, -2130.5644272220643, -2126.924008825592, -2125.520084297695, -2119.075662495901, -2115.5265422359457, -2116.0155264495033, -2122.7796401212568, -2115.365701470296, -2120.2543222184527, -2118.6288991970605, -2116.6386784007395, -2108.1776098655955, -2113.3170046497576, -2117.027388090614, -2115.321385270014, -2124.221770252154, -2160.9958763284726, -2135.9586530148863, -2137.86738000607, -2140.104873623134, -2154.9149139444366, -2182.620912751902, -2171.744840184633, -2172.2601476593986, -2154.599552750029, -2195.170369022374, -2186.530742759246, -2156.1367038876297, -2177.4736644654345, -2161.113141013214, -2174.655879796903, -2206.6544873867592, -2188.6727885883442]"
3,"[-5204.16860533259, -2783.894861215686, -2248.087932770226, -2153.028618297505, -2135.0734428539727, -2143.589072765534, -2142.732883676843, -2146.0662160544175, -2137.5134506032964, -2139.9305655300636, -2142.66601039513, -2140.2836667577103, -2133.3505994376346, -2137.3675082037144, -2136.755228666943, -2131.0255682136885, -2135.1818129516114, -2128.7912951436565, -2136.0018633944237, -2129.8127097503298, -2125.785709176974, -2122.2016047191933, -2119.385539491689, -2120.3148612542, -2117.743276059772, -2119.240191204106, -2122.7341867148357, -2117.889767690014, -2118.1995144134794, -2120.295922941068, -2120.137798137848, -2111.2294485089815, -2113.02062000464, -2120.9629808633704, -2108.709859090218, -2114.41025186294, -2121.4118812949573, -2110.537660631948, -2110.0842888051666, -2118.5879527487295, -2116.758565100369, -2113.7521532892356, -2122.430300496817, -2127.0563696925774, -2130.6019306578605, -2118.1418515261043, -2120.8079916435663, -2124.748839497858, -2137.2136518642537, -2129.777723631563, -2138.241687738316, -2154.4529854071698, -2153.8290969628915, -2162.7354913741124, -2164.243382919612, -2169.4800566987665, -2178.944170910678, -2167.565923498758, -2160.1204177919903, -2155.495919182519, -2170.8342409603424, -2185.9328043677183, -2193.0174862276385, -2215.035353532035, -2229.0869927333524, -2209.2730974569818, -2210.8632567455134, -2242.6769889890475, -2210.9357395402267, -2187.166384568272, -2204.1796456347356, -2185.797687981593, -2202.7493271100675, -2206.0822056520647, -2183.364257819505, -2187.721164902925, -2212.0886709443903, -2195.3446157560184, -2238.5732717835285, -2214.7616638901463, -2213.8086458444436, -2211.1805756848353, -2175.966188160379, -2207.028258051951, -2208.1466630215746, -2187.00759520967, -2196.9350902624933, -2192.468612874464, -2180.31151030726, -2170.995569359886, -2185.029883001296, -2195.2555095387715, -2185.796503577536, -2190.1641988778533, -2212.0047301967816, -2198.001994310219, -2211.732890834853, -2203.3925271746016, -2198.230819443801, -2162.74704629842]"
4,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -2617.4348609430454, -2143.4915888758887, -2114.5624486361094, -2122.3152739106395, -2121.3875384383214, -2116.9206025903077, -2118.1189503392347, -2113.1964348643864, -2114.409974614427, -2112.9759279417613, -2115.339490753398, -2118.2714287418967, -2117.525661132845, -2118.1036127185794, -2113.0458216191832, -2114.56124885243, -2117.5493752099437, -2112.0697697192645, -2114.5546948932156, -2118.0610037965675, -2114.401715256983, -2114.607705136652, -2119.1597549252883, -2115.949756797769, -2115.38137674915, -2124.406394540089, -2117.878821177597, -2119.1170702519157, -2122.092675274019, -2122.543960104639, -2117.536196253407, -2113.760502011924, -2114.8323541137124, -2115.6680234707705, -2115.949558214072, -2112.7112555206045, -2123.16297536254, -2121.254970405194, -2120.286093781727, -2120.750665094073, -2119.298050517766, -2120.47419060327, -2131.7343749607912, -2125.522389797914, -2122.1978826494546, -2121.6586606573096, -2115.0137625251023, -2114.5898397078513, -2122.515104659012, -2123.1689256071254, -2115.7754569691197, -2119.834418916849, -2118.5797023865725, -2118.394114463495, -2119.7757271553855, -2124.686838097299, -2129.911085201292, -2132.419381328903, -2128.7963272065535, -2130.2062247212007, -2122.363287608654, -2149.529578132849, -2139.8347654888444, -2135.6600098741546, -2138.538243724034, -2132.6988399047937, -2124.3946665863346, -2130.4073775134793, -2132.302608982059, -2146.021337696751, -2149.6540320194854, -2130.9650648967263, -2135.855143204519, -2136.5849843444657, -2128.0115202975935, -2125.861229812062, -2124.6348769876017, -2142.0898611406774, -2137.489825189528, -2132.1688946747026, -2148.30485600594, -2146.613096941815, -2153.0645809864423, -2167.3157243516457, -2177.8135136392975, -2189.6090841823248, -2175.020252466993, -2153.224843342214, -2137.7953758256513, -2136.248189006582, -2158.5960373668972, -2172.8150841988413, -2170.173709938092, -2142.593240542379, -2135.5284457151974, -2130.354654819548, -2133.6331092711234]"
5,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
6,"[-5204.16860533259, -5204.16860533259, -2729.0629105456715, -2185.961218856824, -2179.4312452801446, -2155.683911113762, -2128.0577354217776, -2123.024682577853, -2122.7317741481893, -2134.795257521739, -2140.370226754766, -2140.5663661434405, -2139.148899586108, -2134.263639257556, -2131.5490957186894, -2125.5099225081676, -2129.004822481568, -2125.7074341703237, -2126.7338562917857, -2122.7834083358543, -2119.3452459736554, -2122.042992198349, -2127.0745649173946, -2126.505598136322, -2119.60043735261, -2129.642514648671, -2129.4353126862106, -2133.4718732591023, -2130.9506654814045, -2117.0825012142604, -2136.0017226470663, -2117.803611811072, -2127.8551820106736, -2126.200988990583, -2121.5157443696658, -2139.340501986419, -2128.9398506622797, -2135.901231820163, -2130.5366545588977, -2130.601120895818, -2138.0571005224288, -2137.959668866562, -2153.3952376274983, -2135.33666187531, -2144.918922988159, -2136.8392009572035, -2159.044164575288, -2153.5383820027246, -2142.9902112348536, -2136.320128438135, -2132.6941352611, -2137.234798572609, -2144.4406487343504, -2136.4416364032772, -2125.288465830937, -2152.757711965728, -2136.0051444621827, -2152.3322805897924, -2154.9270719138126, -2178.2622143089975, -2149.1460046572115, -2172.367095792, -2178.0236490431153, -2183.4380784701916, -2184.9814781771306, -2188.7211127993587, -2190.6279737551727, -2194.245288838127, -2198.9704458236233, -2191.707240929006, -2202.0975993602983, -2195.441271525795, -2199.0632894052956, -2206.6849037267684, -2215.0222994695223, -2217.9274231081, -2212.2039784957205, -2218.7750660004203, -2209.0421982079524, -2181.174093156508, -2181.8699694329025, -2181.347389024773, -2175.425625963742, -2187.1246643979684, -2178.770034465907, -2167.5572499639784, -2146.3796532754122, -2132.8460381143236, -2123.992191412665, -2128.995452983736, -2132.8316995277783, -2132.825415409344, -2136.43527647644, -2139.046381726942, -2157.6322666882475, -2150.31423901303, -2163.345731967803, -2168.486396149484, -2180.2968028240007, -2185.424782432114]"
7,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
8,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
9,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
10,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
