agent_ID,returns
1,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -4142.196021037639, -2310.553778741661, -2195.414901744112, -2159.1537840741908, -2132.3509500194127, -2124.048920082913, -2118.3008817096465, -2123.197412981189, -2120.9235389010796, -2113.1007148218205, -2116.9785984863734, -2117.9094375793366, -2109.6869332688207, -2109.4632203205065, -2110.752787339676, -2106.603884883592, -2103.325740080301, -2108.332111904481, -2105.9258544862428, -2107.3358012563203, -2103.481304251819, -2104.4872073776373, -2105.608731544353, -2103.9633720570982, -2108.4044572190282, -2104.268567680785, -2104.7043925070025, -2105.9851189437627, -2109.1997526303317, -2107.809670901277, -2111.040155301505, -2111.5983729481595, -2115.34015811587, -2110.5677846471426, -2112.551275976258, -2118.7999903175964, -2107.7124430779113, -2113.550415501031, -2110.5489442877547, -2112.002641926962, -2111.998456746065, -2111.1711209687182, -2112.2031272893855, -2112.0261822228135, -2106.8398780216503, -2115.1596587213326, -2120.135441659714, -2116.7057530839115, -2106.906920758418, -2131.348510884068, -2118.3645991765466, -2121.085154066275, -2116.419044117864, -2122.2794505970355, -2127.590720732001, -2121.795330442047, -2118.761458282558, -2119.8326067599114, -2116.773466466519, -2112.8428649726047, -2111.0052811384994, -2109.542938557761, -2115.1602833448205, -2116.2077389464425, -2121.1474583059453, -2110.9935761247257, -2114.6392893769357, -2116.902341482907, -2103.638857373683, -2108.0111746101848, -2110.7845595988088, -2109.1490050395546, -2106.3296157709924, -2103.9626790636325, -2110.334978393908, -2106.19740470295, -2102.6954800861477, -2104.2471307391897, -2109.2643784134275, -2098.2261372075473, -2103.259364035296, -2107.1530051858676, -2105.252999505435, -2102.0368012449667, -2106.478492348957, -2105.53058243907, -2107.569960129853]"
2,"[-5204.16860533259, -5204.16860533259, -2493.487043316056, -2201.978472053449, -2133.3691126470208, -2128.0103756012977, -2131.9037389398586, -2133.334357091373, -2128.2607450086907, -2125.633684095614, -2130.136751741338, -2131.814354087227, -2131.4384562570326, -2138.811103422807, -2138.1578918081555, -2123.951981059821, -2121.2338068487793, -2115.9231579800626, -2119.8097386272, -2119.189500339076, -2114.4263057788517, -2105.6538336098397, -2109.604079991294, -2112.036742191012, -2118.4732891249273, -2114.283938140923, -2115.956463667451, -2115.481689221734, -2122.6707663402885, -2115.3805739610857, -2115.4668189864615, -2119.0791202671285, -2121.110317429458, -2114.890028213378, -2121.5389338217838, -2119.2816254829454, -2117.978215507061, -2111.406907262967, -2113.6853866012484, -2113.3922053060455, -2113.626027917758, -2112.4702222490014, -2114.7499900969847, -2117.48081185791, -2118.4205861549403, -2115.5572186306017, -2124.9428983742923, -2116.2631435351545, -2118.6681898874654, -2117.3972180901537, -2128.2836050449955, -2124.4993499731154, -2125.679101953845, -2125.2827430912635, -2125.6635637075665, -2126.9021172823336, -2124.8964559040355, -2129.3795562143528, -2117.6972204083445, -2120.7800435495496, -2135.7348769257223, -2134.929243257324, -2137.5041339495347, -2130.3556796832513, -2122.4047142906184, -2117.7075206353447, -2122.1397448465596, -2133.3544097006993, -2139.36601854597, -2158.471146731909, -2149.8108600821265, -2149.5046034194916, -2146.2226549264515, -2147.096171587121, -2148.4164259371023, -2153.8173202440066, -2152.6436162623427, -2160.627994090664, -2170.985083903268, -2151.1609302974907, -2149.3901398044613, -2157.2869412645227, -2146.6758051746483, -2155.8033961237065, -2144.62242434447, -2161.7505586303073, -2156.677116640794, -2171.215938976158, -2154.502382007025, -2145.8441688654016, -2157.6578902342358, -2169.5303022151274, -2165.603802621626, -2163.7660323755927, -2167.1299159039963, -2169.751607498791, -2161.362534654016, -2159.4601427093216, -2166.952692324036, -2151.826425705439]"
3,"[-5204.16860533259, -5204.16860533259, -2483.084468068553, -2229.1700176984123, -2186.5935098277496, -2170.846306665051, -2160.5250498765668, -2152.31562035008, -2149.232098166325, -2136.3381855170783, -2134.269958220438, -2132.953444450725, -2128.3128934125216, -2120.486643478328, -2121.5644960321065, -2113.033107416497, -2113.269378905558, -2115.2550185952036, -2118.660588145352, -2112.8762809180475, -2114.6430093411777, -2113.7015102648893, -2114.1461708946645, -2113.3778572232827, -2111.904225697215, -2113.8707713093213, -2119.124030644788, -2122.1263632990954, -2118.409650173771, -2116.73618896059, -2111.0506567399966, -2124.310605655261, -2113.473817358598, -2112.2861823153453, -2125.2166686355813, -2123.377143824326, -2121.1086213417484, -2124.809315051995, -2119.9899963692515, -2128.937206202303, -2128.330083998477, -2126.2809581190527, -2127.5408528712533, -2123.408214304941, -2122.7681435090194, -2132.6471768633164, -2131.850294400155, -2134.4560529991018, -2143.5502247930212, -2143.24884084709, -2148.7066218628956, -2153.026547594307, -2143.1683319399554, -2169.542172078869, -2149.9313663853904, -2161.314851111019, -2161.595353464222, -2168.002466631097, -2148.1285398474342, -2150.93253689108, -2143.602912974539, -2138.4949545164186, -2155.8195470783357, -2144.4482874900104, -2133.7328827809697, -2154.1497639320914, -2138.50496010904, -2139.7205148843564, -2151.6615388865357, -2147.170115998333, -2163.6646734264905, -2157.43864298335, -2154.263243105124, -2157.132358180403, -2170.4287859656224, -2177.990980241662, -2169.8192532601565, -2161.355890196779, -2177.0516463401013, -2180.033362582739, -2169.944716938332, -2164.332745889429, -2176.2337452777206, -2167.503344612824, -2177.8633384827003, -2173.180711609443, -2184.0046139265983, -2181.2667102248556, -2175.3937321315348, -2206.032958326002, -2198.5378291687257, -2206.6501757782103, -2192.370467888328, -2205.0751126635355, -2213.2757639909646, -2184.0056728560326, -2189.686093594316, -2199.1169891480135, -2183.6000484268375, -2162.186035846977]"
4,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -3170.212830636994, -2249.3128241761874, -2175.395767629463, -2147.230058584873, -2126.670718103886, -2114.230579065392, -2124.412798611227, -2131.2541683261456, -2120.039993715109, -2114.5356018616444, -2112.8581982309342, -2109.5961953208302, -2108.6756088972334, -2106.7640928061423, -2110.794258689423, -2104.9261332541755, -2112.8367107586987, -2106.750192572973, -2107.486203275762, -2108.2898052239048, -2104.0875581375635, -2106.0350432458936, -2102.085783050947, -2106.520321945878, -2104.72783941576, -2106.4623672905414, -2106.6922428286307, -2111.9410317652532, -2105.948796599249, -2106.435700766466, -2102.465275871458, -2106.0009352943416, -2106.301074069391, -2105.1105035581354, -2113.464351196083, -2106.2831160852, -2109.640601618381, -2111.118907452572, -2111.790361433177, -2114.5648602754154, -2106.35854145484, -2108.0091613176664, -2106.837796072728, -2105.9725611137765, -2104.789754336209, -2104.8726062358887, -2103.453205721807, -2108.965305939397, -2105.179288032157, -2106.203436225305, -2107.1194182577397, -2106.844668232771, -2106.5182523164012, -2103.4135020827525, -2106.031506740179, -2104.071178898599, -2106.8298396991736, -2106.8734724467463, -2112.526953369433, -2108.0089978642186, -2106.5382516778063, -2107.8317122991452, -2109.6800380848404, -2105.711462328723, -2116.7479867827833, -2115.571650948859, -2116.810592424818, -2107.9281085785115, -2109.9580288815014, -2115.753715033285, -2105.7110218845464, -2107.047685504237, -2115.021122439757, -2105.6693219572076, -2115.5050320177484, -2105.8060280986874, -2106.402671012503, -2105.6814336395246, -2110.296431906699, -2107.8638239584666, -2107.3459129217704, -2111.838243593073, -2115.6986098216403, -2109.1523286643405, -2111.8893810708205, -2116.682750077518, -2118.7565997328193, -2110.118302859741, -2117.105613983176, -2112.44599365885, -2109.274833937311, -2112.6777327520026, -2110.532504326409, -2108.9539188300996, -2111.654599052752, -2112.8375689915715, -2118.066541190756]"
5,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -2719.30307929364, -2195.0934993700193, -2180.94297073618, -2164.016051045609, -2135.418196015849, -2132.7792395531683, -2135.734681470447, -2132.9570789565837, -2131.2848822477977, -2134.88502267632, -2142.2821055250106, -2136.0693912660336, -2134.4701618883523, -2136.6089765429915, -2128.0183837074155, -2126.537003529766, -2120.3673470996737, -2123.902919833832, -2123.651283162198, -2122.265036482162, -2122.0348350215722, -2120.39160448763, -2115.3356056496777, -2119.80110963815, -2113.2143254693956, -2116.9283629036936, -2117.5533898978592, -2126.297760915868, -2126.8196662968053, -2120.0645995546556, -2116.8383955360805, -2120.9660487855817, -2117.062288110923, -2116.8863597870645, -2116.8397436414443, -2111.906818331727, -2119.7299404857476, -2115.12721644272, -2117.581808884161, -2112.385164834655, -2115.560478078044, -2105.3745569535104, -2103.4186423063056, -2106.9893325509497, -2114.618635032147, -2107.970505101902, -2108.1690240427783, -2105.8080867365816, -2115.732726072562, -2114.6668443196895, -2121.852299712497, -2120.94557531251, -2128.9964733131446, -2128.006990672794, -2120.839489547397, -2111.8765677510037, -2123.4400250743156, -2126.5884998138, -2127.487160274983, -2121.422473627984, -2119.2485956159726, -2121.9270516291936, -2121.37295338443, -2121.715003852009, -2120.34150816246, -2124.572596269437, -2134.46618744066, -2116.188850338079, -2115.2280022209375, -2113.0449644956757, -2113.3279146978175, -2116.860737574031, -2117.7298628258045, -2111.6855915463975, -2118.282540771564, -2111.9891648483126, -2114.358872536416, -2110.540242475088, -2120.8021933333957, -2121.7323649819973, -2121.7370474764593, -2129.5720132877254, -2115.5454601536057, -2111.3896409488902, -2120.4742625989297, -2112.785837089482, -2127.488681330464, -2115.409549143886, -2125.0749675995125, -2120.066524307123, -2125.876904265465, -2127.927742737531, -2113.2101303143527, -2127.0474566079, -2136.4164167771164, -2113.1972842983796, -2118.6502119974166]"
6,"[-5204.16860533259, -5204.16860533259, -2458.4913142472205, -2241.6987499046895, -2137.4346688718724, -2128.727822506097, -2116.86404001124, -2116.20357436304, -2113.4550429189844, -2111.8238961911748, -2113.0383955902744, -2115.621295570435, -2113.475452375913, -2111.9805985337534, -2109.7112151016286, -2111.7492219344253, -2111.867816796072, -2108.5864165771472, -2116.1134809369987, -2111.803414216486, -2115.9475974131874, -2115.4308958032984, -2121.8343075371804, -2110.57600293055, -2116.8733036081658, -2113.094727811246, -2110.0200746385362, -2113.810156801601, -2113.635739411441, -2118.2838599042448, -2116.0585214360913, -2125.1651508138766, -2120.316143984428, -2121.366274711101, -2121.626605788877, -2121.853153869398, -2119.7865058743605, -2118.0088193201464, -2123.4173440544837, -2124.4584078101407, -2129.8946466271905, -2134.0624302537626, -2132.3315029188557, -2128.161216549419, -2132.39255603183, -2127.4270310497996, -2131.4559370020406, -2138.2733162221934, -2140.2102700372666, -2141.9691132677635, -2135.0182525687983, -2142.9584554325984, -2140.594330046764, -2138.3058751071803, -2149.16655958263, -2144.1639042736133, -2150.594462015704, -2167.0292426721726, -2170.9134206023973, -2180.0968963431083, -2178.610411288183, -2165.2069418911783, -2165.8062840972866, -2165.813899663753, -2162.531009299044, -2152.268245484175, -2157.669349398114, -2149.621481330144, -2150.565845126026, -2146.7273046945293, -2158.092140264944, -2156.1224545092427, -2144.4441476737725, -2145.147558770205, -2147.236256928746, -2140.3711029546675, -2137.142959462912, -2158.149299439495, -2148.161337539297, -2149.340814910857, -2162.115304577832, -2146.131907466351, -2142.319019183727, -2142.217413004909, -2140.8131803733063, -2140.1383813127513, -2136.4068551643372, -2114.8182448477737, -2131.757588811208, -2118.0289505780825, -2114.550823864589, -2114.0582943313216, -2111.5166648351283, -2109.397030944969, -2114.9875365715607, -2105.8254239708717, -2112.7150804378157, -2120.991368539349, -2104.5237587523466, -2112.264757188711]"
7,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
8,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
9,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
10,"[-5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259, -5204.16860533259]"
