run_ID,epsilon,width,clip,gap
1,0.05,32,Inf,0.08455112946462351
2,0.05,32,1.0,0.05919416386937226
3,0.05,32,9.999999747378752e-5,0.060079757607063744
4,0.05,32,1.249999968422344e-5,0.09710927978298778
5,0.05,32,9.999999974752427e-7,0.0800026176094435
6,0.05,64,Inf,0.1081034629479738
7,0.05,64,1.0,0.05143581577176404
8,0.05,64,9.999999747378752e-5,0.031330613735067736
9,0.05,64,1.249999968422344e-5,0.11316317252902564
10,0.05,64,9.999999974752427e-7,-0.001018773472031942
11,0.05,128,Inf,0.10841325896442666
12,0.05,128,1.0,0.023601353948180304
13,0.05,128,9.999999747378752e-5,0.12002992131065837
14,0.05,128,1.249999968422344e-5,0.010951283528397138
15,0.05,128,9.999999974752427e-7,0.05571386057464589
16,0.05,256,Inf,0.11532297290080074
17,0.05,256,1.0,0.1554919097758778
18,0.05,256,9.999999747378752e-5,15.892637760398248
19,0.05,256,1.249999968422344e-5,0.06922898479404882
20,0.05,256,9.999999974752427e-7,0.002958996408283898
21,0.025,32,Inf,0.01917451684692817
22,0.025,32,1.0,0.052003718337743754
23,0.025,32,9.999999747378752e-5,0.011418616459093034
24,0.025,32,1.249999968422344e-5,0.0681634017631374
25,0.025,32,9.999999974752427e-7,0.012071749481656235
26,0.025,64,Inf,15.891776904924356
27,0.025,64,1.0,0.08138546155185944
28,0.025,64,9.999999747378752e-5,0.12839486292249136
29,0.025,64,1.249999968422344e-5,0.12227817988650247
30,0.025,64,9.999999974752427e-7,0.051776850901265714
31,0.025,128,Inf,0.09818170529721004
32,0.025,128,1.0,0.002170785748121462
33,0.025,128,9.999999747378752e-5,15.88117565076103
34,0.025,128,1.249999968422344e-5,0.024841589482627935
35,0.025,128,9.999999974752427e-7,0.08531719981681873
36,0.025,256,Inf,0.12510753034558997
37,0.025,256,1.0,0.10061522980209103
38,0.025,256,9.999999747378752e-5,0.036716060516053695
39,0.025,256,1.249999968422344e-5,15.893137247957537
40,0.025,256,9.999999974752427e-7,0.22422600857842667
41,0.01,32,Inf,0.10687409593044972
42,0.01,32,1.0,0.014762888466316904
43,0.01,32,9.999999747378752e-5,0.0904087842669199
44,0.01,32,1.249999968422344e-5,0.08995377391201331
45,0.01,32,9.999999974752427e-7,0.01883973753855206
46,0.01,64,Inf,0.10042288385177445
47,0.01,64,1.0,0.10999010814307675
48,0.01,64,9.999999747378752e-5,0.04378248004913643
49,0.01,64,1.249999968422344e-5,0.023001562805511355
50,0.01,64,9.999999974752427e-7,0.03537777654641294
51,0.01,128,Inf,0.09683045784710331
52,0.01,128,1.0,0.15030600791426352
53,0.01,128,9.999999747378752e-5,0.12594347927384253
54,0.01,128,1.249999968422344e-5,0.06921404210155901
55,0.01,128,9.999999974752427e-7,0.03486831118191769
56,0.01,256,Inf,0.04252729413358192
57,0.01,256,1.0,0.10228800255278458
58,0.01,256,9.999999747378752e-5,0.045836036103650946
59,0.01,256,1.249999968422344e-5,0.1604222402077744
60,0.01,256,9.999999974752427e-7,0.061343813929269686
61,0.005,32,Inf,0.04649491850801768
62,0.005,32,1.0,0.06541602258128454
63,0.005,32,9.999999747378752e-5,0.11213762900394664
64,0.005,32,1.249999968422344e-5,0.014227446893045226
65,0.005,32,9.999999974752427e-7,0.011767791994822474
66,0.005,64,Inf,0.05331446975264731
67,0.005,64,1.0,0.07503372856300805
68,0.005,64,9.999999747378752e-5,0.05167851579255056
69,0.005,64,1.249999968422344e-5,0.07372721962832629
70,0.005,64,9.999999974752427e-7,0.09403954812681081
71,0.005,128,Inf,0.09978339073915343
72,0.005,128,1.0,0.04858825409206036
73,0.005,128,9.999999747378752e-5,0.12240521611565525
74,0.005,128,1.249999968422344e-5,-0.0036364693755935873
75,0.005,128,9.999999974752427e-7,-0.0031757866838709736
76,0.005,256,Inf,0.08056958812210624
77,0.005,256,1.0,0.13335969722893193
78,0.005,256,9.999999747378752e-5,0.12492510296758352
79,0.005,256,1.249999968422344e-5,0.08599818892622424
80,0.005,256,9.999999974752427e-7,0.03711411208868287
81,0.0025,32,Inf,0.0027414387973068166
82,0.0025,32,1.0,0.1387241608149148
83,0.0025,32,9.999999747378752e-5,0.09370354584716489
84,0.0025,32,1.249999968422344e-5,0.030065353813052864
85,0.0025,32,9.999999974752427e-7,0.04633975602470786
86,0.0025,64,Inf,0.10718810803391454
87,0.0025,64,1.0,0.1454893165853799
88,0.0025,64,9.999999747378752e-5,0.10395514007181683
89,0.0025,64,1.249999968422344e-5,0.15286894380402427
90,0.0025,64,9.999999974752427e-7,0.0332777943947129
91,0.0025,128,Inf,0.10458762885529316
92,0.0025,128,1.0,0.051399569346441965
93,0.0025,128,9.999999747378752e-5,0.08012301716534975
94,0.0025,128,1.249999968422344e-5,0.001365697975772573
95,0.0025,128,9.999999974752427e-7,0.0007092611563555007
96,0.0025,256,Inf,0.12591442147777454
97,0.0025,256,1.0,0.07183084622038449
98,0.0025,256,9.999999747378752e-5,0.11876687324256285
99,0.0025,256,1.249999968422344e-5,0.05532174430650172
100,0.0025,256,9.999999974752427e-7,0.020808175082894342
