agent_ID,returns
1,"[-137771.25556933068, -137761.3719377211, -137647.55874572715, -137927.46632712163, -137788.86490173888, -137671.0302988909, -137878.81001581353, -137738.87392834757, -137605.09609938422, -137877.66687988373, -137692.9285289942, -138115.0158259272, -137583.80680816222, -137854.80129154795, -137719.7226788495, -137827.63055369433, -137970.69695172895, -138017.2436949421, -137890.6842901197, -137921.66827199465, -137921.0416416817, -138022.3516365148, -137954.17874059975, -137861.08594883227, -137821.00651517365, -137820.130823262, -137900.63546558286, -137972.83951845078, -137858.49993132707, -137852.8647768419, -137490.55751213816, -137914.97977776264, -137715.35949246908, -137787.35602867845, -137637.11836517803, -137661.93813569704, -137811.7654788913, -137618.98101832633, -137810.16988659374, -137726.25764290267, -137972.54271159848, -137799.82038298468, -137823.71978987372, -137759.120401374, -137737.85665311926, -137560.13954613233, -137974.9015136843, -137984.2135044673, -137675.39357247646, -137728.8079279805, -137838.35226160826, -137678.32173824334, -137579.33969793576, -137686.71454340607, -137577.5355282628, -137903.65542790125, -137775.03694160574, -137882.40437720774, -137931.04006763207, -137784.0477290695, -137628.418487033, -137723.5303643322, -137863.52263734362, -137640.4259586223, -137762.96838173707, -137682.072764965, -137647.5583091647, -137956.40513444098, -137885.05652982264, -137814.40328914236, -137983.73487087886, -137792.58218712208, -137801.1685981279, -137659.92887368597, -137975.5011571673, -137808.00449731085, -137860.05261480788, -137836.65532800043, -137895.79721083856, -137739.54714191356, -137735.15887019856, -138054.1655023978, -137860.44691462073, -137735.23130901152, -137837.8227812551, -137553.28187527202, -137768.90561023145, -137617.60577038885, -137873.30257119203, -137982.32570037473, -137769.36610214153, -137795.45057167293, -137835.5064329893, -137532.84640107767, -137787.28371185905, -137899.26861863572, -137541.6683449422, -137956.31503251105, -137795.7108515339, -137981.43074315914]"
2,"[-138005.35624967943, -137791.6847928174, -137742.9263939946, -137907.27224699038, -137700.81895841163, -66576.49205642243, -44213.43738988653, -35518.10629017721, -22758.697907715843, -12341.067870063958, -12614.727939879485, -12348.653240885558, -12111.170321293526, -11930.984721812707, -11457.137833498893, -11271.840030813704, -11074.357220624883, -10504.389840834623, -10282.937153951394, -9792.256929627563, -9801.023559807722, -9483.532927657196, -10581.343090423636, -9259.461448210277, -9125.18913546878, -9215.011526481836, -8899.474539082797, -9205.154782676185, -8966.473737475204, -8852.524114284777, -8840.75054459576, -8931.392926785154, -8858.660378675393, -8889.662726338642, -10423.428880374706, -8923.903022045413, -9119.862619899486, -9165.462921066226, -10406.981047212324, -9093.68918479257, -9285.571854496828, -9323.957973603525, -9240.367060391547, -9275.938769752775, -9224.297679237021, -9268.189073184807, -9359.627039114914, -9276.19987260902, -9231.169105241153, -9219.552485870388, -9237.830450948422, -9777.206637448542, -9123.249295704465, -8766.95928661582, -8819.901526602856, -8804.121787384549, -8835.200713017546, -8687.055316138665, -8789.4295725935, -9103.353929312889, -8644.369536626806, -8661.747044459276, -8610.433810716539, -8742.603296483436, -8663.95887400942, -9095.867183971714, -9873.441414083203, -8907.121364056642, -8764.702442190091, -9000.126858415346, -8864.128412618807, -8949.07875916132, -9057.881099302886, -8989.610244214002, -9106.652345698265, -9079.298294753204, -9083.18623269287, -9077.955442080212, -8974.303691124305, -9044.539963025234, -8927.603509378616, -9067.696624855447, -9097.037519290332, -9046.638078106882, -9071.136401618358, -9056.767362628074, -9090.448131047871, -9026.906221048375, -9035.490059233915, -9083.44842812872, -9084.487234885648, -9103.362282330481, -9073.159507899401, -9091.876704807564, -9011.059661167865, -9064.64312797573, -9051.926689613001, -9095.63920514504, -9039.240358185285, -9014.52628305638]"
3,"[-137758.4658488192, -137718.6760119724, -137631.8159602142, -137654.52252339636, -137736.59669395615, -137735.16302711418, -137760.44681648113, -137711.05168889713, -137838.7777298511, -137725.27131976647, -137710.27666888948, -137656.61781243564, -137865.9692619345, -137696.05209587832, -137583.42829236345, -138084.1144408956, -137661.84142842778, -137869.1161753598, -137780.07939605837, -137919.2784207926, -137771.24228336997, -137986.13614012874, -137669.06972771895, -138096.30515522568, -137836.48606025858, -137775.79449998034, -137726.6165390118, -137670.2777015037, -137724.23387754022, -137661.7473481124, -137704.08204877595, -137770.23619358224, -137697.98160660543, -137703.9115881437, -137651.33779862517, -137781.8224417555, -137631.36368917412, -137757.3931261246, -137944.79793424, -137774.6085909155, -137630.34471579106, -137554.1259089924, -137702.96230431742, -137687.11970729678, -137664.30294242938, -137766.08578227155, -137948.18503756615, -137793.37818558747, -137670.48903102556, -137901.59816119657, -137791.68148683972, -137754.9097701283, -137517.95741216157, -137700.35371033452, -137962.76236209745, -137649.43519156732, -137702.03262239025, -137807.9848820136, -137887.16782155863, -137910.0699324895, -137700.35576055772, -137803.2782424124, -137895.3735129387, -137885.0382772283, -137571.62859987633, -137856.58186403543, -137827.20741802352, -137793.27822669863, -137965.8473583722, -138044.9122046156, -137846.55679937644, -137765.6426038857, -137813.33736469626, -137851.10415680942, -137789.7306484543, -137932.39698118513, -137755.0918074525, -137873.6413017255, -138148.07024415766, -137636.72020113436, -137830.37876563423, -137663.50070687823, -137962.3738222186, -137494.38933992895, -137770.63896150253, -138003.735850884, -137722.21632323673, -137650.09316264724, -137877.65430260226, -138042.869645362, -137767.3013540706, -137854.1094395049, -467442.3623418747, -103481.95994362302, -71641.57399223527, -70311.38855940037, -67720.01504842515, -77716.7565499616, -106013.815233887, -137986.74463757212]"
4,"[-137866.16882901322, -137656.02794021004, -137789.78822054312, -137767.02414480195, -137939.21825698338, -137955.37101425565, -137647.62746359492, -137792.1842318341, -137643.8859671109, -137698.14666955752, -137716.69390509411, -137608.4912422111, -137858.13569827646, -137888.32940759909, -137766.56676875328, -137774.56709620278, -137813.02231310948, -138036.7618544187, -137943.92844245493, -137839.92173210465, -137874.3336286317, -137775.7743590919, -137702.6192345009, -137714.4125906811, -137735.30533413863, -137917.77961501677, -137697.27029513498, -137726.29479464347, -137687.99942674776, -137809.58160379733, -137832.3779882417, -137935.3935618648, -138016.26065929505, -137811.64690689463, -137645.83705325038, -137775.66754937306, -137824.55492929337, -137764.16908566203, -137617.20418357733, -137724.2576016418, -138029.6285359124, -137710.919900482, -137730.76791649495, -137800.85385191068, -137630.3390155891, -137613.741532016, -137668.35641617974, -137834.96345481667, -137663.69276182944, -137814.58440803093, -137677.29916549494, -137872.57982791538, -137866.6563457492, -137769.8753410532, -137718.25673138633, -137867.47926840905, -137474.03885310914, -137648.9275638004, -137839.46912399947, -621649.594262972, -73896.9411784517, -69336.12335862001, -81292.16153656815, -104685.93911452184, -142359.7155582327, -138402.59985556125, -137741.53492476093, -137932.3554792042, -137736.90223440874, -137711.3996134147, -137775.12431343424, -137841.85527426767, -137642.01001079407, -138051.9912777358, -137674.75199216043, -137695.7297728897, -137741.76443864196, -137613.28086295753, -137785.6414432357, -137767.24779172556, -137755.0079964632, -137981.44935772527, -137760.5299107966, -137831.50650384114, -137798.20042162726, -137861.13523705592, -137861.90499093037, -137727.1001136586, -137867.12238791023, -137548.70156738287, -137683.97956116527, -138185.05114290045, -137570.968606665, -138206.11647631493, -137856.7229120778, -137860.0090310379, -137675.87532291532, -138024.28323155115, -137787.1268039906, -137821.3383762394]"
1,"[-137766.83492237836, -137786.14669099712, -137651.80355729788, -137946.52119813554, -137712.22201692802, -137818.59399921694, -137637.47281425179, -137614.18774287103, -137767.90005555173, -137842.79037335332, -137744.8142932235, -137767.17617514404, -137905.52104989422, -137850.9407243732, -137778.22932770953, -137829.0549743478, -137916.89398475783, -137785.88603618747, -146780.92408420047, -70215.94094870042, -63183.7353626651, -40951.648645496345, -49425.77334307256, -46268.3184790263, -20575.914089729133, -18243.453452624668, -16208.262757675253, -14782.009540678813, -14247.314808195008, -13366.092828560313, -12628.495361446852, -11732.588708917621, -10889.142979118478, -10672.153756084479, -10498.1692585297, -10135.63615193983, -9977.450780806577, -9911.637768352748, -9839.381449268296, -9208.51531637362, -9268.548511458463, -9436.754345616799, -9308.200791036787, -9380.581681726633, -9424.456992651492, -9314.010527496537, -9284.02416730761, -9189.183219081779, -9306.768562892195, -8639.43050319205, -8577.535440934773, -8540.2471509235, -9868.78833087514, -8978.778990650611, -8671.90496788742, -8551.365495724476, -8493.974099510688, -8501.007451559257, -8866.42870408445, -8530.651453818324, -8448.864879662548, -8523.558231529405, -8536.952111266475, -8609.868838565251, -8645.19474398361, -8652.526519186782, -8620.409596776502, -9559.049219538201, -8635.641654909981, -8440.982245902149, -8401.466214875552, -9405.070941076177, -9252.974029663708, -8929.697953623267, -9184.760427367934, -8402.149107892628, -8677.215053800954, -9314.758865229081, -8709.851420431602, -8387.00042037654, -8440.58126192971, -8461.384309104946, -9559.582419255228, -8451.729485787744, -9628.367251940603, -8815.58176359069, -9220.944009318591, -8639.253367969286, -8341.508537665537, -8632.864267773293, -8359.165643280854, -8374.58288821894, -8681.714958086093, -8656.834434440889, -9163.57563347414, -9253.859023564442, -9232.666484556396, -9243.271880995737, -9220.096140139765, -9196.494642753383]"
2,"[-137686.01447770113, -137715.78477515109, -137574.95563696363, -137927.96322983605, -137711.37599254845, -137764.738421341, -137672.8718049012, -137831.2381222157, -137566.8155145248, -137756.56619237058, -137769.1556406598, -137973.84225284416, -137594.72911546138, -137791.9777454159, -137844.03012518058, -137841.5908536225, -137853.59727431665, -137840.96831879628, -137985.3893726877, -137809.97421704317, -137625.16617444495, -137804.3999866984, -137747.95084084265, -137837.7109135711, -137857.62839700864, -137914.50476484292, -137845.9117544957, -137673.02093867006, -85297.96640126893, -68083.59732469352, -48692.66871115542, -37737.180214412336, -36218.84962846019, -27654.665689994006, -21910.826234525364, -20404.29871683517, -20519.33364702183, -17813.678457396698, -14483.279571103434, -12607.450709783194, -11816.255339884174, -11552.458266454722, -12456.211471025079, -12321.17342217926, -11903.329219532186, -11766.731851860452, -11550.353234801312, -11518.451384966735, -11362.348405525196, -11324.83683377683, -11216.830570216865, -11133.98440409056, -10963.163947820958, -10846.434354189623, -10644.49365147247, -10590.411627452853, -10483.129890486856, -10422.804846190535, -10414.550012049627, -10379.429539873188, -10393.228491154141, -10393.403494200164, -9957.276216916367, -9694.454649605386, -9781.476237414021, -9820.654257391794, -9741.154313089819, -9752.116923096297, -9751.573513492121, -9708.446867179518, -9776.07441745677, -9671.988326764642, -9674.451572482993, -9638.699328548922, -9662.29725936953, -9619.043409748574, -9647.454020612693, -9530.026234504849, -9549.6229704114, -9482.923963599736, -9501.791805644958, -9463.05618198883, -9574.266917505422, -9599.683522267458, -9621.997071285405, -9525.703487237677, -9468.967500086348, -9490.291780202253, -10706.112198381627, -9475.267929738442, -9478.176854139982, -9483.51943598317, -9427.090976746083, -9446.712995290649, -9372.736338597666, -9363.515078977354, -9405.811842695794, -9416.800240456208, -9448.982820980978, -9428.411352499896]"
3,"[-138060.39413496573, -137982.2194477211, -137768.3834757064, -137781.28185554125, -137789.84973674998, -137785.87806867194, -137885.04139855038, -137817.74129672576, -137965.74558846644, -138087.93398871104, -137760.24533125624, -137488.75591409887, -137860.58290098573, -137826.23986003044, -137804.8534159804, -137632.08202869803, -137544.06481106105, -137737.33007318553, -137778.3151248526, -137810.187225463, -137841.94232442218, -137871.91091324686, -137719.2044097961, -137779.931795165, -137747.82067364184, -137744.52483114012, -137801.9319474101, -137713.27207170284, -137916.1869088392, -137682.94023428782, -137854.00243573365, -137693.0346223183, -137796.04319997766, -137830.70559810218, -137645.07319023463, -137785.44230008146, -137934.85044379375, -137840.23545050347, -138029.1302190347, -137655.68417760925, -137745.48421807506, -137756.4601256542, -137528.52393656675, -138174.30457829763, -138004.42026505974, -137967.26054424132, -137856.91306842357, -137646.35578906408, -137670.6214807768, -137857.55979075423, -137935.27942852653, -137705.95119609078, -137672.99931201068, -137493.26795583114, -137966.04251466092, -137770.31046087656, -137875.85484357696, -137643.36435318252, -137650.9826757402, -137958.08103604414, -137737.628329342, -137961.72220449222, -137611.4460409473, -137508.6541604502, -137656.9871003422, -137969.1469500104, -137832.65756376905, -137889.03273111754, -137775.21215979877, -137562.54359618752, -137566.3599307173, -137756.88459675256, -138027.319797116, -137567.3832852641, -137869.8033862466, -137931.16126363145, -137881.89834524482, -137595.88751082032, -137849.76753828934, -137643.09964531672, -137616.79286124563, -137794.53747132258, -137693.3456341931, -137732.03634051743, -137952.35445165128, -137940.7531013609, -137779.2715483597, -137746.95171286157, -137769.50701197475, -137642.40990809124, -137687.6871136552, -137722.34913012356, -137819.89137549588, -137907.2584473646, -137776.6298665093, -137947.94234748554, -137844.14595599743, -137880.85606554942, -137745.9862448824, -137878.76721147718]"
4,"[-137827.06638855938, -137884.7435107813, -137896.60725752768, -137735.30185492337, -137790.925534251, -137839.4693901867, -137889.39283315057, -137731.75683859282, -137832.10736172195, -137690.5440608421, -137740.79349723013, -137785.27590533695, -137763.9587359674, -137707.12659143846, -137579.4438349624, -137795.5067085707, -137903.4538739015, -137578.80277000176, -138083.47076374662, -137932.24868208435, -138030.26808073165, -137803.51541244285, -137773.42312690648, -137751.63617567258, -137788.95050281056, -138068.15823196076, -137698.50898666988, -137655.407696157, -137887.84132359707, -137799.89414851877, -137820.38426071464, -137862.09686287213, -137628.18594179163, -137861.5721681222, -137781.64365015295, -137756.73521554287, -137859.12032324236, -137843.94955826842, -137731.75354714628, -137617.56147291482, -137783.28667128304, -137782.0910802615, -137757.34547602865, -137733.47261078397, -137593.11691519967, -137778.9980128333, -137663.1308140265, -137810.86223214964, -137737.2663196239, -137877.6239600251, -137879.88884037206, -137840.08858330204, -138046.15010093123, -137880.6020879053, -137680.19378033234, -137614.52989460764, -137787.71167645874, -137850.45975995815, -138007.42356993788, -137990.09983706768, -137944.86868966502, -137849.2914701286, -137629.99441341753, -137786.40229987382, -137691.17768094304, -137861.5441773994, -137791.76419339253, -137800.55881848998, -137661.21163177254, -137978.07318852056, -137945.020701697, -138066.0065288581, -137868.73406908236, -138023.2700194591, -138040.82780226704, -137715.2902619796, -137762.76090199134, -137806.5970262751, -137823.74853905226, -137724.23178131608, -137733.26402898176, -137615.80674984504, -137973.6526762215, -138008.04284684925, -137565.05577377696, -137958.96720080447, -137652.52238873916, -137879.91483462421, -137800.7802780618, -137766.96022996804, -137654.16317089298, -137400.32517636733, -138337.28273372888, -137730.3133618977, -137908.80211402327, -137771.14837665646, -137835.02392305256, -137752.75051823247, -137793.92776987827, -137642.92410933555]"
5,"[-137928.52325500167, -138001.15312212496, -137833.59649958284, -138113.51438290038, -137753.44774475982, -137815.11484870256, -137733.84660348692, -137935.82654233428, -137591.2489224199, -137896.09074771078, -137685.22458838412, -137878.3319027105, -137802.1903881299, -137696.65061239954, -137917.88701984208, -137852.87418062752, -137666.6872535092, -137817.6407064848, -137842.10721783555, -137668.25911879967, -137957.29608465364, -137732.27965538923, -137826.68844879948, -137677.4947991742, -137945.9376728478, -137714.36775990308, -137694.17081036023, -137802.6793238003, -137832.6015871739, -137835.38874083303, -137848.23655786956, -137796.83844908932, -137742.18830852496, -137504.35111543973, -137678.1575925186, -137800.89506107243, -137916.18643673247, -137602.40215885025, -137804.31658767807, -137943.95053195526, -137996.3964505146, -114085.72142543088, -83418.64247921348, -84162.32804497026, -83055.6807345662, -83678.45719470913, -84903.27048528673, -86973.12435312194, -87160.84250782146, -88240.76739121065, -89516.20511617724, -92186.9046193276, -92465.21573250057, -95819.88421671136, -96509.99979340649, -95368.01295372487, -95688.5104646384, -94476.05683854145, -87773.96152915394, -81669.15728630984, -75155.84643178, -72898.01099259166, -69376.89008683452, -67319.77278148856, -65059.82881153209, -63116.4593141164, -63166.41642764595, -59900.39640066723, -58748.05120937701, -58097.97036359093, -55813.818055598094, -56560.40656307764, -53973.18657340572, -53955.177231294365, -47154.65280736943, -41765.20899863839, -31993.48558131359, -28649.890876579662, -27689.36036259282, -26262.51393056959, -25264.264667691757, -24082.257564451047, -22055.86510443743, -18805.354095841474, -17039.913134937105, -15608.245615791278, -14130.166908036677, -12729.743879388141, -12763.782174025753, -12719.100672650316, -12513.508670653478, -13032.482776674638, -13274.245694927418, -13149.743297457757, -15810.445892281892, -15856.17296911932, -16406.251711250527, -16702.54188330771, -16488.370740116054, -16410.039401427406]"
6,"[-137835.77022076462, -137572.74175239808, -137806.17783259822, -137932.45924177964, -137935.9185446067, -137843.69917411078, -137860.09231276406, -137747.51269115455, -137721.16858128164, -137903.1149642663, -137787.11535267354, -137748.55628387077, -137911.47993781063, -137887.96544999865, -137669.72089725122, -137855.36343573293, -137846.44325748726, -137536.90750390312, -138017.5964074065, -137814.99611469402, -137712.34863998886, -137758.28906132898, -137771.7533108487, -137795.69029171256, -137913.73064657443, -137613.9091451668, -137489.9924887932, -137837.1851703495, -137965.22977853994, -137716.03066878094, -137652.50429688854, -137725.4225588494, -137857.32233978435, -137809.34571635874, -137821.6912552877, -138195.2971894827, -137912.72723386798, -137818.3412143465, -137895.17876270742, -137818.72974930654, -137670.76834237258, -137741.9827948043, -137908.17092657657, -137844.29603953657, -137757.06898318575, -137870.4782692797, -137904.4535081565, -137802.40908287646, -137982.1863839566, -137664.42180510433, -137870.52266060773, -137644.11488249514, -138048.46430609984, -137795.04299669928, -137605.54462923663, -137807.21130160688, -137901.44011316288, -137908.47395511303, -137758.89454378397, -137823.18332061256, -138022.39037689927, -137792.61127485955, -137938.42509581367, -138045.33366065548, -137777.9149345257, -137729.59142605367, -137805.51201917342, -137738.34898502895, -137987.6501448358, -137871.10304514033, -137683.78135765647, -137825.93383117023, -137860.55606409055, -137749.62342886918, -137500.027160175, -137531.7498254346, -137813.32510126088, -137865.4471677839, -137956.42505176805, -137916.5383984716, -138024.58388296893, -137552.63342240665, -137828.88910706007, -137700.60239947858, -137715.3925214713, -137850.46633890102, -137930.05668812525, -137755.98187493824, -137766.65925647804, -137825.50013510254, -137938.1000280124, -137919.54352275, -137834.06180740613, -137748.96233276118, -137642.8538771844, -137821.54718454904, -137834.20646673936, -137889.64586611305, -137820.19051558097, -137759.21767277972]"
