returns,last
"[-137777.085721276, -137845.98550455473, -137793.07096351113, -137709.30469237172, -137695.66287140243, -137650.55058590148, -137686.6438934477, -137908.5278999075, -137744.02428039498, -137587.1836296973, -138083.6097598101, -138148.93360742414, -137988.05568445707, -137830.12060353943, -137830.7448180916, -138019.15644191706, -137652.98138187637, -137982.3177621468, -137886.28110506508, -137754.60587622723, -137911.71437511093, -137667.33745331687, -137783.747451352, -137817.975061048, -137891.43227132517, -137583.4669224218, -137698.73216748924, -137743.8733580202, -137829.02422171753, -137869.3205228485, -137866.60513361383, -137713.19460127052, -137794.0737883787, -137627.82709873092, -137531.404788614, -137716.56915737587, -137728.05965527636, -137703.9007309889, -137897.541048606, -137944.63172102923, -137790.82364629506, -137860.39685193004, -137867.70472830217, -137590.91104160302, -137520.28871512864, -137679.70300440636, -137875.77995784726, -137862.7175674588, -137902.4438759628, -137942.99294959987, -137709.896827241, -137560.89750906802, -137882.500317992, -137919.1521656797, -137818.72548036955, -137767.21818173098, -137812.76776602922, -137863.5416408935, -137806.90514551473, -137809.35695776818, -137656.9257064881, -137839.8705726865, -137647.75079656308, -137770.9027502165, -137796.42092800082, -137801.76371573712, -137891.4583599432, -137459.9238362089, -137818.07922736745, -137803.03343379596, -137836.78699859983, -137562.17422425296, -138141.67053022527, -137781.38594772722, -137785.4712794168, -137882.43838023354, -138058.7404573542, -137750.53889898089, -137867.8110174083, -137895.05861282916, -137770.39365559246, -137944.47328609318, -137760.35606297632, -137955.4805225915, -137756.4420672545, -137869.32797300935, -137726.77739022375, -137563.46871461428, -137881.87313697004, -137930.41258173093, -137706.06922660867, -137839.09484246766, -138021.62292851752, -137743.60690359457, -137910.8036609425, -137825.33648645284, -137856.47651788918, -137840.81123061947, -138003.07274355358, -137748.2781402895]",-137748.2781402895
"[-137871.97151515755, -137807.40163890083, -137841.21919877848, -137558.95239988927, -137836.9184902173, -138228.66733522245, -137836.2733424572, -137756.62714991727, -137776.12619185084, -137584.39623346538, -137876.62795932216, -137928.30175469234, -137689.66863072166, -137816.27488250367, -137856.8148845534, -137712.4882947975, -137778.65377275893, -137882.68501362388, -137625.1838714033, -137779.93080280966, -137796.42521705394, -137885.8549101025, -137777.08210881022, -137821.38647963744, -137933.50504461175, -137695.37421458782, -137902.80092061943, -137858.52010759726, -138078.18408685882, -137810.2395604664, -137865.40788995195, -137561.12730298578, -137978.77106602525, -138069.81743157195, -137538.70141875, -137575.5046616876, -137917.02416479043, -137767.96262136154, -137710.4347803353, -137849.2704833221, -137988.83539263267, -137871.3514334178, -137674.42840424305, -137773.26890069735, -137821.9580955319, -137819.94520033253, -137985.0391069172, -137657.64394243862, -137585.89478404186, -137836.36205387558, -138020.21313230888, -137660.66324822576, -137695.95335730328, -137561.1099314069, -137839.25925599682, -137781.20053343568, -137927.18056652255, -137647.85075934007, -137607.89188764573, -137723.36977978025, -137799.70329386898, -137774.44237516652, -138024.62615004077, -137692.61035572022, -137890.0122493354, -137883.26427148812, -137669.23258791695, -137943.74066045057, -137520.26634598756, -137708.16750503384, -137664.6569957327, -137905.57182351517, -137779.90562910843, -137724.26959973, -137756.2246734565, -137613.52864509347, -137910.24534688174, -137729.165880312, -137767.34125286626, -137957.24647186082, -137663.90109262627, -137792.20706003808, -137997.47459022127, -137755.25417548208, -137907.51282475117, -137882.39199555045, -137635.71481609263, -137813.1632388646, -137549.86803823817, -137796.6901268735, -138091.7475797559, -137672.56495393446, -137665.96678814088, -137751.5439785513, -137881.62186065307, -137760.8652993857, -137800.7832634478, -138018.44226289185, -137711.48253758912, -137690.97506699862]",-137690.97506699862
"[-137989.60402007503, -137538.15467577463, -137598.09855188086, -138017.40997580267, -137876.5946473935, -137648.15469411734, -137787.56165624913, -137968.52082006657, -137844.20311389936, -137525.9204696647, -137980.30642112964, -137832.98022612353, -137861.84172653157, -137543.52602007132, -137772.42948871336, -137642.30408528654, -137653.9944254803, -137992.736147808, -137904.18051540412, -137715.60713168015, -137772.8259660097, -137886.4776949967, -137792.99178185328, -137730.78152889537, -137985.61106422872, -137987.9984121192, -137864.18654655738, -137712.80180470587, -137672.75867894487, -137960.06387757332, -137600.94117530555, -137873.52284932515, -137738.4694247481, -137646.0974866873, -137802.03763136038, -137534.644003621, -137823.36072212592, -137650.47821491156, -138004.33038766324, -137796.30592548283, -137743.48831442735, -137829.25380621455, -137731.87745229717, -137631.70484390602, -137927.38690468174, -137810.33100416462, -137850.22584329257, -137521.67193576266, -137730.57282847233, -137722.46409158118, -138117.35016349886, -137767.3931627804, -137558.69594010094, -137832.3031644899, -137765.68261235656, -137907.27112154118, -137904.51836717105, -137854.4980830215, -137713.65815370527, -137787.13447864522, -137720.57959950576, -137556.81577022065, -137902.51276506402, -137912.05719433882, -137995.7048681052, -137757.11002325307, -137859.14337765815, -137871.87297917713, -137744.6699559684, -137887.25857834893, -137812.9156443531, -137832.2838630775, -137604.85427332684, -137725.8826864287, -137817.86778774532, -137927.76988502074, -137959.16303558924, -137765.34299628646, -138060.7379816826, -137872.09750855714, -137855.14667420083, -137808.44780882026, -137716.01331709154, -137852.6306019796, -137766.04546628447, -137774.89422769603, -137756.42053451817, -137868.94623635805, -137644.71279581165, -137688.00171405, -137691.13656504333, -137889.87873353506, -137626.46226704572, -137888.81181812027, -137831.91070942298, -137580.41941253812, -137778.3366318818, -137628.07838620324, -137470.0905942077, -137868.1244672761]",-137868.1244672761
"[-137879.73381728405, -137721.17984987906, -137382.55159154042, -137714.93300891374, -137808.96796125648, -137795.6753122508, -137610.11777707175, -137706.01729582652, -137924.38164517956, -137650.57497749134, -137769.15004344893, -137814.76785852129, -137649.9488294306, -137608.51326827926, -137854.97931927725, -137624.84253270336, -137825.5459010017, -137945.03318558776, -137816.38003159335, -137793.13505273307, -137866.87641844936, -137815.14615264256, -137769.53203044602, -137796.9501264215, -137650.78240489136, -137909.43793017804, -137722.47963319597, -137818.5838712306, -137806.59714512044, -137813.9236549326, -137777.12613423294, -137772.69458372507, -137916.79019606716, -137767.96311994296, -137704.793192337, -137780.7503163371, -137779.06917740195, -137780.25793368567, -137756.55185947387, -137576.74687310238, -137688.0213510584, -137519.27514434778, -137734.03738172498, -137959.68527513585, -137724.96755489282, -137637.38026414835, -137566.78359390204, -138003.60553072256, -137554.6705276294, -137762.82849918053, -138008.3385287926, -137702.25332608866, -137689.39673209193, -137849.32990076533, -137696.79633893244, -137963.39115057857, -137585.16319027936, -137627.50054840875, -137792.10576598137, -137662.58354890705, -137854.94013008685, -137772.1998061087, -137875.5243104052, -137883.28968785852, -137714.14046287478, -137892.57481671177, -137913.97266629364, -137772.52834334644, -137948.1507613272, -137767.58492740864, -137903.20615587285, -137874.8060194173, -137786.04487139694, -137902.29865855136, -137740.39142862355, -137644.7508344189, -137824.125855717, -137874.86635462331, -137876.35360428185, -137640.8052373765, -137772.26570512739, -137651.82680631935, -137687.19876471447, -137841.35707191512, -137638.62394295432, -137859.34791648062, -137569.53966648082, -137914.9966776254, -137729.72644310526, -138059.02429781604, -137839.7043984268, -137719.5650434386, -137711.13455402825, -137816.43623678843, -137763.71775150174, -137941.9135519385, -137600.7638704078, -137706.079242719, -137930.15596996582, -137943.9314369749]",-137943.9314369749
"[-137642.2858371516, -137881.7527952679, -137817.00507408628, -137866.98912713752, -137754.16267285045, -137700.9993940131, -137893.81241731325, -137757.7468256527, -137830.72278767603, -137876.13194230592, -137894.24700230043, -137732.37137365152, -137667.16757746218, -138021.02734895315, -137713.8837430747, -137533.1748576124, -137810.7818203189, -137755.29274068115, -137681.50388572132, -137748.55925722682, -137829.7452087851, -137775.92008370932, -137841.15556848678, -137763.81124634735, -137812.1989860924, -137548.66977215454, -137727.4375931627, -137773.09383919887, -137741.4817920678, -138032.51075100483, -137764.49491109347, -137627.11293868674, -137925.9666934659, -137828.45567663456, -137739.0118958376, -137528.2637039087, -137901.02408965005, -137786.9720587928, -137780.19488253866, -138104.2007249485, -137669.90238612518, -137756.13195756837, -137739.47248373885, -137829.27786637726, -137648.3700830982, -137502.64328261444, -137929.28772248354, -137901.3083178748, -137577.9597627048, -137760.76488910016, -137568.62033179431, -137859.81682200686, -137554.38345871054, -137935.5743354347, -137754.26867085818, -138056.0638169075, -137847.48651784478, -137689.29679129607, -137683.6643662582, -137485.9855412002, -137783.46140963887, -137841.10103187215, -137779.7155597902, -137749.0326815366, -137972.07256978896, -137823.84633836316, -137816.53499509106, -137349.61971228558, -137737.49861626228, -137655.46209204537, -137631.13556216544, -137992.94833355225, -137902.47968894494, -137839.00771806826, -137985.58918397466, -137720.49976897112, -137575.0240294703, -137917.76584106093, -137773.38774694176, -137667.49101178435, -137852.8215586133, -137670.6900428942, -137807.86929331266, -137756.40450400414, -137713.60379363346, -137854.96068989742, -137914.28587374394, -137984.12760398112, -137693.42614375523, -137829.17947400207, -137807.19443158124, -137502.99935374755, -137685.06234087847, -137678.96123783034, -137845.89756813174, -137936.37295756416, -138000.5477433474, -137863.17756823567, -137795.80876095252, -137935.4531821246]",-137935.4531821246
"[-137662.45891639797, -137935.0495691951, -137906.1496042862, -137856.6945473814, -137876.48640641558, -137740.06436785616, -137842.39524711287, -137634.25280155113, -137936.40229714316, -137907.11514464192, -138129.74679620157, -137810.07766735018, -137915.22314561845, -137873.17241569958, -137934.69048442028, -137786.84473070796, -137883.64370680318, -138020.57716873498, -137763.98222812757, -137747.35386288565, -137786.0182309702, -137811.16251105108, -137891.7807718108, -137662.05804959568, -137981.08444453334, -137916.65089858058, -137537.41780671492, -137912.14320627463, -137755.25380392818, -137955.41053509514, -137626.1516205763, -137977.90310486173, -137745.41489448096, -137998.5594083411, -138022.90129684066, -137829.09561441158, -137714.290225128, -137896.91800718606, -137597.86083765712, -137636.39733567715, -137606.76850412803, -137762.78138639018, -137909.60784066172, -137713.62102125987, -137849.9140733342, -137875.03402082328, -137792.86212658818, -137580.89164366515, -137951.73005978786, -137871.76651608184, -137908.88280113332, -138003.91165262886, -137924.31862357358, -137799.17774490596, -137877.39461304163, -137796.88367184903, -137736.20574193273, -137770.25038195658, -138033.65712559636, -137880.13263512007, -137775.58125493178, -137738.77552418454, -137881.60343091772, -137796.1716341678, -137646.4804229278, -137619.4633362537, -137694.7470714764, -138017.39128916792, -137560.20959200067, -137900.49443739976, -137833.30981438933, -137587.29696714308, -137789.39391386087, -137811.72179668528, -137892.53688413982, -137687.4193275259, -137709.51715935892, -137993.70924006408, -138010.99618360383, -137618.1872610102, -137944.35381023423, -138014.5232843921, -137898.43258606066, -137802.29457214894, -137574.85518524208, -137765.03984473078, -137964.0215334866, -137805.2748820725, -138016.71539513645, -137737.46009653658, -138044.99852009784, -138047.96185092014, -137764.10774889874, -137801.28530909566, -137913.87395041517, -137782.7327024142, -137730.98173253099, -137633.88524857693, -137768.8637294909, -137774.62724695343]",-137774.62724695343
"[-137723.48939460007, -137792.57160735948, -137693.9014280939, -137776.80790393247, -137656.6066111353, -137912.35526540485, -137632.79798809637, -137808.07204480915, -137647.5938566142, -138128.3680710741, -137951.85926355334, -137924.12703961367, -137796.34910394164, -137678.8600143239, -137778.56245297779, -137649.20529504967, -137973.93021635248, -137697.4327081206, -137736.37142311258, -137746.6354523905, -137765.4820245702, -137722.5599301931, -137902.3064878896, -137818.01023934406, -137639.36887889536, -137791.41704819622, -137832.33621898998, -137774.74513730317, -137852.6581847073, -137945.25457756835, -137776.0123287792, -137732.4794459443, -137758.9754856688, -137942.38021206827, -137916.3294941895, -137741.9643926903, -137756.89130524758, -137541.94658420887, -137711.2034242101, -137956.4774373095, -137471.25079501583, -137646.22291281266, -137689.82843704562, -137758.16461350463, -138033.42641723983, -137840.4504457742, -138120.51436162932, -137730.41855150484, -137905.7937086901, -137839.22960460547, -137910.13368275267, -137710.78775070977, -137659.4886312194, -137901.5154332379, -137691.8109660148, -137765.64824525084, -137784.98916050885, -137910.77775483087, -137920.11682839814, -137946.61448148842, -137717.7721699699, -137903.02536793714, -137780.35332536613, -137564.99634743636, -137843.20010470238, -137934.87691801955, -137704.1043808595, -137716.63076492617, -137754.08232324387, -138049.80702619624, -137870.50748357925, -137616.25963396407, -137892.17182736634, -137782.58988413063, -138042.0267125813, -137773.58164280638, -138040.28193238893, -137886.37131631782, -138211.96707078326, -137718.96443696215, -137788.8474535544, -137699.5675253918, -137744.40944089365, -137713.59398673737, -137500.91172111363, -137670.24319543742, -137979.4469634221, -137841.2069164072, -137951.1454953971, -137776.13857433567, -137892.85652155644, -137772.63346315315, -137788.0538060373, -137722.43514462258, -137599.03823156838, -137792.65811453047, -137980.18598898326, -137768.31161004875, -137823.14537523006, -137821.1054732487]",-137821.1054732487
"[-137549.95203720362, -137694.23428860205, -137994.61819839373, -137896.03035855741, -137943.85225893866, -137957.66510230018, -137941.40433737528, -137904.6056901996, -137907.55278167862, -137877.20264490347, -138001.71999230588, -138061.5772203743, -137881.78352496878, -137845.0037785212, -137663.10184117584, -137790.4727366944, -138120.03641303562, -137805.01989198837, -137652.16477537513, -137667.70322368245, -137828.4417985821, -137604.03547500272, -137914.12258808868, -137853.77232281343, -137803.26412048587, -137835.72175311644, -137918.96696089313, -137821.1508618083, -137916.1156807678, -137629.29474718, -137745.87940606853, -137703.26926161302, -137911.8910464191, -137921.61047983388, -137708.6849431532, -137510.7119807279, -137815.56356326796, -137723.00112587382, -137787.12681992477, -137502.79512339193, -138165.96186538404, -137597.18212794184, -137887.97667910857, -137774.19877954747, -137916.40959403792, -137666.76659211976, -137781.8491066319, -137709.2523254885, -137777.27755942935, -137774.5034539346, -137784.37936076385, -137748.75400750703, -138088.60345816755, -137808.88224694328, -138008.3557348939, -137975.7855521133, -137781.71940368903, -137861.72379367385, -137639.33866031322, -137950.84311657722, -137994.6675508046, -137963.24517856492, -137716.4142905862, -137978.2605199645, -137986.6768444203, -138092.59742005958, -137903.396640434, -137709.85384895082, -137829.03589626643, -137941.80819391753, -137722.72728430593, -137918.96318465305, -137770.94793939102, -137924.29275550737, -138035.77582426788, -137620.52682408967, -137847.37734149303, -137726.40768488546, -137434.21159111153, -137951.58346474095, -137837.29527619647, -137718.3588226626, -137807.91723101598, -137848.87005642697, -137807.59108279741, -137519.6795440594, -137878.1119922395, -137777.26578012566, -137877.99700488002, -137901.0399467706, -137968.70564751147, -137935.64507299918, -137662.20354655897, -137853.93123639945, -137872.67201476466, -137643.9416906355, -137806.63617205067, -137757.10394940877, -137672.84084384693, -137906.47458733316]",-137906.47458733316
"[-137922.312378174, -137680.03576100248, -137647.84334337694, -137892.4657436794, -137938.46115971202, -137880.13622988516, -137752.86011269139, -138038.1011182561, -137684.9627280021, -137914.122416614, -137687.11453031286, -137575.03409051607, -137673.76289364812, -137909.18659274981, -137823.04714568422, -137680.90260515804, -137806.11801307666, -137885.90460583183, -137676.91002496253, -137571.4880884266, -137829.06091812602, -137873.73233821968, -137952.3229762432, -137797.67552348977, -137948.18358328153, -137864.7659270047, -137965.02572845464, -137807.7865842034, -137796.09328983343, -137905.80757257945, -138002.46651724062, -137970.50957145, -137684.4776428604, -138041.90688990167, -137659.24601976818, -138068.54565058663, -137865.35004459994, -137881.4864360788, -137856.2003811436, -137760.14367882148, -137748.3157011141, -137818.23484742912, -137727.69593176403, -137696.17167317317, -137919.40472225635, -137786.16482482402, -137753.52445841455, -137734.8853545811, -137864.93645472778, -137811.44217528668, -137656.94957148522, -137784.48811212165, -137802.5311654145, -137845.06028100196, -137967.3649816913, -137665.54244776035, -137754.5978978729, -138087.56331407995, -137834.5588841858, -138105.43959806612, -137881.4696796513, -137746.62803383725, -137730.23184138347, -138073.1329307896, -137738.69654748938, -137867.37992838907, -137878.85781003154, -137691.49596561713, -137895.98875732618, -137637.4065601372, -137601.8059479446, -137550.02827218908, -137775.29057097048, -137736.38568961594, -137749.14044019973, -137660.13655889293, -137702.66726073695, -137658.92392150304, -137887.2827090614, -137679.2264892869, -137978.35297887598, -137818.18764308988, -137878.8790994193, -137736.15978556627, -137781.81589948214, -137771.97393024692, -137568.2849168344, -137997.0076565719, -137925.49812728062, -137936.7656804967, -137921.824624675, -137780.5260723308, -137613.10592080757, -137705.44417251716, -137811.04687820256, -137852.95690270967, -137807.5573508745, -137848.35473485503, -137857.7057294257, -137684.4601440574]",-137684.4601440574
"[-137683.3911180384, -137793.86159881056, -138034.49640363958, -137829.53377210378, -137656.67586266602, -137744.06719068091, -137908.13113442677, -137984.5236914651, -137997.640721368, -137824.46624333877, -138134.679157699, -137631.06779384328, -137969.03719534606, -137837.81422715855, -137913.10758425266, -137694.1262230823, -137758.7177117054, -137651.67184373603, -137725.26672593039, -137841.515314639, -137611.7056323146, -137702.8432021547, -137824.15378939165, -137778.03737972432, -137773.6895377026, -137856.7488233529, -137559.5647450425, -137756.78581351624, -137809.47391821066, -137805.46947817542, -137716.2388548971, -138015.08444998882, -137728.44013416168, -137816.62686596115, -137599.67181442442, -137799.9713711109, -137520.36133854213, -137788.87410597145, -137841.30140557964, -137697.69645125815, -137786.77990421874, -137527.60788469345, -137947.03607188587, -137763.52190766812, -137748.00490839747, -137877.1248452164, -137659.23850938995, -137918.83824408476, -137884.13045120763, -137621.02872657648, -137709.35770376987, -137920.7697388085, -137885.78998197094, -137774.26740518748, -137732.8050154476, -137394.1020503456, -137917.93139595984, -137873.66573384803, -137678.77401762296, -137805.59170797447, -137765.79574780705, -137643.28940997962, -137891.82677123623, -137810.00003207102, -138157.01259501674, -137827.67158467876, -137714.91816920205, -138021.30064012465, -88139.21362782439, -84300.87945381679, -80626.4942999636, -78554.7924551424, -79961.14098776606, -77145.98519451168, -70943.85451254231, -25564.23573594667, -96023.1234282178, -33002.47616068556, -62669.712406698265, -61710.618735481534, -33636.38232600589, -17582.5510073931, -16425.312397444774, -17884.710169702816, -20331.031558276052, -19388.19770355864, -19554.223903356527, -19799.111488048256, -18547.164911386983, -18528.12973107502, -17802.449227866877, -17789.151361325035, -16846.00347915985, -16467.705159932477, -16637.00380387107, -17140.85636426645, -18243.699035885038, -17028.869762579554, -16941.96828728242, -16405.16643208197]",-16405.16643208197
