ID,trend,deviation,forecast
1,Constant,2,"[8.062106940159975, 8.859195093455714, 9.254981292647544, 9.607700651287274, 11.372047471283796, 9.308568731141676, 11.03176298835366, 9.447194158552481, 10.137439161739836, 9.787235941947237, 9.58949419012572, 11.296714676476428, 8.019687241457031, 9.828240524166851, 8.173583917208482, 9.088808966465814, 10.40193908344465, 11.850209522939771, 9.748273332267516, 9.984902947354414, 11.526398586464767, 10.208128589484783, 11.204423147322139, 10.95476961993289, 10.849057721205131, 9.936048983453126, 11.878366875534269, 11.326022400998834, 8.614878526658291, 11.250986872597036, 11.027251516890757, 9.154827264335367, 8.602118794001754, 11.908671583738371, 11.05535715988936, 10.76062708972471, 9.37775184552527, 9.317551877337145, 11.160027310821004, 10.69534330314746, 8.035237223200665, 10.646632576570134, 9.095430659213925, 8.51275027847654, 11.634944842393942, 10.224673843881481, 9.449199426146691, 9.995703242505439, 8.258745048685814, 10.750363382397554, 11.584894220801857, 9.750087566515543, 11.431669746368236, 11.253700673999546, 10.741057740527797, 8.865758375050241, 9.42512663458781, 9.70237141946707, 10.917981752533043, 10.010742866936738, 11.549929598714563, 9.216338565268387, 10.765025272329748, 9.8985388202174, 10.693861198969639, 10.934130720092176, 8.459448203969805, 10.714406121750727, 10.348090223271662, 9.495753093805027, 11.768864119565983, 11.985613542992933, 8.18315357079737, 8.516091674232978, 11.912439887897257, 8.21129837367781, 9.18173603188251, 10.034025134193072, 8.311515082046725, 8.243115057797581, 10.067305692366215, 11.271486625594179, 11.806545064937696, 10.119093657450172, 11.606409061123555, 11.678872652610071, 9.313376119499416, 8.52482757113481, 11.082912222523579, 9.428262690537078, 11.967081759782316, 9.894565522547598, 11.589666132420732, 11.513252505205145, 11.541696023547178, 11.873849952834338, 8.710948951104818, 8.953276900102905, 8.91092509252396, 10.373496160451289, 8.387549074586659, 10.168936997361651, 8.03313055234618, 8.339515936159838]"
2,Constant,2,"[8.303298812829858, 10.8721829825527, 9.293395051098297, 9.526814093973405, 8.467676679498046, 8.677491179033433, 8.894638605232533, 10.311797064609074, 11.163130387488557, 10.348637729198272, 10.326418722784236, 8.482148995148641, 9.117086222677148, 10.455492072494867, 11.901237671253337, 11.91978496280744, 8.085824799566858, 10.292624328178153, 8.060133197250845, 8.763895227078757, 8.477910074543598, 10.52626500104476, 9.900884806623129, 8.366192718559383, 9.831402022319018, 8.87928287831365, 8.398512731391184, 9.68543374443535, 10.655137945975447, 10.843091025935347, 10.009738325168405, 10.329878388185138, 8.181083337083752, 11.403856302852532, 8.811866008431235, 8.885688740528252, 9.780541423194887, 11.581108957458547, 10.585910327180267, 9.720269411771607, 10.349794642457022, 10.585949204411115, 11.01927553841837, 10.43592038224163, 9.797830084553912, 8.529873421453878, 8.840163348939228, 10.460711790808562, 9.097038613211012, 10.443665399527113, 11.542342013398251, 9.965103059873412, 8.343049604634974, 8.51448310098928, 11.877855058709791, 8.985200301409314, 11.31100421633343, 11.2729489367351, 8.012380740851096, 10.64137962346783, 10.81974722432609, 11.14470007782138, 11.964635269581196, 9.748618251366095, 8.310461690418315, 8.31693138768135, 9.977650280965133, 9.657738698135761, 8.931624469251378, 9.357606166397666, 8.464942124484018, 10.617524016394924, 9.485634043767675, 11.500722254600824, 8.090127311925682, 9.488544826886883, 11.995119575286179, 11.933442450314267, 10.601361549184514, 8.562512763346906, 10.893953288422756, 10.141895174569687, 11.382713823899447, 10.472283586576582, 8.040405711351587, 8.46476123291055, 10.317940174373181, 9.6593748170161, 9.05453621599909, 10.890802605457907, 11.05214548280297, 11.711163417556762, 8.428934333114729, 8.564395289748658, 9.524111043097854, 11.994907264138266, 8.789017189842498, 11.159629504419843, 10.504933796377248, 10.679463835293774, 11.051517165607287, 9.7207234522817, 10.63686224151386, 11.229236265593187]"
3,Constant,2,"[10.629124881435642, 10.06088132557936, 10.35287135108015, 11.826358713712601, 11.429699756071205, 9.182350612307767, 8.765092985029916, 9.907330012697665, 9.632372567383811, 8.862761784745366, 11.125932072012764, 10.499490948074904, 11.081933580234415, 10.610127297027812, 11.358961504274879, 9.555151919146105, 8.66944440810385, 11.81642222674277, 8.778658319897488, 10.470618013140719, 10.97201078290436, 10.109131907946523, 10.499879484387586, 11.604611776999391, 11.843454890247848, 9.470951914902347, 10.129947828041736, 8.757069387969734, 8.098791186178044, 8.286904109407462, 9.232741115783911, 9.281342416619497, 8.217170997639787, 10.468040849279742, 11.808956120342433, 11.400748844435718, 11.162575688847163, 9.645869596825715, 10.806822116542374, 10.29577745679572, 11.327418017433898, 9.070901842506991, 11.063488967167268, 9.3273897124902, 9.591970889069334, 10.345843756062797, 10.912529964541404, 9.524406634347322, 9.934352303476764, 9.971775767149374, 11.302619110836117, 8.650036975991359, 11.219607496590772, 8.34804575256987, 8.580194376359465, 10.049114843657794, 8.743499445106487, 11.153304490729056, 8.648898617764406, 10.82158502915458, 11.185181941724, 10.457780153139003, 11.290966728903381, 9.199858634386196, 8.260862738863029, 9.279387483375434, 9.176921946990863, 8.925884298104538, 9.503072201491715, 8.565644485708344, 9.607743459776614, 10.674317272920328, 11.39955038111772, 11.658356919561406, 8.535179365437187, 8.326986401890379, 9.411046229542466, 8.00019675889413, 10.650955908466525, 11.097480417498845, 10.919849481719396, 11.51726363429222, 10.122021865570478, 9.512371470434829, 10.068786228859258, 11.42702677597577, 11.97639708416596, 9.15311912868701, 8.678616988527573, 8.922997922772968, 11.290631528761892, 10.8499344384733, 8.428422438180888, 8.06354904172299, 9.908932555930333, 9.815180535700769, 9.590141738713019, 8.83537987635129, 8.597129905155123, 9.387763064037571, 9.062986229699536, 9.782551018414118, 9.825325708133782, 11.375308372828474]"
4,Constant,2,"[11.746709332940553, 8.870426894031208, 11.031338377388588, 9.79795293106104, 8.961567959208327, 11.588251630872337, 10.370086418452477, 10.928575297227866, 8.750510011647329, 8.597145579161332, 9.103505085695755, 11.828712737487525, 11.858638056596494, 10.394615250177795, 11.651876077082363, 10.296390957765286, 10.446748665690373, 11.312777862293604, 8.357317824376656, 9.855657898146461, 11.321281044556054, 11.65041868827548, 11.73177493342541, 9.347808837430437, 8.465921335160505, 10.075480549485537, 10.637624414463687, 11.383173156190317, 9.098865027566383, 11.237982270128938, 10.828900736773363, 11.545809724396005, 8.46266455414529, 9.98163898353931, 9.784864787097849, 8.205136769087433, 8.04242887130531, 10.448752839997054, 9.714457286622956, 10.80427249143693, 10.707314240591051, 11.955334164687027, 11.158949506709789, 11.986987652917666, 11.270896475621084, 10.125355948287087, 8.08692276164286, 8.680408669234868, 8.133613576672825, 9.444963085952601, 11.511759402829405, 10.413976957528643, 8.25333763082835, 9.763216512684973, 9.124313835013341, 8.953825331721958, 9.432778208107942, 10.7358439369117, 8.436060223022222, 10.849545949910251, 9.701864957225087, 9.092084417671005, 8.305499532470318, 11.69162721531354, 11.924695742839349, 9.283228422663488, 10.682976907605578, 9.19941515064314, 8.217493348812727, 11.704473332663692, 8.30082650344347, 8.167102088391715, 9.974620138659748, 11.11974727577072, 10.975238468576837, 11.041081378447142, 9.084057757656492, 11.936017649635541, 9.016470240250424, 11.911816005022516, 9.83940311056179, 10.096954839689296, 8.08218969260406, 9.793429404085117, 8.323753295717573, 9.0480853873786, 11.57445462953058, 8.249219269004373, 9.065172158811423, 10.231905272479825, 8.657757483270506, 9.384669855681427, 9.099254613818989, 8.846067975053995, 11.85539946713845, 8.02633026173972, 10.625870578467609, 8.67365243919686, 9.37354189065665, 8.473925546840386, 10.666571195872201, 11.786304455863222, 11.585316532627496, 10.664475271081297]"
5,Constant,2,"[10.670041759477947, 11.038058898557093, 8.952179274314966, 9.810467442775554, 9.776425863047436, 11.07235617750327, 9.936577694296517, 10.831321071831276, 11.994733097316285, 9.719895722492002, 9.424114439054392, 10.487386560445966, 11.983260921472219, 8.124774735009968, 11.851757304431988, 11.320469943326199, 8.945910700996748, 8.330669830177387, 11.371821405076775, 10.710573585697913, 8.929220118886283, 8.657814588359791, 11.101217877000181, 8.289111479761456, 11.589772994550376, 10.211900342789335, 9.664599715537623, 11.591461676636474, 10.560924956101722, 8.108172646302453, 9.504055628950184, 8.633672153086835, 8.201249165592724, 11.218683939198456, 9.368944060877643, 8.024905088384436, 9.011934007734006, 11.826963961034927, 10.83042567543325, 8.983588559792938, 9.745090952985532, 10.699363424263991, 10.821225498416778, 11.32176996162154, 8.813709507291376, 8.834874983115796, 9.547813309028001, 11.509983835849752, 11.753915955681236, 9.332090663590346, 10.08846366452677, 8.075672714463273, 10.625711975841387, 11.677048690154447, 9.270497608900513, 11.601125479377089, 10.334601317366737, 9.075611303218277, 10.087833605036977, 10.960664141211337, 9.088135040046765, 8.013706148093645, 9.570240228793022, 11.436422473547886, 8.113598778210777, 9.745844802791726, 11.190052371702004, 10.49098790814227, 8.996280505722455, 9.269270084651072, 9.866924067130878, 9.774714638365, 11.721640256632913, 10.329168771163667, 9.46455649985771, 10.609413393268841, 9.079428323013513, 10.844939433345912, 9.125796143215057, 9.054015054248122, 8.164341686284164, 10.946381260179734, 10.237214814753923, 10.027754930137851, 9.115446105762185, 10.418394960505204, 10.10629464329072, 9.180823429429857, 9.658954457936566, 11.992515696404178, 11.444455913291142, 10.913761650644446, 8.444091980951747, 9.801018137335493, 11.528312483382367, 11.806631166645053, 9.808668063137343, 8.13636660556038, 10.548300872452883, 11.433650063021204, 11.79011152810263, 8.812611775090915, 9.146898355378134, 10.989054975640252]"
6,Constant,2,"[11.279926945201755, 11.960554850717024, 9.271006865077977, 11.014841066544736, 8.382620095643986, 8.069032713813375, 9.172868102035878, 8.337764447741463, 11.646631060828462, 11.697878623667583, 9.005525808626391, 8.249417388719142, 9.551242886473052, 9.206704033037646, 8.908767925891244, 10.084062786374133, 11.86552373740232, 10.353910998840469, 9.577898520463707, 10.008353148299278, 8.565416806644421, 8.374934212108036, 8.46883744578043, 8.812800552317771, 11.506862908127776, 11.578468376590202, 8.314187893464364, 10.183637877358922, 11.964225540220681, 8.890984930735325, 8.609146843039223, 10.121891447089142, 11.009564388359253, 11.87572297684728, 8.692082234111833, 8.790939036493528, 10.111141878918854, 9.709722444626959, 9.703832170207374, 10.11601873029981, 11.376064027034541, 8.81422790321794, 9.039572607509363, 11.042824376026745, 11.269773885026101, 8.774277263994971, 10.198935533165944, 9.794767850828473, 10.168007016991211, 9.138309140021633, 9.032686207010395, 8.426768085036494, 10.23769379567062, 11.870368690377745, 9.200959871923281, 10.182978026317665, 11.64797875919228, 10.359864898856294, 11.971214469057683, 11.458643959430479, 8.65918738226023, 9.068860870861723, 10.590224023445831, 9.502226028101465, 10.860807739104091, 10.20246356239658, 10.713192639088891, 11.190908843376626, 11.048947101662348, 8.445407308269502, 10.004661857652533, 9.806903250954793, 10.609134546491443, 9.10624359348001, 8.824673077642135, 8.66078897409735, 9.738237153875511, 10.44886550037624, 8.639626810825643, 10.52063343403317, 9.199217938342908, 10.608737137454249, 10.315255245662092, 11.897861454394768, 11.276734154726267, 9.68642517370716, 11.29057603902255, 11.053169949201918, 11.2778675276066, 10.782682175568748, 9.07082998495795, 10.769454942213585, 10.062114500385679, 11.503470067225248, 8.587875287449364, 11.569758761027686, 11.03701987165491, 9.499865068346617, 11.28587034687579, 9.786504845082101, 11.82478289005855, 8.217047914827724, 8.049868226981253, 11.350251560058407]"
7,Constant,2,"[9.82076371120127, 8.00194991323327, 9.9690347300976, 9.247758714110697, 11.111846716253547, 8.002969816652984, 9.616259868712945, 9.705051966829476, 11.008287106393606, 10.63559939287629, 9.009904951322468, 9.861563056134084, 8.078021544751032, 9.429127946541485, 10.085462258814347, 9.118183615451205, 11.916108862462972, 11.092969986781815, 10.827401166170004, 10.123979321906358, 11.374617000065092, 8.367177660856868, 10.727638050829043, 10.771830540484691, 9.974590453041746, 9.492089557363098, 9.724685095680783, 11.01321037731088, 9.968498379714035, 10.34415470931847, 9.383845180616833, 9.015258435944677, 10.752317129714605, 8.028979678750916, 11.468381083297468, 9.402829327344104, 9.740075342175386, 11.705319551492275, 8.870835633301233, 11.144089336269918, 11.575441033513318, 10.814701436935906, 10.824223055741106, 8.180400426119954, 11.922824888535391, 11.281601268624698, 11.73271918844343, 9.685338931524534, 9.935376679621186, 11.875642094031319, 9.898808003558585, 9.096810421754363, 9.162689580839942, 11.539351424684344, 11.241537213693377, 9.612878602338032, 9.617694875477756, 8.595604054927175, 11.945432755527907, 9.210773773537086, 9.288668150632692, 11.615682235333518, 8.619452483863604, 8.470927307994948, 8.767624260427688, 11.596005529969094, 9.497154252898731, 10.233605705551826, 10.523166102407455, 9.126118211566329, 8.195155674603567, 10.318873602684658, 11.481694946351865, 9.333161927473038, 9.463591121429143, 9.342267219525901, 9.256558561725651, 9.65107294785328, 9.792788724568133, 9.441702494022845, 11.619243603997692, 8.29998328118299, 9.778533310978808, 11.875825353008501, 10.788993783910119, 8.334648446257416, 8.46363080674342, 8.532982957594424, 9.084731366700066, 10.35595627060473, 10.05020287275788, 11.985344361538182, 8.01283617768735, 9.225401146389409, 8.087082305507279, 9.817361816811658, 9.09037974084989, 8.70956698277355, 10.493794957413627, 11.736837851186358, 10.985609250714266, 10.663269892184232, 11.281225007952179, 9.716894401104632]"
8,Constant,2,"[9.610385547407645, 11.669665198693272, 10.341632226325935, 9.981613010509664, 8.374373266328156, 11.343664288274038, 8.601841011350379, 9.498342492620846, 10.911726902380735, 9.249462375240896, 10.770013970717816, 11.078123288932247, 8.215563485865948, 11.049558672312532, 11.685030150714251, 10.340864155061023, 8.525967773389343, 8.599666308629516, 9.85795165375648, 11.393567322781573, 10.54367520252382, 10.772456129914534, 9.433010668509631, 11.362837548718648, 11.403579075053006, 8.556937138257979, 10.939265137587839, 9.151496325260744, 8.749572442472525, 9.599439906297892, 10.590861363688383, 11.301825816566263, 8.069203239008397, 10.456555655717606, 9.194687627064852, 11.555000095447603, 10.787633491801099, 9.612529137726032, 8.637531163199355, 11.728634147797205, 10.062105677010862, 10.524872402932935, 11.923342895386437, 10.640762194766843, 8.850356596871922, 9.664346323383114, 9.983871528924674, 9.273494069462831, 11.80409486644379, 8.457917741017344, 9.93061302155883, 9.193423274650847, 9.581431484527258, 10.62350287392811, 8.613533335178676, 10.48679574958891, 11.737659397454268, 10.472812815068394, 8.016292468101765, 9.271512370957225, 10.186227419568802, 11.098182151758808, 10.290788165364528, 10.33000390809875, 9.387679996448615, 8.533689680805875, 9.081971941733684, 9.24466258621005, 11.233624504789042, 8.875996450782228, 8.02406871461297, 11.056622212124603, 9.994004249202794, 9.729711709986521, 8.165281188205087, 10.152560358455354, 8.578633145890478, 9.23498651414445, 11.7053915992208, 8.044570538222048, 10.780953808903211, 10.33049419703186, 9.263602783906101, 8.198707026183568, 9.96191955679733, 11.789564748723711, 10.632616234195318, 8.566597721657118, 10.386962252808658, 10.605708735407545, 9.311014665764258, 10.432667556496591, 11.182823595809628, 10.459950038526785, 9.946881638069081, 10.846125209513907, 11.967074336531098, 11.301316702648805, 9.863409795076308, 9.684643666653514, 8.330397242602558, 10.950267021777442, 9.976377694409035, 8.79199407550097]"
9,Constant,2,"[11.766792418633235, 9.719105357503569, 11.861515026670194, 10.409451347365689, 10.334685277669672, 9.385558146526327, 8.993301485141671, 11.953720839478066, 8.091683072070623, 10.967449981329278, 10.188142952416024, 9.82636937358389, 8.294152065082962, 11.042999468657435, 10.5699584890147, 9.17011996588602, 11.365865087335465, 10.451064932019293, 8.282990886945829, 9.755724572463118, 8.662249002710634, 10.09289343884799, 11.303849181640075, 9.999987059073776, 10.4372017138137, 11.052911396182001, 11.31809657497138, 8.079203323222448, 10.261500202261724, 10.611135791194439, 9.210406438168006, 10.478117695607938, 10.040526541652348, 9.044660978224258, 11.871054361999109, 8.64410679618237, 11.950371294058726, 11.786634565182549, 9.84058199759846, 8.95897745242534, 9.72546056023305, 10.62280634520119, 11.06390677914072, 10.69564829845232, 8.522787459144435, 9.35439170240234, 11.844393392428914, 10.024763447973754, 8.58609808470634, 9.007622318383458, 9.592654464436396, 11.705053643426776, 9.516109808926004, 9.069137958135142, 10.49616235149107, 11.265982900629638, 11.404859964533419, 11.567033558323283, 8.298719818087143, 10.074788521785559, 10.892943457003398, 11.685974029838242, 9.918343670899116, 10.929129402819704, 9.891582456708424, 11.372413599009029, 11.492194661748627, 9.96820785146496, 11.734228505125932, 11.82571460342696, 11.322728458395009, 8.865357527699159, 9.809809110601531, 11.707472564077122, 8.904546065864182, 11.480179104375829, 9.734842856352483, 10.005860145092676, 9.890414058716804, 11.454170851715416, 9.84262641999358, 9.690367258483327, 10.53874793875969, 11.728306140656255, 8.646788764424558, 8.712649742020027, 11.9488166023827, 11.912821896431595, 8.239931784942868, 11.652623049705252, 9.485524869863292, 8.783070441696804, 11.295358799810426, 10.50247171919937, 10.970896162941843, 9.020646179903679, 10.735880173884393, 8.05414737603701, 11.372136691226721, 8.10673073406057, 10.931348396043386, 11.106412812387727, 10.277351228416139, 9.225913517486376]"
10,Constant,2,"[11.389560169425048, 10.436513612963324, 8.458309729603606, 8.794616308530887, 9.803569723876302, 10.231829658014934, 9.600255530750227, 8.765216628514125, 11.599124860976827, 10.42695501996116, 8.0718052518605, 9.779459954421847, 8.867489960138085, 9.100333669721802, 9.265280577414762, 8.404094154465291, 8.674153821301074, 10.475003576663035, 11.835894581666407, 10.911211680522811, 9.118442664483823, 11.317171370765205, 8.638257231359892, 9.010666412646328, 8.959327025154387, 10.52408531860528, 8.460590869064003, 9.795459825390811, 9.138182422040373, 11.188109360670097, 9.43352902087991, 8.42851966356286, 9.731626784650434, 9.953036734576166, 9.560141476449449, 10.530250538151705, 9.512629867495253, 9.481946415046945, 9.787985259696164, 10.519865119031863, 9.171176850841167, 10.653742851134055, 9.818638669509252, 9.403197932652683, 10.237668772717557, 10.269973138942985, 10.094678928404738, 10.870225660027554, 10.771247921474536, 8.234823424858952, 8.506248626804254, 10.730551398055589, 11.976429330878794, 9.967746748390493, 10.061583280850133, 11.87200894299679, 8.185509506705808, 11.173370795531367, 10.712118552237488, 9.04461849631587, 11.566886826083357, 10.412631873535943, 9.338152138317142, 10.816687652986484, 10.78947384911335, 8.275047372263437, 10.37231637928065, 11.249729260759509, 10.827564155661022, 11.838353928134396, 11.914667188412269, 10.670540091454605, 10.087956845347776, 8.307574582409341, 9.526164826602363, 8.02452609599267, 10.811648728126404, 9.656084022938671, 8.691760724912218, 9.84171565233233, 8.216485614582437, 9.837128566363315, 11.54633335561503, 8.421238639350756, 9.933971476022219, 9.069528032444548, 10.272110887731436, 8.604988805997872, 9.037367523897165, 10.717979989870496, 8.191148454562647, 9.772077963443923, 11.30539999011842, 9.184649444160865, 9.986881944886239, 9.185888748700904, 9.219329403172692, 10.88770487374049, 11.358809665466241, 9.702413363631008, 9.01750193046504, 8.000886966278689, 8.71327234883828, 10.075564076597864]"
